workstream,name,unit,eicv7_code,harmonised_name,label,source,n_categories,categories
labour,institutional_sector,person,s6bq5,eicv_institutional_sector_2024,EICV 2024: 's institutional sector of the main economic activity,harmonised,9,1=Public institution/enterprise; 2=Mixed public and private enterprise; 3=Private in non-agriculture activities; 4=Private in agriculture activities; 5=VUP; 6=International NGO/International organization'; 7=Local NGO/Religious organization; 8=Cooperative; 9=Household (Domestic workers)
labour,works_overnight,person,s6bq6,eicv_perform_economic_activ,EICV 2024: Perform this main economic activity overnight from 6pm to 6 am?,harmonised,4,"1=Yes, 6-7h pm; 2=Yes, 7-8h pm; 3=Yes, 8pm-6am; 4=No"
labour,employment_status,person,s6bq7,eicv_economic_activity_2024,EICV 2024: What is the person's status in economic activity,harmonised,8,1=Employee; 2=Paid apprentice/Internee; 3=Employer (with regular employees); 4=Own account worker (without regular employees); 5=Member of cooperative; 6=Contributing family worker; 7=Non Paid Apprentice/Interne and volonteer; 8=Other
labour,contract_type,person,s6bq8,eicv_nature_names_economic_2024,EICV 2024: Nature of names s? economic activity contract?,harmonised,6,1=Permanent worker; 2=Fixed-term contract; 3=Casual worker; 4=Seasonal worker; 5=Daily worker; 6=Other
labour,earnings_main_job_amount,person,s6bq9a,eicv_earn_main_job_amount_2024,EICV 2024: Usually earn in this main job (Amount),harmonised,0,
labour,earnings_main_job_unit,person,s6bq9b,eicv_earn_main_job_unit_2024,EICV 2024: Usually earn in this main job (Unit),harmonised,7,1=Hour; 2=Day; 3=Week; 4=Fortnight...4; 5=Month; 6=Quarter; 7=Year
labour,sex,person,s1q1,eicv_sex,"Sex: 1 male, 2 female",harmonised,2,1=Male; 2=Female
labour,age_years,person,s1q3y,eicv_age_years,EICV 2001: Age (Years),harmonised,0,
livelihood,consumption_total,poverty,cons1,eicv_aggregate_consumption,EICV 2011-2024: Aggregate Consumption,harmonised,0,
livelihood,consumption_per_ae,poverty,cons1ae,eicv_aggregate_consumption_2024,EICV 2024: Aggregate Consumption/ae,harmonised,0,
livelihood,consumption_per_ae_jan2024,poverty,sol_jan,eicv_consumption_ae_2024,"EICV 2024: Consumption per adult equivalent, January prices of the round",harmonised,0,
livelihood,consumption_quintile,poverty,quintile,eicv_quintile_2024,"EICV 2024: Consumption quintile, NISR",harmonised,5,1=Poor; 2=Poor/mid; 3=Mid; 4=Mid/upper; 5=Upper
livelihood,welfare_category,poverty,poverty,eicv_poverty_base_2017_2024,EICV 2017-2024: Poverty status as shipped in the base file,harmonised,3,1=Severaly Poor; 2=Moderately poor; 3=Non Poor
livelihood,poor,poverty,pov_jan,eicv_poverty_status,"EICV 2017-2024: Poverty status, NISR poverty file (0 non-poor, 100 poor)",harmonised,2,0=Non Poor; 100=Poor
livelihood,extreme_poor,poverty,epov_jan,eicv_extreme_poverty_status,"EICV 2017-2024: Extreme poverty status, NISR poverty file",harmonised,2,0=Non Extreme Poor; 100=Extreme Poor
livelihood,poverty_line_jan2024,poverty,Poverty_line,eicv_value_povertyline_jan,EICV 2024: Value of Povertyline in Jan/2024 Prices,harmonised,0,
livelihood,food_poverty_line_jan2024,poverty,Extreme_line,eicv_value_food_povertyline_jan,EICV 2024: Value of Food Povertyline in Jan/2024 Prices,harmonised,0,
livelihood,hh_size,poverty,member,eicv_hhsize_2011_2024,EICV 2011-2024: Hhsize,harmonised,0,
livelihood,hh_size_adult_equiv,poverty,ae,eicv_hhsize_2024,EICV 2024: Hhsize A/E,harmonised,0,
livelihood,food_expenditure_total,poverty,food,eicv_food_expenditures_2001_2024,EICV 2001-2024: Total food expenditures,harmonised,0,
livelihood,owns_livestock,household,s7aq4,eicv_hh_raise_livestock_herds_fa,EICV 2024: Did any member of your household own and/or raise any livestock,harmonised,2,1=Yes; 2=No
livelihood,n_cattle,household,s7aq4a,eicv_livestock_poultry_hh_cattle,EICV 2024: Of the following livestock or poultry does the household own - Cattle,harmonised,0,
livelihood,n_goats,household,s7aq4b,eicv_livestock_poultry_hh_goats,EICV 2024: Of the following livestock or poultry does the household own - Goats,harmonised,0,
livelihood,n_sheep,household,s7aq4c,eicv_livestock_poultry_hh_sheep,EICV 2024: Of the following livestock or poultry does the household own - Sheep,harmonised,0,
livelihood,n_pigs,household,s7aq4d,eicv_livestock_poultry_hh_pigs,EICV 2024: Of the following livestock or poultry does the household own - Pigs,harmonised,0,
livelihood,n_poultry,household,s7aq4e,eicv_lvstk_poultry_hh_poultry,EICV 2024: Of the following livestock or poultry does the household own,harmonised,0,
livelihood,n_other_livestock,household,s7aq4f,eicv_livestock_poultry_household,EICV 2024: Of the following livestock or poultry does the household own - Other,harmonised,0,
livelihood,girinka_received_cow,household,s7a2q1,eicv_recvd_cow_governments_2024,EICV 2024: Ever received a cow from the Governments ? one cow per poor family,harmonised,2,1=Yes; 2=No
livelihood,girinka_year_received,household,s7a2q2,eicv_year_receive_animal_2024,EICV 2024: In what year did you receive this animal?,harmonised,0,
livelihood,girinka_still_keeps,household,s7a2q3,eicv_keep_animal_2024,EICV 2024: Do you still keep this animal?,harmonised,2,1=Yes; 2=No
livelihood,ngo_animal_received,household,s7a2q4,eicv_household_receiced_scheme,EICV 2024: Household ever receiced animal from NGO or other social protection,harmonised,2,1=Yes; 2=No
livelihood,ngo_animal_kind_1,household,s7a2q5a,eicv_kind_animal_first_2024,EICV 2024: Kind of animal first,harmonised,0,
livelihood,girinka_n_animals_changed,household,s7a2q6a,eicv_animals_changed_cow_poor,EICV 2024: Has the number of animals changed (Cow poor family),harmonised,3,"1=Yes, increased; 2=Yes, reduced; 3=No, the same"
livelihood,uses_maintained_pasture,household,s7a2q7,eicv_hh_uses_maintained_2024,EICV 2024: Household uses a maintained pasture,harmonised,3,"1=Yes,maintained; 2=No,not maintained; 3=No, other place"
livelihood,any_shock_12m,household,s5eq1,eicv_unsual_negative_situation,EICV 2017-2024: Unsual negative situation affected household,harmonised,2,1=Yes; 2=No
livelihood,shock_1,household,s5eq2a,eicv_main_problems_first_s5eq2a,EICV 2024: Main problems affecting your household (first severe sho,harmonised,18,"1=Heavy Rain; 2=Floods; 3=Landslides and Mudslides; 4=Drought/irregular rains, prolonged dry spell; 5=Unusually high level of crop pests & disease; 6=Unusually high level of Livestock diseases; 7=Unusually high level of human disease (EPIDEMIC); 8=Unusually high prices for food; 9=Unusually high cost of agricultural inputs(Seed, fertilizer, etc); 10=Loss or reduced employment or Income for a household member (not counting death); 11=Fire; 12=Serious illness or accident of household member; 13=Death of the Head of the household; 14=Death of a working member of the household (not head); 15=End of regular assistance, aid, or remittances from outside; 16=Failure of a non-agricultural household business; 17=Breakup of household; 18=Other, (Specify)"
livelihood,shock_1_month,household,s5eq2aa_m,eicv_main_problems_s5eq2aam,EICV 2024: Main problems affecting your household (first severe sho,harmonised,0,
livelihood,shock_1_year,household,s5eq2aa_y,eicv_main_problems_s5eq2aay,EICV 2024: Main problems affecting your household (first severe sho,harmonised,0,
livelihood,shock_2,household,s5eq2b,eicv_main_problems_second_s5eq2b,EICV 2024: Main problems affecting your household (second severe sho,harmonised,19,"1=Heavy Rain; 2=Floods; 3=Landslides and Mudslides; 4=Drought/irregular rains, prolonged dry spell; 5=Unusually high level of crop pests & disease; 6=Unusually high level of Livestock diseases; 7=Unusually high level of human disease (EPIDEMIC); 8=Unusually high prices for food; 9=Unusually high cost of agricultural inputs(Seed, fertilizer, etc); 10=Loss or reduced employment or Income for a household member (not counting death); 11=Fire; 12=Serious illness or accident of household member; 13=Death of the Head of the household; 14=Death of a working member of the household (not head); 15=End of regular assistance, aid, or remittances from outside; 16=Failure of a non-agricultural household business; 17=Breakup of household; 18=Other, (Specify); 19=No other shock"
livelihood,shock_3,household,s5eq2c,eicv_problems_affecting_s5eq2c,EICV 2024: Main problems affecting your household (third severe sho,harmonised,19,"1=Heavy Rain; 2=Floods; 3=Landslides and Mudslides; 4=Drought/irregular rains, prolonged dry spell; 5=Unusually high level of crop pests & disease; 6=Unusually high level of Livestock diseases; 7=Unusually high level of human disease (EPIDEMIC); 8=Unusually high prices for food; 9=Unusually high cost of agricultural inputs(Seed, fertilizer, etc); 10=Loss or reduced employment or Income for a household member (not counting death); 11=Fire; 12=Serious illness or accident of household member; 13=Death of the Head of the household; 14=Death of a working member of the household (not head); 15=End of regular assistance, aid, or remittances from outside; 16=Failure of a non-agricultural household business; 17=Breakup of household; 18=Other, (Specify); 19=No other shock"
livelihood,coping_1,household,s5eq3a,eicv_hh_compensate_3a_2024,EICV 2024: Household do to compensate for the consequences of the chock in the,harmonised,22,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery); 2=Reduced expenditure on food; 3=Reduced necessary expenditure on health and education; 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car; 5=Used up savings); 6=Borrowed money from a bank; 7=Borrowed money from an informal money lender; 8=Sold house or land; 9=Withdrew a child from school; 10=Sold more animals (non - productive) than usual; 11=Sold our last female animals; 12=Some household members migrated to find work; 13=Entire household migrated; 14=Resorted to begging, or to other degrading sources of income, illegal work, or high risk jobs; 15=Received help from religious institution; 16=Received help from abroad (non-relative); 17=Received help from local NGO/private organization; 18=Received help from government organization; 19=Received help from family and/or friends; 20=Started a new business; 21=Worked longer hours and/or worked more; 22=Other, Specify"
livelihood,coping_2,household,s5eq3b,eicv_hh_compensate_3b_2024,EICV 2024: Household do to compensate for the consequences of the chock in the,harmonised,22,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery); 2=Reduced expenditure on food; 3=Reduced necessary expenditure on health and education; 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car; 5=Used up savings); 6=Borrowed money from a bank; 7=Borrowed money from an informal money lender; 8=Sold house or land; 9=Withdrew a child from school; 10=Sold more animals (non - productive) than usual; 11=Sold our last female animals; 12=Some household members migrated to find work; 13=Entire household migrated; 14=Resorted to begging, or to other degrading sources of income, illegal work, or high risk jobs; 15=Received help from religious institution; 16=Received help from abroad (non-relative); 17=Received help from local NGO/private organization; 18=Received help from government organization; 19=Received help from family and/or friends; 20=Started a new business; 21=Worked longer hours and/or worked more; 22=Other, Specify"
livelihood,coping_3,household,s5eq3c,eicv_hh_compensate_consequences,EICV 2024: Household do to compensate for the consequences of the chock in the,harmonised,22,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery); 2=Reduced expenditure on food; 3=Reduced necessary expenditure on health and education; 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car; 5=Used up savings); 6=Borrowed money from a bank; 7=Borrowed money from an informal money lender; 8=Sold house or land; 9=Withdrew a child from school; 10=Sold more animals (non - productive) than usual; 11=Sold our last female animals; 12=Some household members migrated to find work; 13=Entire household migrated; 14=Resorted to begging, or to other degrading sources of income, illegal work, or high risk jobs; 15=Received help from religious institution; 16=Received help from abroad (non-relative); 17=Received help from local NGO/private organization; 18=Received help from government organization; 19=Received help from family and/or friends; 20=Started a new business; 21=Worked longer hours and/or worked more; 22=Other, Specify"
livelihood,months_to_recover_1,household,s5eq4a,eicv_mo_hh_recover_recent_2024,EICV 2024: Number of months did it take your HH to recover from the recent,harmonised,1,99=HH not recoverd from the shock
livelihood,months_to_recover_2,household,s5eq4b,eicv_mo_hh_recover_s5eq4b,EICV 2024: Number of months did it take your HH to recover from the recent,harmonised,1,99=HH not recoverd from the shock
livelihood,months_to_recover_3,household,s5eq4c,eicv_mo_hh_recover_s5eq4c,EICV 2024: Number of months did it take your HH to recover from the recent,harmonised,1,99=HH not recoverd from the shock
livelihood,vup_any_component,vup_direct_support,s9d1q1,eicv_beneficiaries_vup_component,beneficiaries of VUP(any component),raw,2,1=Yes; 2=No
livelihood,vup_ds_beneficiary,vup_direct_support,s9d1q2,eicv_beneficiaries_direct,EICV 2024: Beneficiaries of direct support,harmonised,0,
livelihood,vup_ds_join_year,vup_direct_support,s9d1q2y,eicv_year_2024,Year,raw,0,
livelihood,vup_ds_amount_12m,vup_direct_support,s9d1q4,eicv_money_hh_received_vup_ds,How much money the household received from VUP-DS in the past 12 months?,raw,0,
livelihood,vup_ds_payment_mode,vup_direct_support,s9d1q5,eicv_way_direct_support_payment,way by which direct support payment received,raw,3,1=SACCO; 2=Mobile Money/Airtel Money; 3=Not yet paid
livelihood,vup_ds_full_entitlement,vup_direct_support,s9d1q7,eicv_recvd_ds_entitlement_mo,Have you received your DS entitlement for all the months since you joined,raw,2,1=Yes; 2=No
livelihood,vup_cpw_beneficiary,vup_classic_public_work,s9d2q1,eicv_beneficiaries_class_public,EICV 2024: Beneficiaries of class public work,harmonised,2,1=Yes; 2=No
livelihood,vup_cpw_join_year,vup_classic_public_work,s9d2q2y,eicv_join_classic_year,EICV 2024: Join the Classic Public Work Programme / Year,harmonised,0,
livelihood,vup_cpw_months_12m,vup_classic_public_work,s9d2q3,eicv_months_hh_participated_cpw,"EICV 2024: Number of months a household participated in cPW, last 12 months",harmonised,0,
livelihood,vup_cpw_daily_wage,vup_classic_public_work,s9d2q4,eicv_daily_wage,EICV 2024: Daily wage,harmonised,0,
livelihood,vup_cpw_total_12m,vup_classic_public_work,s9d2q11,eicv_value_cpw_payments_received,"EICV 2024: Total value of cPW payments you received, last 12 months",harmonised,0,
livelihood,vup_epw_beneficiary,vup_expanded_public_work,s9d3q1,eicv_beneficiaries_expanded,beneficiaries of Expanded Public Work,raw,2,1=Yes; 2=No
livelihood,vup_epw_component,vup_expanded_public_work,s9d3q2,eicv_components_epw_beneficiary,Components of ePW a beneficiary working on,raw,2,1=Labor based ePW; 2=Homebased ECD Epw
livelihood,vup_epw_join_year,vup_expanded_public_work,s9d3q2y,eicv_join_classic_year_s9d3q2y,join the Classic Public Work Programme / Year,raw,0,
livelihood,vup_epw_months_12m,vup_expanded_public_work,s9d3q3,eicv_months_hh_participated_epw,number of months a household participated in ePW over the last 12 months,raw,0,
livelihood,vup_epw_total_12m,vup_expanded_public_work,s9d3q10,eicv_amount_received_epw_payment,Total amount received from ePW payment over the last 12 months,raw,0,
livelihood,vup_epw_monthly_wage,vup_expanded_public_work,s9d3q11,eicv_monthly_wage_earned,monthly wage earned during the last participation in ePW,raw,0,
livelihood,vup_nsds_beneficiary,vup_nsds,s9d4q1,eicv_hh_beneficiaries_nutrition,HH has any Beneficiaries of NUTRITION SENSITIVE DIRECT SUPPORT,raw,2,1=Yes; 2=No
livelihood,vup_nsds_join_year,vup_nsds,s9d4q1aa_y,eicv_join_nsds_year,Join the NSDS /Year,raw,0,
livelihood,vup_nsds_status,vup_nsds,s9d4q2,eicv_status_enrolled_nsds,status while being enrolled in NSDS,raw,3,1=Pregnant but now gave birth; 2=Pregnant and still pregnant; 3=Mother/Carer of a younger child under 2 years
livelihood,vup_nsds_quarters_received,vup_nsds,s9d4q7,eicv_quarters_hh_recvd_nsds,number of quarters by which HH received NSDS payment in the past 12 months,raw,0,
livelihood,vup_fs_applied,vup_financial_services,s9d5q1,eicv_hh_applied_financial_svc,EICV 2024: Household who ever applied for financial service loan,harmonised,2,1=Yes; 2=No
livelihood,vup_fs_approved,vup_financial_services,s9d5q2,eicv_approved_financial_svc_loan,EICV 2024: Approved financial services loan,harmonised,3,1=Yes; 2=No; 3=Still waiting
livelihood,vup_fs_join_year,vup_financial_services,s9d5q2y,eicv_joined_financial_year,EICV 2024: When joined financial Component / Year,harmonised,0,
livelihood,vup_fs_loan_amount,vup_financial_services,s9d5q4,eicv_total_amount_loan_received,EICV 2024: The total amount of the loan received,harmonised,0,
livelihood,vup_fs_loan_type,vup_financial_services,s9d5q5,eicv_financial_services_loan,EICV 2024: Type of financial services loan,harmonised,3,1=Individual; 2=Cooperative; 3=Group
conservation,cook_stove_type,household,s5cq21,eicv_primary_cook_stove_2024,EICV 2024: Type of your primary cook stove,harmonised,11,1=Cooking gas stove; 2=Electric stove; 3=Biogas stove; 4=Solar cooker; 5=Liquid fuel(kerosene) stove; 6=Self-built solid fuel stove; 7=Charcoal/fire stove; 8=Improved cooking stove; 9=Three stone/Traditional stove; 10=No cooking option at home; 11=Other (specify)
conservation,cook_fuel_primary,household,s5cq22a,eicv_three_main_primary,EICV 2024: Three main sources of cooking fuel you used on this cook stove Most,harmonised,14,1=Firewood; 2=Charcoal; 3=Gas; 4=Biogas; 5=Solar power; 6=Electricity; 7=Oil/kerosene; 8=Crop waste; 9=Animal dung; 10=Briquette; 11=Peat; 12=Saw Dust; 13=Straw/shrub/grass (udushari); 14=Other (specify)
conservation,cook_fuel_second,household,s5cq22b,eicv_three_main_second,EICV 2024: Three main sources of cooking fuel you used on this cook stove,harmonised,15,1=Firewood; 2=Charcoal; 3=Gas; 4=Biogas; 5=Solar power; 6=Electricity; 7=Oil/kerosene; 8=Crop waste; 9=Animal dung; 10=Briquette; 11=Peat; 12=Saw Dust; 13=Straw/shrub/grass (udushari); 14=Other (specify); 99=No second fuel
conservation,cook_fuel_third,household,s5cq22c,eicv_three_main_third,EICV 2024: Three main sources of cooking fuel you used on this cook stove Most,harmonised,15,1=Firewood; 2=Charcoal; 3=Gas; 4=Biogas; 5=Solar power; 6=Electricity; 7=Oil/kerosene; 8=Crop waste; 9=Animal dung; 10=Briquette; 11=Peat; 12=Saw Dust; 13=Straw/shrub/grass (udushari); 14=Other (specify); 99=No third fuel
conservation,cook_location,household,s5cq23,eicv_normally_cook_cook_2024,EICV 2024: Where did you normally cook with the cook stove?,harmonised,6,"1=In dwelling, not in sleeping area; 2=In dwelling, in a sleeping area; 3=In a separate dwelling; 4=In a veranda (roofed platform with at least two open sides); 5=Outdoors; 6=Other, specify"
conservation,foraged_firewood_7d,person,s6cq3,eicv_forage_firewood_hh_2024,"EICV 2024: Over the last 7 days, forage for firewood for the household",harmonised,2,1=Yes; 2=No
conservation,hours_foraging_wood_7d,person,s6cq4,eicv_hours_foraging_wood_2024,EICV 2024: How many hours spend foraging for wood over the last 7 days,harmonised,0,
conservation,hours_fetching_water_7d,person,s6cq2,eicv_hours_fetching_water_2024,EICV 2024: Number of hours spend fetching water over the last 7 days,harmonised,0,
conservation,hours_fodder_7d,person,s6cq6,eicv_hours_caring_searching_2024,"EICV 2024: Hours spend caring for or searching for fodder, last 7 days",harmonised,0,
conservation,hours_to_market_7d,person,s6cq8,eicv_hours_going_market_2024,"EICV 2024: Hours did spend going to market for shopping (to and fr, last 7 days",harmonised,0,
conservation,hours_cooking_7d,person,s6cq10,eicv_hours_cooking_2024,EICV 2024: How many hours did spend cooking over the last 7 days?,harmonised,0,
conservation,env_destruction_problems,household,s5cq31,eicv_faced_problems_resulted,EICV 2024: Faced any problems that resulted from environmental destruction in,harmonised,2,1=Yes; 2=No
conservation,main_dwelling_disaster,household,s5cq32,eicv_disaster_experienced,EICV 2024: Main disaster you have experienced with your dwelling,harmonised,5,1=Floods; 2=Mountain slides; 3=Heavy rain; 4=Heavy Wind; 5=Other (specify)
conservation,received_env_information,household,s5cq33,eicv_received_environmental_info,EICV 2024: Have you received any environmental information in the last 12 months,harmonised,2,1=Yes; 2=No
conservation,env_information_source,household,s5cq34,eicv_source_info_environmental,EICV 2024: Main source of information on environmental issues,harmonised,5,1=Radio/TV; 2=Social Media; 3=Meetings/trainings; 4=School; 5=Other (specify)
conservation,grid_connected,household,s5cq14,eicv_hh_connected_grid_2024,EICV 2024: Is this HH connected to the grid (electricity from the grid)?,harmonised,4,1=Yes on grid; 2=Yes from solar; 3=Yes both on grid and from solar; 4=No
conservation,reason_not_grid,household,s5cq15,eicv_reason_hh_not_2024,EICV 2024: Main Reason your household is not connected to the electricity grid,harmonised,7,1=Connection fee is high; 2=Dwelling inappropriate for connection; 3=Application pending; 4=Service unavailable(No grid line in the area); 5=Administrative procedure is complicated; 6=High cost of wiring; 7=Other (specify)
conservation,lighting_energy_source,household,s5cq16,eicv_source_energy_home_2024,EICV 2024: Main source energy for home lighting,harmonised,16,"1=Electricity from National Grid (EUCL); 2=Electricity from Mini Grid (Other distributors); 3=Private Solar Mini Grid; 4=Standalone solar system; 5=Solar lantern; 6=Rechargeable lantern; 7=Biogas; 8=Generator (Own, Neighbor, Community); 9=Kerosene/paraffin Lamp; 10=Firewood; 11=Candle; 12=Traditional Lantern; 13=Batteries+ bulb; 14=Rechargeable battery; 15=Torch (rechargeable or not)/Phone flashligh; 16=Other (specify)"
conservation,rubbish_disposal,household,s5cq24,eicv_hh_dispose_rubbish_2024,EICV 2024: How does your household dispose of its rubbish/garbage?,harmonised,7,1=Publicly managed refuse area; 2=Rubbish collection Service; 3=Thrown in the household?s fields or bushes; 4=Dumped in river/lakes/ditches; 5=Burnt; 6=Compost heap on own property; 7=Other (specify)
conservation,toilet_type,household,s5cq25,eicv_toilet_household_use_2024,EICV 2024: What type of toilet does your household use?,harmonised,9,1=Flush to piped sewer system; 2=Flush to septic tank; 3=Flush to pit latrine; 4=Ventilated improved pit (VIP) latrine; 5=Pit Latrine with constructed floor slab; 6=Composting toilet; 7=Pit latrine without constructed floor slab; 8=Other (specify); 9=No toilet /Bush/Field
