family,stage,file,variable,label
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q1,2.1 Did any member of your household own land used for dwelling during Season A
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q2,2.2 Did any member of your household own land used for cropping during Season A
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q3,2.3 Did any member of your household own land used for grazing during Season A 2
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q4,2.4 Did any     member of your household rented land used for cropping for fixed
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q5,2.5 Did any member of your household rented land used for cropping and paid rent
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q6,"2.6 Did any member of your household rented land used for cropping, for free dur"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q7_1,2.7.1 What are major 3 crops did your household grow during Season A 2017-Crop 1
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q7_2,2.7.2 What are major 3 crops did your household grow during Season A 2017-Crop 2
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q7_3,2.7.3 What are major 3 crops did your household grow during Season A 2017-Crop 3
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q8_1,2.8.1 What are 3 major crops  would your household have preferred to grow  durin
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q8_2,2.8.2 What are 3 major crops  would your household have preferred to grow  durin
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q8_3,2.8.3 What are 3 major crops  would your household have preferred to grow  durin
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q9,2.9 Did any member of your household own land used for dwelling during Season B
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q10,2.10 Did any member of your household own land used for cropping during Season B
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q11,2.11 Did any member of your household own land used for grazing during Season B
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q12,2.12 Did any member of your household rented land used for cropping for fixed am
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q13,2.13 Did any member of your household rented land used for cropping and paid ren
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q14,"2.14 Did any member of your household rented land used for cropping, for free du"
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q15_1,2.15.1 What are major 3 crops did your household grow during Season B 2017-Crop
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q15_2,2.15. 2 What are major 3 crops did your household grow during Season B 2017-Crop
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q15_3,2.15.3 What are major 3 crops did your household grow during Season B 2017-Crop
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q16_1,2.16.1 What are 3 major crops  would your household have preferred to grow  duri
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q16_2,2.16.2 What are 3 major crops  would your household have preferred to grow  duri
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,s2q16_3,2.16.3 What are 3 major crops  would your household have preferred to grow  duri
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s2_land_tenure_and_crops_planted.dta,weight,segment_weight
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,idquest,Household_ID
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s0q1,0.1 Province
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s0q2,0.2 District
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s0q3,0.3 Stratum
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s0q4,0.4 Segment
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q1,3.1 Has any member of this household benefited from any extension service during
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q2,3.2 What type of extension service provided?
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q3_a,Type of cropping service received
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q3_b,Cropping service provider
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q4_a,Type of livestock service received
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q4_b,Livestock service provider
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q5,3.5 HH member belong to ?Twigire muhinzi? group
Agriculture-Survey-AHS,1_Raw,Agriculture-Survey-AHS/1_Raw/2017/AHS_2017_s3_extension_services_and_agricultural_programmes.dta,s3q6,3.6 HH member benefited from contract farming during 2016-2017
