variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s1q3m,Age (Months),int8,,0,0,0,2273,,,,
s1q4,Marital status,int8,"1=Married monogamously with legal certificate, 2=Married monogamously without legal certificate, 3=Married polygamously, 4=Divorced, 5=Separated …",7,0,0,11495,,s1q4_v2 (2020),,
s1q5a,country of birth,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,0,16292,,,,
s1q5b,District of birth,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,0,16095,,,,
s1q6,Nationality,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,0,16292,,s1q6_v2 (2017),,
s1q7a,Absent during past 12 months,int8,"1=Yes, 2=No",2,0,0,16292,,,,
s1q7_v2,[2024..2024 version] how many months has been away from this household during,int8,,0,0,0,1711,,"s1q7 (2017, 2020)",,
s1q8_v2,[2024..2024 version] primary  reason of absence from household in the last 12,int8,"1=Studies, 2=Seasonal work, 3=Working away, 4=For health care, 5=Attend ceremony …",12,0,0,1711,,"s1q8 (2017, 2020)",,
s1q9,Resident of another household in the last 12 months,int8,"1=Yes, 2=No",2,0,0,1711,,"s1q9_v2 (2020), s1q9_v3 (2017)",,
s1q10,Will be resident in the household during the period of enumeration,int8,"1=Yes, 2=No, 9=Don't know",3,0,0,16292,,s1q10_v2 (2017),,
s1q11,primary n reason for absence during enumeration,int8,"1=Studies, 2=Seasonal work, 3=Working away now, 4=Health care, 5=Attend ceremony …",9,0,0,674,,s1q11_v2 (2017),,
s1q12,Father still alive,int8,"1=Yes,and residing in the household, 2=Yes,but residing in onother household, 3=No, 4=Don't know",4,0,0,7397,,s1q12_v2 (2017),,
s1q13,Mother still alive,int8,"1=Yes and resident in household, 2=Yes but residing in another household, 3=No, 4=Do not know",4,0,0,7397,,s1q13_v2 (2017),,
s1q14,Household membership,int8,"1=Yes, 2=No",2,0,0,16292,,s1q14_v2 (2017),,
s2q2,Always lived in the district,int8,"1=Yes, 2=No",2,0,0,16292,,,,
s2q3y,Duration since last move (years),int8,0=Less than one year,1,0,0,3557,,,,
s2q3m,Duration since last move (months),int8,,0,0,0,249,,,,
s2q4a,country  lived prior to current place,int8,"1=Nigeria, Nigerie, 2=Ethiopia, Ethiopie, 3=Egypt, Egypte, 4=DR Congo, RD Congo,DRC, RDC, 5=Tanzania, Tanzanie …",195,0,0,3557,,,,
s2q4b,District lived prior to current place,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,0,2936,,,,
s2q5,Kind of place lived prior to current place,int8,"1=Capital, 2=Big city, 3=Other town, 4=Countryside",4,0,0,2936,,,,
s2q6,Duration lived in the previuos location years,int8,0=Less than one year,1,0,0,3557,,,,
s2q7,Primary reason for moving,int8,"1=Employment, 2=Loss of employment, 3=Employment of spouse, 4=Marriage, 5=Other family reasons, specify …",17,0,0,3557,,,,
s2q8,Move alone or with other members of your household,int8,"1=Alone, 2=Part of Household, 3=All of Household",3,0,0,3557,,,,
s3q2,In the last 12 Months was covered by any health insurance?,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,16292,,,,
s3q3,Main health insurance carry,int8,"1=CBHI (Mutuelle de Sante), 2=RSSB (former RAMA), 3=MMI, 4=Schools, 5=Employer …",8,0,0,14319,,,,
s3q4,Suffer from an illness or injury over the last 4weeks,int8,"1=Yes, 2=No",2,0,0,16292,,,,
s3q5,Medical consultation in the over last 4 weeks,int8,"1=Yes,Medical establishment, 2=Yes,Traditional Healer, 3=No, 4=Don't Know",4,0,0,16292,,,,
s3q5a,why not consult any Medical profession,int8,"1=Mild illness, 2=Facility too far, 3=Facilities are costly, 4=No qualified staff present, 5=Facility was closed/destroyed …",9,0,0,1184,,,,
s3q6,Main reason for medical consultation,int8,"1=General visit or preventive, 2=Sickness, 3=Injury, 4=Sickness and injury, 5=Vaccination …",8,0,0,3689,,,,
s3q7,Difficulty in seeing,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot see at all",4,0,0,14401,,,,
s3q8,Difficulty hearing,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot see at all",4,0,0,14401,,,,
s3q9,Difficulty in moving,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot move at all",4,0,0,14401,,,,
s3q10,Difficulty in remembering or concentrating,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot do  at all",4,0,0,14401,,,,
s3q11,Difficulty communicating,int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot  do  at all",4,0,0,14401,,,,
s3q12,Difficulty in self-care (such as: washing all over or dressing),int8,"1=No, no difficulty, 2=Yes, some difficulty, 3=Yes, a lot of difficulty, 4=Yes, cannot do at all",4,0,0,14401,,,,
s4aq1,Ever been to school or organized learning,int8,"1=Yes, 2=No",2,0,0,16292,,,,
s4aq1a,Main reason of never attended school,int8,"1=Too young, 2=Too expensive, 3=Too far away, 4=Had to work (Home or Job), 5=Poor school quality …",16,0,0,2568,,,,
s4aq2,Highest class succesfully attended in school,int8,"1=ECD, 2=Nursery, 3=Primary, 4=INGOBOKA /Vocational training, 5=Lower secondary …",7,0,0,13724,,,,
s4aq2a,years of school  complete successfully at that level?,int8,,0,0,0,13336,,,,
s4aq3,Highest diploma/certificate/ degree you have ever obtained,int8,"1=Primary school certificate, 2=Post primary certificate  (CE/FM/TVET I/TVET II), 3=EMA/ENTA, 4=O' level Certificate, 5=A3/D4/D5 …",17,0,0,4520,,,,
s4aq6a,Class attended in 2022/2023,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",15,0,0,11218,,,,
s4aq6b,Class attended in 2023/2024,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",15,0,0,12433,,,,
s4aq6c,Class attended in 2024/2025,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",14,0,0,1215,,,,
s4aq6d,Cause of repeat the 2023 class in 2024,int8,"1=Failed year examinations, 2=Sickness, 3=Financial Problems, 4=Family Problems, 5=Other, specify",5,0,0,982,,,,
s4aq7,Attended school in the last 12 months,int8,"1=Yes, 2=No",2,0,0,13724,,,,
s4aq8,Highest level of education attended in last 12 months,int8,"1=ECD, 2=Nursery, 3=Primary, 4=INGOBOKA /Vocational training, 5=Lower secondary …",7,0,0,6266,,,,
s4aq8a,Highest class attended in last 12 months,int8,"1=P1, 2=P2, 3=P3, 4=P4, 5=P5 …",12,0,0,5002,,,,
s4aq8b,Boarding School,int8,"1=Yes, 2=No",2,0,0,1233,,,,
s4aq9,Age when studying in the Reported class,int8,,0,0,0,5002,,,,
s4aq10,Reason for delaying start the school?,int8,"1=Too young to start school, 2=Drop out and come back to school, 3=Repetition, 4=Sickness/ Own health/disability, 5=Family member illness/disability …",12,0,0,3179,,,,
s4aq11,Type of school,int8,"1=Public, 2=Private, 3=Government subsidized",3,0,0,6266,,,,
s4aq14a,Registration and school fees,int32,0=Zero,1,0,0,5958,,,,
s4aq14b,Parent contributions,int32,0=Zero,1,0,0,5958,,,,
s4aq14c,School uniforms,int32,0=Zero,1,0,0,5958,,,,
s4aq14d,Books and school supplies,int32,0=Zero,1,0,0,5958,,,,
s4aq14e,Transport to and from school,int32,0=Zero,1,0,0,5958,,,,
s4aq14f,Room and board (or board only),int32,0=Zero,1,0,0,5958,,,,
s4aq14g,Other schooling expenditures,int32,0=Zero,1,0,0,5958,,,,
s4aq14h,Total education expenses (non-distributed option),double,0=Zero,1,0,0,308,,,,
s4aq20,Reason for leaving school,int8,"1=School Cost, 2=Work, 3=Marriage, 4=Orphaned/Death of parent(s), 5=Excluded …",20,0,0,3051,,,,
s4bq1,attended any vocational training,int8,"1=Yes, in a formal establishment, 2=Yes, in an informal establishment, 3=I did not attend any",3,0,0,12305,,,,
s4bq2,"Expense of this training including fees, expenses and accommodation",int32,0=Zero,1,0,0,265,,,,
s4bq3,Have you attended a literacy course?,int8,"1=Yes, 2=No",2,0,0,1240,,,,
s4bq4,Able to read a simple note,int8,"1=Yes, 2=No",2,0,0,12305,,,,
s4bq5,Can read proposed a sentence,int8,"1=Can not read at all, 2=Can only read a part of the sentence, 3=Can read a whole sentence, 4=His/her language is not in the proposed languages, 5=Can not read due to disability …",6,0,0,9570,,,,
s4bq6,Able to write a simple note,int8,"1=Yes, 2=No",2,0,0,9570,,,,
s4bq7,Able to do a written calculation,int8,"1=Yes, 2=No",2,0,0,12305,,,,
s4bq8,Have a mobile telephone,int8,"1=Yes, 2=No",2,0,0,12305,,,,
s4bq9,Phone functionalities. Owned by ...,int8,"1=Yes, radio only, 2=Yes, internet only, 3=Yes, radio and internet, 4=None",4,0,0,5588,,,,
s4bq10,type of phone do you own?,int8,"1=Basic phone, 2=Smart phone, 3=Both type",3,0,0,5588,,,,
s4bq11,reasons for not having a smartphone,int8,"1=No need, 2=Too expensive, 3=Don?t know how to use it",3,0,0,4396,,,,
s4bq12,Why does not have a mobile telephone,int8,"1=No mobile coverage, 2=Can?t afford it, 3=Don?t know how to use it, 4=Stolen, 5=Broken …",7,0,0,6717,,,,
s4bq13a,Own a computer,int8,"1=Yes, 2=No",2,0,0,12305,,,,
s4bq13b,Computer literacy,int8,"1=Yes, 2=No, 3=Not literate",3,0,0,12305,,,,
s4bq13c,How often did use a computer in the last three months?,int8,"1=Never, 2=Every day/Almost every day, 3=At least once a week, 4=At least once a month (Not every week), 5=At least once in three Month (Not every month)",5,0,0,667,,,,
s4bq14a,Copying or moving a file or a folder,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14b,Using copy and paste tools to duplicate or move information,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14c,Sending e-mails with attached files,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14d,Using basic arithmetic formula in a spreadsheet,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14e,Connecting and installing new devices,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14f,"Finding, downloading, installing and configuring software",int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14g,Creating electronic presentations with presentation software,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14h,Transferring files between a computer and other devices,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq14i,Writing a computer program using a specialized programming language,int8,"1=Yes, 2=No",2,0,0,380,,,,
s4bq15,Used of internet in the last 3 months,int8,"1=Yes, 2=No",2,0,0,11060,,,,
s4bq16,Reason for not using internet in the last three months?,int8,"1=No interested, 2=Too expensive, 3=No time/too busy, 4=I don?t know internet, 5=Does not have internet connection …",6,0,0,9759,,,,
s4bq17,How often did use the internet in the last three months?,int8,"1=At least once a day, 2=At least once a week, 3=At least once a month, 4=At least once in three months",4,0,0,1301,,,,
s4bq18,Use of the internet in the last three months for finding information about goods,int8,"1=Yes, 2=No",2,0,0,1301,,,,
s4bq19,Use of internet in the last three months for reading or downloading online news/,int8,"1=Yes, 2=No",2,0,0,1301,,,,
s4bq20,Use of the internet in the last three months for obtaining information from webs,int8,"1=Yes, 2=No",2,0,0,1301,,,,
s4bq21,Use of the internet in the last three months for seeking health information,int8,"1=Yes, 2=No",2,0,0,1301,,,,
s4bq22,Use of internet on social media in the last 3 months,int8,"1=Yes, 2=No, 3=Don't know",3,0,0,1301,,,,
s4bq23,able to apply any of the following digital skills,string,,0,73665,48726,16292,,,,
s4bq23a,Use only USSD code  to access E-services or information,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23b,Use application based system  to access E-services or information,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23c,Use mobile financial services(MOMO/AIRTEL MONEY/MOCASH/PUSH AND PULL),int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23d," Use any social media (whatsapp or facebook, or instagram or youtube or twitter",int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23e,Access information through web browser,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23f,Access IREMBO services,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23g,Use any E-commerce plaforms,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq23h,Access E-learning platforms,int8,"1=Yes, 2=No",2,0,0,1253,,,,
s4bq25,Use the internet from  in the last 3 months,int8,"1=Home, 2=Workplace, 3=Place of education, 4=Other person?s home person?s home, 5=Community internet access facility …",8,0,0,1253,,,,
s4bq26,Type of device used in accessing social media in the last three months,int8,"1=Mudasobwa(Desktop/Laptop), 2=Simatifone(Smart Phone), 3=Ayipadi/tabureti(iPad/Tablet, 4=Other (Specify)",4,0,0,1253,,,,
s6aq2,Worked on own farm no payment,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq3,products obtained from this agricultural  activity for,int8,"1=Only for sale/barter, 2=Mainly for sale/barter, 3=Mainly for family use, 4=Only for family use",4,0,0,6531,,,,
s6aq4,Carry out any agricultural activity,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq5,Worked for salary or wages in non-farm sector,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq6,Run a non-farm business for cash or profit,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq7,Worked in a non-fam business,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq8,work as an unpaid trainee worker or as a volunteer worker in any economic activi,int8,"1=Yes, 2=No",2,0,0,14019,,,,
s6aq9,"any economic activity (job, business or agriculture) from which he/she was tempo",int8,"1=Yes, 2=No",2,0,0,5793,,,,
s6aq10,Main reason not working over the last 7 days,int8,"1=Sick leave due to own illness or injury, 2=Public holidays, vacation or annual leave, 3=Maternity or paternity leave as specified by legislation, 4=Educational leave, 5=Parental leave/ Care for others and other personal absences …",10,0,0,208,,,,
s6aq11,Receiving an income from his/her economic activity during absence?,int8,"1=Yes, 2=No",2,0,0,108,,,,
s6aq12,to work for a period less than 3 months?,int8,"1=Yes, 2=No, 9=Do not know",3,0,0,81,,,,
s6bq1,Hours usually work in the all economic activities over a week,int16,,0,0,0,8417,,,,
s6bq2,Hours  actually work in all economic activities last 7 days,int16,,0,0,0,8417,,,,
s6bq3a,ISCO code description from table,string,,0,73665,48726,16292,,,,
s6bq5,What is [NAME]?s institutional sector of the main economic activity?,int8,"1=Public institution/enterprise, 2=Mixed public and private enterprise, 3=Private in non-agriculture activities, 4=Private in agriculture activities, 5=VUP …",9,0,0,8417,,,,
s6bq6,perform this main economic activity overnight from 6pm to 6 am?,int8,"1=Yes, 6-7h pm., 2=Yes, 7-8h pm, 3=Yes, 8pm-6am, 4=No",4,0,0,682,,,,
s6bq7,What is [NAME]?s status in economic activity,int8,"1=Employee, 2=Paid apprentice/Internee, 3=Employer (with regular employees), 4=Own account worker (without regular employees), 5=Member of cooperative …",8,0,0,8417,,,,
s6bq8,nature of ???s? economic activity contract?,int8,"1=Permanent worker, 2=Fixed-term contract, 3=Casual worker, 4=Seasonal worker, 5=Daily worker …",6,0,0,2276,,,,
s6bq9a,usually earn in this main job (Amount),int32,,0,0,0,3121,,,,
s6bq9b,usually earn in this main job (Unit),int8,"1=HOUR, 2=DAY, 3=WEEK, 4=FORTNIGHT...4, 5=MONTH. …",7,0,0,3121,,,,
s6cq2,Number of hours spend fetching water over the last 7 days,int8,,0,0,0,3613,,,,
s6cq3,"Over the last 7 days,   forage for firewood for the household",int8,"1=Yes, 2=No",2,0,0,5085,,,,
s6cq4,How many hours    spend foraging for wood over the last 7 days,int8,,0,0,0,1899,,,,
s6cq5,"Over the last 7 days, searching for  fodder or grazing for the household?s anima",int8,"1=Yes, 2=No",2,0,0,5085,,,,
s6cq6,How many hours spend  caring for or searching for fodder over the last 7 days?,int8,,0,0,0,1940,,,,
s6cq7,"Over the last 7 days, did go to the market for the household for shopping?",int8,"1=Yes, 2=No",2,0,0,5085,,,,
s6cq8,How many hours did spend going to market for shopping the last 7 days (to and fr,int8,,0,0,0,524,,,,
s6cq9,"Over the last 7 days, did cook for the household?",int8,"1=Yes, 2=No",2,0,0,5085,,,,
s6cq10,How many hours did spend cooking over the last 7 days?,int8,,0,0,0,1980,,,,
s6cq11,"Over the last 7 days, did spend any time on other household chores such as laund",int8,"1=Yes, 2=No",2,0,0,5085,,,,
s6cq12,How many hours did spend on other household chores over the last 7 days?,int8,,0,0,0,2549,,,,
