variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s4q3_2,4.3 What are main financial institution/s of bank holders(instutition1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,817,0,,,,
s4q3_3,4.3 What are main financial institution/s of bank holders(instutition1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Other(specify)",4,0,69,0,,,,
s4q3_4,4.3 What are main financial institution/s of bank holders(instutition1)?,string,,0,16057,10666,5224,,,,
s4q4,Is there any household member belonging to tontine/solidarity fund?,int8,"1=Yes, 2=No",2,0,10666,0,,s4q4_v2 (2017),,
s4q5,4.5 Did any household member have savings during last 12 months?,int8,"1=Yes, 2=No",2,0,10666,0,,s4q5_v2 (2017),,
s4q6_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,7269,0,,,,
s4q6_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2791,0,,,,
s4q6_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,414,0,,,,
s4q6_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,174,0,,,,
s4q6_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,75,0,,,,
s4q6_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,29,0,,,,
s4q6_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,12,0,,,,
s4q6_8,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,5,0,,,,
s4q6_9,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,2,0,,,,
s4q7_1,What main financial institution/s in which savings were made(1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,7269,0,,,,
s4q7_2,What main financial institution/s in which savings were made(2)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,1359,0,,,,
s4q7_3,What main financial institution/s in which savings were made(3)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,201,0,,,,
s4q7_4,What main financial institution/s in which savings were made(4)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=Tontine/Solidarity fund, 5=Other(specify)",5,0,20,0,,,,
s4q8,4.8 Did any member of your household request any loan during last 12 months?,int8,"1=Yes, 2=No",2,0,10666,0,,s4q8_v2 (2017),,
s4q9_1,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,4045,0,,,,
s4q9_2,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,966,0,,,,
s4q9_3,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,88,0,,,,
s4q9_4,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,30,0,,,,
s4q9_5,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,10,0,,,,
s4q9_6,4.2 member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,5,0,,,,
s4q9_7,4.2 HH member codes of bank account holders in your household,int8,"1=Head, 2=Spouse (Wife/husband), 3=Child(son/daughter), 4=Adopted/Step/Forster child, 5=Brother/sister …",13,0,1,0,,,,
s4q10_1,4.10 From where the loan was requested?(1)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,4045,0,,,,
s4q10_2,4.10 From where the loan was requested?(2)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,407,0,,,,
s4q10_3,4.10 From where the loan was requested?(3)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,33,0,,,,
s4q10_4,4.10 From where the loan was requested?(4)?,int8,"1=Commercial bank, 2=Credit&saving cooperative, 3=Microfinance, 4=VUP finacial services, 5=Ubudehe loan …",8,0,3,0,,,,
s4q11,4.11 Among loans requested were there some of them rejected?,int8,"1=Yes all, 2=Yes some, 3=No",3,0,4045,0,,s4q11_v2 (2017),,
s4q12,4.12 If the loan was rejected what was the main reason?,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Poor financial status of financial institution",5,0,333,0,,s4q12_v2 (2017),,
s4q13,What was the main use of the rejected loan?,int8,"1=Business, 2=Agriculture project, 3=House construction/repair, 4=Household expenses, 5=Education …",6,0,333,0,,s4q13_v2 (2017),,
s10aq1,Household member tried to obtain a loan,int8,"1=Yes, 2=No",2,0,0,5224,,,,
s10aq2,Main reason why loan was denied,int8,"1=Insuffivient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,0,0,295,,,,
s10aq3,Household members owe money,int8,"1=Yes, 2=No",2,0,0,5224,,,,
s10aq4,Loan Id Number,int8,,0,0,0,4164,,,,
s10q6,source of loan,int8,"1=Employer, 2=Commercial Bank, 3=Relative/friend, 4=Savings & Credit Cooperatives (SACCO), 5=Tontine/Solidarity fund …",7,0,0,4150,,,,
s10aq6_other,Specify Other origin  of the loan,string,,0,16057,10666,5224,,,,
s10aq7,Main purpose of loan,int8,"1=Agricultural equipment, 2=Agricultural inputs, 3=Business expansion, 4=Home improvement, 5=Education …",11,0,0,4164,,,,
s10aq7_o,Main purpose of loan,string,,0,16057,10666,5224,,,,
loan,does any household member requested any loan?,int8,"1=Yes, 2=No",2,0,0,5224,,,,
