variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s0q7,0.7 Household number,string,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_7_3,,2017: 0.7 Names of Household head,
s0q8,0.8 Contact of Household head,string,,0,16057,10666,3724,2017: module s0_general_information,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,16057,10666,0,2017: module s0_general_information; 2020: module section_7_3,,2017: 0.9 Is the respondent the Household head?,"{""1"": [""Single"", ""Yes""], ""2"": [""Married with certificate"", ""No""]}"
s0q10_v2,[2017..2017 version] 0.10 Names of the respondent if not the Household head,string,,0,16057,10666,3724,,s0q10 (2020),,
s0q11,0.11 Contact of Household Head,string,,0,16057,10666,3724,2017: module s0_general_information; 2020: module section_0,,2017: 0.11 Contact of the respondent if not the Househol,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No, 3=Brother/Sister, 4=Parent, 5=Employee …",6,5825,10666,0,2017: module s0_general_information; 2020: module section_7_3,,2017: 0.12 Relationship to the Household head,"{""1"": [""Spouse"", ""Yes""], ""2"": [""No"", ""Son/daughter""]}"
s0q13,0. 13 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Brother & sister, 4=Parent, 5=Housekeeper …",11,16057,0,1174,2017: module s0_general_information; 2024: module section0,,2017: 0.13 What is the agricultural activity of the Hous,"{""1"": [""Cropping only"", ""Spouse""], ""2"": [""Child"", ""Livestock only""], ""3"": [""Aquaculture only"", ""Brother & sister""], ""4"": [""Forestry only"", ""Parent""], ""5"": ["" Nursery only"", ""Housekeeper""], ""6"": [""Apiculture"", ""Manager""], ""7"": [""Both cropping and livestock"", ""Other relationship""]}"
s0q14_v2,[2017..2017 version] 0.14 Is any member of the Household belonging to any agr,int8,"1=Yes, 2=No",2,16057,0,0,,s0q14 (2024),,
s0q15_v2,[2017..2017 version] 0.15 Which type of Agriculture cooperative or associatio,int8,"1=Cropping cooperative/association, 2=Livestock cooperative/association, 3=Both cropping and livestock cooperative/association, 4=Water user association, 5=Other type …",7,1998,0,0,,"s0q15 (2020, 2024)",,
s0q16_v2,[2017..2017 version] 0.16 Total Number of Household members,int8,,0,16057,0,0,,s0q16 (2024),,
s0q17_v2,[2017..2017 version] 0.17 Date of interview,int32,,0,10669,0,0,,s0q17 (2020),,
s0q18_v2,[2017..2017 version] 0.18 Enumerator code,string,,0,16057,10666,3724,,s0q18 (2020),,
s0q19,0.19 Team Leader code,string,,0,16057,10666,3724,2017: module s0_general_information,,,
s0q20,0.20 Regional supervisor name,string,,0,16057,10666,3724,2017: module s0_general_information,,,
s0q21,0.21 Control results,int8,"1=No problem, 2=Questionnaire corrected, 3=Questionnaire redone",3,0,0,0,2017: module s0_general_information,,,
s2q1,2.1 Did any member of your household own land used for dwelling during Season A,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q2,2.2 Did any member of your household own land used for cropping during Season A,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q3,2.3 Did any member of your household own land used for grazing during Season A 2,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q4,2.4 Did any     member of your household rented land used for cropping for fixed,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q5,2.5 Did any member of your household rented land used for cropping and paid rent,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q6,"2.6 Did any member of your household rented land used for cropping, for free dur",int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q7_1,2.7.1 What are major 3 crops did your household grow during Season A 2017-Crop 1,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,14931,0,0,2017: module s6_agricultural_practices,,,
s2q7_2,2.7.2 What are major 3 crops did your household grow during Season A 2017-Crop 2,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,12758,0,0,2017: module s6_agricultural_practices,,,
s2q7_3,2.7.3 What are major 3 crops did your household grow during Season A 2017-Crop 3,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,8355,0,0,2017: module s6_agricultural_practices,,,
s2q8_1,2.8.1 What are 3 major crops  would your household have preferred to grow  durin,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,14931,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q8_2,2.8.2 What are 3 major crops  would your household have preferred to grow  durin,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,13037,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q8_3,2.8.3 What are 3 major crops  would your household have preferred to grow  durin,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,9513,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q9,2.9 Did any member of your household own land used for dwelling during Season B,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q10,2.10 Did any member of your household own land used for cropping during Season B,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q11,2.11 Did any member of your household own land used for grazing during Season B,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q12,2.12 Did any member of your household rented land used for cropping for fixed am,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q13,2.13 Did any member of your household rented land used for cropping and paid ren,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q14_v2,[2017..2017 version] 2.14 Did any member of your household rented land used f,int8,"1=Yes, 2=No",2,16057,0,0,,s2q14 (2020),,
s2q15_1_v2,[2017..2017 version] 2.15.1 What are major 3 crops did your household grow du,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,15121,0,0,,s2q15_1 (2020),,
s2q15_2_v2,[2017..2017 version] 2.15. 2 What are major 3 crops did your household grow d,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,12195,0,0,,s2q15_2 (2020),,
s2q15_3_v2,[2017..2017 version] 2.15.3 What are major 3 crops did your household grow du,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,7214,0,0,,s2q15_3 (2020),,
s2q16_1,2.16.1 What are 3 major crops  would your household have preferred to grow  duri,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,14829,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q16_2,2.16.2 What are 3 major crops  would your household have preferred to grow  duri,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,12366,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s2q16_3,2.16.3 What are 3 major crops  would your household have preferred to grow  duri,int16,"97=Pasture, 101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat …",88,8408,0,0,2017: module s2_land_tenure_and_crops_planted,,,
s4q1,4.1 Does any household member have any bank account?,int8,"1=Yes, 2=No",2,16057,10666,0,2017: module s4_funding_during_2016; 2020: module section_4,,2017: 4.1 Does the member of your household have an acco,
s4q2,"4.2 During 2016-2017, did any member of the household request a loan?",int8,"1=Yes, 2=No",2,16057,0,0,2017: module s4_funding_during_2016,,,
s4q3,4.3 From which type of financial Institution was the loan 1 requested?,int8,"1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO, 5=VUP financial services loan …",9,747,0,0,2017: module s4_funding_during_2016,,,
s4q4_v2,[2017..2017 version] 4.4 Was the requested loan 1 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,747,0,0,,s4q4 (2020),,
s4q5_v2,[2017..2017 version] 4.5 If the agricultural loan 1 was requested but not app,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,25,0,0,,s4q5 (2020),,
s4q6,4.6 From which type of financial Institution was the loan 2 requested?,int8,"0=NA, 1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO …",10,38,0,0,2017: module s4_funding_during_2016,,,
s4q7,4.7 Was the requested loan 2 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,38,0,0,2017: module s4_funding_during_2016,,,
s4q8_v2,[2017..2017 version] 4.8 If the agricultural loan 2 was requested but not app,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,3,0,0,,s4q8 (2020),,
s4q9,4.9 From which type of financial Institution was the loan 3 requested?,int8,"0=NA, 1=Commercial Bank, 2=Credit & Saving Cooperative, 3=Microfinance, 4=SACCO …",10,4,0,0,2017: module s4_funding_during_2016,,,
s4q10,4.10 Was the requested loan 3 approved?,int8,"1=Yes from 75% and above, 2=Yes but less than 75%, 3=Rejected",3,4,0,0,2017: module s4_funding_during_2016,,,
s4q11_v2,[2017..2017 version] 4.11 If the agricultural loan 3 was requested but not ap,int8,"1=Insufficient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,4,0,0,,s4q11 (2020),,
s4q12_v2,[2017..2017 version] 4.12 Have you received any fund for grant for agricultur,int8,"1=Yes, 2=No",2,16057,0,0,,s4q12 (2020),,
s4q13_v2,[2017..2017 version] 4.13 What is the origin of that grant?,int8,"1=Government, 2=NGOs, 3=Friends and relatives, 4=Other",4,787,0,0,,s4q13 (2020),,
s5q1_1,5.1.1 Did any member of your household use organic fertilizer at least in one of,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q1_2,5.1.2.Quantity of organic fertilizer used  during agricultural Season A 2017 (Kg,int32,,0,11080,0,0,2017: module s5_agricultural_inputs,,,
s5q1_3,5.1.3 Source of organic fertilizer Season A-Source 1,int8,,0,11080,0,0,2017: module s5_agricultural_inputs,,,
s5q1_4,5.1.4 Quantity purchased during agricultural Season A 2017 (Kg),double,,0,2216,0,0,2017: module s5_agricultural_inputs,,,
s5q1_5,5.1.5 Amount paid for purchasing the organic fertilizer during agricultural Seas,int32,,0,2213,0,0,2017: module s5_agricultural_inputs,,,
s5q1_6_1,5.1.6 Method used for preparing manure Season A-Methode 1,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,8515,0,0,2017: module s5_agricultural_inputs,,,
s5q1_6_2,5.1.6 Method used for preparing manure Season A-Methode 2,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,494,0,0,2017: module s5_agricultural_inputs,,,
s5q1_6_3,5.1.6 Method used for preparing manure Season A-Methode 3,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,494,0,0,2017: module s5_agricultural_inputs,,,
s5q1_7,5.1.7 Quantity of used organic fertilizer that any member of the household recei,int16,,0,897,0,0,2017: module s5_agricultural_inputs,,,
s5q1_8,5.1.8. Did any member of your household use lime or gypsum at least in one plot,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q1_9,5.1.9 Did any member of your household use organic fertilizer at least in one of,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q1_10,5.1.10.Quantity of organic fertilizer used  during agricultural Season B 2017 (K,double,,0,8336,0,0,2017: module s5_agricultural_inputs,,,
s5q1_11,5.1.11 Source of organic fertilizer Season B,int8,"1=Own prepared, 2=Bought, 3=One part bought and the other own prepared, 4=Gift, 5=One part bought the other own prepared  and the other was a gift",5,8336,0,0,2017: module s5_agricultural_inputs,,,
s5q1_12,5.1.12 Quantity purchased during agricultural Season B 2017 (Kg),int32,,0,1184,0,0,2017: module s5_agricultural_inputs,,,
s5q1_13,5.1.13 Amount paid for purchasing the organic fertilizer during agricultural Sea,int32,,0,1184,0,0,2017: module s5_agricultural_inputs,,,
s5q1_14_1,5.1.14 Method used for preparing manure Season B-Methode 1,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,6827,0,0,2017: module s5_agricultural_inputs,,,
s5q1_14_2,5.1.14 Method used for preparing manure Season B-Methode 2,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,365,0,0,2017: module s5_agricultural_inputs,,,
s5q1_14_3,5.1.14 Method used for preparing manure Season B-Methode 3,int8,"1=Compost ditch, 2=Ground compost, 3=Manure heap, 4=Prepared in other way",4,365,0,0,2017: module s5_agricultural_inputs,,,
s5q1_15,5.1.15 Is there any quantity of used organic fertilizer that any member of the h,string,,0,16057,10666,3724,2017: module s5_agricultural_inputs,,,
s5q1_16,5.1.16. Did any member of your household use lime or gypsum at least in one plot,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q2_1,5.2.1 Did any member of your household use inorganic fertilizer at least in one,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q2_2,5.2.2 What was the type of inorganic fertilizer used? Type 1,int8,"1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea, 5= liquid urea …",9,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_3,5.2.3 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_4,5.2.4 Quantity of used fertilizer_Type 1,double,,0,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_5,5.2.5 Quantity of purchased fertilizer_Type 1,double,,0,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_6,5.2.6 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,4289,0,0,2017: module s5_agricultural_inputs,,,
s5q2_7,5.2.7 Source of the used inorganic fertilizer-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_8,5.2.8 What was the type of inorganic fertilizer used? Type 2,int8,"0=Not Applicable, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,4440,0,0,2017: module s5_agricultural_inputs,,,
s5q2_9,5.2.9 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,2605,0,0,2017: module s5_agricultural_inputs,,,
s5q2_10,5.2.10 Quantity of used fertilizer_Type 2,double,,0,2604,0,0,2017: module s5_agricultural_inputs,,,
s5q2_11,5.2.11 Quantity of purchased fertilizer_Type 2,double,,0,2604,0,0,2017: module s5_agricultural_inputs,,,
s5q2_12,5.2.12 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,2543,0,0,2017: module s5_agricultural_inputs,,,
s5q2_13,5.2.13 Source of the used inorganic fertilizer-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2604,0,0,2017: module s5_agricultural_inputs,,,
s5q2_14,5.2.14 What was the type of inorganic fertilizer used? Type 3,int8,"0=Not Applicable, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,2605,0,0,2017: module s5_agricultural_inputs,,,
s5q2_15,5.2.15 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,296,0,0,2017: module s5_agricultural_inputs,,,
s5q2_16,5.2.16 Quantity of used fertilizer_Type 3,double,,0,296,0,0,2017: module s5_agricultural_inputs,,,
s5q2_17,5.2.17 Quantity of purchased fertilizer_Type 3,double,,0,296,0,0,2017: module s5_agricultural_inputs,,,
s5q2_18,5.2.18 Price of inorganic fertilizer_Type 3(RWF/Kg),int16,,0,287,0,0,2017: module s5_agricultural_inputs,,,
s5q2_19,5.2.19 Source of the used inorganic fertilizer-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,296,0,0,2017: module s5_agricultural_inputs,,,
s5q2_20,5.2.20 Did any member of your household use inorganic fertilizer at least in one,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q2_21,5.2.21 What was the type of inorganic fertilizer used? Type 1,int8,"1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea, 5= liquid urea …",9,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_22,5.2.22 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_23,5.2.23 Quantity of used fertilizer_Type 1,double,,0,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_24,5.2.24 Quantity of purchased fertilizer_Type 1,double,,0,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_25,5.2.25 Price of inorganic fertilizer_Type 1(RWF/Kg),int16,,0,3272,0,0,2017: module s5_agricultural_inputs,,,
s5q2_26,5.2.26 Source of the used inorganic fertilizer-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_27,5.2.27 What was the type of inorganic fertilizer used? Type 2,int8,"0=NA, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,3360,0,0,2017: module s5_agricultural_inputs,,,
s5q2_28,5.2.28 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,1489,0,0,2017: module s5_agricultural_inputs,,,
s5q2_29,5.2.29 Quantity of used fertilizer_Type 2,double,,0,1488,0,0,2017: module s5_agricultural_inputs,,,
s5q2_30,5.2.30 Quantity of purchased fertilizer_Type 2,double,,0,1488,0,0,2017: module s5_agricultural_inputs,,,
s5q2_31,5.2.31 Price of inorganic fertilizer_Type 2(RWF/Kg),double,,0,1460,0,0,2017: module s5_agricultural_inputs,,,
s5q2_32,5.2.32 Source of the used inorganic fertilizer-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,1488,0,0,2017: module s5_agricultural_inputs,,,
s5q2_33,5.2.33 What was the type of inorganic fertilizer used? Type 3,int8,"0=NA, 1= NPK 17-17-17, 2= NPK 20-10-10, 3= NPK 25-5-5, 4= Urea …",10,1488,0,0,2017: module s5_agricultural_inputs,,,
s5q2_34,5.2.34 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,160,0,0,2017: module s5_agricultural_inputs,,,
s5q2_35,5.2.35 Quantity of used fertilizer_Type 3,double,,0,160,0,0,2017: module s5_agricultural_inputs,,,
s5q2_36,5.2.36 Quantity of purchased fertilizer_Type 3,double,,0,160,0,0,2017: module s5_agricultural_inputs,,,
s5q2_37,5.2.37 Price of inorganic fertilizer_Type 3(RWF/Kg),int16,,0,160,0,0,2017: module s5_agricultural_inputs,,,
s5q2_38,5.2.38 Source of the used inorganic fertilizer-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,160,0,0,2017: module s5_agricultural_inputs,,,
s5q3_1,5.3.1 Did any member of your household applied pesticide at least in one of the,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q3_2,5.3.2 Pesticide used_Type 1,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",9,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_3,5.3.3 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_4,5.3.4 Used Quantity of  Pesticide used_Type 1,double,,0,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_5,5.3.5 Purchased Quantity(Kg),double,,0,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_6,5.3.6 Price of purchased Pesticide_Type 1(RWF/Kg),int32,,0,2391,0,0,2017: module s5_agricultural_inputs,,,
s5q3_7,5.3.7 Source of pesticide used-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_8,5.3.8 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,2579,0,0,2017: module s5_agricultural_inputs,,,
s5q3_9,5.3.9 Pesticide used_Type 2,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,2586,0,0,2017: module s5_agricultural_inputs,,,
s5q3_10,5.3.10 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_11,5.3.11 Used Quantity of  Pesticide used_Type 2,double,,0,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_12,5.3.12 Purchased Quantity(Kg),double,,0,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_13,5.3.13 Price of purchased Pesticide_Type 2 (RWF/Kg),int32,,0,929,0,0,2017: module s5_agricultural_inputs,,,
s5q3_14,5.3.14 Source of pesticide used-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_15,5.3.15 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_16,5.3.16 Pesticide used_Type 3,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,946,0,0,2017: module s5_agricultural_inputs,,,
s5q3_17,5.3.17 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,297,0,0,2017: module s5_agricultural_inputs,,,
s5q3_18,5.3.18 Used Quantity of  Pesticide used_Type 3,double,,0,297,0,0,2017: module s5_agricultural_inputs,,,
s5q3_19,5.3.19 Purchased Quantity(Kg),double,,0,297,0,0,2017: module s5_agricultural_inputs,,,
s5q3_20,5.3.20 Price of purchased Pesticide_Type 3 (RWF/Kg),int16,,0,295,0,0,2017: module s5_agricultural_inputs,,,
s5q3_21,5.3.21 Source of pesticide used-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,297,0,0,2017: module s5_agricultural_inputs,,,
s5q3_22,5.3.22 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,297,0,0,2017: module s5_agricultural_inputs,,,
s5q3_23,5.3.23 Did any member of your household applied pesticide at least in one of the,int8,"1=Yes, 2=No",2,16057,0,0,2017: module s5_agricultural_inputs,,,
s5q3_24,5.3.24 Pesticide used_Type 1,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",9,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_25,5.3.25 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_26,5.3.26 Used Quantity of  Pesticide used_Type 1,double,,0,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_27,5.3.27 Purchased Quantity(Kg),double,,0,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_28,5.3.28 Price of purchased Pesticide_Type 1(RWF/Kg),int32,,0,2522,0,0,2017: module s5_agricultural_inputs,,,
s5q3_29,5.3.29 Source of pesticide used-Source 1,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_30,5.3.30 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,2767,0,0,2017: module s5_agricultural_inputs,,,
s5q3_31,5.3.31 Pesticide used_Type 2,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,2770,0,0,2017: module s5_agricultural_inputs,,,
s5q3_32,5.3.32 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,987,0,0,2017: module s5_agricultural_inputs,,,
s5q3_33,5.3.33 Used Quantity of  Pesticide used_Type 2,double,,0,987,0,0,2017: module s5_agricultural_inputs,,,
s5q3_34,5.3.34 Purchased Quantity(Kg),double,,0,987,0,0,2017: module s5_agricultural_inputs,,,
s5q3_35,5.3.35 Price of purchased Pesticide_Type 2 (RWF/Kg),double,,0,968,0,0,2017: module s5_agricultural_inputs,,,
s5q3_36,5.3.36 Source of pesticide used-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,986,0,0,2017: module s5_agricultural_inputs,,,
s5q3_37,5.3.37 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,986,0,0,2017: module s5_agricultural_inputs,,,
