variable,label,type,value_labels,n_value_labels,n_2017,n_2020,n_2024,source,versions,label_variants,value_label_conflicts
s9q9_18_1,9.18.1 Number of animals own consumed per week,int8,,0,8014,0,0,,,,
s9q9_18_2,9.18.2 Number of weeks animals were consumed,int8,,0,1211,0,0,,,,
s9q9_19,9.19 Number of animals sold per week,int16,,0,8013,0,0,,,,
s9q9_20,9.20 Sale price per animal,int32,,0,1399,0,0,,,,
s9q9_21,9.21 Number of animals lost per week,int8,,0,8013,0,0,,,,
s9q9_22,9.22 Number of animals used in other ways not mentioned,int16,,0,8013,0,0,,,,
s9q9_23,9.23 Number eggs produced per week,int16,,0,5816,0,0,,,,
s9q9_24,9.24 Number eggs consumed per week,int8,,0,5816,0,0,,,,
s9q9_25,9.25 Number eggs sold  per week,int16,,0,5816,0,0,,,,
s9q9_26,9.26 Unit price per egg sold,int16,,0,1376,0,0,,,,
s9q9_27,9.27 Number eggs damaged per week,int16,,0,5816,0,0,,,,
s9q9_28,9.28 Number eggs in other ways per week,int16,,0,5816,0,0,,,,
s0q7,0.7 Household number,int32,,0,0,23250,0,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,18724,0,,,,
s0q10,0.10 Ubudehe category the household belongs in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,18724,0,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,23250,0,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,7965,0,,,,
s0q16_1,0.16.1 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,23250,0,,,,
s0q16_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,15510,0,,,,
s0q16_3,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,2874,0,,,,
s0q16_4,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,206,0,,,,
s0q17,0.17 Agriculture is the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,18724,0,,,,
s0q18,0.18 The other non-agricultural activity supporting your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,18724,0,,,,
s5q1,5.1 Did your household rear animals during last 12 months?,int8,"1=Yes, 2=No",2,0,23250,0,,,,
s5q2,5.2 Animal reared in last 12 months,int8,"1=Exotic cattle, 2=Cross cattle, 3=Local cattle, 4=Exotic goats, 5=Cross goats …",22,0,20464,0,,,,
s5q2_o,5.2 Other animal reared in last 12 months,string,,0,32611,23250,9947,,,,
s5q3,5.3. Number of animals reared now,int32,,0,0,20464,0,,,,
s5q3_male,Total male animals all ages,int16,,0,0,23249,0,,,,
s5q3_female,Total female animals all ages,int32,,0,0,23250,0,,,,
s5q4_1,5.4.1 Male animal [0-6]months,int16,,0,0,23250,0,,,,
s5q4_2,5.4.2 Female animal [0-6]months,int16,,0,0,23250,0,,,,
s5q4_3,5.4.3 Male animal [7-12]months,int16,,0,0,23250,0,,,,
s5q4_4,5.4.4 Female animal [7-12]months,int16,,0,0,23250,0,,,,
s5q4_5,5.4.5 Male animal [13-24]months,int16,,0,0,19434,0,,,,
s5q4_6,5.4.6 Female animal [13-24]months,int16,,0,0,19450,0,,,,
s5q4_7,5.4.7 Male animal above 24 months,int8,,0,0,19431,0,,,,
s5q4_8,5.4.8 Female animal above 24 months,int16,,0,0,19469,0,,,,
owner,owner,string,,0,32611,23250,9947,,,,
total,,int32,,0,0,23250,0,,,,
s9q1,Did your household rear any domestic animals during last 6 months?,int8,"1=Yes, 2=No",2,0,0,9146,,,,
s9q2,Animal reared in last 6 months,int8,"1=Exotic cattle, 2=Cross cattle, 3=Local cattle, 4=Exotic goats, 5=Cross goats …",23,0,0,8844,,,,
s9q4_male,Total male animals all ages,int16,,0,0,0,9146,,,,
s9q4_female,Total female animals all ages,int32,,0,0,0,9146,,,,
s9q4,Number of animals reared now,int32,,0,0,0,8716,,,,
s9q5_1,Male Animal [0-6]months,int16,,0,0,0,7928,,,,
s9q5_2,Female Animal [0-6]months,int32,,0,0,0,7928,,,,
s9q5_3,Male Animal [7-12]months,int16,,0,0,0,7928,,,,
s9q5_4,Female Animal [7-12]months,int16,,0,0,0,7928,,,,
s9q5_5,Male Animal [13-24]months,int16,,0,0,0,7498,,,,
s9q5_6,Female Animal [13-24]months,int16,,0,0,0,7498,,,,
s9q5_7,Male Animal above 24 months,int8,,0,0,0,7498,,,,
s9q5_8,Female Animal above 24 months,int16,,0,0,0,7498,,,,
s10q2_1,10.2 How many animals born-Male,int16,,0,0,0,8495,,,,
s10q2_2,10.2 How many animals born-Female,int16,,0,0,0,8495,,,,
s10q3_1,"10.3 How many animals bought If male=0 and female=0, skip to 13.5-Male",int32,,0,0,0,8495,,,,
s10q3_2,"10.3 How many animals bought If male=0 and female=0, skip to 13.5-Female",int32,,0,0,0,8495,,,,
s10q4,10.4 Amount paid (Frw),int32,,0,0,0,3221,,,,
s10q5_1,10.5 How many animals received as gift-Male,int16,,0,0,0,8495,,,,
s10q5_2,10.5 How many animals received as gift-Female,int16,,0,0,0,8495,,,,
s10q6_1,"10.6 How many animals Sold to farmers If male=0 and female=0, skip to 13.8-Male",int16,,0,0,0,8495,,,,
s10q6_2,"10.6 How many animals Sold to farmers If male=0 and female=0, skip to 13.8-Femal",int16,,0,0,0,8495,,,,
s10q7,10.7 Amount received (Frw),int32,,0,0,0,1758,,,,
s10q8_1,"10.8 How many animals Sold to consumers (abbatoirs, hotels, resto,etc..) If male",int32,,0,0,0,8494,,,,
s10q8_2,"10.8 How many animals Sold to consumers (abbatoirs, hotels, resto,etc..) If male",int32,,0,0,0,8494,,,,
s10q9,10.9 Total Amount received (Frw),int32,,0,0,0,2022,,,,
s10q10_1,10.10 How many animals slaughtered for own consumption-Male,int16,,0,0,0,8494,,,,
s10q10_2,10.10 How many animals slaughtered for own consumption-Female,int16,,0,0,0,8494,,,,
s10q11_1,10.11 How many animals given as gift-Male,int16,,0,0,0,8493,,,,
s10q11_2,10.11 How many animals given as gift-Female,int16,,0,0,0,8493,,,,
s10q12_1,10.12 How many animals given to others for keeping at a given period-Male,int16,,0,0,0,8493,,,,
s10q12_2,10.12 How many animals given to others for keeping at a given period-Female,int8,,0,0,0,8493,,,,
s10q13_1,10.13 How many animals? dead-Male,int16,,0,0,0,8493,,,,
s10q13_2,10.13 How many animals? dead-Female,int16,,0,0,0,8493,,,,
s10q14_1,10.14 How many animals stolen-Male,int16,,0,0,0,8493,,,,
s10q14_2,10.14 How many animals stolen-Female,int16,,0,0,0,8493,,,,
s12q2, 12.2 Amount spent on rent for land grazing/ kraal/ renting animal shelter,int32,,0,0,0,8034,,,,
s12q3, 12.3 Amount spent on purchasing fodder crop,int32,,0,0,0,4651,,,,
s12q4, 12.4 Amount spent on purchasing feeds/water,int32,,0,0,0,8034,,,,
s12q5, 12.5 Amount spent on purchasing salt and minerals,int32,,0,0,0,5480,,,,
s12q6, 12.6 Amount spent on purchasing artificial insemination,int32,,0,0,0,5480,,,,
s12q7," 12.7 Amount spent on purchasing vaccines, dips, sprays and medicine",int32,,0,0,0,8034,,,,
s12q8, 12.8 Amount spent on paying veterinary services,int32,,0,0,0,8033,,,,
s12q9, 12.9 Amount spent on setting new fences/sheds or repairs of fencing/ sheds,int32,,0,0,0,8033,,,,
s12q10, 12.10 Amount spent on farm maintenance activities,int32,,0,0,0,5479,,,,
s12q11, 12.11 Amount spent on payment of shepherds,int32,,0,0,0,8033,,,,
s12q12, 12.12 Other expenditures in livestock,int32,,0,0,0,8033,,,,
_merge,Matching result from merge,int8,"1=Master only (1), 2=Using only (2), 3=Matched (3), 4=Missing updated (4), 5=Nonmissing conflict (5)",5,0,0,9947,,,,
