variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s10bq1_v2,[EICV4_CS..EICV4_VUP version] Item code,int8,"1=Bench, 2=Chairs sale a manger, 3=Beds, 4=Table sale a manger, 5=Radio (with or without CD player) …",27,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,"s10bq1 (EICV7_CS, EICV7_VUP)",,
s10bq1n,Item name,string,,0,"household (credit, durables, savings)",147637,186300,400624,389313,66420,364350,41100,406458,101817,,,,
s10bq2_v2,[EICV4_CS..EICV4_VUP version] Number of articles owned by HH,int8,"0=None, 99=Missing",2,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,"s10bq2 (EICV7_CS, EICV7_VUP)",,
s10bq3ay,Article 1 purchase year,int16,9999=Missing,1,"household (credit, durables, savings)",0,0,0,27920,3214,0,0,0,0,,,,
s10bq3by,Article 2 purchase year,int16,"0=Not applicable, 9999=Missing",2,"household (credit, durables, savings)",0,0,0,5163,596,0,0,0,0,,,,
s10bq3cy,Article 3 purchase year,int16,"0=Not applicable, 9999=Missing",2,"household (credit, durables, savings)",0,0,0,1614,176,0,0,0,0,,,,
s10bq4a,Article 1 purchase price,int32,"9999999=Missing, 99999999=Missing",2,"household (credit, durables, savings)",0,0,0,20696,2668,0,0,0,0,,,,
s10bq4b,Article 2 purchase price,int32,"99999=Missing, 999999=Missing",2,"household (credit, durables, savings)",0,0,0,5205,598,0,0,0,0,,,,
s10bq4c,Article 3 purchase price,int32,"99999=Missing, 999999=Missing",2,"household (credit, durables, savings)",0,0,0,1640,178,0,0,0,0,,,,
s10bq5a,Article 1 current value,int32,"9999999=Missing, 99999999=Missing",2,"household (credit, durables, savings)",0,0,0,27920,3214,0,0,86479,17925,,,,
s10bq5b,Article 2 current value,int32,"999999=Missing, 999999999=Missing",2,"household (credit, durables, savings)",0,0,0,5163,596,0,0,33507,6509,,,,
s10bq5c,Article 3 current value,int32,"999999=Missing, 999999999=Missing",2,"household (credit, durables, savings)",0,0,0,1614,176,0,0,13123,2147,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household (credit, durables, savings)",0,0,0,389313,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household (credit, durables, savings)",0,0,0,389313,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household (credit, durables, savings)",0,0,0,389313,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,"household (credit, durables, savings)",0,0,0,389313,66420,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household (credit, durables, savings)",0,0,0,0,66420,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,"household (credit, durables, savings)",0,0,0,0,0,364350,0,406458,101817,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s10b2q1,Item code,int8,"5=Radio _with or without CD player_, 6=Mobile telephone, 7=TV set, 8=Satellite dish, 9=Video / DVD  player …",25,"household (credit, durables, savings)",0,0,0,0,0,364350,41050,0,0,,,,
s10b2q2,Number of articles in the household,int8,0=None,1,"household (credit, durables, savings)",0,0,0,0,0,364350,41050,0,0,,,,
s10bq5ay,Article 1 purchase year,int16,,0,"household (credit, durables, savings)",0,0,0,0,0,28209,2729,0,0,,,,
s10bq5am,Article 1 purchase month,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,28209,2728,0,0,,,,
s10bq5by,Article 2 purchase year,int16,0=Not applicable,1,"household (credit, durables, savings)",0,0,0,0,0,5995,508,0,0,,,,
s10bq5bm,Article 2 purchase month,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,5700,490,0,0,,,,
s10bq5cy,Article 3 purchase year,int16,0=Not applicable,1,"household (credit, durables, savings)",0,0,0,0,0,1887,152,0,0,,,,
s10bq5cm,Article 3 purchase month,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,1829,151,0,0,,,,
s10bq6b,Article 2 purchase price,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,1995,197,0,0,,,,
s10bq6c,Article 3 purchase price,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,669,68,0,0,,,,
s10bq7a,Article 1 current value,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,28208,2728,0,0,,,,
s10bq7b,Article 2 current value,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,5700,490,0,0,,,,
s10bq7c,Article 3 current value,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,1829,151,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,0,41100,0,0,,,,
s10bq6a,Article 1 purchase price,int32,,0,"household (credit, durables, savings)",0,0,0,0,0,0,805,0,0,,,,
s0q18m,Month of interview,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,0,41100,0,0,,,,
s0q18y,Year of interview,int16,,0,"household (credit, durables, savings)",0,0,0,0,0,0,41100,0,0,,,,
s10bq0,Item code,int8,"1=Living room suite (table+chairs), 2=Dining Table (table+chairs), 3=Beds, 4=Matresses, 5=Table …",27,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,,,
s10bq1,Coicop,int8,"1=05.1.1.1.1.01, 2=05.1.1.1.3.04, 3=05.1.1.1.3.05, 4=05.1.1.1.1.07, 5=05.1.1.1.1.10 …",28,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,"s10bq1_v2 (EICV4_CS, EICV4_VUP)",,
s10bq2,How many does your household own?,int8,,0,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,"s10bq2_v2 (EICV4_CS, EICV4_VUP)",,
s10bq3,Status when purchased,int8,"1=New, 2=Second Hand, 3=Don't know",3,"household (credit, durables, savings)",0,0,0,0,0,0,0,86479,17925,,,,
s10bq4,Article 1 purchase year,int16,,0,"household (credit, durables, savings)",0,0,0,0,0,0,0,86479,17925,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,,EICV7_CS: Extreme Poverty,
pov_jan_v2,[EICV7_CS..EICV7_CS version] Poverty Rate,int8,"0=Non Poor, 100=Poor",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,0,,pov_jan (EICV7_VUP),,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,406458,101817,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,"{""1"": [""Poor"", ""Q1""], ""2"": [""Poor/mid"", ""Q2""], ""3"": [""Mid"", ""Q3""], ""4"": [""Mid/upper"", ""Q4""], ""5"": [""Q5"", ""Upper""]}"
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,"household (credit, durables, savings)",0,0,0,0,0,0,0,0,101817,,,,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,"household (credit, durables, savings)",0,0,0,0,0,0,0,0,101817,,pov_jan_v2 (EICV7_CS),,
