variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8aq26_v2,[EICV1..EICV1 version] Were you at any time unable to get this during last 12 m,int8,"1=Yes, 2=No",2,2311,0,0,0,0,0,0,,s8aq26 (EICV2),,
s8aq27,Do you use a well kept grazing land?,int8,"1=Yes, 2=No",2,3641,0,0,0,0,0,0,,,,
s8aq28,Who owns the pasture?,int8,"1=Self, 2=Private enterprise, 3=State",3,52,0,0,0,0,0,0,,,,
s8aq29,What was upkeep cost of grazing land?,int32,,0,52,0,0,0,0,0,0,,,,
s8aq30,How many months of the year do you use this grazing land?,int8,,0,53,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,0,42678,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,42678,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,42678,0,0,0,0,0,,,,
item,Code of expense,int8,"1=Salt, 2=Veterinary services, 3=Traditional animal doctor, 4=Wages for animal keeper, 5=Fence maintenance of animal sheds …",10,0,42678,98040,0,0,0,0,,,EICV2: Product code,"{""2"": [""Veterinary care"", ""Veterinary services""], ""3"": [""Traditional animal doctor"", ""Traditional care""], ""4"": [""Safekeeping (paid guards)"", ""Wages for animal keeper""], ""5"": [""Fence maintenance of animal sheds"", ""Maintenance of enclosure or stables""], ""6"": [""Transport of animals or poultry"", ""Transport of feed for livestock""], ""7"": [""Other expenditure on the livestock or poultry"", ""Other livestock expenditures""], ""8"": [""Tax on animals"", ""Tax on livestock""], ""9"": [""Animal feed and delivery"", ""Feed""]}"
s8aq21,Expenditure incurred for livestock,int8,"1=Yes, 2=No",2,0,42678,0,0,0,0,0,,s8aq21_v2 (EICV1),,
s8aq23,Amount of expenditure cash or in-kind for livestock,int32,,0,0,5565,0,0,0,0,0,,s8aq23_v2 (EICV1),,
s8aq24,Origin of expenditure,int8,"1=Local market, 2=Farm cooperative, 3=Private enterprise, 4=State service, 5=Other",5,0,3400,0,0,0,0,0,,s8aq24_v2 (EICV1),,
s8aq26,Product or service not available during the year,int8,"1=Yes, 2=No",2,0,4234,0,0,0,0,0,,s8aq26_v2 (EICV1),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,42678,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,98040,109359,0,98582,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,98040,109359,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
s8a4q2,Household spent on products or services for livestock in 12 months,int8,"1=Yes, 2=No",2,0,0,98040,0,0,0,0,,,,
s8a4q3,Number of months in the last 12 expenses were incurred,int8,,0,0,0,17032,0,0,0,0,,,,
s8a4q4,Main livestock on which the spending was done,int8,"1=Cattle, 2=Sheep, 3=Goats, 4=Pigs, 5=Rabbits …",8,0,0,17032,0,0,0,0,,,,
s8a4q5,Expenses in the last 4 weeks on livestock,int8,"1=Yes, 2=No",2,0,0,17032,0,0,0,0,,,,
s8a4q6,Amount spent for the livestock in last 4 weeks,int32,,0,0,0,5745,0,0,0,0,,,,
s8a4q7,Average spent per month,int32,0=,1,0,0,11287,0,0,0,0,,,,
s8a4q8,Source of the product or service,int8,"1=Local market, 2=Cooperatvie, 3=Priavate entreprise, 4=State provided, 5=Others",5,0,0,16229,0,0,0,0,,,,
s8a4q9,Bought on credit,int8,"1=Yes, 2=No",2,0,0,16229,0,0,0,0,,,,
s8a4q10,The product was unavailable in last 12 months,int8,"1=Yes, 2=No",2,0,0,16840,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,109359,19630,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,109359,19630,98582,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7a4q1,Code of expense,int8,"1=Salt or minerals, 2=Veterinary services, 3=Traditional care, 4=Wages for animals' keeper, 5=Fence maintenance of animal, Cattle cheds …",12,0,0,0,104434,18887,98582,12495,,,EICV4_CS: Livestock expenditure code; EICV4_VUP: Livestock expenditure code,"{""8"": [""Artificial insemination"", ""Artificial insemnation""], ""11"": [""Other expenditure on the animals & poultry"", ""Other expenditure on the animals & poultry _specify_""]}"
s7a4q1d,Livestock expenditure description,string,,0,43692,42678,98040,109359,19630,98582,12495,,,,
s7a4q2,Incurred  expense in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,104434,18887,98582,12495,,,EICV4_CS: Incurred expense on livestock in last 12 months; EICV4_VUP: Incurred expense on livestock in last 12 months,
s7a4q3,Number of months in the last 12 expenses were incurred,int8,99=Missing,1,0,0,0,17852,2624,15844,1936,,,EICV4_CS: Number of months expenses were incurred; EICV4_VUP: Number of months expenses were incurred,
s7a4q4,Expenditure in the last 4 weeks,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,17852,2624,15844,1936,,,EICV4_CS: Cash/in-kind expenditure in last 4 weeks; EICV4_VUP: Cash/in-kind expenditure in last 4 weeks,
s7a4q5,Amount spent for the livestock in last 4 weeks,int32,"99999=Missing, 999999=Missing",2,0,0,0,5314,773,4302,474,,,EICV4_CS: Amount spent on livestock in last 4 weeks; EICV4_VUP: Amount spent on livestock in last 4 weeks,
s7a4q6,Average expenditure per month,int32,"999999=Missing, 999999999=Missing",2,0,0,0,17852,2624,15844,1936,,,EICV4_CS: Average expenditure on livestock per month; EICV4_VUP: Average expenditure on livestock per month,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,109359,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,109359,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,109359,19630,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,109359,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,109359,19630,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,109359,19630,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,19630,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,0,98582,0,,"poverty (EICV3, EICV4_CS)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,12495,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,12495,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,12495,,,,
