variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8jq5,Did you process any during last 2 weeks?,int8,"1=Yes, 2=No",2,12149,0,0,0,0,0,0,,,,
s8jq6a,What quantity did you produce?,int16,,0,5110,0,0,0,0,0,0,,,,
s8jq6b,What unit was used to measure production?,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Can - 5 litres …",33,5110,0,0,0,0,0,0,,,,
s8jq7,What were your costs in labour in cash and in kind during the last 2 weeks?,int16,,0,5110,0,0,0,0,0,0,,,,
s8jq8,What was the source of products that you processed?,int8,"1=Own production, 2=Purchased, 3=Gift",3,5110,0,0,0,0,0,0,,,,
s8jq9,What other processing costs did you incur?,int16,,0,5110,0,0,0,0,0,0,,,,
s8jq10,Did you sell any of this item during the last 2 weeks?,int8,"1=Yes, 2=No",2,12149,0,0,0,0,0,0,,,,
s8jq11a,What quantity of this item have you sold?,int16,,0,530,0,0,0,0,0,0,,,,
s8jq11b,What unit was used to measure quantity sold?,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Can - 5 litres …",33,530,0,0,0,0,0,0,,,,
s8jq12,What was the amount of the sales of this item?,int32,,0,530,0,0,0,0,0,0,,,,
s8jq13a,What would the sale price of a unit of this item be on the market?,int16,,0,11619,0,0,0,0,0,0,,,,
s8jq13b,What unit was used to measure quantity of this item?,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Can - 5 litres …",33,11619,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,0,11937,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,0,11937,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,0,11937,0,0,0,0,0,,,,
s8hq2_v2,[EICV2..EICV2 version] Id of person interviewed,int8,,0,0,11918,0,0,0,0,0,,s8hq2 (EICV3),,
item,Item code,int8,"1=Corn flour, 2=Sorghum flour, 3=Wheat flour, 4=Other flour, 5=Manioc flour …",15,0,11937,0,0,0,0,0,,,,
s8hq4a_v2,[EICV2..EICV2 version] Other household member (1),int8,0=Not applicable,1,0,11937,0,0,0,0,0,,s8hq4a (EICV3),,
s8hq4b_v2,[EICV2..EICV2 version] Other household member (2),int8,0=Not applicable,1,0,11937,0,0,0,0,0,,s8hq4b (EICV3),,
s8hq4c_v2,[EICV2..EICV2 version] Other household member (3),int8,0=Not applicable,1,0,11937,0,0,0,0,0,,s8hq4c (EICV3),,
s8hq5a,Unit of time for the transformation,int8,"0=Missing, 1=Day, 2=Week, 3=Month, 4=Year …",7,0,11937,32981,0,0,0,0,,,EICV2: Time unit,
s8hq5b_v2,[EICV2..EICV2 version] Amount processed,int16,,0,0,11934,0,0,0,0,0,,s8hq5b (EICV3),,
s8hq5c_v2,[EICV2..EICV2 version] Quantity unit,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Small bucket …",40,0,11931,0,0,0,0,0,,s8hq5c (EICV3),,
s8hq6_v2,[EICV2..EICV2 version] Labor costs,int32,,0,0,11935,0,0,0,0,0,,s8hq6 (EICV3),,
s8hq7_v2,[EICV2..EICV2 version] Origin of raw material,int8,"1=Own production, 2=Purchases, 3=Gifts, 4=Other",4,0,11823,0,0,0,0,0,,s8hq7 (EICV3),,
s8hq8,Other costs incurred during Transformation,int32,,0,0,11936,32981,0,0,0,0,,,EICV2: Other costs associated with processing,
s8hq9_v2,[EICV2..EICV2 version] Sold processed item,int8,"1=Yes, 2=No",2,0,11934,0,0,0,0,0,,s8hq9 (EICV3),,
s8hq10a,Unit of time for quantity sold,int8,"0=Missing, 1=Day, 2=Week, 3=Month, 4=Year …",7,0,1833,3113,0,0,0,0,,,EICV2: Time unit,
s8hq10b,Quantity Sold,double,0=Missing,1,0,1837,3113,0,0,0,0,,,EICV2: Amount sold,
s8hq10c,Units sold,int8,"1=Fanta bottle, 2=Primus bottle, 3=Whisky bottle, 4=Martini bottle, 5=Small bucket …",40,0,1829,0,0,0,0,0,,,,
s8hq11,Amount of sales,int32,-1=Missing,1,0,1828,0,0,0,0,0,,,,
s8hq12a,Price per unit,int32,,0,0,10082,0,0,0,0,0,,,,
s8hq12b,Unit per price,int8,,0,0,10059,0,0,0,0,0,,,,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,11937,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,32981,53549,0,45266,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,32981,53549,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
prod,Product code (S8HQ3),int8,"1=Maize Flour, 2=Sorghum flour, 3=Wheat flour, 4=Other Flour, 5=Cassava Flour …",16,0,0,32981,0,0,0,0,,,,
s8hq1,PID of person responsible,int32,99=Exit code,1,0,0,32981,0,0,0,0,,,,
s8hq2,PID of respondent,int32,,0,0,0,32981,0,0,0,0,,s8hq2_v2 (EICV2),,
s8hq4a,PID of other houshold members (1),int32,0=Not applicable,1,0,0,32981,0,0,0,0,,s8hq4a_v2 (EICV2),,
s8hq4b,PID of other houshold members (2),int32,0=Not applicable,1,0,0,32981,0,0,0,0,,s8hq4b_v2 (EICV2),,
s8hq4c,PID of other houshold members (3),int32,0=Not applicable,1,0,0,32981,0,0,0,0,,s8hq4c_v2 (EICV2),,
s8hq5b,Quantity transformed,double,0=Missing,1,0,0,32981,0,0,0,0,,s8hq5b_v2 (EICV2),,
s8hq5c,Unit of measurement for transformed produce,int8,"1= bottle of Fanta, 2= Bottle Primus, 3= bottle Wisky, 4= Bottle Martine, 5= Small bucket …",40,0,0,32981,0,0,0,0,,s8hq5c_v2 (EICV2),,
s8hq6,Labour cost in cash or kind,int32,,0,0,0,32981,0,0,0,0,,s8hq6_v2 (EICV2),,
s8hq7,Source of inputs for transformation,int8,"1=Own production, 2=Purchases, 3=Gifts, 4=Other",4,0,0,32981,0,0,0,0,,s8hq7_v2 (EICV2),,
s8hq9,Sale of transformed produce,int8,"1=Yes, 2=No",2,0,0,32981,0,0,0,0,,s8hq9_v2 (EICV2),,
s8hq11a,Unit of time for quantity sold,int8,"1=Day, 2=Week, 3=Month, 4=Year, 9=Missing",5,0,0,3113,0,0,0,0,,,,
s8hq11b,Quantity Sold,int32,0=Missing,1,0,0,3113,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,53549,9021,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,53549,9021,45266,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7hq2,Codes of products transformed,int8,"1=Maize Flour, 2=Sorghum flour, 3=Wheat flour, 4=Cassava Flour, 5=Grounded peanuts …",17,0,0,0,53549,9021,45266,5119,,,,"{""8"": [""Cassava leavers (Isombe isekuye)"", ""Cassava leavers _Isombe isekuye_""], ""15"": [""Sorghum beer (ikigage)"", ""Sorghum beer _ikigage_""]}"
s7hq3a,Unit of time for the transformation,int8,"1=Day, 2=Week, 3=Month, 4=Year, 9=Missing",5,0,0,0,53549,9021,45266,5119,,,EICV4_CS: Quantity of products by transformation (time unit); EICV4_VUP: Quantity of products by transformation (time unit),
s7hq3b_v2,[EICV4_CS..EICV4_VUP version] Quantity of products by transformation (l/Kg),double,,0,0,0,0,53549,9021,0,0,,"s7hq3b (EICV5_CS, EICV5_VUP)",,
s7hq4,Labour cost in cash or kind,int32,"999999=Missing, 999999999=Missing",2,0,0,0,53549,9021,45266,5119,,,EICV4_CS: Labour cost in cash or in-kind; EICV4_VUP: Labour cost in cash or in-kind,
s7hq5,Source of supply of goods,int8,"1=Own production, 2=Purchases, 3=Gifts, 4=Other, 9=Missing",5,0,0,0,53549,9021,0,0,,,,
s7hq6,Other production costs,int32,"9999999=Missing, 999999999=Missing",2,0,0,0,53549,9021,45266,5119,,,,
s7hq7_v2,[EICV4_CS..EICV4_VUP version] Have sold type of processed ag product,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,53549,9021,0,0,,"s7hq7 (EICV5_CS, EICV5_VUP)",,
s7hq8a_v2,[EICV4_CS..EICV4_VUP version] Sales processed ag product (time unit) - quant,int8,"1=Day, 2=Week, 3=Month, 4=Year, 9=Missing",5,0,0,0,3588,542,0,0,,"s7hq8a (EICV5_CS, EICV5_VUP)",,
s7hq8b_v2,[EICV4_CS..EICV4_VUP version] Quantity of sales processed ag product (l/kg),double,,0,0,0,0,3588,542,0,0,,"s7hq8b (EICV5_CS, EICV5_VUP)",,
s7hq9a_v2,[EICV4_CS..EICV4_VUP version] Sales processed ag product (time unit) - value,int8,"1=Day, 2=Week, 3=Month, 4=Year, 9=Missing",5,0,0,0,3588,542,0,0,,"s7hq9a (EICV5_CS, EICV5_VUP)",,
s7hq9b_v2,[EICV4_CS..EICV4_VUP version] Value of sales processed ag product,int32,,0,0,0,0,3588,542,0,0,,"s7hq9b (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,53549,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,53549,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,53549,9021,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,53549,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,53549,9021,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,53549,9021,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,9021,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,0,45266,0,,"poverty (EICV3, EICV4_CS)",,
s7hq3b,Quantity transformed,double,,0,0,0,0,0,0,45266,5119,,"s7hq3b_v2 (EICV4_CS, EICV4_VUP)",,
s7hq5a,Source of supply of goods for transformation_Own production_,int8,"1=Yes, 2=No",2,0,0,0,0,0,45266,5119,,,,
s7hq5b,Source of supply of goods for transformation_Purchases_,int8,"1=Yes, 2=No",2,0,0,0,0,0,45266,5119,,,,
s7hq5c,Source of supply of goods for transformation_Gifts_,int8,"1=Yes, 2=No",2,0,0,0,0,0,45266,5119,,,,
s7hq5d,Source of supply of goods for transformation_Other_,int8,"1=Yes, 2=No",2,0,0,0,0,0,45266,5119,,,,
s7hq7,Any sold,int8,"1=Yes, 2=No",2,0,0,0,0,0,45266,5119,,"s7hq7_v2 (EICV4_CS, EICV4_VUP)",,
s7hq8a,Unit of time for quantity sold,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,0,0,0,2290,241,,"s7hq8a_v2 (EICV4_CS, EICV4_VUP)",,
s7hq8b,Quantity Sold,double,,0,0,0,0,0,0,2290,241,,"s7hq8b_v2 (EICV4_CS, EICV4_VUP)",,
s7hq9a,Unit of time for quantity sold,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,0,0,0,2290,241,,"s7hq9a_v2 (EICV4_CS, EICV4_VUP)",,
s7hq9b,Amount Sold,int32,,0,0,0,0,0,0,2290,241,,"s7hq9b_v2 (EICV4_CS, EICV4_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,5300,,,,
s7hq1,Any agricultural product processed,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,5300,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,5300,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,5300,,,,
