variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,98521,84413,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
toid,Id of outgoing transfer,int8,,0,0,0,98521,0,0,0,0,0,0,,,,
s10aq2,PID of recipient,int32,0=Not a household member,1,0,0,98521,0,0,0,0,0,0,,,,
s10aq8,Total cash transfered in last 12 months,int32,0=No value,1,0,0,98521,0,0,0,0,0,0,,s10aq8_v2 (EICV2),,
s10aq9,Value of food transfered in last 12 months,int32,0=No value,1,0,0,98521,0,0,0,0,0,0,,s10aq9_v2 (EICV2),,
s10aq10,Value of non-food transfers in last 12 months,int32,0=No value,1,0,0,98521,0,0,0,0,0,0,,s10aq10_v2 (EICV2),,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,84413,13140,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,84413,13140,85640,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s9aq2,HH Member,int32,"0=Not a household member, 9=Missing, 99=Missing",3,0,0,0,84413,13140,83871,8464,66534,15849,,,EICV4_VUP: ID of recipient of transfer; EICV5_CS: ID of recipient; EICV5_VUP: ID of recipient,
s9aq3,Relation with head of household,int8,"1=Head of Household ., 2=Spouse of the HH, 3=Daughter/son of HH, 4=Child in care of HH, 5=Parent of HH …",13,0,0,0,84413,13140,83871,8464,66526,15845,,,EICV4_CS: Relation of recipient with head of household; EICV4_VUP: Relation of recipient with head of household,"{""8"": [""Other relative of the household"", ""Other relativeof the household"", ""Parent in law""], ""1"": [""Head of Household ."", ""Head of household""], ""2"": [""Spouse of the HH"", ""Spouse of the household""], ""3"": [""Daughter/son of HH"", ""Son or daughter of the household""], ""4"": [""Child in care of HH"", ""Child in care of household""], ""5"": [""Parent of HH"", ""Parent of the household""], ""6"": [""Brother/Sister of the household"", ""Brother/sister HH""], ""7"": [""Grandchild HH"", ""Grandchild of household""], ""9"": [""Brother/Sister in law"", ""Non relative Rwandese""], ""10"": [""Non relative non-Rwandese"", ""Other relative of HH""]}"
s9aq4,Sex,int8,"1=Male, 2=Female, 9=Missing",3,0,0,0,84413,13140,83871,8464,66526,15845,,,EICV4_CS: Sex of recipient of transfer; EICV4_VUP: Sex of recipient of transfer,
s9aq5,Location of the beneficiary,int8,"1=Same village or town, 2=Kigali, 3=Other town, 4=Other countryside, 5=Bordering  countries …",9,0,0,0,84413,13140,83871,8464,66526,15845,,,EICV4_CS: Location of the recipient of transfer; EICV4_VUP: Location of the recipient of transfer,"{""3"": [""Big town"", ""Other town""], ""4"": [""Other countryside"", ""Other town""], ""5"": [""Bordering  countries"", ""Other countryside""], ""6"": [""Bordering  countries"", ""Other African country""], ""7"": [""Other African country"", ""Outside of Africa""]}"
s9aq6,Sent any cash in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,84413,13140,83871,8463,66526,15845,,,EICV4_CS: HH sent any cash to recipient in last 12 months; EICV4_VUP: HH sent any cash to recipient in last 12 months; EICV5_CS: Sent any cash; EICV5_VUP: Sent any cash,
s9aq7,Total cash transfered in last 12 months,int32,"0=No value, 999999999=Missing",2,0,0,0,16143,1995,15270,1540,18352,3291,,,EICV4_CS: Total cash sent in last 12 months; EICV4_VUP: Total cash sent in last 12 months,
s9aq8,Main method for sending money,int8,"1=Bank, 2=Telephone, 3=Money transfer company, 4=In person, 5=Other …",6,0,0,0,16143,1995,15268,1540,18361,3292,,,,
s9aq9,Sent food products,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,84413,13140,83871,8463,66526,15845,,,EICV4_CS: HH sent food products to recipient in last 12 mont; EICV4_VUP: HH sent food products to recipient in last 12 mont,
s9aq10,Total value of food sent  over the course of the last 12 months,int32,"0=No value, 9999999=Missing, 999999999=Missing",3,0,0,0,67396,11009,65628,6426,46117,11702,,,EICV4_CS: Total value of food sent over last 12 months; EICV4_VUP: Total value of food sent over last 12 months,
s9aq11,Sent other in-kind transfers,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,84413,13140,83870,8463,66526,15845,,,EICV4_CS: HH sent other in-kind transfers to recipient in la; EICV4_VUP: HH sent other in-kind transfers to recipient in la,
s9aq12,Total value in-kind transfer in the last 12 months,int32,"0=No value, 999999999=Missing",2,0,0,0,15793,2125,16750,1956,14698,3308,,,EICV4_CS: Total value of other in-kind transfer in last 12 m; EICV4_VUP: Total value of other in-kind transfer in last 12 m,
s9aq13,Value  payments require reimbursement,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,84413,13140,83870,8463,66526,15845,,,EICV4_CS: Payments will require reimbursement; EICV4_VUP: Payments will require reimbursement,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,84413,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,84413,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,84413,13140,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,84413,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,84413,13140,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,84413,13140,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,13140,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,0,0,0,0,0,85640,0,68175,16256,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s9aq0_v2,[EICV5_CS..EICV5_VUP version] Household sent money or goods in king to a member,int8,"1=Yes, 2=No",2,0,0,0,0,0,85640,8592,0,0,,"s9aq0 (EICV7_CS, EICV7_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,8592,0,0,,,,
s9aq1,Name of  beneficiary of this transfer,string,,0,12788,19197,98521,84413,13140,85640,8592,68175,16256,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,8592,0,0,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,8592,0,0,,,,
s9aq0,"During the last 12 months, has this household send money or goods in kind to a m",int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,68175,16256,,"s9aq0_v2 (EICV5_CS, EICV5_VUP)",,
s9aq2a,ID of recipient,int8,"0=Not a household member, 99=NGO / Private or Public organization",2,0,0,0,0,0,0,0,66526,15845,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,0,0,0,0,0,0,0,68175,16256,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,0,0,0,0,0,0,0,68175,16256,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,0,0,0,0,0,0,0,68175,16256,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,0,0,0,0,0,0,0,68175,16256,,,,
