variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s6bq4b,ISIC CODE,int16,"1=A: Agriculture, Forestry, and Fishing, 2=B: Mining and Quarrying, 3=C: Manufacturing, 4=D: Electricity, Gas and Air Conditioning Supply, 5=E: Water Supply, Gas, and Remediation Services …",246,0,0,59526,57821,6184,,,EICV4_CS: ISIC_Industry Grouped; EICV5_CS: Industry(ISIC 1 digit)[All jobs],"{""1"": [""A: Agriculture, Forestry, and Fishing"", ""Agriculture, forestry and fishing""], ""2"": [""B: Mining and Quarrying"", ""Mining and quarrying""], ""3"": [""C: Manufacturing"", ""Manufacturing""], ""4"": [""D: Electricity, Gas and Air Conditioning Supply"", ""Electrivcity, gas, steam and air conditionning supply""], ""5"": [""E: Water Supply, Gas, and Remediation Services"", ""Water supply , sewage, waste managment and remediation activ""], ""6"": [""Construction"", ""F: Construction""], ""7"": [""G: Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles"", ""Wholesale and retail trade, repair of motor vehivles and mot""], ""8"": [""H: Transportation and Storage"", ""Transportation and storage""], ""9"": [""Accomodation and food service activities"", ""I: Accomodation and Food Service Activities""], ""10"": [""Information and communication"", ""J: Information and Communication""], ""11"": [""Financial and insurance activities"", ""Growing of non-perennial crops"", ""K: Financial and Insurance Activities""], ""12"": [""Growing of perennial crops"", ""L: Real Estate Activities"", ""Real estate activities""], ""13"": [""M: Professional, Scientific, and Technical Activities"", ""Plant propagation"", ""Professional, scientific and technical activities""], ""14"": [""Administrative and support service activities"", ""Animal production"", ""N: Administrative and Support Service Activities""], ""15"": [""Mixed farming"", ""O: Public Administration and Defence, Compulsory Social Security"", ""Public administration and defence; compulsory social securit""], ""16"": [""Education"", ""P: Education"", ""Support activities to agriculture and post-harvest crop activities""], ""17"": [""Human health and social work activities"", ""Hunting, trapping and related service activities"", ""Q: Human Health and Social Work Activities""], ""18"": [""Arts, entertainment and recreation"", ""R: Arts, Entertainment, and Recreation""], ""19"": [""Other service activities"", ""S: Other Service Activities""], ""20"": [""Activies of HH as employers; undifferentiated goods and  ser"", ""T: Activities of Households as Employers, Undifferentiated Goods- and Service-Producing Activities""], ""21"": [""Activities of extraterritorial organisations and bodies"", ""Silviculture and other forestry activities"", ""U: Activities of Extraterritorial Organisations and Bodies""]}"
s6bq5_v2,[EICV4_CS..EICV4_CS version] Non-agricultural or agricultural job,int8,"1=Non-agricultural, 2=Agricultural mainly for sale/barter, 3=Agricultural mainly for family use",3,0,0,59526,0,0,,"s6bq5 (EICV5_CS, EICV5_VUP)",,
s6bq6,Worked most of time  in the last 12 months,int8,"1=Yes, 2=No",2,0,0,59526,57821,6184,,,EICV4_CS: Months worked in this job in past 12 months,
s6bq7_v2,[EICV4_CS..EICV4_CS version] Spent most time in this job in last 12 months,int8,"1=Yes, 2=No",2,0,0,59525,0,0,,"s6bq7 (EICV5_CS, EICV5_VUP)",,
s6bq8_v2,[EICV4_CS..EICV4_CS version] Worked for at least 1 hour in this job during last,int8,"1=Yes, 2=No",2,0,0,59526,0,0,,"s6bq8 (EICV5_CS, EICV5_VUP)",,
s6bq9,Spent most time in this job in last 7 days,int8,"1=Yes, 2=No",2,0,0,38065,0,0,,,,
s6bq10,Many hours worked during the last 7 days,int16,,0,0,0,38002,36600,3735,,,EICV4_CS: Hours worked in this job last 7 days,
s6bq11,How many days did work during the last 7 days of his/her last job?,int8,,0,0,0,38031,21135,2408,,,EICV4_CS: Days worked in this job in last 7 days,
s6bq12,Still working,int8,"1=Yes, 2=No",2,0,0,59525,57821,6184,,,EICV4_CS: Still working in this job,
s6bq13a,Years of long period working in this job,int8,0=None,1,0,0,59450,57821,6184,,,EICV4_CS: Years working in this job,
s6bq13b,Months of long period working in this job,int8,0=Zero months,1,0,0,59519,57821,6184,,,EICV4_CS: Months working in this job,
s6bq14,Sector for this job,int8,"1=Private non-farm, 2=Private farm, 3=Public, 4=Cooperative, 5=NGO _local_. …",11,0,0,59526,57821,6184,,,EICV4_CS: Sector worked in this job,"{""5"": [""NGO (local)."", ""NGO _local_.""], ""7"": [""Household Domestic"", ""VUP Community work in Private  enterprise""], ""8"": [""Other _specify_"", ""VUP Community work in public sector""], ""9"": [""Don\u00e2\u20ac\u2122t know"", ""Household Domestic""]}"
s6bq15,Occupational status in each activity,int8,"1=Wage farm, 2=Wage non-farm, 3=Independent non-farmer, 4=Independent farmer, 5=Unpaid  family farm worker …",9,0,0,59526,57821,6184,,,EICV4_CS: Occupational status,"{""9"": [""Member of farm cooperative"", ""Member of farm coopertive""]}"
s6cq16,Type of nature contract,int8,"1=Permanent worker, 2=Temporary worker, 3=Casual worker, 4=Seasonal worker, 5=Daily worker …",6,0,0,23072,24189,2487,,,EICV4_CS: Nature of employment contract,
s6cq17,Frequency of salary increase,int8,"1=Every year or less, 2=Between 1 and 3 years, 3=After 3 or more years, 4=Ad hoc, 5=No increase …",6,0,0,4028,0,0,,,,
s6cq18_v2,[EICV4_CS..EICV4_CS version] Job provides medical coverage,int8,"1=Yes, 2=No",2,0,0,4028,0,0,,"s6cq18 (EICV5_CS, EICV5_VUP)",,
s6cq19,Job provides pension/security,int8,"1=Yes, 2=No",2,0,0,4028,0,0,,,,
s6cq20_v2,[EICV4_CS..EICV4_CS version] Job provides paid annual leave,int8,"1=Yes, 2=No",2,0,0,4028,0,0,,"s6cq20 (EICV5_CS, EICV5_VUP)",,
s6cq21,Job provides paid sick leave,int8,"1=Yes, 2=No",2,0,0,4028,0,0,,,,
s6cq22_v2,[EICV4_CS..EICV4_CS version] Salary subjected to tax deduction,int8,"1=Yes, 2=No, 3=Salary too low, 8=Don't know",4,0,0,23070,0,0,,"s6cq22 (EICV5_CS, EICV5_VUP)",,
s6cq23a_v2,[EICV4_CS..EICV4_CS version] Last net salary/wage (amount),int32,,0,0,0,23072,0,0,,"s6cq23a (EICV5_CS, EICV5_VUP)",,
s6cq23b,Benefit Unit of time,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,23069,746,50,,,EICV4_CS: Last net salary/wage (time unit),
s6cq24,Receives in-kind payments,int8,"1=Yes, 2=No",2,0,0,23074,0,0,,,,
s6cq25a,Last in-kind payments (amount),int32,,0,0,0,3133,0,0,,,,
s6cq25b,Last in-kind payments (time unit),int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,3132,0,0,,,,
s6cq26,Employer provides or subsidizes housing,int8,"1=Yes, 2=No",2,0,0,23074,0,0,,,,
s6cq27a,Housing benefit (amount),int32,,0,0,0,1559,0,0,,,,
s6cq27b,Housing benefit (time unit),int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,1558,0,0,,,,
s6cq28,Receive any other benefits for this work,int8,"1=Yes, 2=No",2,0,0,23074,0,0,,,,
s6cq29a,Other benefit (amount),int32,,0,0,0,673,0,0,,,,
s6cq29b,Other benefit (time unit),int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,673,0,0,,,,
s6dq30_v2,[EICV4_CS..EICV4_CS version] Business registered with authorities,int8,"1=RRA/RDB, 2=District/Sector, 3=No, 8=Don't know",4,0,0,7781,0,0,,"s6dq30 (EICV5_CS, EICV5_VUP)",,
s6dq31_v2,[EICV4_CS..EICV4_CS version] Has sought a loan in last 12 months,int8,"1=Yes, with success, 2=Yes, no success, 3=No",3,0,0,7781,0,0,,"s6dq31 (EICV5_CS, EICV5_VUP)",,
s6dq32,Business with VUP financial services loan,int8,"1=Yes, individual loan, 2=Yes, group loan, 3=No",3,0,0,7778,0,0,,,,
s6dq33,Ownership category of the business,int8,"1=Association, 2=Cooperative, 3=Household, 4=Individual",4,0,0,7781,0,0,,,,
s6dq34,Number of owners/members,int8,91=Over 90,1,0,0,7781,0,0,,,,
s6dq35,Percentage of profit belongs to HH,int8,,0,0,0,7777,0,0,,,,
s6dq36,Number of employees over last 3 months,int16,0=None,1,0,0,7781,0,0,,,,
s6dq37,Employed paid worker in last 7 days,int8,"1=Yes, 2=No",2,0,0,7773,0,0,,,,
s6dq38,Number of owners/members work in the business,int8,0=None,1,0,0,7776,0,0,,,,
s6dq39,Maintain accounts regularly,int8,"1=Yes, 2=No",2,0,0,7781,0,0,,,,
s6dq40,Obstacles when creating business,int8,"1=No obstacle, 2=Lack of start-up Capital, 3=Access to credit., 4=Administrative procedures, 5=Lack premises …",8,0,0,7781,0,0,,,,
s6dq41,Source of money used to create business,int8,"1=Household  saving, 2=Commercial bank loan, 3=State fund, 4=Borrowed from family, 5=Cooperative loan …",11,0,0,7781,0,0,,,,
s6dq42a,Labour expenditure (amount),int32,,0,0,0,7780,0,0,,,,
s6dq42b,Labour expenditure (time unit),int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,7578,0,0,,,,
s6dq43a,Non-labour expenditure (amount),int32,,0,0,0,7780,0,0,,,,
s6dq43b,Non-labour expenditure (time unit),int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,7655,0,0,,,,
s6dq44a,Turnover (amount),int32,,0,0,0,7781,0,0,,,,
s6dq44b,Turnover (time unit),int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,7779,0,0,,,,
s6dq45,Turnover expenditure shared,int8,"1=Shared between owners in different HH, 2=This HH only",2,0,0,7778,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,59526,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,59526,0,0,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,59526,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,59616,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,59526,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,59526,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,89373,0,,"poverty (EICV3, EICV4_CS)",,
s6bq3b_v2,[EICV5_CS..EICV5_CS version] Major occupation groups (ISCO 1 Dig)[All jobs],int8,"0=Armed forces occupations, 1=Managers, 2=Professionals, 3=Technical and associate professionals, 4=Clerical support workers …",10,0,0,0,57821,0,,"s6bq3b (EICV5_VUP), s6bq3b_v3 (EICV4_CS)",,
s6bq5,Many months in the last year work in this job,int8,,0,0,0,0,57821,6184,,s6bq5_v2 (EICV4_CS),,
s6bq7,Worked for at least 1 hour in this job during the last 7 days,int8,"1=Yes, 2=No",2,0,0,0,57821,6184,,s6bq7_v2 (EICV4_CS),,
s6bq8,Most working time in the last 7 days,int8,"1=Yes, 2=No",2,0,0,0,36600,3735,,s6bq8_v2 (EICV4_CS),,
s6bq09,How many days worked in the job in the last 7 days,int8,,0,0,0,0,36600,3735,,,,
s6cq17a,Net salary/Wage _Amoun_,int32,,0,0,0,0,24189,2487,,,,
s6cq17b,Net salary/Wage _Unit_,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,0,24000,2468,,,,
s6cq18,Receive in-kind payments,int8,"1=Yes, 2=No",2,0,0,0,24189,2487,,s6cq18_v2 (EICV4_CS),,
s6cq19a,Value of the last in-kind payments,int32,,0,0,0,0,2844,287,,,,
s6cq19b,What is the value of the last in-kind payments_Unit of time_?,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,0,2842,287,,,,
s6cq20,Employer provide or subsidize housing,int8,"1=Yes, 2=No",2,0,0,0,24189,2487,,s6cq20_v2 (EICV4_CS),,
s6cq21a,Subsidize Amount- benefits,int32,,0,0,0,0,1586,133,,,,
s6cq21b,Subsidize Unit of time - benefits,int8,"1=Day, 2=Week, 3=Month, 4=Year",4,0,0,0,1587,133,,,,
s6cq22,Receive any other benefits,int8,"1=Yes, 2=No",2,0,0,0,24189,2487,,s6cq22_v2 (EICV4_CS),,
s6cq23a,Benefit Amount,int32,,0,0,0,0,746,50,,s6cq23a_v2 (EICV4_CS),,
s6bq99,More job,int8,"1=Yes, 2=No",2,0,0,0,57821,6184,,,,
s6dq24,"Registered with the RRA/RDB or the district, Sector authorities",int8,"1=RRA/RDB, 2=District/Sector, 3=No, 8=Don't know",4,0,0,0,6351,663,,,,
s6dq25,"Over the last 12 months, has sought a loan at a bank or other insitution",int8,"1=Yes, with success, 2=Yes, no success, 3=No",3,0,0,0,6351,663,,,,
s6dq26,VUP Financial Service loan,int8,"1=Yes, individual loan, 2=Yes, group loan, 3=No",3,0,0,0,6351,663,,,,
s6dq27,Average employees over the last 3 monts,int32,0=None,1,0,0,0,6351,663,,,,
s6dq28,Owners/members work in this business,int16,0=None,1,0,0,0,6351,663,,,,
s6dq29,Maintain accounts egularly,int8,"1=Yes, 2=No",2,0,0,0,6351,663,,,,
s6dq30,Greatest obstacles encountered when creqting business,int8,"1=No obstacle, 2=Lack of start-up Capital, 3=Access to credit., 4=Administrative procedures, 5=Lack premises …",8,0,0,0,6351,663,,s6dq30_v2 (EICV4_CS),,
s6dq31,Primary source of money used to create business,int8,"1=Household  saving, 2=Commercial bank loan, 3=State fund, 4=Borrowed from family, 5=Cooperative loan …",11,0,0,0,6351,663,,s6dq31_v2 (EICV4_CS),,
s6dq32a,Labour expediture Amount,int32,,0,0,0,0,6351,663,,,,
s6dq32b,Labour expediture Time of unit,int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,0,1393,142,,,,
s6dq33a,Non labour expediture Amount,int32,,0,0,0,0,6351,663,,,,
s6dq33b,Non labour expediture Time of unit,int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,0,4554,496,,,,
s6dq34a,Turnover Amount,int32,,0,0,0,0,6351,663,,,,
s6dq34b,Turnover Time unit,int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,0,0,0,6344,663,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,9180,,,,
s6bq3b,ISCO code,int16,"11=Commissioned armed forces officers, 21=Non-commissioned armed forces officers, 31=Armed forces occupations, other ranks, 111=Legislators and senior officials, 112=Managing directors and chief executives …",130,0,0,0,0,6184,,"s6bq3b_v2 (EICV5_CS), s6bq3b_v3 (EICV4_CS)",,
s0q18m,Month of interview,int8,,0,0,0,0,0,9180,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,9180,,,,
