variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,14461,24413,0,38142,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,14461,24413,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
sid,Account ID Number,int8,99=Exit code,1,0,0,14461,0,0,0,0,0,0,,,,
s11cq3,PID of person saving,int32,"0=Not a household member, 99=Exit code",2,0,0,14461,0,0,0,0,0,0,,,,
s11cq4,Saves in an established institution,int8,"1=Yes, 2=No",2,0,0,14461,0,0,0,0,0,0,,s11cq4_v2 (EICV2),,
s11cq5,Institution saved with,int8,"1=Commercial Bank, 2=Tontine, 3=Microfinance, 4=Cooperative Bank, 5=Savings and credit cooperative …",6,0,0,8455,0,0,0,0,0,0,,s11cq5_v2 (EICV2),,
s11cq6,Amount currently on the savings account,int32,"0=, 999999999=Missing",2,0,0,8455,0,0,0,0,0,0,,s11cq6_v2 (EICV2),,
s11cq8,Amount  withdrawn in last 12 months,int32,999999999=Missing,1,0,0,8455,0,0,0,0,0,0,,s11cq8_v2 (EICV2),,
s11cq9,Participation in tontine,int8,"1=Yes, 2=No",2,0,0,14461,0,0,0,0,0,0,,s11cq9_v2 (EICV2),,
s11cq11,Total contributed in last 12 months,int32,,0,0,0,8973,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,24413,4759,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,24413,4759,38142,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s10cq2,ID number of person saving,int32,"0=Not a household member, 99=Missing",2,0,0,0,24413,4759,0,0,0,0,,,,
s10cq3,Id Number of account,int8,,0,0,0,0,24413,4759,11325,0,43804,10777,,,EICV4_CS: Account ID Number; EICV4_VUP: Account ID Number; EICV5_CS: Id Number of Account,
s10cq4,Does ... have account (bank account/momo)?,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,24413,4759,38142,0,43057,10764,,,EICV4_CS: Have a savings account; EICV4_VUP: Have a savings account; EICV5_CS: Have saving account,
s10cq5,What institution does ... bank with?,int8,"1=Commercial Bank, 2=Microfinance, 3=Cooperative Bank, 4=Savings & Credit Cooperatives (SACCO), 5=Momo …",8,0,0,0,12651,2975,11324,0,39116,10132,,,EICV4_CS: Institution saved with; EICV4_VUP: Institution saved with; EICV5_CS: Institution saved with,"{""5"": [""Momo"", ""Other"", ""Other_specify_""], ""4"": [""Savings & Credit Cooperatives (SACCO)"", ""Savings and credit cooperative""]}"
s10cq6,Amount currently on the savings account,int32,"99999999=Missing, 999999999=Missing",2,0,0,0,12651,2975,11323,0,0,0,,"s10cq6_v2 (EICV7_CS, EICV7_VUP)",,
s10cq7,Amount deposited in last 12 months,int32,999999999=Missing,1,0,0,0,12651,2975,11323,0,0,0,,"s10cq7_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Amount deposited each month; EICV4_VUP: Amount deposited each month,
s10cq8,Does ... participate in a tontine,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,11762,1784,0,0,28216,6995,,,EICV4_CS: Participate in tontine; EICV4_VUP: Participate in tontine,
s10cq9,Tontine amount received last 12 months,int32,"9999999=Missing, 999999999=Missing",2,0,0,0,11762,1784,0,0,0,0,,,,
s10cq10,Total deposited each month,int32,"0=Not applicable, 999999999=Missing",2,0,0,0,11762,1784,0,0,0,0,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,24413,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,24413,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,24413,4759,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,24413,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,24413,4759,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,24413,4759,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,4759,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,0,0,0,0,0,38142,0,43810,10777,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s10cq99,Other formal saving account,int8,"1=Yes, 2=No",2,0,0,0,0,0,11324,0,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,6099,0,0,,,,
s10c1q1,Members of the HH save with any saving institution,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,6099,0,0,,,,
s10c1q3,Id Number of Account,int8,,0,0,0,0,0,0,0,1888,0,0,,,,
s10c1q4,Have saving account,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,5838,0,0,,,,
s10c1q5,Institution saved with,int8,"1=Commercial Bank, 2=Microfinance, 3=Cooperative Bank, 4=Savings and credit cooperative, 5=Other_specify_",5,0,0,0,0,0,0,1888,0,0,,,,
s10c1q6,Amount currently on the savings account,int32,,0,0,0,0,0,0,0,1887,0,0,,,,
s10c1q7,Amount deposited in last 12 months,int32,,0,0,0,0,0,0,0,1886,0,0,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,6099,0,0,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,6099,0,0,,,,
s10cq1,Ownership of bank account(Financial Institution/momo/Tontine),int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,43810,10777,,,,
s10cq6_v2,[EICV7_CS..EICV7_VUP version] Which type of account does ... own?,int8,"1=Current Account, 2=Saving Account",2,0,0,0,0,0,0,0,15440,5263,,"s10cq6 (EICV4_CS, EICV4_VUP, EICV5_CS)",,
s10cq7_v2,[EICV7_CS..EICV7_VUP version] Does the account generate interest?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,2065,185,,"s10cq7 (EICV4_CS, EICV4_VUP, EICV5_CS)",,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,0,0,0,0,0,0,0,43810,10777,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,0,0,0,0,0,0,0,43810,10777,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,0,0,0,0,0,0,0,43810,10777,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,0,0,0,0,0,0,0,43810,10777,,,,
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,0,0,0,0,0,0,0,10777,,,,
