variable,label,type,value_labels,n_value_labels,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8cq4_v2,[EICV2..EICV2 version] Surface,double,,0,0,22258,0,0,0,0,0,,"s8cq4 (EICV1, EICV3)",,
s8cq5,How the land was acquired,int8,"1=Inheritance, 2=Purchased, 3=Gift, 4=Free use or loan, 5=Appropriation …",8,0,22248,59016,0,0,0,0,,s8cq5_v2 (EICV1),EICV2: How acquired or field exploited,"{""1"": [""Inheritance"", ""Inherited""]}"
s8cq6,Right to sell or use land as collateral,int8,"1=Yes, able to sell, 2=Yes, guarantee, 3=No",3,0,17603,43324,0,0,0,0,,s8cq6_v2 (EICV1),EICV2: Right to sell or mortgage,"{""1"": [""Yes, able to sell"", ""Yes, right to sell""], ""2"": [""Yes, guarantee"", ""Yes, right to mortgage""]}"
s8cq7,Cost of renting,int32,0=Not applicable,1,0,2934,8592,0,0,0,0,,s8cq7_v2 (EICV1),EICV2: Cost of rental,
s8cq8,Field has been cultivated in the last 12 months,int8,"1=Yes, 2=No",2,0,22117,59016,0,0,0,0,,s8cq8_v2 (EICV1),EICV2: Field cultivated in the last twelve months,
s8cq9a,Household member ID working in the field,int8,0=Not applicable,1,0,20710,0,0,0,0,0,,,,
s8cq9b,Household member ID working in the field,int8,0=Not applicable,1,0,16780,0,0,0,0,0,,,,
s8cq9c,Household member ID working in the field,int8,0=Not Applicable,1,0,5768,0,0,0,0,0,,,,
s8cq10_v2,[EICV2..EICV2 version] Decision maker regarding item planted,int8,"1=Head of household, 2=Primary farmer, 3=Other household member, 4=Non household member, 5=Other",5,0,20464,0,0,0,0,0,,"s8cq10 (EICV3), s8cq10_v3 (EICV1)",,
s8cq11a,Product code 1: 1st season,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",58,0,18957,0,0,0,0,0,,,,
s8cq11b,Product code 2: 1st season,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",58,0,11706,0,0,0,0,0,,,,
s8cq11c,Product code 1: 2nd season,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",58,0,17016,0,0,0,0,0,,,,
s8cq11d,Product code 2: 2nd season,int8,"1=Rice, 2=Corn, 3=Sorghum, 4=Wheat, 5=Other grains …",58,0,9537,0,0,0,0,0,,,,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,0,22258,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,59016,53535,0,42837,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,0,59016,53535,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
fid,Field ID (S8CQ3),int8,,0,0,0,59016,0,0,0,0,,,,
s8cq1,PID of plot owner,int32,99=Exit,1,0,0,59016,0,0,0,0,,s8cq1_v2 (EICV1),,
s8cq2,PID of respondent,int32,,0,0,0,59016,0,0,0,0,,"s8cq2_v2 (EICV2), s8cq2_v3 (EICV1)",,
s8cq9,Affected by land consolidation,int8,"1=Yes, 2=No",2,0,0,58626,0,0,0,0,,s8cq9_v2 (EICV1),,
s8cq10,Irrigation use,int8,"1=Yes, 2=No",2,0,0,58626,0,0,0,0,,"s8cq10_v2 (EICV2), s8cq10_v3 (EICV1)",,
s8cq11,Erosion protection,int8,"1=Yes, 2=No",2,0,0,58626,0,0,0,0,,s8cq11_v2 (EICV1),,
s8cq12,Main kind of erosion protection,int8,"1=Terracing, 2=Erosion fence, 3=Erosion ditch, 4=Planting trees, 5=Other",5,0,0,41391,0,0,0,0,,s8cq12_v2 (EICV1),,
s8cq13a,First season crops (First crop),int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,0,59016,0,0,0,0,,s8cq13a_v2 (EICV1),,
s8cq13b,First season crops (Second crop),int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,0,59016,0,0,0,0,,s8cq13b_v2 (EICV1),,
s8cq13c,Second season crops (First crop),int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,0,59016,0,0,0,0,,s8cq13c_v2 (EICV1),,
s8cq13d,Second season crops (Second crop),int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,0,59016,0,0,0,0,,,,
s8cq14,Any new crops crops planted,int8,"1=Yes, 2=No",2,0,0,59016,0,0,0,0,,s8cq14_v2 (EICV1),,
s8cq15,Primary crop planted due to regionalization,int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,0,5267,0,0,0,0,,,,
s8cq16,Crop removal due to regionalization,int8,"1=Yes, 2=No",2,0,0,59016,0,0,0,0,,,,
s8cq17,Primary crop removed due to regionalization,int8,,0,0,0,1592,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,0,53535,8157,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,0,53535,8157,42837,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7cq1,Code of operators,int8,"1=Household Head _HH_, 2=Spouse of HH, 3=Son/Daughter, 4=Father/Mother, 5=Brother/Sister …",10,0,0,0,53535,8157,42837,4424,,,EICV4_CS: Code of owners; EICV4_VUP: Code of owners,"{""1"": [""Household Head (HH)"", ""Household Head _HH_""]}"
s7cq2,Sex of owners,int8,"1=Male, 2=Female, 3=Both, 4=Not related",4,0,0,0,53535,8157,42837,4424,,,,
s7cq3,Field /bloc No,int8,,0,0,0,0,53535,8157,42837,4424,,,,
s7cq4,Surface area,double,,0,0,0,0,53535,8157,42837,4424,,,EICV4_CS: Surface area (acres); EICV4_VUP: Surface area (acres),
s7cq5,How the land was acquired,int8,"1=Inherited, 2=Purchase, 3=Gift, 4=Free use or loan, 5=Appropriation …",9,0,0,0,53535,8157,42837,4424,,,EICV4_CS: How land was obtained/cultivating arrangement; EICV4_VUP: How land was obtained/cultivating arrangement,
s7cq6_v2,[EICV4_CS..EICV4_VUP version] Have right to sell/use land as guarantee for a loa,int8,"1=Yes, able to sell, 2=Yes, guarantee, 3=Yes Both, 4=No, 9=Missing",5,0,0,0,38575,6388,0,0,,"s7cq6 (EICV5_CS, EICV5_VUP)",,
s7cq7_v2,[EICV4_CS..EICV4_VUP version] Cost of renting over 12 months,int32,"0=Not applicable, 999999=Missing, 999999999=Missing",3,0,0,0,8464,978,0,0,,"s7cq7 (EICV5_CS, EICV5_VUP)",,
s7cq8_v2,[EICV4_CS..EICV4_VUP version] Field has been cultivated in last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,53535,8157,0,0,,"s7cq8 (EICV5_CS, EICV5_VUP)",,
s7cq9_v2,[EICV4_CS..EICV4_VUP version] Irrigated in the last 12 growing season,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq9 (EICV5_CS, EICV5_VUP)",,
s7cq10_v2,[EICV4_CS..EICV4_VUP version] Protected from erosion,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq10 (EICV5_CS, EICV5_VUP)",,
s7cq11_v2,[EICV4_CS..EICV4_VUP version] Main kind of protection used,int8,"1=Terracing, 2=Erosion fence, 3=Erosion ditch, 4=Planting trees, 5=Other …",6,0,0,0,38711,5650,0,0,,"s7cq11 (EICV5_CS, EICV5_VUP)",,
s7cq12_v2,[EICV4_CS..EICV4_VUP version] Have faced environmental problems on this plot,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq12 (EICV5_CS, EICV5_VUP)",,
s7cq13_v2,[EICV4_CS..EICV4_VUP version] Problem faced as a result of environmental destruc,int8,"1=Floods, 2=Erosion, 3=Landslides, 4=Change of climate, 5=Destructive rains …",8,0,0,0,12308,1817,0,0,,"s7cq13 (EICV5_CS, EICV5_VUP)",,
s7cq14_v2,[EICV4_CS..EICV4_VUP version] Land used for consolidation activity,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq14 (EICV5_CS, EICV5_VUP)",,
s7cq15_v2,[EICV4_CS..EICV4_VUP version] Have planted new crops due to regionalization,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq15 (EICV5_CS, EICV5_VUP)",,
s7cq16a,Main crop planted due to regionalization,string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
s7cq16b,Code crop planted,int8,"0=Not applicable, 1=Rice, 2=Maize, 3=Sorghum, 4=Wheat …",72,0,0,0,8075,1185,0,0,,,,
s7cq17_v2,[EICV4_CS..EICV4_VUP version] Crop removed,int8,"1=Yes, 2=No, 9=Missing",3,0,0,0,51383,7799,0,0,,"s7cq17 (EICV5_CS, EICV5_VUP)",,
s7cq18a,Crop removed name,string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
s7cq18b,Code crop removed,int8,"0=Not applicable, 1=Rice, 2=Maize, 3=Sorghum, 4=Wheat …",72,0,0,0,5911,1091,0,0,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,0,53535,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,0,53535,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,0,53535,8157,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,0,53535,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,0,53535,8157,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,0,53535,8157,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,0,8157,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,0,42837,0,,"poverty (EICV3, EICV4_CS)",,
s7cq6,land title for this plot from national land center,int8,"1=Yes, 2=No",2,0,0,0,0,0,30698,3338,,"s7cq6_v2 (EICV4_CS, EICV4_VUP)",,
s7cq7,current value of this plot,int32,,0,0,0,0,0,0,30698,3338,,"s7cq7_v2 (EICV4_CS, EICV4_VUP)",,
s7cq8,Right to sell or use land as collateral,int8,"1=Yes, able to sell, 2=Yes, guarantee, 3=Yes Both, 4=No",4,0,0,0,0,0,30698,3338,,"s7cq8_v2 (EICV4_CS, EICV4_VUP)",,
s7cq9,Cost of renting,int32,0=Not applicable,1,0,0,0,0,0,7005,509,,"s7cq9_v2 (EICV4_CS, EICV4_VUP)",,
s7cq10,Field has been cultivated in the over  last 12 months,int8,"1=Yes, 2=No",2,0,0,0,0,0,42837,4424,,"s7cq10_v2 (EICV4_CS, EICV4_VUP)",,
s7cq11,Irrigated at any time in the last 12 growing season,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,"s7cq11_v2 (EICV4_CS, EICV4_VUP)",,
s7cq12,Erosion protection,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,"s7cq12_v2 (EICV4_CS, EICV4_VUP)",,
s7cq13,Main kind of erosion protection,int8,"1=Terracing, 2=Erosion fence, 3=Erosion ditch, 4=Planting trees, 5=Other _specify_",5,0,0,0,0,0,28465,2944,,"s7cq13_v2 (EICV4_CS, EICV4_VUP)",,
s7cq14,Any faced problems,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,"s7cq14_v2 (EICV4_CS, EICV4_VUP)",,
s7cq15,Major problem,int8,"1=Floods, 2=Erosion, 3=Landslides, 4=Change of climate, 5=Destructive rains …",7,0,0,0,0,0,13726,1195,,"s7cq15_v2 (EICV4_CS, EICV4_VUP)",,
s7cq16,Land consolidation activity,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,,,
s7cq17,New crops plantend in this parcel,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,"s7cq17_v2 (EICV4_CS, EICV4_VUP)",,
s7cq18,Code crop planted,int8,"1= Rice, 2= Maize, 3= Sorghum, 4= Wheat, 5=Uburo …",70,0,0,0,0,0,5382,720,,,,
s7cq19,Crop removed,int8,"1=Yes, 2=No",2,0,0,0,0,0,40969,4170,,,,
s7cq20,Code crop removed,int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",71,0,0,0,0,0,4397,645,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,0,4629,,,,
s7cq0,Anyonse in household owned or cultivated a plot of land,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,4629,,,,
s7cqn,Plot reference- name,string,,0,17071,22258,59016,53535,8157,42837,4629,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,0,4629,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,0,4629,,,,
