variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s9dq0,Income support source,int8,"1=The Rwanda Social Security Board, 2=Payments for medical treatment, 3=Old Age Grant _Exclude VUP_, 4=The Genocide Survivors Support and Assistance Fund _FARG_, 5=Local government education  support …",21,0,0,288380,306054,34463,0,0,,,EICV4_CS: Income support programme code,"{""3"": [""Old Age Grant"", ""Old Age Grant _Exclude VUP_""], ""4"": [""The Genocide Survivors Support and Assistance Fund (FARG)"", ""The Genocide Survivors Support and Assistance Fund _FARG_""], ""6"": [""Educational scholarships (primary, secondary, university, TV"", ""Educational scholarships _primary, secondary, university, TVET_""], ""7"": [""The Rwanda Demobilization and Reintegration Commission (RDRC"", ""The Rwanda Demobilization and Reintegration Commission _RDRC_,""], ""10"": [""Government donations of goods (Telephones, bicycles, mosquit"", ""Government donations of goods _Telephones, bicycles, mosquito nets etc._""], ""11"": [""Other benefits to the household   _Specify_"", ""Other benefits to the household  - e.g. NGOs (Specify)""], ""13"": [""Private savings fund (private sector)"", ""Private savings fund _private sector_""], ""16"": [""Gambling ? Lottery ? Tombola"", ""Gambling \u00c3\u00a2\u00c2\u20ac\u00c2\u201c Lottery \u00c3\u00a2\u00c2\u20ac\u00c2\u201c Tombola""], ""17"": [""Sale of  fixed / non fixed assets"", ""Sale of  fixed / non fixed assets _Property, Non agricultural land, House, Car,......_""], ""18"": [""Property rent (Fixed or non-fixed assets)"", ""Property rent _Fixed or non-fixed assets_""], ""20"": [""Other benefits (specify..)"", ""Royalities _Copyright,..._""]}"
s9dq0d,Income support programme description,string,,0,172500,314776,288380,306060,34463,397176,98878,,,,
s9dq1,Household received any of the following in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,288380,306054,34463,0,0,,,EICV4_CS: Has received income support in last 12 months,
s9dq2,Amount received during the last 4 weeks,int32,9999999=Missing,1,0,0,22744,22901,3173,0,0,,,EICV4_CS: Income support received in last 4 weeks (amount),
s9dq3,Amount reived during the last 12 months,int32,99999999=Missing,1,0,0,22744,22899,3174,0,0,,,EICV4_CS: Income support received in last 12 months (amount),
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,288380,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,288380,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,288380,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,288380,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,288380,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,288380,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,0,0,0,306054,0,397176,98878,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,34463,0,0,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,34463,0,0,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,34463,0,0,,,,
s9eq1,Item Code,int8,"1=The Rwanda Social Security Board old age, disability and survivors’ pension Social Security/Caisse Sociale du Rwanda, 2=Payments for medical treatment, 3=Old Age Grant, 4=The Genocide Survivors Support and Assistance Fund (FARG/MINUBUMWE), 5=Local government education  support …",26,0,0,0,0,0,397176,98878,,,,
s9eq2,Has your household received any of the following in the last 12 months?,int8,"1=Yes, 2=No",2,0,0,0,0,0,397176,98878,,,,
s9eq3,How much have you received the last 4 weeks,int32,,0,0,0,0,0,0,32557,8299,,,,
s9eq4,How much have you received the last 12 months,int32,,0,0,0,0,0,0,32557,8299,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,0,0,0,0,0,397176,98878,,,EICV7_CS: strata_id,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,0,0,0,0,0,397176,98878,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,0,0,0,0,0,397176,98878,,,,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,0,0,0,0,0,397176,98878,,,,
province_2,Province,int8,"1=Kigali City, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,0,0,0,0,0,0,98878,,,,
