variable,label,type,value_labels,n_value_labels,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s5aq7m,Duration household inhabited dwelling _months_,int8,,0,1644,0,EICV5_VUP: module s0_s5_household,,,
s5aq8_v2,[EICV5_VUP..EICV5_VUP version] Household lived in other dwellings before occupyi,int8,"1=Yes, 2=No",2,1644,0,,s5aq8 (EICV7_VUP),,
s5aq9,Main reason for moving to current dwelling,int8,"1=Resettlement- policy, 2=Evacuated-disaster, 3=Get a better house, 4=Build/buy own house, 5=Renting cost …",10,1321,0,EICV5_VUP: module s0_s5_household,,,
s5aq10,Owner of the dwelling,int8,"1=Head, 2=Spouse, 3=Spouse with head, 4=Other household member, 5=Relative …",9,1644,0,EICV5_VUP: module s0_s5_household,,,
s5aq11,Current occupancy status,int8,"1=Owner occupied, 2=Tenancy _renting_, 3=Dwelling provided by employer, 4=Dwelling provided free of charge, 5=Appropriation …",7,1644,0,EICV5_VUP: module s0_s5_household,,,
s5bq1_v2,[EICV5_VUP..EICV5_VUP version] Year built or purchased,int16,,0,1363,0,,s5bq1 (EICV7_VUP),,
s5bq2,The current value of your dwelling if you were to sell it,int32,,0,1363,0,EICV5_VUP: module s0_s5_household,,,
s5bq3a_v2,[EICV5_VUP..EICV5_VUP version] Estimated rent for dwelling,int32,,0,1501,0,,s5bq3a (EICV7_VUP),,
s5bq3b,Time period,int8,"1=Month, 2=Quarterly, 3=Annually",3,1499,230,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Time unit,
s5bq4a,Actual amount of rent paid in cash,int32,,0,139,0,EICV5_VUP: module s0_s5_household,,,
s5bq4b,Time unit,int8,"1=Month, 2=Quarterly, 3=Annually",3,133,0,EICV5_VUP: module s0_s5_household,,,
s5bq5,Household provide servie/payments in kind,int8,"1=Yes, 2=No",2,139,0,EICV5_VUP: module s0_s5_household,,,
s5bq6a,Amount of services/payment in kind,int16,,0,7,0,EICV5_VUP: module s0_s5_household,,,
s5bq6b,Time unit,int8,"1=Month, 2=Quarterly, 3=Annually",3,7,0,EICV5_VUP: module s0_s5_household,,,
s5bq7_v2,[EICV5_VUP..EICV5_VUP version] Anybody outside household paying rent,int8,"1=Yes, 2=No",2,139,0,,s5bq7 (EICV7_VUP),,
s5bq8_v2,[EICV5_VUP..EICV5_VUP version] Who is paying rent,int8,"1=Relative of the head of household, 2=Non relative, 3=State, 4=Private company, 5=Association payment …",6,10,0,,s5bq8 (EICV7_VUP),,
s5bq9a,Amount of rent paid for you,int32,,0,10,0,EICV5_VUP: module s0_s5_household,,,
s5bq9b,Time unit,int8,"1=Month, 2=Quarterly, 3=Annually",3,10,0,EICV5_VUP: module s0_s5_household,,,
s5cq1,Main source of water used for your household?,int8,"1=Piped into Dwelling, 2=Piped into compound, yard/pot, 3=Piped to neighbor HH, 4=Public tap/standpipe, 5=Tube Well/Borehole …",14,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Main source of drinking water,"{""2"": [""Piped into compound, yard/pot"", ""Piped to Yard/Plot""], ""3"": [""Piped to neighbor HH"", ""Public stand/pipe""], ""4"": [""Public tap/standpipe"", ""Tube Well /Borehole""], ""5"": [""Protected well"", ""Tube Well/Borehole""], ""6"": [""Protected spring"", ""Unprotected well""], ""7"": [""Protected spring"", ""Unprotected spring""], ""8"": [""Protected well"", ""Unprotected spring""], ""9"": [""Rain water"", ""Unprotected well""], ""10"": [""Rain water"", ""Tanker truck""], ""11"": [""Surface water _river or lake_"", ""Tanker Truck""], ""12"": [""Other _specify_"", ""River/Stream/Irrigation Channel""]}"
s5cq2,Distance in meters between your dwelling and this source,int16,,0,1566,0,EICV5_VUP: module s0_s5_household,,,
s5cq3,Main Source of drinking water for members of your household?,int8,"1=Piped into Dwelling, 2=Piped into compound, yard/pot, 3=Piped to neighbor HH3, 4=Public tap/standpipe, 5=Tube Well/Borehole …",15,1566,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Type of  nearest drinking water source code,"{""3"": [""Piped to neighbor HH3"", ""Public stand/pipe""], ""4"": [""Public tap/standpipe"", ""Tube Well /Borehole""], ""5"": [""Protected well"", ""Tube Well/Borehole""], ""6"": [""Protected spring"", ""Unprotected well""], ""7"": [""Protected spring"", ""Unprotected spring""], ""8"": [""Protected well"", ""Unprotected spring""], ""9"": [""Rain water"", ""Unprotected well""], ""10"": [""Rain water"", ""Tanker truck""], ""11"": [""Surface water _river or lake_"", ""Tanker Truck""], ""12"": [""Other _specify_"", ""River/Stream/Irrigation Channel""]}"
s5cq4,Distance to the nearest drinking water source _meters,int16,,0,1566,0,EICV5_VUP: module s0_s5_household,,,
s5cq5,Is this source the nearest to you dwelling?,int8,"1=Yes, 2=No",2,1566,3546,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Household use the nearest drinking water source,
s5cq6,Main reason preventing,int8,"1=Too expensive, 2=Not safe, 3=Difficult terrain, 4=Too far, 5=Does not function …",6,262,0,EICV5_VUP: module s0_s5_household,,,
s5cq7,Main reason preventing your HH to use the nearest drinking water source?,int8,"1=Too expensive, 2=Not safe, 3=Difficult terrain, 4=Does not function, 5=Doesn?t work properly …",12,262,667,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Type of source drinking water used by HH,"{""3"": [""Difficult terrain"", ""Public standpipe""], ""4"": [""Borehole"", ""Does not function""], ""5"": [""Doesn?t work properly"", ""Protected well""], ""6"": [""Long queue"", ""Unprotected well""], ""7"": [""Other (specify)"", ""Protected spring""]}"
s5cq8_v2,[EICV5_VUP..EICV5_VUP version] Distance in meters to the source used,int16,,0,262,0,,s5cq8 (EICV7_VUP),,
s5cq9a,Amount of last water bill from WASAC or other distributors (month),int8,,0,78,234,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Amount of last water bill from WASAC or other dist,
s5cq9b,Amount of last water bill from WASAC or other distributors-amount,int32,,0,78,234,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
s5cq10,Did you buy water from a private vendor/neighbour during the last 7 days,int8,"1=Yes, 2=No",2,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Buy water from a private vendor/neighbour during t,
s5cq11,Amount paid to private water vendor last 7 days,int16,,0,430,1159,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
s5cq12_v2,[EICV5_VUP..EICV5_VUP version] Sell water in the last 7 days,int8,"1=Yes, 2=No",2,1644,0,,s5cq12 (EICV7_VUP),,
s5cq13_v2,[EICV5_VUP..EICV5_VUP version] Household earn from the water sold during the las,int32,,0,21,0,,s5cq13 (EICV7_VUP),,
s5cq14_v2,[EICV5_VUP..EICV5_VUP version] Amount contribute to maintain the water source du,int16,,0,1644,0,,s5cq14 (EICV7_VUP),,
s5cq15_v2,[EICV5_VUP..EICV5_VUP version] Household manage the rainwater,int8,"1=No measures, 2=Rainwater tank from roof, 3=Ditch, 4=Piped away, 5=Other",5,1644,0,,s5cq15 (EICV7_VUP),,
s5cq16,Main source energy for home lighting,int8,"1=Electricity from National Grid (EUCL), 2=Electricity from Mini Grid (Other distributors), 3=Private Solar Mini Grid, 4=Standalone solar system, 5=Solar lantern …",16,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Main source of home lighting,"{""1"": [""Electricity from EUCL"", ""Electricity from National Grid (EUCL)""], ""2"": [""Electricity from Mini Grid (Other distributors)"", ""Other electricity distributors""], ""3"": [""Bio Gas"", ""Private Solar Mini Grid""], ""4"": [""Generator"", ""Standalone solar system""], ""5"": [""Oil Lamp"", ""Solar lantern""], ""6"": [""Firewood"", ""Rechargeable lantern""], ""7"": [""Biogas"", ""Candle""], ""8"": [""Generator (Own, Neighbor, Community)"", ""Lantern _Agatadowa_""], ""9"": [""Kerosene/paraffin Lamp"", ""Solar panel""], ""10"": [""Batteries+ Bulb"", ""Firewood""], ""11"": [""Candle"", ""Torch/Phone""], ""12"": [""Rechargeable battery"", ""Traditional Lantern""], ""13"": [""Batteries+ bulb"", ""Other _specify_""]}"
s5cq16a1,Source of electricity that you mostly used in your household,int8,"1=National Grid Connection, 2=Local Mini Grid, 3=Diesel Generator, 4=Solar Home System, 5=Solar Lantern …",8,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a21,The supplier of this solar Home system/solar lantern,int8,"1=Mobisol Rwanda Ltd, 2=Nots Impact Enterprise, 3=Ignite power limited, 4=Waka waka Rwanda, 5=Solar Kiosk …",22,107,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a22,Model of this solar Home system/solar lantern,int8,"1=AEG International GoSol Firefly 12, 2=Anji Da Sol SSL 200, 3=Azuri Indigo Duo Solar Home System, 4=Barefoot Firefly Mobile Lamp _Gen. 2.5_, 5=Barefoot Connect 600 …",68,107,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a3,charge mobile phones everyday with electricity,int8,"1=Yes, partial charge, 2=Yes,  full charge, 3=No, 4=No mobile phones",4,460,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a4,Pay electricity for system said,int8,"1=EUCL, 2=IPP, 3=No one, 4=Other, specify",4,460,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a5,Electricity availability each day and night during last 7 days,double,888=Don't know,1,349,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a6,Electricity availability each evening during last 7 days,double,"1=1 Hour, 2=2 hours, 3=3 hours, 4=4 hours, 888=Don't know",5,349,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a7,Are the hours of supply in 16.A5 more than 16 hours and are the hours of supply,int8,"1=Yes, 2=No",2,349,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a8,many outages/ blackouts of National Grid Connection / Local Mini Grid happen,int16,888=Don't know,1,214,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a9,Total duration of all the outages/ blackouts,int16,"801=More than 800, 888=Don't know",2,214,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a10,Are any appliances get damaded during last 12 months ?,int8,"1=Yes, 2=No",2,349,0,EICV5_VUP: module s0_s5_household,,,
s5cq16a11,did any household members died because of electricity ?,int8,"1=Yes, 2=No",2,349,0,EICV5_VUP: module s0_s5_household,,,
s5cq17_v2,[EICV5_VUP..EICV5_VUP version] Amount paid on electricity in last 4 weeks,int16,,0,371,0,,s5cq17 (EICV7_VUP),,
s5cq18b1,Respondent ID,int8,,0,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18_v2,[EICV5_VUP..EICV5_VUP version] Primary source of cooking fuel,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Biogaz, 5=Solar power …",10,1644,0,,s5cq18 (EICV7_VUP),,
s5cq18b2,Type of cooking stove,int8,"1=Three stone / fire stove, 2=Other Self-Built   Stove, 3=Manufactured Stove, 4=Charcoal/fire stove, 5=Efficient cookstove _Rondereza_ …",6,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b32,Model of  cooking stove,int8,"1=Fixed improved mud stove, 2= Improved wood stove, 3=Single pot metal charcoal stove, 4=Mud stove, 5=Multi pot metal charcoal stove …",16,418,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b4,Value of cooking stove,int32,88888888=Don't know,1,734,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b5,Cooking stove installed area,int8,"1=In dwelling, NOT in sleeping are, 2=In dwelling, in a sleeping area, 3=In a separate Dwelling, 4=In a veranda _roofed platform with at least two open sides, 5=Outdoors …",6,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b6,"Use a chimney, hood or other exhaust system while using stove",int8,"1=Yes, 2=No",2,1252,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b71,Two main fuels you used on this cook stove during last 12 months_most used,int8,"1=Kerosene, 2=Charcoal, 3=Wood, 4=Solar, 5=Animal Waste/ Dung …",13,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b72,Two main fuels you used on this cook stove during last 12 months_second most use,int8,"1=Kerosene, 2=Charcoal, 3=Wood, 4=Solar, 5=Animal Waste/ Dung …",14,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b8a,Amount spend for cooking fuel during last month,int32,888888=Don't kwon,1,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b8b,Amount spend for cooking fuel during last month,int32,888888=Don't kwon,1,251,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b91,Two main harm / injury happened from cooking stove_Most_,int8,"1=Death, 2=Permanent physical damage to any person in the household, 3=Burns/fire/poisoning, 4=Severe cough/respiratory problem, 5=Fire with no injury …",7,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq18b92,Two main harm / injury happened from cooking stove _second most_,int8,"1=Death, 2=Permanent physical damage to any person in the household, 3=Burns/fire/poisoning, 4=Severe cough/respiratory problem, 5=Fire with no injury …",7,238,0,EICV5_VUP: module s0_s5_household,,,
s5cq19_v2,[EICV5_VUP..EICV5_VUP version] Mode of rubbish/garbage disposal,int8,"1=Publicly managed refuse area, 2=Rubbish collection service, 3=Thrown in bushes or fields, 4=Dumped in reiver or lake, 5=Burnt …",7,1644,0,,s5cq19 (EICV7_VUP),,
s5cq20_v2,[EICV5_VUP..EICV5_VUP version] Type of toilet household use,int8,"1=Flush toilet, 2=Pit latrine with solid slab, 3=Pit latrine without slab, 4=Other, 5=No toilet whatsever",5,1644,0,,s5cq20 (EICV7_VUP),,
s5cq21_v2,[EICV5_VUP..EICV5_VUP version] The toilet facility shared with another household,int8,"1=Yes, 2=No",2,1644,0,,s5cq21 (EICV7_VUP),,
s5cq22,Problems of environmental destruction in the previous 12 months,int8,"1=Yes, 2=No",2,1644,0,EICV5_VUP: module s0_s5_household,,,
s5cq23_v2,[EICV5_VUP..EICV5_VUP version] Major environmental destruction related problems,int8,"1=Floods, 2=Mountain slides, 3=Destructive rains, 4=Other",4,226,0,,s5cq23 (EICV7_VUP),,
s5cq24_v2,[EICV5_VUP..EICV5_VUP version] Received any environmental information in the las,int8,"1=Yes, 2=No",2,1644,0,,s5cq24 (EICV7_VUP),,
s5cq25_v2,[EICV5_VUP..EICV5_VUP version] Main source of information on environmental issue,int8,"1=Meetings/Trainings, 2=School, 3=Radio/tv, 4=Other type of media, 5=Others _Specify_",5,1313,0,,s5cq25 (EICV7_VUP),,
s5cq26_v2,[EICV5_VUP..EICV5_VUP version] Internet connection _including on a mobile phone/,int8,"1=Yes, 2=No",2,1644,0,,s5cq26 (EICV7_VUP),,
s5cq27_v2,[EICV5_VUP..EICV5_VUP version] Main kind of internet connection used by househol,int8,"1=Landline/LAN, 2=Modem, 3=Mobile phone, 4=Wireless, 5=Other",5,197,0,,s5cq27 (EICV7_VUP),,
s5dq1,Main construction material of exterior wall,int8,"1=Mud bricks, 2=Mud bricks with cement, 3=Oven fired bricks with mud, 4=Oven fired bricks with cement, 5=Cement blocks …",12,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,"{""2"": [""Mud bricks covered with cement"", ""Mud bricks with cement""], ""3"": [""OVen fired bricks"", ""Oven fired bricks with mud""], ""4"": [""Cement bricks"", ""Oven fired bricks with cement""], ""5"": [""Cement blocks"", ""Wooden planks""], ""6"": [""Stones"", ""Wooden planks""], ""7"": [""Stones with mud"", ""Tree trunks with mud""], ""8"": [""Stones with cement"", ""Tree trunks with mud and cement""], ""9"": [""Plastic sheeting"", ""Tree trunks with mud""], ""10"": [""Other"", ""Tree trunks with  mud and cement""]}"
s5dq2,Main roofing material for dwelling,int8,"1=Metal sheets/corrugated iron, 2=Local clay tiles, 3=Concrete, 4=Plastic/plywood/impermanent materials, 5=Industrial tiles …",7,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,"{""1"": [""Metal sheets/corrugated iron"", ""Thatch / leaves/grass""], ""2"": [""Local clay tiles"", ""Metal sheets/ corrugated iron""], ""3"": [""Concrete"", ""Local clay tiles""], ""4"": [""Concrete"", ""Plastic/plywood/impermanent materials""], ""5"": [""Industrial tiles"", ""Plastic/plywood/impermanent materials""], ""6"": [""Industrial tiles"", ""Other (specify)""]}"
s5dq3,Main floor material for dwelling,int8,"1=Beaten earth, 2=Dung hardened, 3=Wooden floor, 4=Clay tiles, 5=Cement …",8,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,"{""2"": [""Dung hardened"", ""Hardened dung""], ""7"": [""Carpet/Moquette"", ""Other""]}"
s5dq4,Area of the floor for dwelling-outside,double,901=Greater than 900 meters squared,1,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,,
s5eq1,Unsual negative situation  affected household,int8,"1=Yes, 2=No",2,1644,3771,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Unsual situation  affected household,
s5eq21,Main problems affecting your household during the last 12 months_1st  severe sho,int8,"1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=LandslidesÂ andÂ Mudslides, 4=UnusuallyÂ highÂ level of crop pests & disease, 5=Unusually high level of Livestock diseases …",13,613,0,EICV5_VUP: module s0_s5_household,,,
s5eq22,Main problems affecting your household during the last 12 months_2nd  severe sho,int8,"0=None, 1=Drought/irregular rains, prolonged dry spell, 2=Floods, 3=LandslidesÂ andÂ Mudslides, 4=UnusuallyÂ highÂ level of crop pests & disease …",14,613,0,EICV5_VUP: module s0_s5_household,,,
s5eq3a,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,613,2204,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Compensate for the consequences of the chock in th,"{""1"": [""Sold household goods (radio, furniture, refrigerator, television, jewellery)"", ""Sold household goods _radio, furniture, refrigerator, television, jewellery""], ""4"": [""Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car"", ""Sold productive assets or means of transport _sewing machine, wheelbarrow, bicycle, car""], ""5"": [""Used up savings"", ""Used up savings)""], ""10"": [""Sold more animals (non - productive) than usual"", ""Sold more animals _non - productive_ than usual""], ""15"": [""Other_specify_"", ""Received help from religious institution""]}"
s5eq3b,What did the household do to compensate for the consequences of the chock in the,int8,"1=Sold household goods (radio, furniture, refrigerator, television, jewellery), 2=Reduced expenditure on food, 3=Reduced necessary expenditure on health and education, 4=Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car, 5=Used up savings) …",22,137,1097,EICV5_VUP: module s0_s5_household; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Compensate for the consequences of the chock in th,"{""1"": [""Sold household goods (radio, furniture, refrigerator, television, jewellery)"", ""Sold household goods _radio, furniture, refrigerator, television, jewellery""], ""4"": [""Sold productive assets or means of transport (sewing machine, wheelbarrow, bicycle, car"", ""Sold productive assets or means of transport _sewing machine, wheelbarrow, bicycle, car""], ""5"": [""Used up savings"", ""Used up savings)""], ""10"": [""Sold more animals (non - productive) than usual"", ""Sold more animals _non - productive_ than usual""], ""15"": [""Other_specify_"", ""Received help from religious institution""]}"
s0q18m,Month of interview,int8,,0,1644,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s0q18y,Year of interview,int16,,0,1644,0,EICV5_VUP: module s9c_vup_ubudehe_and_rssp_schemes,,,
s10aq1,Household member tried to obtain a loan,int8,"1=Yes, 2=No",2,1643,0,EICV5_VUP: module s10a1_credits,,,
s10aq2,Reason why loan was denied,int8,"1=Insuffivient income, 2=Insufficient collateral, 3=Problems related to debts history, 4=Unclear purpose of the loan, 5=Other reasons",5,84,0,EICV5_VUP: module s10a1_credits,,,
s10aq3,Household members owe money,int8,"1=Yes, 2=No",2,1643,0,EICV5_VUP: module s10a1_credits,,,
s7a2q1,Have you ever received a cow from the Governments ?one cow per poor family polic,int8,"1=Yes, 2=No",2,1136,3771,EICV5_VUP: module s7a2_livestock; EICV7_VUP: module s01_s5_s7_household,,EICV5_VUP: Household ever received animal from Govt one-cow p,
s7a2q2_v2,[EICV5_VUP..EICV5_VUP version] Animal still with household,int8,"1=Yes, 2=No",2,206,0,,s7a2q2 (EICV7_VUP),,
s7a2q3_v2,[EICV5_VUP..EICV5_VUP version] Household ever receiced animal from NGO or social,int8,"1=Yes, 2=No",2,1136,0,,s7a2q3 (EICV7_VUP),,
s7a2q4a,Kind of animal 1st,int8,"1=Cattle, 2=Sheep, 3=Goat, 4=Poultry, 5=Pig …",7,208,0,EICV5_VUP: module s7a2_livestock,,,
s7a2q4b,Kind of animal 2nd,int8,"0=None, 1=Cattle, 2=Sheep, 3=Goat, 4=Poultry …",8,208,0,EICV5_VUP: module s7a2_livestock,,,
s7a2q5,Has the number of animals changed,int8,"1=Yes, increased, 2=Yes, reduced, 3=No, the same",3,375,0,EICV5_VUP: module s7a2_livestock,,,
s7a2q6,Household uses a maintained pasture,int8,"1=Yes, 2=No",2,1136,0,EICV5_VUP: module s7a2_livestock,,,
s7a2q7_v2,[EICV5_VUP..EICV5_VUP version] Owner of pasture,int8,"1=Household ownership, 2=Other person/priate company, 3=State owned, 4=District land",4,7,0,,s7a2q7 (EICV7_VUP),,
s7a2q8,Cost of using the pasture,int32,0=Not applicable,1,7,0,EICV5_VUP: module s7a2_livestock,,,
s7a2q9,Number of months in the past 12 in which pasture was utilized,int8,,0,7,0,EICV5_VUP: module s7a2_livestock,,,
s7b1q1,Household member currently own any agricultural land,int8,"1=Yes, 2=No",2,1644,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q2,Any member of the household owned land over the last 12 months,int8,"1=Yes, 2=No",2,251,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q3,Household bought land over the last 12 months,int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q4,Amount paid to acquire land,int32,,0,126,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q5,Household sold land in the last 12 months,int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q6,Amount received from the sale in the last 12 months,int32,,0,145,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q7,Household rented out any land over the last 12 months,int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q8,Amount reiceveid from the rent of land,int32,,0,155,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q9,Household sharecropped land in the last 12 months,int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q10,Amount received from the sharecropping in the last 12 months,int32,,0,105,0,EICV5_VUP: module s7b1_land_agriculture,,,
s7b1q11,"Household received land gift,inheritance, dowry or otherwise over the last 12 mo",int8,"1=Yes, 2=No",2,1411,0,EICV5_VUP: module s7b1_land_agriculture,,,
