variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8aq1,Did you own livestock/poultry in last 12 months?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",6420,0,0,0,0,0,0,,,,
s8aq2_v2,[EICV1..EICV1 version] Livestock/poultry code,int16,"101=Cattle, 102=Sheep, 103=Goats, 104=Pigs, 105=Rabbit …",8,"household / farm (agriculture, livestock)",29128,0,0,0,0,0,0,,s8aq2 (EICV2),,
s8aq3_v2,[EICV1..EICV1 version] Did you raise this livestock/poultry?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",29128,0,0,0,0,0,0,,s8aq3 (EICV2),,
s8aq4_v2,[EICV1..EICV1 version] How many do you have now?,int16,,0,"household / farm (agriculture, livestock)",7286,0,0,0,0,0,0,,s8aq4 (EICV2),,
s8aq5_v2,[EICV1..EICV1 version] How much could you sell one for today?,int32,,0,"household / farm (agriculture, livestock)",6759,0,0,0,0,0,0,,s8aq5 (EICV2),,
s8aq6_v2,[EICV1..EICV1 version] Have you sold any in last 12 months?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",7286,0,0,0,0,0,0,,s8aq6 (EICV2),,
s8aq7_v2,[EICV1..EICV1 version] How many did you sell?,int16,,0,"household / farm (agriculture, livestock)",2014,0,0,0,0,0,0,,s8aq7 (EICV2),,
s8aq8,Total amount of sales,int32,,0,"household / farm (agriculture, livestock)",2014,3417,0,0,0,0,0,,,EICV1: What was total sales value?,
s8aq9_v2,"[EICV1..EICV1 version] In last 12 months, did you buy any?",int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",7286,0,0,0,0,0,0,,s8aq9 (EICV2),,
s8aq10_v2,[EICV1..EICV1 version] How many did you buy?,int8,,0,"household / farm (agriculture, livestock)",2256,0,0,0,0,0,0,,s8aq10 (EICV2),,
s8aq11,Total value of purchase,int32,,0,"household / farm (agriculture, livestock)",2256,3077,0,0,0,0,0,,,EICV1: What was the total value of purchase?,
s8aq12_v2,[EICV1..EICV1 version] Did you lose any in last 12 months?,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",7285,0,0,0,0,0,0,,s8aq12 (EICV2),,
s8aq13,Number lost,int16,,0,"household / farm (agriculture, livestock)",2256,3006,0,0,0,0,0,,,EICV1: How many were lost?,
s8aq14,Reason for loss,int8,"0=Missing, 1=Lack of water, 2=Sickness, 3=Theft, 4=Strayed …",7,"household / farm (agriculture, livestock)",2256,3012,0,0,0,0,0,,,EICV1: What was main reason for loss?,"{""2"": [""Illness"", ""Sickness""], ""4"": [""Strayed"", ""Straying""]}"
s8aq15,Rental of cattle (oxen) during the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",263,1627,0,0,0,0,0,,,EICV1: Did you rent out any last 12 months?,
s8aq16_v2,[EICV1..EICV1 version] How much did you receive from renting?,int32,,0,"household / farm (agriculture, livestock)",4,0,0,0,0,0,0,,s8aq16 (EICV2),,
id6,Household number,int8,,0,"household / farm (agriculture, livestock)",0,37936,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household / farm (agriculture, livestock)",0,37936,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household / farm (agriculture, livestock)",0,37936,0,0,0,0,0,,,,
item,Code of livestock,int8,"1=Cattle, 2=Sheep, 3=Goats, 4=Pigs, 5=Rabbits …",8,"household / farm (agriculture, livestock)",0,37936,78432,0,0,0,0,,,EICV2: Product code,
s8aq2,Household raises livestock,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,37934,0,0,0,0,0,,s8aq2_v2 (EICV1),,
s8aq3,Number owned,int16,,0,"household / farm (agriculture, livestock)",0,9994,0,0,0,0,0,,s8aq3_v2 (EICV1),,
s8aq4,Practice keeping livestock in stables,int8,"1=Yes, all, 2=Yes, partial, 3=No",3,"household / farm (agriculture, livestock)",0,8867,0,0,0,0,0,,s8aq4_v2 (EICV1),,
s8aq5,Value per unit of livestock,int32,,0,"household / farm (agriculture, livestock)",0,8869,0,0,0,0,0,,s8aq5_v2 (EICV1),,
s8aq6,Sold livestock,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,9996,0,0,0,0,0,,s8aq6_v2 (EICV1),,
s8aq7,Number sold,int16,,0,"household / farm (agriculture, livestock)",0,3419,0,0,0,0,0,,s8aq7_v2 (EICV1),,
s8aq9,Purchased livestock,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,9996,0,0,0,0,0,,s8aq9_v2 (EICV1),,
s8aq10,Number of livestock purchased,int16,,0,"household / farm (agriculture, livestock)",0,3082,0,0,0,0,0,,s8aq10_v2 (EICV1),,
s8aq12,Lost livestock,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,9998,0,0,0,0,0,,s8aq12_v2 (EICV1),,
s8aq16,Amount received from rental,int32,,0,"household / farm (agriculture, livestock)",0,16,0,0,0,0,0,,s8aq16_v2 (EICV1),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,"household / farm (agriculture, livestock)",0,37936,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"household / farm (agriculture, livestock)",0,0,78432,80877,0,89633,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,"household / farm (agriculture, livestock)",0,0,78432,80877,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
s8a1q2,Household raised any livestock in last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,78432,0,0,0,0,,,,
s8a1q3,Number of livestock owned,int16,,0,"household / farm (agriculture, livestock)",0,0,21529,0,0,0,0,,,,
s8a1q4,Any of the livestock kept in a stable,int8,"1=Yes, all, 2=Yes, part, 3=No",3,"household / farm (agriculture, livestock)",0,0,17908,0,0,0,0,,,,
s8a1q5,Current unit value of the livestock,int32,,0,"household / farm (agriculture, livestock)",0,0,17908,0,0,0,0,,,,
s8a1q6,Sold any livestock in the past 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,21529,0,0,0,0,,,,
s8a1q7,Number of Livestock sold,int16,,0,"household / farm (agriculture, livestock)",0,0,9565,0,0,0,0,,,,
s8a1q8,Total amount received from the sale,int32,,0,"household / farm (agriculture, livestock)",0,0,9565,0,0,0,0,,,,
s8a1q9,Household bought any livestock,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,21529,0,0,0,0,,,,
s8a1q10,Number of livestock bought,int16,,0,"household / farm (agriculture, livestock)",0,0,7409,0,0,0,0,,,,
s8a1q11,Total amount spent ont he purchase,int32,,0,"household / farm (agriculture, livestock)",0,0,7409,0,0,0,0,,,,
s8a1q12,Lost livestock in the past 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,21529,0,0,0,0,,,,
s8a1q13,Number of livestock lost,int16,,0,"household / farm (agriculture, livestock)",0,0,6437,0,0,0,0,,,,
s8a1q14,Main reason for the loss of livestock,int8,"1=Lack of water, 2=Sickness, 3=Stolen, 4=Strayed, 5=Animal predators …",7,"household / farm (agriculture, livestock)",0,0,6437,0,0,0,0,,,,
s8a1q15,Rented any animals in the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,21529,0,0,0,0,,,,
s8a1q16,Total amount received fromthe rental,int32,0=Not applicable,1,"household / farm (agriculture, livestock)",0,0,153,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household / farm (agriculture, livestock)",0,0,0,80877,14479,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household / farm (agriculture, livestock)",0,0,0,80877,14479,89633,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7aq3,Code of livestock,int8,"1=Cattle >=2Years, 2=Cattle <2 Years, 3=Sheep, 4=Goats, 5=Pigs …",10,"household / farm (agriculture, livestock)",0,0,0,75952,13736,89633,0,,,,"{""1"": [""Cattle"", ""Cattle >=2Years""], ""2"": [""Cattle <2 Years"", ""Sheep""], ""3"": [""Goats"", ""Sheep""], ""4"": [""Goats"", ""Pigs""], ""5"": [""Pigs"", ""Rabbits""], ""6"": [""Chickens"", ""Rabbits""], ""7"": [""Chickens"", ""Other poultry""], ""8"": [""Other animals"", ""Other poultry""]}"
s7aq3d,Type of livestock,string,,0,"household / farm (agriculture, livestock)",31907,37936,78432,80877,14479,89633,11867,,,,
s7aq4,Household raised any livestock in last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,75952,13736,89633,0,,,EICV4_CS: Raised type of livestock in last 12 months; EICV4_VUP: Raised type of livestock in last 12 months,
s7aq5,Number of livestock actually own,int16,99999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,20984,3412,21222,0,,,EICV4_CS: Number of livestock owned; EICV4_VUP: Number of livestock owned,
s7aq6,Stable these animals,int8,"1=Yes, all, 2=Yes, some, 3=No, 9=Missing",4,"household / farm (agriculture, livestock)",0,0,0,16949,2794,0,0,,s7aq6_v2 (EICV5_CS),,
s7aq7,Sales price in today's prices,int32,"9999999=Missing, 999999999=Missing",2,"household / farm (agriculture, livestock)",0,0,0,16949,2794,0,0,,s7aq7_v2 (EICV5_CS),,
s7aq8,Have bought any in last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,20984,3412,0,0,,s7aq8_v2 (EICV5_CS),,
s7aq9,Number of livestock bought,int16,"9999=Missing, 99999=Missing",2,"household / farm (agriculture, livestock)",0,0,0,8317,1356,0,0,,s7aq9_v2 (EICV5_CS),,
s7aq10,Value of animal purchases,int32,"0=None purchased, 9999999=Missing, 999999999=Missing",3,"household / farm (agriculture, livestock)",0,0,0,8317,1356,0,0,,s7aq10_v2 (EICV5_CS),,
s7aq11,Number born in the past 12 months,int8,"0=None, 99=Missing, 99999=Missing",3,"household / farm (agriculture, livestock)",0,0,0,14159,2401,0,0,,s7aq11_v2 (EICV5_CS),,
s7aq12,Sold or killed any livestock in the past 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,20984,3412,0,0,,,,
s7aq13,Number of livestock sold or slaughtered,int16,99999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,9174,1291,0,0,,,,
s7aq14,Value of the animals sold live or dead,int32,"999999=Missing, 9999999=Missing",2,"household / farm (agriculture, livestock)",0,0,0,9174,1291,0,0,,,,
s7aq15,Lost livestock in the past 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,20984,3412,0,0,,,,
s7aq16,Number of livestock lost,int32,99999=Missing,1,"household / farm (agriculture, livestock)",0,0,0,6042,960,0,0,,,,
s7aq17,Rented any animals in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,"household / farm (agriculture, livestock)",0,0,0,4831,758,0,0,,,,
s7aq18,Total amount earned from the rental,int32,"0=Not applicable, 999999999=Missing",2,"household / farm (agriculture, livestock)",0,0,0,50,7,0,0,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household / farm (agriculture, livestock)",0,0,0,80877,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household / farm (agriculture, livestock)",0,0,0,80877,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household / farm (agriculture, livestock)",0,0,0,80877,14479,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household / farm (agriculture, livestock)",0,0,0,80877,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,0,80877,14479,0,0,,,,
s0q19y,Year of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,0,80877,14479,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,14479,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,"household / farm (agriculture, livestock)",0,0,0,0,0,89633,0,,"poverty (EICV3, EICV4_CS)",,
s7sa0,Grown food or other agricultural produce to eat over the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,89633,0,,,,
s7sa,"Animals, poultry,or bees raised  Over the last 12 months",int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,89633,0,,,,
s7aq5a1,Number of bees hive actually own_Modern bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,344,0,,,,
s7aq5a2,Number of bees hive actually own_Traditional bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,344,0,,,,
s7aq5b1,Kilo of honey harvested over the last 12 months_modern bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,344,0,,,,
s7aq5b2,Kilo of honey harvested over the last 12 months_traditional bee hive_,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,344,0,,,,
s7aq6_v2,[EICV5_CS..EICV5_CS version] Current unit value of the livestock,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,16737,0,,"s7aq6 (EICV4_CS, EICV4_VUP)",,
s7aq7_v2,[EICV5_CS..EICV5_CS version] Sold or killed any livestock in the past 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,21558,0,,"s7aq7 (EICV4_CS, EICV4_VUP)",,
s7aq8_v2,[EICV5_CS..EICV5_CS version] Number of Livestock sold or slaughtered,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,10718,0,,"s7aq8 (EICV4_CS, EICV4_VUP)",,
s7aq9_v2,[EICV5_CS..EICV5_CS version] Total amount received from the sale,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,9241,0,,"s7aq9 (EICV4_CS, EICV4_VUP)",,
s7aq10_v2,[EICV5_CS..EICV5_CS version] Rented any animals in the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,15067,0,,"s7aq10 (EICV4_CS, EICV4_VUP)",,
s7aq11_v2,[EICV5_CS..EICV5_CS version] Total amount received from the rental,int32,0=Not applicable,1,"household / farm (agriculture, livestock)",0,0,0,0,0,126,0,,"s7aq11 (EICV4_CS, EICV4_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11867,,,,
s7a1q1,Grown food or other agricultural produce to eat over the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11867,,,,
s7a1q2,"Animals, poultry,or bees raised  Over the last 12 months",int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11677,,,,
s7a1q3,Code of livestock,int8,"1=Cattle >=2Years, 2=Cattle <2 Years, 3=Sheep, 4=Goats, 5=Pigs …",10,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11359,,,,
s7a1q4,Household raised any livestock in last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11359,,,,
s7a1q5,Number of livestock actually own,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,2512,,,,
s7a1q5a1,Number of bees hive actually own_Modern bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,40,,,,
s7a1q5a2,Number of bees hive actually own_Traditional bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,40,,,,
s7a1q5b1,Kilo of honey harvested over the last 12 months_modern bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,40,,,,
s7a1q5b2,Kilo of honey harvested over the last 12 months_traditional bee hive_,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,40,,,,
s7a1q6,Current unit value of the livestock,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,1975,,,,
s7a1q7,Sold or killed any livestock in the past 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,0,2551,,,,
s7a1q8,Number of Livestock sold or slaughtered,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,1223,,,,
s7a1q9,Total amount received from the sale,int32,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,1109,,,,
s7a1q10,Rented any animals in the last 12 months,int8,"1=Yes, 2=No",2,"household / farm (agriculture, livestock)",0,0,0,0,0,0,1823,,,,
s7a1q11,Total amount received from the rental,int32,0=Not applicable,1,"household / farm (agriculture, livestock)",0,0,0,0,0,0,20,,,,
s0q18m,Month of interview,int8,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11867,,,,
s0q18y,Year of interview,int16,,0,"household / farm (agriculture, livestock)",0,0,0,0,0,0,11867,,,,
