variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
age,Age in years,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,EICV1: household (expenditure and own consumption); EICV2: household (expenditure and own consumption); EICV3: household (expenditure and own consumption); EICV4_CS: household (expenditure and own consumption); EICV4_VUP: household (expenditure and own consumption); EICV5_CS: household (expenditure and own consumption); EICV5_VUP: household (expenditure and own consumption); EICV7_CS: household (consumption by source); EICV7_VUP: household (consumption by source),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
rectype,Record type,string,,0,household (expenditure and own consumption),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
strate,Strate,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
prefect,Prefecture,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
commune,Commune,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
secteur,Secteur,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
cellule,Cellule,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
zone,Zone,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
menage,Menage,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s9bq1,,int16,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s9bq2,Household purchased article during last 12 months,int8,"1=Yes, 2=No",2,household (expenditure and own consumption),879499,0,2103276,0,0,0,0,0,0,,,,
s9bq3,Number of months int he last 12 in which article was purchased,int8,,0,household (expenditure and own consumption),154505,0,506925,0,0,0,0,0,0,,,,
s9bq4,Visit 1,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq5,Visit 2,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq6,Visit 3,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq7,Visit 4,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq8,Visit 5,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq9,Visit 6,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq10,Visit 7,int32,0=None,1,household (expenditure and own consumption),879539,0,506925,0,0,0,0,0,0,,,,
s9bq11,Visit 8,int32,0=None,1,household (expenditure and own consumption),157412,0,73392,0,0,0,0,0,0,,,,
s9bq12,Visit 9,int32,0=None,1,household (expenditure and own consumption),157412,0,73392,0,0,0,0,0,0,,,,
s9bq13,Visit 10,int32,0=None,1,household (expenditure and own consumption),157412,0,73392,0,0,0,0,0,0,,,,
deptot,,int32,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
depann,,double,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s1q1,Sexe,int8,"1=Masculin, 2=Feminin",2,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s1q2,Relation avec le CM,int8,"1=Chef de menage, 2=Conjoint, 3=Fils/Fille, 4=Petit fils/fille, 5=Pere/Mere …",8,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
idind,Identifiant de l'individu,double,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
idmenag,Identifiant du menage,double,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
taille,Taille du ménage,int8,,0,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
clage,classe d'age,int8,"1=Moins de 5ans, 2=5 a moins de 10 ans, 3=10  a moins de 15 ans, 4=15 a moins de 20 ans, 5=20 a moins de 25 ans …",17,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,household (expenditure and own consumption),879539,0,2103276,2119593,0,2187000,0,0,0,,quintile_v2 (EICV7_CS),EICV1: Quintile de depense; EICV4_CS: QUINTILE,"{""1"": [""1er quintile"", ""Q1""], ""2"": [""2eme quintile"", ""Q2""], ""3"": [""3eme quintile"", ""Q3""], ""4"": [""4eme quintile"", ""Q4""], ""5"": [""5eme quintile"", ""Q5""]}"
nivpauv,Niveau de pauvreté,int8,"1=Extrême pauvre, 2=Pauvre, 3=Non pauvre",3,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s1q4,Situation matrimoniale,int8,"1=Marié non CM, 2=Union libre, 3=Divorcé, 4=Séparé, 5=Celibataire …",8,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
s1q13,Statut de membre,int8,"1=Oui, 2=Non",2,household (expenditure and own consumption),879539,0,0,0,0,0,0,0,0,,,,
nivinst,Niveau d'instruction,int8,"1=Primaire, 2=Postprimaire, 3=Secondaire, 4=Supérieur, 5=Inconnu …",6,household (expenditure and own consumption),879402,0,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,household (expenditure and own consumption),0,105444,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,household (expenditure and own consumption),0,105444,0,0,0,0,0,0,0,,,,
item_v2,[EICV2..EICV2 version] Item,int16,"1=Shelled local rice, 2=Imported rice, 3=Maize, 4=Dry maize (grain), 5=Sorghum …",144,household (expenditure and own consumption),0,105444,0,0,0,0,0,0,0,,item (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,household (expenditure and own consumption),0,105444,0,0,0,0,0,0,0,,,,
exp13p,,double,,0,household (expenditure and own consumption),0,105444,0,0,0,0,0,0,0,,,,
var00001,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00002,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00003,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00004,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00005,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00006,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00007,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00008,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00009,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00010,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00011,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00012,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00013,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00014,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00015,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00016,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00017,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00018,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00019,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
var00020,,int8,,0,household (expenditure and own consumption),0,0,0,0,0,0,0,0,0,,,,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,household (expenditure and own consumption),0,0,2103276,2119593,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS)",EICV3: Poverty status; EICV4_CS: POVERTY,
item,Article,int16,"175=Local rice, 176=Imported rice, 177=Maize (fresh), 178=Dry maize (grain), 179=Sorghum …",147,household (expenditure and own consumption),0,0,2103276,0,0,0,0,0,0,,item_v2 (EICV2),,
s9bq14,Place of purchase,int8,"1=Small shop, 2=Supermarket, 3=Food shop, 4=Market, 5=Mobile seller …",9,household (expenditure and own consumption),0,0,2103276,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,household (expenditure and own consumption),0,0,0,2119593,361620,2187000,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s8bq0,Article,int16,"1=Local rice, 2=Imported rice, 3=Maize _fresh_, 4=Dry maize _grain_, 5=Sorghum …",150,household (expenditure and own consumption),0,0,0,2119593,361620,2187000,246600,0,0,,"s8bq0_v2 (EICV7_CS, EICV7_VUP)",,"{""3"": [""Maize (fresh)"", ""Maize _fresh_""], ""4"": [""Dry maize (grain)"", ""Dry maize _grain_""], ""7"": [""Wheat (grain)"", ""Wheat _grain_""], ""9"": [""Corn (flour)"", ""Corn _flour from Mill_""], ""10"": [""Corn _flour from Factory_"", ""Sorghum (flour)""], ""11"": [""Sorghum _flour_"", ""Wheat (flour)""], ""12"": [""Millet (flour)"", ""Wheat _flour_""], ""13"": [""Millet _flour_"", ""Other flour of cereals""], ""14"": [""Bread"", ""Other flour of cereals""], ""15"": [""Bread"", ""Cakes/Chapati/Mandazi""], ""16"": [""Biscuits"", ""Cakes/Chapati/Mandazi""], ""17"": [""Biscuits"", ""Pasta""], ""18"": [""Beef meat"", ""Pasta""], ""19"": [""Beef meat"", ""Sheep /Mutton / lamb meat""], ""20"": [""Goat meat"", ""Sheep /Mutton / lamb meat""], ""21"": [""Goat meat"", ""Pork meat""], ""22"": [""Pork meat"", ""Rabbit Meat""], ""23"": [""Rabbit Meat"", ""Wild Meat""], ""24"": [""Other Meats"", ""Wild Meat""], ""25"": [""Other Meats"", ""Sausages, bacon, ham  etc""], ""26"": [""Preserved/canned meat"", ""Sausages, bacon, ham  etc""], ""27"": [""Chicken live"", ""Preserved/canned meat""], ""28"": [""Chicken live"", ""Frozen chicken""], ""29"": [""Frozen chicken"", ""Other domestic poultries eg ducks""], ""30"": [""Eggs"", ""Other domestic poultries eg ducks""], ""31"": [""Eggs"", ""Fish (fresh / frozen)""], ""32"": [""Fish _fresh / frozen_"", ""Small Sized Fish (fresh)""], ""33"": [""Fish (dry / smoked)"", ""Small Sized Fish _fresh_""], ""34"": [""Fish _dry / smoked_"", ""Small Sized Fish (dry)""], ""35"": [""Preserved/canned fish"", ""Small Sized Fish _dry_""], ""36"": [""Fresh milk"", ""Preserved/canned fish""], ""37"": [""Curdled Milk"", ""Fresh milk""], ""38"": [""Condensed milk unsweetened"", ""Curdled Milk""], ""39"": [""Condensed milk unsweetened"", ""Milk powder""], ""40"": [""Milk powder"", ""Yogurt""], ""41"": [""Ice cream"", ""Yogurt""], ""42"": ["" Ice cream"", ""Cheese""], ""43"": [""Butter (local)"", ""Cheese""], ""44"": [""Butter (imported)"", ""Butter _local_""], ""45"": [""Butter _imported_"", ""Margarine""], ""46"": [""Margarine"", ""Peanut oil""], ""47"": [""Palm oil"", ""Peanut oil""], ""48"": [""Other plant oils"", ""Palm oil""], ""49"": [""Lard of pork"", ""Other plant oils""], ""50"": [""Banana fruit (Imineke)"", ""Lard of pork""], ""51"": [""Banana - beer (Ikakama/Inkashi)"", ""Banana fruit _Imineke_""], ""52"": [""Banana - beer _Ikakama/Inkashi_"", ""Banana - cooking (Inyamunyo)""], ""53"": [""Banana - cooking _Inyamunyo_"", ""Mangos""], ""54"": [""Mangos"", ""Papayas""], ""55"": [""Avocado"", ""Papayas""], ""56"": [""Avocado"", ""Pineapple""], ""57"": [""Guava"", ""Pineapple""], ""58"": [""Guava"", ""Orange (local)""], ""59"": [""Orange (imported)"", ""Orange _local_""], ""60"": [""Orange _imported_"", ""Tangerine""], ""61"": [""Citron - Lemon"", ""Tangerine""], ""62"": [""Citron - Lemon"", ""Passion Fruit""], ""63"": [""Passion Fruit"", ""Plums""], ""64"": [""Berries"", ""Plums""], ""65"": [""Apples"", ""Berries""], ""66"": [""Apples"", ""Other fruits""], ""67"": [""Other fruits"", ""Soya Flour""], ""68"": [""Groundnut flour"", ""Soya Flour""], ""69"": [""Ground nuts (peanuts)"", ""Groundnut flour""], ""70"": [""Grilled ground nuts"", ""Ground nuts _peanuts_""], ""71"": [""Grilled ground nuts"", ""String bean""], ""72"": [""Fresh bean"", ""String bean""], ""73"": [""Dry beans"", ""Fresh bean""], ""74"": [""Dry beans"", ""Soya (fresh)""], ""75"": [""Soya (dry)"", ""Soya _fresh_""], ""76"": [""Green pea (fresh)"", ""Soya _dry_""], ""77"": [""Green pea (dry)"", ""Green pea _fresh_""], ""78"": [""Green pea _dry_"", ""Tomato""], ""79"": [""Onion"", ""Tomato""], ""80"": [""Garlic"", ""Onion""], ""81"": [""Garlic"", ""Pumpkin""], ""82"": [""Cucumber"", ""Pumpkin""], ""83"": [""Cucumber"", ""Eggplant""], ""84"": [""Carrot"", ""Eggplant""], ""85"": [""Carrot"", ""Leeks""], ""86"": [""Leeks"", ""Lettuce""], ""87"": [""Celery"", ""Lettuce""], ""88"": [""Celery"", ""Parsley""], ""89"": [""Mushrooms"", ""Parsley""], ""90"": [""Cassava leaves"", ""Mushrooms""], ""91"": [""Amarante (small leafed green)"", ""Cassava leaves""], ""92"": [""Amarante _small leafed green_"", ""Cabbages""], ""93"": [""Cabbages"", ""Spinach""], ""94"": [""Amarante (large leafed green)"", ""Spinach""], ""95"": [""Amarante _large leafed green_"", ""Other Vegetables""], ""96"": [""Other Vegetables"", ""Pepper""], ""97"": [""Irish Potato"", ""Pepper""], ""98"": [""Irish Potato"", ""Sweet potato""], ""99"": [""Cassava (root)"", ""Sweet potato""], ""100"": [""Cassava _root_"", ""Tarot/amateke""], ""101"": [""Tarot/amateke"", ""Yams/Ibikoro""], ""102"": [""Other tubers"", ""Yams/Ibikoro""], ""103"": [""Cassava (fermented)"", ""Other tubers""], ""104"": [""Cassava (flour)"", ""Cassava _fermented_""], ""105"": [""Cassava flour _yasekuwe_"", ""Sugar (local)""], ""106"": [""Cassava from Mill_"", ""Sugar  (imported)""], ""107"": [""Cassava from Factory_"", ""Sugarcane""], ""108"": [""Jam, marmalade"", ""Sugar _local_""], ""109"": [""Honey"", ""Sugar  _imported_""], ""110"": [""Chocolate"", ""Sugarcane""], ""111"": [""Candy / Gum"", ""Jam, marmalade""], ""112"": [""Honey"", ""Powdered juice(super dip)""], ""113"": [""Chocolate"", ""Salt""], ""114"": [""Candy / Gum"", ""Pepper(ground / liquid)""], ""115"": [""Powdered juice_super dip_"", ""Vinegar""], ""116"": [""Mayonnaise"", ""Salt""], ""117"": [""Pepper_ground / liquid_"", ""Tomato concentrate""], ""118"": [""Pepper-raw"", ""Vinegar""], ""119"": [""Boullion cubes(MAGGI)"", ""Mayonnaise""], ""120"": [""Baby food"", ""Tomato concentrate""], ""121"": [""Other food items"", ""Pepper-raw""], ""122"": [""Boullion cubes_MAGGI_"", ""Coffee (local)""], ""123"": [""Baby food"", ""Coffee (imported)""], ""124"": [""Other food items"", ""Tea (local)""], ""125"": [""Coffee _local_"", ""Tea (imported)""], ""126"": [""Cocoa and powdered drinking chocolate"", ""Coffee _imported_""], ""127"": [""Mineral water"", ""Tea _local_""], ""128"": [""Carbonated Soft Drinks"", ""Tea _imported_""], ""129"": [""Cocoa and powdered drinking chocolate"", ""Local banana juice""], ""130"": [""Mineral water"", ""Passion fruit juice""], ""131"": [""Carbonated Soft Drinks"", ""Other juices of fruits (local)""], ""132"": [""Local banana juice"", ""Other juices of fruits (imported)""], ""133"": [""Passion fruit juice"", ""Sorghum juice(Ubushera)""], ""134"": [""Liqueurs  (local)"", ""Other juices of fruits _local_""], ""135"": [""Liqueurs  (imported)"", ""Other juices of fruits _imported_""], ""136"": [""Sorghum juice_Ubushera_"", ""Wine (local)""], ""137"": [""Liqueurs  _local_"", ""Wine (imported)""], ""138"": [""Liqueurs  _imported_"", ""Local Banana beer""], ""139"": [""Local sorghum beer(ikigage)"", ""Wine _local_""], ""140"": [""Other local beer"", ""Wine _imported_""], ""141"": [""Commercial beer (local)"", ""Local Banana beer""], ""142"": [""Commercial beer (imported)"", ""Local sorghum beer_ikigage_""], ""143"": [""Other local beer"", ""Shish kebab(Brochette)""], ""144"": [""Chicken / fish grilled"", ""Commercial beer _local_""], ""145"": [""Bar and restaurant foods"", ""Commercial beer _imported_""], ""146"": [""Bar and restaurant drinks"", ""Shish kebab_Brochette_""], ""147"": [""Chicken / fish grilled"", ""Other meals and drinks purchased outside the household""]}"
s8bq0d,Description,string,,0,household (expenditure and own consumption),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,EICV4_CS: Article description; EICV4_VUP: Article description,
s8bq1,COICOP Description,string,,0,household (expenditure and own consumption),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,EICV4_CS: COICOP code; EICV4_VUP: COICOP code,
s8bq1d,COICOP value,string,,0,household (expenditure and own consumption),879539,105444,2103276,2119593,361620,2187000,246600,2227992,558108,,,,
s8bq2,Number of months int he last 12 in which article was purchased,int8,"0=None, 99=Missing",2,household (expenditure and own consumption),0,0,0,2119593,361620,2187000,246600,0,0,,,EICV4_CS: Number of months purchased this article in the las; EICV4_VUP: Number of months purchased this article in the las,
s8bq3_v2,[EICV4_CS..EICV4_VUP version] Visit 2,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,"s8bq3 (EICV5_CS, EICV5_VUP)",,
s8bq4,Visit 2,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2119593,361620,2187000,246599,0,0,,,EICV4_CS: Visit 3; EICV4_VUP: Visit 3,
s8bq5,Visit 3,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2119446,361473,2187000,246599,0,0,,,EICV4_CS: Visit 4; EICV4_VUP: Visit 4,
s8bq6,Visit 4,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2119152,361473,2187000,246599,0,0,,,EICV4_CS: Visit 5; EICV4_VUP: Visit 5,
s8bq7,Visit 5,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2118711,361473,2187000,246599,0,0,,,EICV4_CS: Visit 6; EICV4_VUP: Visit 6,
s8bq8,Visit 6,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2117829,361473,2187000,246599,0,0,,,EICV4_CS: Visit 7; EICV4_VUP: Visit 7,
s8bq9,Visit 7,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,2117241,361473,2187000,246599,0,0,,,EICV4_CS: Visit 8; EICV4_VUP: Visit 8,
s8bq10,Visit 8,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,199773,79380,2187000,246599,0,0,,,EICV4_CS: Visit 9; EICV4_VUP: Visit 9,
s8bq11,Visit 9,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,199626,79233,2187000,246599,0,0,,,EICV4_CS: Visit 10; EICV4_VUP: Visit 10,
s8bq12,Visit 10,int32,"0=None, 999999=Missing",2,household (expenditure and own consumption),0,0,0,199479,79233,2187000,246599,0,0,,,EICV4_CS: Visit 11; EICV4_VUP: Visit 11,
s8bq13_v2,[EICV4_CS..EICV4_VUP version] Where do you buy it most often,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",12,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,"s8bq13 (EICV5_CS, EICV5_VUP)",,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,household (expenditure and own consumption),0,0,0,2119593,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,household (expenditure and own consumption),0,0,0,2119593,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,household (expenditure and own consumption),0,0,0,2119593,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,household (expenditure and own consumption),0,0,0,2119593,361620,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,household (expenditure and own consumption),0,0,0,0,361620,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,EICV5_CS: household (expenditure and own consumption); EICV7_CS: household (consumption by source),0,0,0,0,0,2187000,0,2227992,0,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s8bq3,How much did you spend over the last 7 days?,int32,,0,household (expenditure and own consumption),0,0,0,0,0,2187000,246599,0,0,,"s8bq3_v2 (EICV4_CS, EICV4_VUP)",,
s8bq13,Visit 11,int32,0=None,1,household (expenditure and own consumption),0,0,0,0,0,2187000,246599,0,0,,"s8bq13_v2 (EICV4_CS, EICV4_VUP)",,
s8bq14,Place of purchase,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,household (expenditure and own consumption),0,0,0,0,0,548467,63555,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,household (expenditure and own consumption),0,0,0,0,0,0,246600,0,0,,,,
