variable,label,type,value_labels,n_value_labels,universe,n_EICV1,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
wt,"Household weight carried by every row (sums to persons in person files, to house",double,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80043,14652,89487,10844,33353,9313,,,,
wt_hh,Household weight (same value as wt; sums to the number of households),double,,0,"EICV1: household (transfers); EICV2: household (transfers, other income); EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",11692,16494,89947,80043,14652,89487,10844,33353,9313,,,,
rectype,Record type,string,,0,household (transfers),11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
strate,Area,int8,,0,household (transfers),11692,0,0,0,0,0,0,0,0,,,,
prefect,Province,int8,"1=Butare, 2=Byumba, 3=Cyangugu, 4=Gikongoro, 5=Gisenyi …",12,household (transfers),11692,0,0,0,0,0,0,0,0,,,,
s11bq1,Received money/goods from an absent hh member or other person?,int8,"1=Yes, 2=No",2,household (transfers),6420,0,0,0,0,0,0,0,0,,,,
s11bq2,ID No if member or 98 if not member of hh,int8,98=not a hh member,1,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq3,Relationship to head of hh,int8,"1=Father/Mother, 2=Son/Daughter, 3=Brother/Sister, 4=Spouse/Wife, 5=In-laws …",7,household (transfers),8844,0,0,0,0,0,0,0,0,,,,
s11bq4,Sex,int8,"1=M, 2=F",2,household (transfers),8844,0,0,0,0,0,0,0,0,,,,
s11bq5,Where does recipient live?,int8,"1=Same countryside, 2=Kigali, 3=Other centres, 4=Other countryside, 5=Adjacent countries …",7,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq6a,Number of payments,int8,,0,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq6b,Time unit code - for payments from person,int8,"1=Daily, 2=Weekly, 3=Monthly, 4=Annually",4,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq7,Will they be repaid at some future time?,int8,"1=Yes, 2=No",2,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq8,Total cash received from person during last 12 months?,int32,0=none,1,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq9,Total value of food received from person during last 12 months?,int32,0=none,1,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
s11bq10,Total value of other goods received from person during last 12 months?,int32,0=none,1,household (transfers),8871,0,0,0,0,0,0,0,0,,,,
id6,Household number,int8,,0,"household (transfers, other income)",0,16494,0,0,0,0,0,0,0,,,,
id1,Strata,int8,"1=City of Kigali, 2=Other urban, 3=Rural",3,"household (transfers, other income)",0,16494,0,0,0,0,0,0,0,,,,
id2,Province,int8,"1=City of Kigali, 2=Kigali Ngali, 3=Gitarama, 4=Butare, 5=Gikongoro …",12,"household (transfers, other income)",0,16494,0,0,0,0,0,0,0,,,,
s10bq3,Relation with head of household,int8,"1=Head of household, 2=Spouse of the HH, 3=Son or daughter of the HH, 4=Chikd in care of HH, 5=Parent of the HH …",11,"household (transfers, other income)",0,0,89766,0,0,0,0,0,0,,,EICV2: Relation with the head of household,"{""2"": [""Spouse"", ""Spouse of the HH""], ""3"": [""Children"", ""Son or daughter of the HH""], ""4"": [""Adopted child"", ""Chikd in care of HH""], ""5"": [""Parent of the HH"", ""Parents""], ""6"": [""Sibling of the HH"", ""Siblings""], ""7"": [""Grandchild of HH"", ""In laws""], ""8"": [""Other related"", ""Other relativeof the HH""], ""9"": [""No relation"", ""No relation to the HH""]}"
s10bq4,Sex,int8,"1=Male, 2=Female, 3=N/A",3,"household (transfers, other income)",0,0,89766,0,0,0,0,0,0,,,,
s10bq5,Location of sender,int8,"1=Same village or town, 2=Kigali, 3=Other city, 4=Other rural, 5=Neighboring countries …",7,"household (transfers, other income)",0,16434,89947,0,0,0,0,0,0,,,EICV2: Resident of sender,"{""1"": [""Same location"", ""Same village or town""], ""7"": [""Countries outside of Africa"", ""Non African countries""]}"
s10bq6a,Frequency of recieving,int8,,0,"household (transfers, other income)",0,16482,89947,0,0,0,0,0,0,,,EICV2: Frequency transfers are received,
s10bq6b,Time unit declared,int8,"1=Day, 2=Week, 3=Month, 4=Trimester, 5=Year …",6,"household (transfers, other income)",0,16494,89947,0,0,0,0,0,0,,,EICV2: Time unit,"{""1"": [""Daily"", ""Day""], ""2"": [""Week"", ""Weekly""], ""3"": [""Month"", ""Monthly""], ""4"": [""Annually"", ""Trimester""]}"
s10bq7_v2,[EICV2..EICV2 version] Transfers to be reimbursed,int8,"1=Yes, 2=No",2,"household (transfers, other income)",0,16336,0,0,0,0,0,0,0,,s10bq7 (EICV3),,
s10bq8_v2,[EICV2..EICV2 version] Amount received,int32,,0,"household (transfers, other income)",0,16487,0,0,0,0,0,0,0,,s10bq8 (EICV3),,
s10bq9_v2,[EICV2..EICV2 version] Amount in food items received,int32,,0,"household (transfers, other income)",0,16488,0,0,0,0,0,0,0,,s10bq9 (EICV3),,
s10bq10_v2,[EICV2..EICV2 version] Amount in-kind received,int32,,0,"household (transfers, other income)",0,16492,0,0,0,0,0,0,0,,s10bq10 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,"household (transfers, other income)",0,16494,0,0,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income)",0,0,89947,80043,0,89487,0,0,0,,"quintile_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: QUINTILE,
poverty_v2,[EICV3..EICV4_CS version] POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,"EICV3: household (transfers, other income); EICV4_CS: household (transfers, VUP, other income)",0,0,89947,80043,0,0,0,0,0,,"poverty (EICV5_CS, EICV7_CS, EICV7_VUP)",EICV3: Poverty status; EICV4_CS: POVERTY,
tiid,Id of incoming transfer,int8,,0,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,,,
s10bq2,PID of sender,int32,0=Not a household member,1,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,,,
s10bq7,Payments require reimbursement,int8,"1=Yes, 2=No",2,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,s10bq7_v2 (EICV2),,
s10bq8,Total cash recieved from sender in last 12 months,int32,,0,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,s10bq8_v2 (EICV2),,
s10bq9,How cash was received,int8,"1=Bank, 2=Non bank, 3=Both bank and other",3,"household (transfers, other income)",0,0,20314,0,0,0,0,0,0,,s10bq9_v2 (EICV2),,
s10bq10,Total value of food products received from person X in last 12 months,int32,,0,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,s10bq10_v2 (EICV2),,
s10bq11,Total value of food products received from person X in last 12 months,int32,,0,"household (transfers, other income)",0,0,89947,0,0,0,0,0,0,,,,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,"household (transfers, VUP, other income)",0,0,0,80043,14652,0,0,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,"household (transfers, VUP, other income)",0,0,0,80043,14652,89487,0,0,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s9bq2,ID number of concern,int32,"0=Not a household member, 99=Whole HH",2,"EICV4_CS: household (transfers, VUP, other income); EICV4_VUP: household (transfers, VUP, other income); EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",0,0,0,80043,14652,88913,10809,25039,8161,,,EICV4_CS: ID number of sender; EICV4_VUP: ID number of sender; EICV5_CS: ID number of sender; EICV5_VUP: ID number of sender,"{""99"": [""Missing"", ""Whole HH""]}"
s9bq3,Relation with head of household,int8,"1=Head of household, 2=Spouse of the hoousehold, 3=Son or daughter of the household, 4=Child in care of household, 5=Parent of the household …",11,"household (transfers, VUP, other income)",0,0,0,80043,14652,88913,10809,0,0,,"s9bq3_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Relation of sender with head of household; EICV4_VUP: Relation of sender with head of household,"{""2"": [""Spouse of the hoousehold"", ""Spouse of the household""], ""9"": [""No relatiive-rwandese"", ""No relative-rwandese""]}"
s9bq4,Sex,int8,"1=Male, 2=Female, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,"s9bq4_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Sex of sender; EICV4_VUP: Sex of sender,
s9bq5,Location of sender,int8,"1=Same village or town, 2=Kigali, 3=Big town, 4=Other town, 5=Other countryside …",9,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,"s9bq5_v2 (EICV7_CS, EICV7_VUP)",,"{""3"": [""Big town"", ""Other town""], ""4"": [""Other countryside"", ""Other town""], ""5"": [""Other countryside"", ""bordering countries""], ""6"": [""Other African countries"", ""bordering countries""], ""7"": [""Other African countries"", ""Out of Africa""]}"
s9bq6,Sent any cash to the HH,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,"s9bq6_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Sent any cash to the HH in last 12 months; EICV4_VUP: Sent any cash to the HH in last 12 months,
s9bq7,Total amount of cash received in the last 12 months,int32,"0=Nothing, 999999999=Missing",2,"household (transfers, VUP, other income)",0,0,0,18432,3242,20668,2878,0,0,,"s9bq7_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Total cash received by household in the last 12 mo; EICV4_VUP: Total cash received by household in the last 12 mo,
s9bq8,Main method for receiving money,int8,"1=Bank, 2=Telephone, 3=Money transfer company, 4=In person, 5=Other …",6,"household (transfers, VUP, other income)",0,0,0,18432,3242,20668,2878,0,0,,"s9bq8_v2 (EICV7_CS, EICV7_VUP)",,
s9bq9,Sent food products to the HH,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,"s9bq9_v2 (EICV7_CS, EICV7_VUP)",,
s9bq10,Total value of food products received from person in last 12 months,int32,"9999999=Missing, 999999999=Missing",2,"household (transfers, VUP, other income)",0,0,0,62227,11553,67526,7775,0,0,,"s9bq10_v2 (EICV7_CS, EICV7_VUP)",EICV4_CS: Value of food products received in last 12 months; EICV4_VUP: Value of food products received in last 12 months,
s9bq11,Sent other in-kind transfer,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,,EICV4_CS: Person sent other in-kind transfer; EICV4_VUP: Person sent other in-kind transfer,
s9bq12,Total value of other in-kind transfers received from person in last 12 months,int32,"99999999=Missing, 999999999=Missing",2,"household (transfers, VUP, other income)",0,0,0,16025,2870,18549,2827,0,0,,,EICV4_CS: Value of other in-kind transfers received in last ; EICV4_VUP: Value of other in-kind transfers received in last ,
s9bq13,Payments require remboursment,int8,"1=Yes, 2=No, 9=Missing",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,88911,10809,0,0,,,EICV4_CS: Payments will require reimbursement; EICV4_VUP: Payments will require reimbursement,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,"household (transfers, VUP, other income)",0,0,0,80043,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,"household (transfers, VUP, other income)",0,0,0,80043,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,"household (transfers, VUP, other income)",0,0,0,80043,14652,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,"household (transfers, VUP, other income)",0,0,0,80723,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,"household (transfers, VUP, other income)",0,0,0,80043,14652,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,"household (transfers, VUP, other income)",0,0,0,80043,14652,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,"household (transfers, VUP, other income)",0,0,0,0,14652,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,"EICV5_CS: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income); EICV7_VUP: household (cash transfers, VUP, other income)",0,0,0,0,0,89487,0,33353,9313,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s9bq0,"During the last 12 months, has this household received money or goods in kind fr",int8,"1=Yes, 2=No",2,"EICV5_CS: household (transfers, VUP, other income); EICV5_VUP: household (transfers, VUP, other income); EICV7_CS: household (cash transfers, VUP, other income)",0,0,0,0,0,89487,10844,33353,0,,s9bq0_v2 (EICV7_VUP),EICV5_CS: Household received money or goods in kind from a m; EICV5_VUP: Household received money or goods in kind from a m,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,"household (transfers, VUP, other income)",0,0,0,0,0,0,10844,0,0,,,,
s9bq1,Name of people who made the transfer to the hh,string,,0,"household (transfers, VUP, other income)",11692,16494,89947,80723,14652,89487,10844,33353,9313,,,,
s0q18m,Month of interview,int8,,0,"household (transfers, VUP, other income)",0,0,0,0,0,0,10844,0,0,,,,
s0q18y,Year of interview,int16,,0,"household (transfers, VUP, other income)",0,0,0,0,0,0,10844,0,0,,,,
s9bq1a,How many people did [name] send money,int8,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25035,8161,,,,
s9bq3_v2,[EICV7_CS..EICV7_VUP version] ID number of sender,int8,"0=Not a household member, 99=NGO / Private or Public organization",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq3 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq4_v2,[EICV7_CS..EICV7_VUP version] Relation with head of household,int8,"1=Head of household, 2=Spouse of the hoousehold, 3=Son or daughter of the household, 4=Child in care of household, 5=Parent of the household …",12,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq4 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq5_v2,[EICV7_CS..EICV7_VUP version] Sex,int8,"1=Male, 2=Female",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq5 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq6_v2,[EICV7_CS..EICV7_VUP version] Location of sender,int8,"1=Same village/town, 2=Kigali, 3=Other town, 4=Other countryside, 5=Bordering Countries …",7,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq6 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq7_v2,[EICV7_CS..EICV7_VUP version] Sent any cash to the HH,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,0,,"s9bq7 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq8_v2,[EICV7_CS..EICV7_VUP version] Total amount of cash received in the last 12 month,int32,,0,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq8 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq9_v2,[EICV7_CS..EICV7_VUP version] Main method for receiving money,int8,"1=Bank, 2=Telephone, 3=Money transfer company, 4=In person, 5=Other",5,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,25039,8161,,"s9bq9 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s9bq10_v2,[EICV7_CS..EICV7_VUP version] Payments require remboursment,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,0,,"s9bq10 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,33353,9313,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty Headcount Ratio,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,33353,9313,,,EICV7_CS: Extreme Poverty,
pov_jan_v2,[EICV7_CS..EICV7_CS version] Poverty Rate,int8,"0=Non Poor, 100=Poor",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,33353,0,,pov_jan (EICV7_VUP),,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Poor, 2=Poor/mid, 3=Mid, 4=Mid/upper, 5=Upper",5,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,33353,9313,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,"{""1"": [""Poor"", ""Q1""], ""2"": [""Poor/mid"", ""Q2""], ""3"": [""Mid"", ""Q3""], ""4"": [""Mid/upper"", ""Q4""], ""5"": [""Q5"", ""Upper""]}"
s9bq0_v2,"[EICV7_VUP..EICV7_VUP version] During the last 12 months, has this household rec",int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,9313,,"s9bq0 (EICV5_CS, EICV5_VUP, EICV7_CS)",,
s9bq99,More transfers in?,int8,"1=Yes, 2=No",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,8161,,,,
pov_jan,Total Poverty Headcount Ratio,int8,"0=Non Poor, 100=Poor",2,"household (cash transfers, VUP, other income)",0,0,0,0,0,0,0,0,9313,,pov_jan_v2 (EICV7_CS),,
