variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,source,versions,label_variants,value_label_conflicts
s8dq3,Unit of measure for large scale crops,int8,"1= Bottle of Fanta, 2= Bottle Primus, 3= bottle Wisky, 4= Bottle Martine, 5= Small bucket …",41,18247,46621,0,0,0,0,,,EICV2: Unit of measure,"{""1"": ["" Bottle of Fanta"", ""Fanta bottle""], ""2"": ["" Bottle Primus"", ""Primus bottle""], ""3"": ["" bottle Wisky"", ""Whisky bottle""], ""4"": ["" Bottle Martine"", ""Martini bottle""], ""7"": ["" Jericane"", ""Jerrycan""], ""9"": ["" Crich"", ""Criche""], ""10"": ["" Calebase"", ""Gourd""], ""11"": ["" Caselero"", ""Caserole""], ""12"": ["" Small bucket Sirwa"", ""Small bucket (powdered soap SIRWA)""], ""13"": ["" metallic bucket"", ""Metal bucket""], ""15"": ["" Tumbler"", ""Cup""], ""16"": ["" Pouch"", ""Small sack""], ""17"": ["" bag 100kg"", ""100 kg sack""], ""18"": ["" Cart"", ""Basket""], ""19"": ["" Grand Basket"", ""Large basket""], ""22"": ["" Soup"", ""Bowl (soup)""], ""23"": ["" Plate"", ""Plate (dinner)""], ""26"": ["" Small box empty tomato"", ""Small tomato can""], ""27"": ["" Igicuba large vessel for milk"", ""Large container for milk""], ""28"": ["" Bolet milk"", ""Bolet au lait""], ""30"": ["" Kilogram"", ""Kilos""], ""31"": ["" Gramme"", ""Grams""], ""33"": ["" Room"", ""Piece""], ""34"": ["" Tase"", ""Pile""], ""35"": ["" Fagon Wood"", ""Bunch of wood""], ""36"": ["" graduel1 Tumbler"", ""Graduated measuring bucket""], ""37"": ["" gradu\u00e9l2 Tumbler"", ""Graduated measuring bucket""], ""38"": ["" Lady jane"", ""Dame jeanne""], ""40"": ["" Jaye"", ""Jar""]}"
s8dq4,Kilo per unit,double,999=Don't know,1,18251,46621,0,0,0,0,,,,
s8dq5,Amount harvested in the last 12 months,double,,0,18250,46621,0,0,0,0,,,,
s8dq6,Sold any produce in the last 12 months,int8,"1=Yes, 2=No",2,18250,46621,0,0,0,0,,,EICV2: Sold item in the last 12 months,"{""1"": [""Yes"", ""Yes, regularly""]}"
s8dq7_v2,[EICV2..EICV2 version] Principle market,int8,"1=Purchaser in the field, 2=Trader in the market, 3=Consumer, 4=Commercial interest, 5=Cooperative …",7,5699,0,0,0,0,0,,s8dq7 (EICV3),,
s8dq8,Quantity sold per market,double,,0,5708,15895,0,0,0,0,,,EICV2: Amount sold in this market,
s8dq9,Price per market unit per market,int32,,0,5708,15895,0,0,0,0,,,EICV2: Unit price,
c8dq1,Control ID of farmer,int8,,0,15336,0,0,0,0,0,,,,
c8dq2,Control ID of product,int8,,0,17717,0,0,0,0,0,,,,
s8dq10,Sold produce to other Markets,int8,"1=Yes, 2=No",2,5707,15895,0,0,0,0,,,EICV2: Sold in other markets,
s8dq11,Quantity sold per other markets,double,0=,1,176,882,0,0,0,0,,,EICV2: Amount sold in other markets,
s8dq12,Price per unit per market,int32,,0,176,882,0,0,0,0,,,EICV2: Unit price in secondary markets,
s8dq13,Value of entire harvest,int32,,0,18062,46621,0,0,0,0,,,EICV2: Value of harvest by unit,
s8dq14_v2,[EICV2..EICV2 version] Use a part of the harvest for processing,int8,"1=Yes, 2=No",2,18226,0,0,0,0,0,,s8dq14 (EICV3),,
s8dq15_v2,[EICV2..EICV2 version] Amount used for processing,int16,,0,7411,0,0,0,0,0,,s8dq15 (EICV3),,
s8dq16,Consumed any part of produce,int8,"1=Yes, 2=No",2,18208,46621,0,0,0,0,,,EICV2: Consumed part of harvest,
s8dq17_v2,[EICV2..EICV2 version] Amount used for own consumption,int16,,0,14154,0,0,0,0,0,,s8dq17 (EICV3),,
dstrat,Design strata,int16,"111=Kigali lowest quartile socio-economic strata, 112=Kigali quartile 2 socio-economic strata, 113=Kigali quartile 3 socio-economic strata, 114=Kigali highest quartile socio-economic strata, 119=Kigali (semi-rural) …",32,18251,0,0,0,0,0,,,,
quintile,Quintile,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,46621,44453,0,38326,0,,,EICV4_CS: QUINTILE,
poverty,POVERTY,int8,"1=Extremely poor, 2=Poor, 3=Non-poor",3,0,46621,44453,0,0,0,,poverty_v2 (EICV5_CS),EICV3: Poverty status,
crop_v2,[EICV3..EICV3 version] Crop code (S8DQ2),int8,"0=Not applicable, 1= Rice, 2= Maize, 3= Sorghum, 4= Wheat …",65,0,46621,0,0,0,0,,crop (EICV5_CS),,
s8dq1,PID of person responsible,int32,99=Exit code,1,0,46621,0,0,0,0,,,,
s8dq7,Main market for large scale crops,int8,"1=Purchaser in the field, 2=Market Trader, 3=Individual consumer, 4=Commercial company, 5=Cooperative …",8,0,15895,0,0,0,0,,s8dq7_v2 (EICV2),,
s8dq14,Any portion produce transformed,int8,"1=Yes, 2=No",2,0,46621,0,0,0,0,,s8dq14_v2 (EICV2),,
s8dq15,Quantity trasformed,double,,0,0,17755,0,0,0,0,,s8dq15_v2 (EICV2),,
s8dq17,Quantity of produce consumed,double,,0,0,33412,0,0,0,0,,s8dq17_v2 (EICV2),,
ur2012,Urban/Rural 2012 (4 categories),int8,"1=Urban, 2=Semi urban, 3=Peri urban, 4=Rural",4,0,0,44453,7606,0,0,,,,
region,Region,int8,"1=Kigali, 2=Other urban, 3=Southern rural, 4=Western rural, 5=Northern rural …",6,0,0,44453,7606,38326,0,,,,"{""1"": [""Kigali"", ""Kigali City""], ""3"": [""Rural Southern"", ""Southern rural""], ""4"": [""Rural Western"", ""Western rural""], ""5"": [""Northern rural"", ""Rural Northern""], ""6"": [""Eastern rural"", ""Rural Eastern""]}"
s7dq2,Code of the crops harvested in last 12 months,int8,"0=Not applicable, 1=Rice, 2=Maize, 3=Sorghum, 4=Wheat …",72,0,0,44453,7606,0,0,,s7dq2_v2 (EICV5_VUP),,
s7dq3,harvested in the last 12 months,double,,0,0,0,44453,7606,38326,4337,,,EICV4_CS: Number of Kgs harvested in last 12 months; EICV4_VUP: Number of Kgs harvested in last 12 months,
s7dq4,Sold crops over the course of the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,0,0,44453,7606,38326,4337,,,EICV4_CS: Sold any over last 12 months; EICV4_VUP: Sold any over last 12 months,
s7dq5_v2,[EICV4_CS..EICV4_VUP version] Principal outlet/ market,int8,"1=Purchaser in the field, 2=Trader in the market, 3=Individual consumer, 4=Commercial company, 5=Cooperative …",8,0,0,14765,2161,0,0,,"s7dq5 (EICV5_CS, EICV5_VUP)",,
s7dq6,average price per kg sold,double,,0,0,0,14765,2161,12055,1263,,,EICV4_CS: Kg sold via this outlet; EICV4_VUP: Kg sold via this outlet,
s7dq7_v2,[EICV4_CS..EICV4_VUP version] Price per kg sold at this outlet,int32,"95000=> 90000, 99999=Missing",2,0,0,14765,2161,0,0,,"s7dq7 (EICV5_CS, EICV5_VUP)",,
s7dq8,Sold crops to other outlets or markets,int8,"1=Yes, 2=No, 9=Missing",3,0,0,14765,2161,0,0,,,,
s7dq9,Kg sold via other outlets,double,,0,0,0,701,80,0,0,,,,
s7dq10,Price per kg sold at this outlet,int16,99999=Missing,1,0,0,701,80,0,0,,,,
s7dq11,Value received for sales of entire harvest,int32,"99999999=Missing, 999999999=Missing",2,0,0,44453,7606,0,0,,,,
s7dq2d,Crop name,string,,0,18251,46621,44453,7606,38326,4613,,,,
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,44453,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,44453,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,44453,7606,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,44453,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,44453,7606,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,44453,7606,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,7606,0,0,,,,
poverty_v2,[EICV5_CS..EICV5_CS version] Welfare categories,int8,"1=Severely poor, 2= Moderately poor, 3=Non Poor",3,0,0,0,0,38326,0,,"poverty (EICV3, EICV4_CS)",,
crop,Name of the crops (s7dq2),int8,"1= Rice, 2= Maize, 3= Sorghum, 4= Wheat, 5=Uburo …",13,0,0,0,0,38326,0,,crop_v2 (EICV3),,
s7dq5,Sold havest in kg over the last 12 months,int32,,0,0,0,0,0,12055,1263,,"s7dq5_v2 (EICV4_CS, EICV4_VUP)",,
s7dq7,Amount received,int32,,0,0,0,0,0,38326,4337,,"s7dq7_v2 (EICV4_CS, EICV4_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,4613,,,,
s7dq1,Engaged in any larger scale agricultural production over the last 12 months,int8,"1=Yes, 2=No",2,0,0,0,0,0,4613,,,,
s7d_crops,Number of Crops lines S7 Part D,int8,,0,0,0,0,0,0,4337,,,,
s7dq2_v2,[EICV5_VUP..EICV5_VUP version] Name of the crops,int8,"1= Rice, 2= Maize, 3= Sorghum, 4= Wheat, 5=Uburo …",13,0,0,0,0,0,4337,,"s7dq2 (EICV4_CS, EICV4_VUP)",,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,4613,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,4613,,,,
