variable,label,type,value_labels,n_value_labels,n_EICV2,n_EICV3,n_EICV4_CS,n_EICV4_VUP,n_EICV5_CS,n_EICV5_VUP,n_EICV7_CS,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
hhtype,Type of household according to the sample,int8,"1=New sample (cluster>=2000 and cluster<5000), 2=Panel head of households in the same cluster, 3=Panel head of households outside cluster, 4=Panel other relative inside the same cluster, 5=Panel other relative outside cluster …",8,0,0,793045,0,0,0,0,0,,,,
rwanda,All Rwanda,int8,1=All Rwanda,1,0,0,793045,0,0,0,0,0,,,,
surveyh,EICV4 survey sample,int8,"1=New Sample, 2=Panel, 3=VUP",3,0,0,793045,135300,0,0,0,0,,,,
consumption,aggregate consumption/ae in Jan14 Prices,double,,0,0,0,793045,0,0,0,0,0,,,,
s0q19m,Month of interview,int8,,0,0,0,793045,135300,0,0,0,0,,,,
s0q19y,Year of interview,int8,,0,0,0,793045,135300,0,0,0,0,,,,
vup_strata,"VUP stratum (province, component)",int8,,0,0,0,0,135300,0,0,0,0,,,,
poverty,Welfare Categories,int8,"1=Severaly Poor, 2=Moderately poor, 3=Non Poor",3,0,0,0,0,801900,0,978382,245115,,"poverty_v2 (EICV3, EICV4_CS)",EICV5_CS: Welfare categories,"{""1"": [""Severaly Poor"", ""Severely poor""]}"
s8a2q4_v2,[EICV5_CS..EICV5_VUP version] Place of purchase,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,0,0,0,0,74770,7498,0,0,,"s8a2q4 (EICV7_CS, EICV7_VUP), s8a2q4_v3 (EICV4_CS, EICV4_VUP)",,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,0,0,0,0,90366,0,0,,,,
s0q18m,Month of interview,int8,,0,0,0,0,0,0,90366,0,0,,,,
s0q18y,Year of interview,int16,,0,0,0,0,0,0,90366,0,0,,,,
s8a2q0_v2,[EICV7_CS..EICV7_VUP version] Item name,int8,"1=Laundry services (washing clothes & others), 2=Rubbish collection services, 3=Bleach, 4=Disinfectant and cleaners, 5=Broom/Brush …",65,0,0,0,0,0,0,978380,245115,,"s8a2q0 (EICV4_CS, EICV4_VUP, EICV5_CS, EICV5_VUP)",,
s8a2q4,Place where  purchased in the last 4 weeks,int8,"1=Small shop/boutique, 2=Supermarket/big shop, 3=Specialised shop, 4=Market, 5=Mobile seller …",11,0,0,0,0,0,0,99378,21896,,"s8a2q4_v2 (EICV5_CS, EICV5_VUP), s8a2q4_v3 (EICV4_CS, EICV4_VUP)",,
s8a2q5,Article received as Gifts and In-kind,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,978382,245115,,,,
s8a2q6,Value of Article received as Gifts and In-kind,int32,,0,0,0,0,0,0,0,7422,2098,,,,
strata_id,VUP Strata,int16,"1=Direct Support, 2=Financial Services, 3=NSDS, 4=Classic Public Work, 5=Expanded Public Work …",7,0,0,0,0,0,0,978382,245115,,,EICV7_CS: strata_id,
epov_jan,Extreme Poverty,int8,"0=Non Extreme Poor, 100=Extreme Poor",2,0,0,0,0,0,0,978382,245115,,,,
pov_jan,Poverty Rate,int8,"0=Non Poor, 100=Poor",2,0,0,0,0,0,0,978382,245115,,,,
quintile_v2,[EICV7_CS..EICV7_VUP version] Quintiles of real consumption per ae,int8,"1=Q1, 2=Q2, 3=Q3, 4=Q4, 5=Q5",5,0,0,0,0,0,0,978382,245115,,"quintile (EICV3, EICV4_CS, EICV5_CS)",,
