variable,label,type,value_labels,n_value_labels,n_EICV4_VUP,n_EICV5_VUP,n_EICV7_VUP,source,versions,label_variants,value_label_conflicts
s1q8,primary  reason of absence from household in the last 12 months,int8,"0=Less than one month, 1=Studies, 2=Seasonal work, 3=Working away, 4=For health care …",14,1732,1218,1288,,,EICV4_VUP: Length of absence in last 12 months; EICV5_VUP: Length of absence in the last 12 months,"{""1"": [""1 month"", ""Studies""], ""2"": [""2 months"", ""Seasonal work""], ""3"": [""3 months"", ""Working away""], ""4"": [""4 months"", ""For health care""], ""5"": [""5 months"", ""Attend ceremony""], ""6"": [""6 months"", ""Visit friends/family""], ""7"": [""7 months"", ""Training""], ""8"": [""8 months"", ""Detention/compulsory Service""], ""9"": [""9 months"", ""Unexplained absence""], ""10"": [""10 months"", ""New member in the HH""], ""11"": [""11 months"", ""Visitor/Guest in this HH""], ""12"": [""12 months"", ""Other, specify""]}"
s1q9,Main reason of absence from household in the last 12 months,int8,"1=Studies, 2=Seasonal work, 3=Working away, 4=For health care, 5=Attend ceremony …",12,1732,1218,0,,s1q9_v2 (EICV7_VUP),EICV4_VUP: Reason for absence,"{""3"": [""Working away"", ""Working away now""], ""4"": [""For health care"", ""Health care""], ""6"": [""Visit friend or family"", ""Visit friends/family""], ""8"": [""Detention or compulsory service"", ""Detention/compulsory Service""], ""10"": [""Not yet arrived in the HH"", ""Other""], ""11"": [""Not yet joined the Household"", ""Other, specify""]}"
s1q10_v3,[EICV4_VUP..EICV4_VUP version] Lived in another HH during absence,int8,"1=Yes, 2=No, 8=Don't Know, 9=Missing",4,1732,0,0,,"s1q10 (EICV7_VUP), s1q10_v2 (EICV5_VUP)",,
s1q11,Resident during enumeration period,int8,"1=Yes, 2=No, 8=Don't know, 9=Missing",4,10606,6596,0,,s1q11_v2 (EICV7_VUP),EICV4_VUP: Will be resident during enumeration period,
s1q12,Main reason for absence during enumeration,int8,"1=Studies, 2=Seasonal work, 3=Working away now, 4=Health care, 5=Attend ceremony …",11,367,241,0,,s1q12_v2 (EICV7_VUP),EICV4_VUP: Reason for absence,
s1q13,Mother still alive,int8,"1=Yes and resident in household, 2=Yes but residing in another household, 3=No, 4=Do not know, 8=Dont know …",6,5733,0,6836,,s1q13_v2 (EICV5_VUP),EICV4_VUP: Father still alive,"{""1"": [""Yes and resident in household"", ""Yes,and residing in the household""], ""2"": [""Yes but residing in another household"", ""Yes,but residing in onother household""]}"
s1q14,Father still alive,int8,"1=Yes,and residing in the household, 2=Yes,but residing in onother household, 3=No, 8=Dont know, 9=Missing",5,5733,3191,0,,s1q14_v2 (EICV7_VUP),EICV4_VUP: Mother still alive,"{""1"": [""Yes and resident in household"", ""Yes,and residing in the household""], ""2"": [""Yes but residing in another household"", ""Yes,but residing in onother household""], ""8"": [""Do not know"", ""Dont know""]}"
s1q15_v2,[EICV4_VUP..EICV4_VUP version] HH membership,int8,"1=Yes, 2=No",2,10606,0,0,,s1q15 (EICV5_VUP),,
vup_strata,"VUP stratum (province, component)",int8,,0,10606,0,0,,,,
s2q1_v2,[EICV4_VUP..EICV4_VUP version] Section2 Person Id,int32,,0,10606,0,0,,s2q1 (EICV5_VUP),,
s2q2,Always lived in the district,int8,"1=Yes, 2=No, 9=Missing",3,10606,6576,15039,,,,
s2q3y,Duration since last move (years),int8,"0=Less than one year, 99=Missing",2,2889,1887,3054,,,EICV4_VUP: Time since last move (years); EICV5_VUP: Duration since last move _years_,
s2q3m,Duration since last move (months),int8,99=Missing,1,2889,1887,159,,,EICV4_VUP: Time since last move (months); EICV5_VUP: Duration since last move _months_,
s2q4,District or foreign country lived prior to current place,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",38,2889,1887,0,,,EICV4_VUP: District or foreign country lived prior to arrival,"{""42"": [""Gakenke"", ""Gkenke""]}"
s2q5,Kind of place lived prior to current place,int8,"1=Capital, 2=Big city, 3=Other town, 4=Countryside",4,1930,1510,2521,,,EICV4_VUP: Kind of place lived prior to arrival,
s2q6,Duration lived in the previuos location years,int8,"0=Less than one year, 99=Missing",2,2889,1887,3054,,,EICV4_VUP: Duration of stay in the previous location (years),
s2q7,Primary reason for moving,int8,"1=Employment, 2=Loss of employment, 3=Employment of spouse, 4=Marriage, 5=Other family reasons, specify …",17,2889,1887,3054,,,,"{""5"": [""Other family reasons"", ""Other family reasons, specify""], ""7"": [""Disasters"", ""Disasters or conflicts"", ""Disasters or insecurity""], ""8"": [""Bad health"", ""Health""], ""9"": [""House built elsewhere"", ""Live in their Own house built elsewhere""], ""13"": [""Desire to return home"", ""Parent/HH moved""], ""14"": [""Inadequate access to public services/infrastructure"", ""Parent/HH moved""], ""15"": [""Other"", ""Other _specify_"", ""Return home""], ""16"": [""Return home"", ""conflicts""]}"
s2q8,Move alone or with other members of your household,int8,"1=Alone, 2=Part of Household, 3=All of Household, 9=Missing",4,2889,1887,3054,,,EICV4_VUP: Moved alone or with other HH members,"{""2"": [""Part of House hold"", ""Part of Household"", ""Part of family""], ""3"": [""All of House hold"", ""All of Household"", ""All of family""]}"
s3q1n,Section 3 ID number of respondent,int32,,0,10598,0,0,,,,
s3q2_v2,[EICV4_VUP..EICV4_VUP version] Suffers from a major disability,int8,"1=Without Disability, 2=Visual disability, 3=Deaf and/or mute, 4=Disability in the arms, 5=Disability in the legs …",10,10606,0,0,,"s3q2 (EICV5_VUP, EICV7_VUP)",,
s3q3,Main health insurance carry,int8,"1=CBHI (Mutuelle de Sante), 2=RSSB (former RAMA), 3=MMI, 4=Schools, 5=Employer …",9,10606,0,12897,,s3q3_v2 (EICV5_VUP),EICV4_VUP: Main health insurance,"{""1"": [""CBHI (Mutuelle de Sante)"", ""RAMA""], ""2"": [""Mutual insurance"", ""RSSB (former RAMA)""], ""3"": [""Employer"", ""MMI""], ""4"": [""MMI"", ""Schools""], ""5"": [""Employer"", ""Other insurance""], ""6"": [""None"", ""Private insurance companies""]}"
s3q4_v3,[EICV4_VUP..EICV4_VUP version] Suffered from health problem in the last 4 weeks,int8,"1=Yes, 2=No, 9=Missing",3,10606,0,0,,"s3q4 (EICV7_VUP), s3q4_v2 (EICV5_VUP)",,
s3q5_v2,[EICV4_VUP..EICV4_VUP version] Nature of the health problem,int8,"1=Malaria, 2=Internal parasites, 3=Respiratory infection, 4=Skin disease, 5=Accident/injury …",10,2869,0,0,,"s3q5 (EICV5_VUP, EICV7_VUP)",,
s3q6,Main reason for medical consultation,int8,"1=General visit or preventive, 2=Sickness, 3=Injury, 4=Sickness and injury, 5=Vaccination …",9,10606,0,3832,,s3q6_v2 (EICV5_VUP),EICV4_VUP: Medical consultation over the last 4 weeks,"{""1"": [""General visit or preventive"", ""Yes""], ""2"": [""No"", ""Sickness""], ""8"": [""Don't know"", ""Other (specify)""]}"
s3q7_v2,[EICV4_VUP..EICV4_VUP version] Reason for medical consultation,int8,"1=General visit or preventive, 2=Sickness, 3=Injury, 4=Sickness and injury, 5=Vaccination …",9,1802,0,0,,"s3q7 (EICV5_VUP, EICV7_VUP)",,
s4aq1,Ever been to school or organized learning,int8,"1=Yes, 2=No, 9=Missing",3,9929,6096,15039,,,EICV4_VUP: Ever been to school; EICV5_VUP: Ever been to school,
s4aq2,Highest class succesfully attended in school,int8,"1=ECD, 2=Nursery, 3=Primary, 4=INGOBOKA /Vocational training, 5=Lower secondary …",35,7485,4828,11995,,,EICV4_VUP: Highest class successfully completed; EICV5_VUP: Highest class succesfully attained in school,"{""1"": [""ECD"", ""Pre-primary""]}"
s4aq3,Highest diploma/certificate/ degree you have ever obtained,int8,"1=Primary school certificate, 2=Post primary certificate  (CE/FM/TVET I/TVET II), 3=EMA/ENTA, 4=O' level Certificate, 5=A3/D4/D5 …",17,2158,1614,3754,,,EICV4_VUP: Highest diploma obtained,"{""6"": [""A2/D6/D7"", ""Baccalaureat _D6+2-3_"", ""Bachelors""], ""7"": [""License"", ""Professional license"", ""TVET certificate III""], ""99"": [""Do not know"", ""Missing"", ""No diploma""], ""1"": [""Primary completed"", ""Primary school certificate""], ""2"": [""Post primary certificate  (CE/FM/TVET I/TVET II)"", ""Secondary common""], ""3"": [""EMA/ENTA"", ""Post primary certificate""], ""4"": [""Diploma A3, D5, D4"", ""O' level Certificate""], ""5"": [""A3/D4/D5"", ""Humanities Diploma""], ""8"": [""Engineer"", ""TVET certificate IV""], ""9"": [""Masters"", ""TVET certificate V""], ""10"": [""Doctorate"", ""TVET advanced diploma (A1""]}"
s4aq4a,Field of education of diploma,string,,0,10606,6596,15039,,,,
s4aq4b,ISCED,int16,"1=Basic programmes, 8=Literacy and numeracy, 9=Personal development, 14=Teacher training and education science, 21=Arts …",27,203,281,0,,,EICV4_VUP: ISCED code,
s4aq5,Last institution of higher learning you attended,int8,"1=University, 2=Institute/school, 3=Polytechnic, 4=College of Education, 5=Technical College …",8,197,275,0,,,EICV4_VUP: Last higher institution attended,
s4aq6a,Class attended in 2022/2023,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",38,5044,4603,9615,,,EICV4_VUP: Class attended during school year 2012; EICV5_VUP: Class attended in 2015,"{""1"": [""P1"", ""Pre-primary""], ""11"": [""Primary 1"", ""S5""], ""12"": [""Primary 2"", ""S6""], ""13"": [""Primary 3"", ""UNIVERSITY""], ""14"": [""Nursery"", ""Primary 4""]}"
s4aq6b,Class attended in 2023/2024,int8,"0=Not in class, 1=P1, 2=P2, 3=P3, 4=P4 …",38,5044,4603,10812,,,EICV4_VUP: Class attended during school year 2013; EICV5_VUP: Class attended in 2016,"{""1"": [""P1"", ""Pre-primary""], ""11"": [""Primary 1"", ""S5""], ""12"": [""Primary 2"", ""S6""], ""13"": [""Primary 3"", ""UNIVERSITY""], ""14"": [""Nursery"", ""Primary 4""]}"
s4aq7,Attended school in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,5304,4828,11995,,,EICV4_VUP: Attended school in previous 12 months,
s4aq8,Highest level of education attended in last 12 months,int8,"1=ECD, 2=Nursery, 3=Primary, 4=INGOBOKA /Vocational training, 5=Lower secondary …",8,3430,2146,5596,,,EICV4_VUP: Type of school attended in previous 12 months; EICV5_VUP: Type of school,"{""1"": [""ECD"", ""Public""], ""2"": [""Nursery"", ""Private""], ""3"": [""Free Subsidized"", ""Primary""]}"
s4aq9,Problems with school,int8,"1=No problem, 2=Books not available, 3=Mediocre teaching, 4=Not enough teachers, 5=Teachers absent …",9,3430,2146,0,,s4aq9_v2 (EICV7_VUP),EICV4_VUP: Problem experienced at school,"{""7"": [""Other (specify)"", ""Other _specify_""], ""8"": [""Don't know"", ""Don\u00e2\u20ac\u2122t know""]}"
s4aq10,Separate toilet facilities at school,int8,"1=Yes, 2=No, 8=Do not know, 9=Missing",4,3430,2146,0,,s4aq10_v2 (EICV7_VUP),EICV4_VUP: School has separate toilet facilities for boys and,
s4aq11a,Registration and school fees,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,,
s4aq11b,Parent contributions,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,,
s4aq11c,School uniforms,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,EICV4_VUP: School uniforms expenses,
s4aq11d,Books and school supplies,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,EICV4_VUP: Books and school supplies expenses,
s4aq11e,Transport to and from school,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,EICV4_VUP: Transport to and from school expenses,
s4aq11f,Room and board _or board only_,int32,"0=Zero, 999999=Missing",2,3448,1727,0,,,EICV4_VUP: Room and board (or board only) expenses,
s4aq11g_v2,[EICV4_VUP..EICV4_VUP version] Other school expenses,int32,"0=Zero, 999999=Missing",2,3448,0,0,,s4aq11g (EICV5_VUP),,
s4aq11h,Total education expenses _non-distributed option_,int32,"0=Zero, 999999=Missing",2,242,419,0,,,EICV4_VUP: Total education expenses (non-distributed option),
s4aq12_v2,[EICV4_VUP..EICV4_VUP version] Who paid school expenses over last 12 months,int8,"1=Father, 2=Mother, 3=Both parents, 4=Other household members, 5=Other relatives …",12,3562,0,0,,s4aq12 (EICV5_VUP),,
s4aq13,Miss any day at school last 7 days?,int8,"1=Yes, 2=No, 9=Missing",3,3430,1925,0,,,EICV4_VUP: Missed any day at school in the last 7 days?,
s4aq14,Many school days not attend last week,int8,99=Missing,1,1263,947,0,,,EICV4_VUP: Number of school days missed in the last 7 days,
s4aq15,Primary cause of not attending school,int8,"1=Dropped out, 2=Poor health, 3=Hunger, 4=Financial Reasons, 5=Family circumstances …",11,1263,947,0,,s4aq15_v2 (EICV7_VUP),EICV4_VUP: Cause of not attending school,"{""10"": [""Other"", ""Other_specify_""]}"
s4aq16,Year did leave school,int16,9999=Missing,1,1613,2682,0,,s4aq16_v2 (EICV7_VUP),EICV4_VUP: Year left school,
s4aq17,Reason for leaving school,int8,"1=Cost, 2=Work, 3=Marriage, 4=Change of residence, 5=Excluded …",12,1784,2744,0,,s4aq17_v2 (EICV7_VUP),,"{""11"": [""Other (Specify)"", ""Other _Specify_""]}"
s4bq1_v2,[EICV4_VUP..EICV4_VUP version] Post-school/vocational training in last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,7835,0,0,,"s4bq1 (EICV5_VUP, EICV7_VUP)",,
s4bq2_v2,[EICV4_VUP..EICV4_VUP version] Expense of post-school/vocational training,int32,"0=Zero, 999999=Missing",2,129,0,0,,"s4bq2 (EICV5_VUP, EICV7_VUP)",,
s4bq3_v2,[EICV4_VUP..EICV4_VUP version] Can read a letter or a simple note,int8,"1=Yes, 2=No, 9=Missing",3,7835,0,0,,"s4bq3 (EICV5_VUP, EICV7_VUP)",,
s4bq4,Able to read a simple note,int8,"1=Yes, 2=No, 9=Missing",3,4953,5114,11298,,,EICV4_VUP: Can write a letter or a simple note,
s4bq5_v3,[EICV4_VUP..EICV4_VUP version] Can perform a written calculation,int8,"1=Yes, 2=No, 9=Missing",3,7835,0,0,,"s4bq5 (EICV7_VUP), s4bq5_v2 (EICV5_VUP)",,
s4bq6_v3,[EICV4_VUP..EICV4_VUP version] Feels confident about using a computer,int8,"1=Yes, 2=No, 3=No literate, 9=Missing",4,7835,0,0,,"s4bq6 (EICV7_VUP), s4bq6_v2 (EICV5_VUP)",,
s4bq7_v3,[EICV4_VUP..EICV4_VUP version] Attended literacy course,int8,"1=Yes, 2=No, 9=Missing",3,7835,0,0,,"s4bq7 (EICV7_VUP), s4bq7_v2 (EICV5_VUP)",,
s4bq8,Have a mobile telephone,int8,"1=Yes, 2=No, 9=Missing",3,7835,0,11298,,,EICV4_VUP: Has a mobile telephone,
s6aq2_v2,[EICV4_VUP..EICV4_VUP version] Work on own/HH farm (last 12 months),int8,"1=Yes, 2=No, 9=Missing",3,9129,0,0,,"s6aq2 (EICV5_VUP, EICV7_VUP)",,
s6aq3_v3,"[EICV4_VUP..EICV4_VUP version] Agricultural work for salary, wages, in-kind (las",int8,"1=Yes, 2=No, 9=Missing",3,9129,0,0,,"s6aq3 (EICV7_VUP), s6aq3_v2 (EICV5_VUP)",,
s6aq4,Worked for salary or wages in non-farm sector in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,9129,5731,0,,s6aq4_v2 (EICV7_VUP),EICV4_VUP: Non-farm work for salary or wages (last 12 months),
s6aq5,Run a non-farm business for cash or profit in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,9129,5731,0,,s6aq5_v2 (EICV7_VUP),EICV4_VUP: Non-farm business for cash/profit (last 12 months),
s6aq6,Worked in a non-fam business in the last 12 months,int8,"1=Yes, 2=No, 9=Missing",3,9129,5731,0,,s6aq6_v2 (EICV7_VUP),EICV4_VUP: Worked in HH member non-farm business for no payme,
s6aq7a,Many jobs over past 12 months,int8,99=Missing,1,9127,3578,0,,,EICV4_VUP: Number of jobs over past 12 months,
s6aq7b,Many jobs over past 7 days,int8,99=Missing,1,9129,3615,0,,,EICV4_VUP: Number of jobs over past 7 days,
s6aq8,Many months has been occupied during the last 12 months,int8,"1=Unemployed /seeking work, 2=Domestic duties, 3=Student, 4=Retired/old age, 5=Sickness/Health problems/disability …",8,3986,3578,0,,s6aq8_v2 (EICV7_VUP),EICV4_VUP: Main reason for not working (last 12 months),
s6eq1_v2,[EICV4_VUP..EICV4_VUP version] Worked for one hour in the last 7 days in S6A act,int8,"1=Yes, 2=No, 9=Missing",3,9129,0,0,,s6eq1 (EICV5_VUP),,
s6eq2_v2,[EICV4_VUP..EICV4_VUP version] Usually works but absent last week,int8,"1=Yes, absent, 2=No, 9=Missing",3,4552,0,0,,s6eq2 (EICV5_VUP),,
s6eq3_v2,[EICV4_VUP..EICV4_VUP version] Reason for absence from work; last 7 days,int8,"1=Sick/injured, 2=No work, 3=Season, 4=Weather, 5=Leave …",7,547,0,0,,s6eq3 (EICV5_VUP),,
s6eq4_v2,[EICV4_VUP..EICV4_VUP version] Usual hours worked in job; 7 day period,int8,99=Missing,1,547,0,0,,s6eq4 (EICV5_VUP),,
s6eq5_v2,[EICV4_VUP..EICV4_VUP version] Worked in other activities in the last 7 days,int8,"1=Yes, at least one of them, 2=None of the above, 9=Missing",3,4005,0,0,,s6eq5 (EICV5_VUP),,
s6eq6_v2,[EICV4_VUP..EICV4_VUP version] Reason not working in the last 7 days,int8,"1=Unemployed, 2=Domestic duties, 3=Student, 4=Retired, 5=Sickness/Health problems/disability …",9,3647,0,0,,s6eq6 (EICV5_VUP),,
s6eq7,Able to start work if the opportunity existed,int8,"1=Yes, 2=No, 9=Missing",3,1695,0,0,,,,
s6eq8,Seeking a job during the last 4 weeks,int8,"1=Yes, 2=No, 9=Missing",3,1695,0,0,,,,
s6eq9,Steps taken to seek work during last 4 weeks,int8,"1=friend to help, 2=Applied for a job, 3=Called on employers, 4=Listened to radio announcements, 5=Read published announcements …",9,28,0,0,,,,
s6eq10,Desire to work at the present,int8,"1=Yes, 2=No, 9=Missing",3,1667,0,0,,,,
s6eq11,Reason not seeking a job in last 4 weeks,int8,"1=Discouraged seeker, 2=Waiting to start a new job promised, 3=Waiting to create own job, 4=Others (specify), 9=Missing",5,32,0,0,,,,
s6eq12a,Period looking for a job (year),int8,,0,60,0,0,,,,
s6eq12b,Period looking for a job (month),int8,"0=No months, 99=Missing",2,60,0,0,,,,
s6eq13,Ever worked before,int8,"1=Yes, 2=No, 9=Missing",3,1695,0,0,,,,
s6eq14,Reason stopped working in last job,int8,"1=Under payment, 2=Late payment, 3=Physical/social harassment, 4=Poor working Conditions, 5=Marital/family commitments …",12,52,0,0,,,,
s6eq15,Employment status last job,int8,"1=Paid employee, 2=Employer, 3=Own account worker, 4=Unpaid family worker, 5=Member of Cooperative …",9,52,0,0,,,,
s6eq16,Kind of establishments in previous employment,int8,"1=Private non-farm, 2=Private farm, 3=Public, 4=Cooperative, 5=NGO (local) …",12,52,0,0,,,,
s6eq17,Wanted additional work,int8,"1=Yes, 2=No, 9=Missing",3,5482,0,0,,,,
s6eq18,Number of additional hours preferred to work in last 7 days,int8,"0=No aditional hours, 99=Missing",2,2477,0,0,,,,
s6eq19,Desire to change current job,int8,"1=Yes, 2=No, 9=Missing",3,5482,0,0,,,,
s6eq20,Reason wants to change current job,int8,"1=Wants higher pay, 2=Wants timely pay, 3=Stop harassment, 4=Better environment, 5=Fit in with family commitments …",9,1541,0,0,,,,
s6eq21,Current main job/activity match training,int8,"1=Yes, 2=No different occupation to qualification, 3=No lower job than qualification, 4=No higher job than qualification), 9=Missing",5,5482,0,0,,,,
s6eq0an,ID number,int32,,0,32,0,0,,,,
s6fq1,Fetched water last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq2,Number of hours fetching water last 7 days,int8,"0=Less than an hour, 99=Missing",2,5349,0,0,,,,
s6fq3,Foraged for firewood last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq4,Number of hours foraging for wood last 7 days,int8,"0=Less than an hour, 99=Missing",2,3896,0,0,,,,
s6fq5,Searched fodder last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq6,Number of hours searching fodder last 7 days,int8,"0=Less than an hour, 99=Missing",2,4214,0,0,,,,
s6fq7,Went to the market last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq8,Number of hours going to market last 7 days,int8,"0=Less than an hour, 99=Missing",2,3181,0,0,,,,
s6fq9,Cooked for household last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq10,Number of hours cooking last 7 days,int8,"0=Less than an hour, 99=Missing",2,4827,0,0,,,,
s6fq11,Did other household chores last 7 days,int8,"1=Yes, 2=No, 9=Missing",3,9077,0,0,,,,
s6fq12,Number of hours spent on other household chores last 7 days,int8,"0=Less than an hour, 99=Missing",2,5417,0,0,,,,
hhid_eicv4,EICV4 panel household id carried in the EICV5 VUP files (not unique: split house,int32,,0,0,6596,0,EICV5_VUP: module panel_for_merge,,,
pid_eicv4,EICV4 panel person id carried in the EICV5 VUP files,int32,,0,0,6596,0,EICV5_VUP: pid,,,
s1q10_v2,[EICV5_VUP..EICV5_VUP version] Resident of another household in the last 12 mont,int8,"1=Yes, 2=No, 8=Don't Know",3,0,1218,0,,"s1q10 (EICV7_VUP), s1q10_v3 (EICV4_VUP)",,
s1q13_v2,[EICV5_VUP..EICV5_VUP version] Major disability,int8,"1=Without Disability, 2=Visual disability, 3=Deaf and/or mut, 4=Disability in the arms, 5=Disability in the legs …",9,0,6596,0,,"s1q13 (EICV4_VUP, EICV7_VUP)",,
s1q15,Mother still alive,int8,"1=Yes and resident in household, 2=Yes but residing in another household, 3=No, 8=Do not know",4,0,3191,0,,s1q15_v2 (EICV4_VUP),,
s1q16,Household membership,int8,"1=Yes, 2=No",2,0,6596,0,,,,
s2q1,ID number of respondent,int8,97=It is not a HH member,1,0,6576,0,,s2q1_v2 (EICV4_VUP),,
s3q1,ID number of respondent,int8,97=It is not a HH member,1,0,6576,0,,,,
s3q2,Is [name] currently covered by any health insurance?,int8,"1=Yes, 2=No, 3=Don't know, 4=MMI, 5=Other insurance …",6,0,6576,15039,,s3q2_v2 (EICV4_VUP),EICV5_VUP: Main health insurance carry,"{""1"": [""RAMA"", ""Yes""], ""2"": [""Mutual insurance"", ""No""], ""3"": [""Don't know"", ""Employer""]}"
s3q3_v2,[EICV5_VUP..EICV5_VUP version] Suffer from any health problem in the last 4 week,int8,"1=Yes, 2=No",2,0,6576,0,,"s3q3 (EICV4_VUP, EICV7_VUP)",,
s3q4_v2,[EICV5_VUP..EICV5_VUP version] Medical consultation in the over last 4 weeks,int8,"1=Yes, 2=No, 8=Don't know",3,0,6576,0,,"s3q4 (EICV7_VUP), s3q4_v3 (EICV4_VUP)",,
