variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
s4q5,4.5 What is the total cost of anti-erosion activities done during this season (F,int32,,0,1475,1158,329,1298,1232,858,1224,1157,684,1224,1045,1082,1165,1120,735,,,2019_A: 4.5 What is the total cost of anti-erosion    acti; 2019_B: 4.5 What is the total cost of anti-erosion    acti; 2019_C: 4.5 What is the total cost of anti-erosion    acti,
s4q6,4.6 Is this plot located in land consolidated site in this season?,int8,"1=Yes, 2=No",2,19805,19222,1731,0,0,0,0,0,0,17376,16883,4926,16830,16864,2983,,"s4q6_v2 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C)",2019_A: 4.6 Is this plot fenced?; 2019_B: 4.6 Is this plot fenced?; 2019_C: 4.6 Is this plot fenced?,
s4q7_v2,4.7 Was this fence done during the current agricultural season?,int8,"1=Yes, 2=No",2,499,402,17,0,0,0,0,0,0,0,0,0,0,0,0,,"s4q7 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C)",,
s4q8_v2,4.8 Activity cost (RWF),int32,,0,28,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,"s4q8 (2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s4q9_v2,"4.9 Amount spent on manpower to prepare land, sowing and any other agricultural",int32,,0,19805,19222,1731,0,0,0,0,0,0,0,0,0,0,0,0,,"s4q9 (2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s4q10_1,4.10.1 Have you used ploughing animals (oxen)  in this plot during this season?,int8,"1=Yes, 2=No",2,19805,19222,1731,102,86,10,167,111,3,121,86,6,189,122,3,,,2019_A: 4.10.1 Have you used ploughing animals (oxen) duri; 2019_B: 4.10.1 Have you used ploughing animals (oxen) duri; 2019_C: 4.10.1 Have you used ploughing animals (oxen) duri; 2020_A: 4.10.1 Have you used any other mechanical equipmen; 2020_B: 4.10.1 Have you used any other mechanical equipmen; 2020_C: 4.10.1 Have you used any other mechanical equipmen; 2021_A: 4.10.1 Have you used any other mechanical equipmen; 2021_B: 4.10.1 Have you used any other mechanical equipmen; 2021_C: 4.10.1 Have you used any other mechanical equipmen,
s4q10_2,4.10.2 At which stage of agriculture practice have you used animal ploughing?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,"s4q10_2_v2 (2020_A, 2020_B, 2020_C)",2019_A: 4.10.2 At which stage of agriculture practice did ; 2019_B: 4.10.2 At which stage of agriculture practice did ; 2019_C: 4.10.2 At which stage of agriculture practice did ; 2021_A: 4.10.2 At which stage of agriculture practices hav; 2021_B: 4.10.2 At which stage of agriculture practices hav; 2021_C: 4.10.2 At which stage of agriculture practices hav,
s4q10_3,4.10.3 Amount paid on ploughing animals during this season (Rwf),string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,2019_A: 4.10.3 Amount paid on rent of ploughing animals du; 2019_B: 4.10.3 Amount paid on rent of ploughing animals du; 2019_C: 4.10.3 Amount paid on rent of ploughing animals du; 2020_A: 4.10.3 Name of other mechanical equipment used dur; 2020_B: 4.10.3 Name of other mechanical equipment used dur; 2020_C: 4.10.3 Name of other mechanical equipment used dur; 2021_A: 4.10.3 Name of other mechanical equipment used dur; 2021_B: 4.10.3 Name of other mechanical equipment used dur; 2021_C: 4.10.3 Name of other mechanical equipment used dur,
s4q11_1,4.11.1 Have you used a ploughing tractor in this plot during this season?,int8,"1=Yes, 2=No",2,19805,19222,1731,0,0,0,0,0,0,121,86,6,189,122,3,,,2019_A: 4.11.1 Have you used a ploughing tractor during th; 2019_B: 4.11.1 Have you used a ploughing tractor during th; 2019_C: 4.11.1 Have you used a ploughing tractor during th,
s4q11_2,4.11.2 At which stage of agriculture practice did you use ploughing machine?,int8,"1=Ploughing, 2=Soil levelling, 3=Raking, 4=Manuring, 5=Sowing …",27,81,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
s4q11_3,4.11.3 Amount paid on ploughing tractor (Rwf) in this season?,int32,,0,81,64,0,0,0,0,0,0,0,115,81,6,158,110,3,,,2019_A: 4.11.3 Amount paid on rent of ploughing tractor (R; 2019_B: 4.11.3 Amount paid on rent of ploughing tractor (R; 2019_C: 4.11.3 Amount paid on rent of ploughing tractor (R,
s4q12_1,4.12.1 Have you used any other mechanical equipment not mentioned in this plot d,int8,"1=Yes, 2=No",2,19805,19222,1731,0,0,0,0,0,0,121,86,6,189,122,3,,,2019_A: 4.12.1 Have you used any other mechanical equipmen; 2019_B: 4.12.1 Have you used any other mechanical equipmen; 2019_C: 4.12.1 Have you used any other mechanical equipmen,
s4q12_2,4.12.2 At which stage of agriculture practices have you used other mechanical eq,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,2019_A: 4.14.2 At which stage of agriculture practice did ; 2019_B: 4.14.2 At which stage of agriculture practice did ; 2019_C: 4.14.2 At which stage of agriculture practice did ,
s4q12_3,4.12.3 Name of other mechanical equipment used during this season,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q12_4,4.12.4 Amount paid for the other mechanical equipment in this season? (Rwf),int32,,0,15,15,0,0,0,0,0,0,0,5,9,0,0,7,0,,,2019_A: 4.12.4 Rent cost for the other mechanical equipmen; 2019_B: 4.12.4 Rent cost for the other mechanical equipmen; 2019_C: 4.12.4 Rent cost for the other mechanical equipmen,
s4q13,4.13 Has this plot been irrigated during this agricultural season?,int8,"1=Yes, 2=No",2,19805,19222,1731,1317,2192,2180,17341,16809,2778,0,0,0,0,0,0,,"s4q13_v2 (2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",2019_A: 4.13 Have you irrigated your plot during this seas; 2019_B: 4.13 Have you irrigated your plot during this seas; 2019_C: 4.13 Have you irrigated your plot during this seas,
s4q14,4.14 What is irrigation technique used on this plot?,int8,"1=Surface irrigation, 2=Flood irrigation (especially for rice), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Pivot irrigation …",6,645,615,493,439,565,2023,704,521,1551,0,0,0,0,0,0,,"s4q14_v2 (2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",2019_A: 4.14 What is the source of water for irrigation?; 2019_B: 4.14 What is the source of water for irrigation?; 2019_C: 4.14 What is the source of water for irrigation?,"{""1"": [""Rainwater harvesting"", ""Surface irrigation""], ""2"": [""Flood irrigation (especially for rice)"", ""Water treatment plant""], ""3"": [""Drip irrigation"", ""Underground water""], ""4"": [""Lake / stream water"", ""Sprinkler irrigation""], ""5"": [""Pivot irrigation"", ""Water catchment (dam)""], ""6"": [""Other (to specify)"", ""Traditional techniques""]}"
s4q15_v2,4.15 What is the source of water for irrigation?,int16,"1=Surface irrigation, 2=Flood  irrigation (especially for rice), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Traditional  techniques",5,645,615,493,0,0,0,704,521,1551,0,0,0,0,0,0,,"s4q15 (2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",2019_A: 4.15 What is main irrigation technique used on thi; 2019_B: 4.15 What is main irrigation technique used on thi; 2019_C: 4.15 What is main irrigation technique used on thi; 2021_A: 4.15 What is the source of water for irrigation?; 2021_B: 4.15 What is the source of water for irrigation?; 2021_C: 4.15 What is the source of water for irrigation?,
s4q16,4.16 What is irrigation technique used on this plot?,int16,"1=Surface irrigation, 2=Flood irrigation (especially for rice), 3=Drip irrigation, 4=Sprinkler irrigation, 5=Pivot irrigation …",20,645,615,493,0,0,0,704,521,1551,683,509,2949,708,604,1789,,,2019_A: 4.16 What is the irrigation tool you have used?; 2019_B: 4.16 What is the irrigation tool you have used?; 2019_C: 4.16 What is the irrigation tool you have used?; 2021_A: 4.16 What is the irrigation tool have you used?; 2021_B: 4.16 What is the irrigation tool have you used?; 2021_C: 4.16 What is the irrigation tool have you used?,"{""1"": [""Pivot"", ""Surface irrigation""], ""2"": [""Flood irrigation (especially for rice)"", ""Irrigation machine""], ""3"": [""Drip irrigation"", ""Generator+Pump""], ""4"": [""Pumps/tubes wells"", ""Sprinkler irrigation""], ""5"": [""Pivot irrigation"", ""Water can""], ""6"": [""Traditional techniques"", ""Water channels""]}"
s4q17,4.17 What is the cost spent for irrigation activities? (Rwf),int32,,0,645,615,493,439,566,2023,704,521,1551,0,0,0,0,0,0,,,2019_A: 4.17 Total cost of irrigation?; 2019_B: 4.17 Total cost of irrigation?; 2019_C: 4.17 Total cost of irrigation?,
s4q18,4.18 What was the main crop to irrigate?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal …",86,645,615,493,0,0,0,0,0,0,0,0,0,0,0,0,,,,
s1q8,1.8 Gender,int8,"1=Male, 2=Female",2,0,0,0,16273,15876,3178,0,0,0,16789,16432,4822,0,0,0,,,,
s1q9,1.9 Age,int16,,0,0,0,0,16268,15876,3178,0,0,0,16787,16432,4822,0,0,0,,,,
s2q2_v2,total plot area_final,double,,0,0,0,0,16830,16397,3251,0,0,0,17376,0,0,0,0,0,,"s2q2 (2019_A, 2019_B, 2019_C, 2021_A, 2021_B, 2021_C, 2022_B, 2022_C, 2023_C)",2020_A: 2.2 Plot area (m2); 2020_B: 2.2 Plot area (m2); 2020_C: 2.2 Plot area (m2); 2022_A: total plot area_final,
s3q25,3.25 Is this plot located in land consolidated site in this season?,int8,"1=Yes, 2=No",2,0,0,0,16830,16396,3250,17342,2779,2779,0,0,0,0,0,0,,,2020_A: 3.25 Does this plot belong to consolidated site in,
s3q26_1,3.26 What do you gain as support from land consolidation program?,int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,1270,1264,1161,1189,866,866,0,0,0,0,0,0,,,,"{""7"": [""=No benefit"", ""No benefit""]}"
s3q26_2,3.26 What do you gain as support from land consolidation program?,int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,444,506,399,463,301,301,0,0,0,0,0,0,,,,"{""7"": [""=No benefit"", ""No benefit""]}"
s3q26_3,3.26 What do you gain as support from land consolidation program?,int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,251,264,167,298,145,145,0,0,0,0,0,0,,,,"{""7"": [""=No benefit"", ""No benefit""]}"
s3q26_4,3.26 What do you gain as support from land consolidation program?,int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,107,66,53,203,64,64,0,0,0,0,0,0,,,,"{""7"": [""=No benefit"", ""No benefit""]}"
s4q6_v2,4.6 Did you use any mechanical equipment for agriculture activities in any of yo,int8,"1=Yes, 2=No",2,0,0,0,16830,16395,3250,17341,16809,2778,0,0,0,0,0,0,,"s4q6 (2019_A, 2019_B, 2019_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s4q7,4.7 Did you use any mechanical equipment for agriculture activities on this plot,int8,"1=Yes, 2=No",2,0,0,0,238,168,22,17341,16809,2778,0,0,0,0,0,0,,"s4q7_v2 (2019_A, 2019_B, 2019_C)",,
s4q8_1,4.8.1 Have you used ploughing animals (oxen)  in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,102,90,10,167,111,3,0,0,0,0,0,0,,,,
s4q8_2,4.8.2 At which stage of agriculture practice have you used animal ploughing?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q8_3,4.8.3 Amount paid on ploughing animals during this season (Rwf),int32,,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,,,,
s4q9_1,4.9.1 Have you used a ploughing tractor in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,102,85,10,167,111,3,0,0,0,0,0,0,,,,
s4q9_2_1,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,98,76,8,163,111,3,0,0,0,0,0,0,,,,
s4q9_2_2,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,67,47,4,105,71,3,0,0,0,0,0,0,,,,
s4q9_2_3,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,22,6,0,31,14,0,0,0,0,0,0,0,,,,
s4q9_2_4,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,6,0,0,9,3,0,0,0,0,0,0,0,,,,
s4q9_2_5,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,,,,
s4q9_3,4.9.3 Amount paid on ploughing tractor (Rwf) in this season?,int32,,0,0,0,0,98,79,8,163,111,3,0,0,0,0,0,0,,,,
s4q10_2_v2,4.10.2 At which stage of agriculturepractices have you used other mechanical equ,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,"s4q10_2 (2019_A, 2019_B, 2019_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_B)",,
s4q10_4,4.10.4 Amount paid for the other mechanical equipment in this season? (Rwf),int32,,0,0,0,0,2,4,0,17,5,0,0,0,0,0,0,0,,,,
s4q11,"4.11 Amount spent on hired labor used to prepare land, sowing and any other agri",int32,,0,0,0,0,16830,16396,3250,17341,16809,2778,0,0,0,0,0,0,,,,
s4q12,4.12 Did you practice irrigation in any of your plots during this agricultural s,int8,"1=Yes, 2=No",2,0,0,0,16830,16395,3250,17341,16809,2778,0,0,0,0,0,0,,,,
s4q15_1,4.15 What is the source of water for irrigation?,int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment(dam) …",6,0,0,0,439,561,2023,704,521,1551,0,0,0,0,0,0,,,,
s4q15_2,4.15 What is the source of water for irrigation?,int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment(dam) …",6,0,0,0,19,46,79,35,43,76,0,0,0,0,0,0,,,,
s4q16_1,4.16 What is the irrigation tool have you used?,int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,439,561,2023,704,521,1551,0,0,0,0,0,0,,,,
s4q16_2,4.16 What is the irrigation tool have you used?,int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,72,118,428,94,89,313,0,0,0,0,0,0,,,,
s4q16_3,4.16 What is the irrigation tool have you used?,int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,3,23,48,15,11,36,0,0,0,0,0,0,,,,
s4q15_3,4.15 What is the source of water for irrigation?,int8,"1=Rainwater harvesting, 2=Water treatment plant, 3=Underground water, 4=Lake/stream water, 5=Water catchment(dam) …",6,0,0,0,0,3,1,3,3,0,0,0,0,0,0,0,,,,
s1q7,1.7 Farmer/LSF type,int8,"1=Small scale farmer as individual, 2=Small Scale farmer as Coperative/Company/Association,, 3=Large scale farmer as individual, 4=Large scale  farmer as Coperative/Company/Association",4,0,0,0,0,0,0,17306,19274,2779,17376,16883,4926,0,16864,0,,,,
s3q26,3.26 What do you gain as support from land consolidation program?,int16,,0,0,0,0,0,0,0,1189,866,866,0,0,0,0,0,0,,,,
s4q9_2,4.9.2 At which stage of agriculture practice have you used ploughing tractor?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q10_2_1,4.10.2 At which stage of agriculture practice have you used animal ploughing??(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,17,5,0,1,1,0,9,0,0,,,2021_A: 4.10.2 At which stage of agriculture practices hav; 2021_B: 4.10.2 At which stage of agriculture practices hav; 2022_A: 4.10.2 At which stage of agriculture practice have; 2022_B: 4.10.2 At which stage of agriculture practice have,"{""3"": [""Raking"", ""Sowing""], ""13"": [""Other stage of agriculture practice (Specify)"", ""Other stage of agriculture practice(Specify)""]}"
s4q10_2_2,4.10.2 At which stage of agriculture practice have you used animal ploughing??(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,2,0,0,1,1,0,6,0,0,,,2021_A: 4.10.2 At which stage of agriculture practices hav; 2022_A: 4.10.2 At which stage of agriculture practice have; 2022_B: 4.10.2 At which stage of agriculture practice have,"{""3"": [""Raking"", ""Sowing""], ""13"": [""Other stage of agriculture practice (Specify)"", ""Other stage of agriculture practice(Specify)""]}"
s4q16_4,4.16 What is the irrigation tool have you used?,int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,,,,
s4q16_5,4.16 What is the irrigation tool have you used?,int8,"1=Irrigation machine, 2=Pump, 3=Tube wells, 4=Water can, 5=Water channels …",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,
area,plot area in Hectare,double,,0,0,0,0,0,0,0,17342,19333,2779,0,0,0,0,0,0,,,,
s2q3,2.3 Number of main crops to be harvested during this season in the plot.,int8,,0,0,0,0,0,0,0,0,2779,2779,0,0,0,0,0,0,,,,
s4q7_1,4.7 What do you gain as support from land consolidation program?(Benefit1),int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,0,0,0,0,0,0,621,518,1491,771,612,799,,,,
s4q7_2,4.7 What do you gain as support from land consolidation program?(Benefit2),int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,0,0,0,0,0,0,271,186,330,301,200,209,,,,
s4q7_3,4.7 What do you gain as support from land consolidation program?(Benefit3),int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,0,0,0,0,0,0,188,107,169,225,114,73,,,,
s4q7_4,4.7 What do you gain as support from land consolidation program?(Benefit4),int8,"1=Seeds, 2=Fertilizer, 3=Access to irrigation facilities, 4=Access to storage facilities, 5=Access to market …",8,0,0,0,0,0,0,0,0,0,114,66,34,147,81,24,,,,
s4q7_0,4.7 What do you gain as support from land consolidation program?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q8,4.8 Did you use any mechanical equipment for agriculture activities in any of yo,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,0,17376,16883,4926,16830,16864,2983,,"s4q8_v2 (2019_A, 2019_B, 2019_C)",,
s4q9,4.9 Did you use any mechanical equipment for agriculture activities on this plot,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,0,0,225,161,17,288,202,6,,"s4q9_v2 (2019_A, 2019_B, 2019_C)",,
s4q10_2_o,4.10.2 At which stage of agriculture practice have you used animal ploughing?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q11_2_1,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,115,81,6,158,110,3,,,,
s4q11_2_2,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,78,54,4,77,57,1,,,,
s4q11_2_3,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,23,23,0,26,26,0,,,,
s4q11_2_4,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,2,6,0,9,5,0,,,,
s4q11_2_5,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,,,,
s4q11_2_o,4.11.2 At which stage of agriculture practice have you used ploughing tractor?,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
s4q12_2_1,4.12.2 At which stage of agriculture practices have you used other mechanical eq,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,5,9,0,31,7,0,,,2022_A: 4.11.2 At which stage of agriculture practice have; 2022_B: 4.11.2 At which stage of agriculture practice have,
s4q12_2_2,4.12.2 At which stage of agriculture practices have you used other mechanical eq,int8,"1=Ploughing, 2=Soil leveling, 3=Raking, 4=Manuring, 5=Sowing …",13,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,,,2022_A: 4.11.2 At which stage of agriculture practice have; 2022_B: 4.11.2 At which stage of agriculture practice have,
s4q12_2_3,4.11.2 At which stage of agriculture practice have you used ploughing tractor?(s,string,,0,19805,19222,1731,16830,16398,3251,17342,19333,2779,17376,16883,4926,16830,16864,2983,,,,
