variable,label,type,value_labels,n_value_labels,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
s2q11,2.11 Types of agroforestry trees planted in this plot?,int8,"1=Calliandra, 2=Leucaena, 3=Sesbania, 4=Acacia, 5=Erythrina …",16,10309,9368,1117,10678,10087,1089,18420,16426,0,13141,10862,0,,,2020_C: 2.11 Types of agroforestry trees existing in this ; 2021_C: 2.11 Types of agroforestry trees existing in this ,"{""14"": [""Ikibonobono"", ""Ikibonobono[Ricinus communis]"", ""Others(specify)""], ""15"": [""Ikibonobono"", ""Others(specify)""]}"
s2q5_2,2.5.2 Farmer ID,int8,,0,0,0,0,24920,24580,4906,28273,32437,4769,25745,21515,4761,,,2021_C: 2.4.2 Farmer ID; 2022_C: 2.4.2 Farmer ID,
s2q4,2.4 Plot size (m2),double,,0,0,0,0,0,0,0,34477,33192,4937,31778,26391,4930,,,2022_C: plot_area,
s2q7_other,2.7 Other Nonagricultural Land Type,string,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,2022_C: 2.6 Other Nonagricultural Land Type,
s2q11_o,2.11 Other types of agroforestry trees existing in this plot,string,,0,27564,29526,5057,30596,30122,5063,34477,33192,4937,31778,26391,4930,,,2022_C: 2.10_o Other types of agroforestry trees existing ,
s1q7,Number of grids sampled,int8,,0,0,0,0,0,0,0,0,0,4937,0,0,0,,,,
s2q2,2.2 Number of grid points that fall in this plot,int8,,0,0,0,0,0,0,0,0,0,4937,0,0,4930,,,,
s2q11_1,2.11 Types of agroforestry trees existing in this plot,int8,"1=Calliandra, 2=Leucaena, 3=Sesbania, 4=Acacia, 5=Erythrina …",16,0,0,0,0,0,0,0,0,1196,0,0,845,,,2022_C: 2.11 Types of agroforestry trees existing in this ,"{""10"": [""Fruit trees"", ""Fruits trees""], ""11"": [""Markhamia lutea(umusave"", ""Markhamia lutea(umusave)""], ""14"": [""Ikibonobono"", ""Ikibonobono[Ricinus communis]""], ""15"": [""Other source (specify)."", ""Others(specify)""]}"
s2q11_2,2.11 Types of agroforestry trees existing in this plot,int8,"1=Calliandra, 2=Leucaena, 3=Sesbania, 4=Acacia, 5=Erythrina …",16,0,0,0,0,0,0,0,0,232,0,0,128,,,2022_C: 2.11 Types of agroforestry trees existing in this ,"{""10"": [""Fruit trees"", ""Fruits trees""], ""11"": [""Markhamia lutea(umusave"", ""Markhamia lutea(umusave)""], ""14"": [""Ikibonobono"", ""Ikibonobono[Ricinus communis]""], ""15"": [""Other source (specify)."", ""Others(specify)""]}"
s2q11_3,2.11 Types of agroforestry trees existing in this plot,int8,"1=Calliandra, 2=Leucaena, 3=Sesbania, 4=Acacia, 5=Erythrina …",16,0,0,0,0,0,0,0,0,35,0,0,27,,,2022_C: 2.11 Types of agroforestry trees existing in this ,"{""10"": [""Fruit trees"", ""Fruits trees""], ""11"": [""Markhamia lutea(umusave"", ""Markhamia lutea(umusave)""], ""14"": [""Ikibonobono"", ""Ikibonobono[Ricinus communis]""], ""15"": [""Other source (specify)."", ""Others(specify)""]}"
s2q11_4,2.11 Types of agroforestry trees existing in this plot,int8,"1=Calliandra, 2=Leucaena, 3=Sesbania, 4=Acacia, 5=Erythrina …",16,0,0,0,0,0,0,0,0,4,0,0,2,,,2022_C: 2.11 Types of agroforestry trees existing in this ,"{""10"": [""Fruit trees"", ""Fruits trees""], ""11"": [""Markhamia lutea(umusave"", ""Markhamia lutea(umusave)""], ""14"": [""Ikibonobono"", ""Ikibonobono[Ricinus communis]""], ""15"": [""Other source (specify)."", ""Others(specify)""]}"
weight_plot_final,Final weight,double,,0,0,0,0,0,0,0,0,0,4937,0,0,0,,,,
bloc_number,Bloc number in case of Large farmer,int32,,0,0,0,0,0,0,0,0,0,0,31778,26391,0,,,,
