variable,label,type,value_labels,n_value_labels,n_2013_A,n_2014_A,n_2014_B,n_2014_C,n_2015_A,n_2015_B,n_2016_A,n_2016_B,n_2016_C,source,versions,label_variants,value_label_conflicts
ha,Area by crop in hectare,double,,0,0,100661,0,0,0,0,0,0,0,,,,
group_crop,,int8,"1=maize, 2=sorghum, 3=paddy rice, 4=wheat, 5=other cereals …",25,0,84792,0,0,0,0,110735,0,0,,,,"{""1"": [""Maize"", ""sorghum""], ""2"": [""Sorghum"", ""maize""], ""3"": [""Paddy rice"", ""wheat""], ""4"": [""Wheat"", ""paddy rice""], ""5"": [""Other cereals"", ""beans""], ""6"": [""Cassava"", ""peas""], ""7"": [""Sweet Potatoes"", ""ground nuts""], ""8"": [""Irish Potatoes"", ""soya beans""], ""9"": [""Yams & Taro"", ""bananas""], ""10"": [""Cooking Banana"", ""irish potatoes""], ""11"": [""Dessert banana"", ""sweet potatoes""], ""12"": [""Banana for beer"", ""yams & taro""], ""13"": [""Bush beans"", ""cassava""], ""14"": [""Climbing beans"", ""vegetables""], ""15"": [""Peas"", ""fruits""], ""16"": [""Groundnuts"", ""other cereals""], ""17"": [""Soya beans"", ""other crops""], ""99"": [""Non Agriculture"", ""non-agriculture land""]}"
is_this_crop_for_this_agri,1.7 is this crop for this agricultural season?,int8,"1=yes, 2=no",2,0,1169,0,0,0,0,0,0,0,,,,
type_of_seeds_sowed,1.6 type of seeds sowed,int8,"1=traditional seeds, 2=improved seeds, 3=traditional and improved seeds",3,0,1169,1247,816,0,0,0,0,0,,,2014_A_lsf_farmq_part1: 1.8 type of seeds sowed; 2014_B_lsf_farmq_part1: 1.4 type of seeds sowed,"{""3"": [""1 and 2"", ""traditional and improved seeds"", ""tradutional and improved seeds""]}"
type_of_seeds_sown,1.6 Type of seeds sown,int8,"1=Traditional seeds, 2=Improved seeds, 3=Traditional and Improved seeds",3,0,0,0,0,24436,0,23492,26929,1662,,,2015_A_farmq_part1: 1.6 type of seeds sown,
i08a,0.8 Nature of Operator,int8,"1=Individual farmer, 2=Cooperative/ Institution/Company, 3=Individual Big Farmer, 4=Cooperative/ Institution/Company taken as Big Farmer, 5=Settlement",5,0,0,0,0,0,0,27350,0,0,,,,
i09,0.9 Sex,int8,"1=Male, 2=Female",2,0,0,0,0,0,0,26256,0,0,,,,
i10,0.10 Age of the operator,int16,,0,0,0,0,0,0,0,26256,0,0,,,,
i11,0.11 Education level of the operator,int8,"1=Primary, 2=Secondary, 3=Tertiary, 4=No education",4,0,0,0,0,0,0,26256,0,0,,,,
i16,0.16 Agricultural activity,int8,"1=Agriculture, 2=Agriculture & Livestock",2,0,0,0,0,0,0,27341,0,0,,,,
i17,0.17 Are you a member of any Agriculture Cooperative,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,27350,0,0,,,,
age_group,,int8,"1=14-24, 2=25-34, 3=35-44, 4=45-54, 5=55 and Above",5,0,0,0,0,0,0,26256,0,0,,,,
is_this_plot_being_used_bf_h,2.5 Is this plot being used BF him/herself,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,3847,0,0,,,,
anti_erosion_activities,2.6.1 Anti-erosion activities made on this plot?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,4520,0,0,,,,
anti_erosion_activities_pr,2.6.2 Type of anti-erosion Activities made,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/Grasses …",9,0,0,0,0,0,0,1987,0,0,,,,
anti_erosion_activities_ps,2.6.2 Type of anti-erosion Activities made,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/Grasses …",9,0,0,0,0,0,0,498,0,0,,,,
anti_erosion_activities_pt,2.6.2 Type of anti-erosion Activities made,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/Grasses …",9,0,0,0,0,0,0,44,0,0,,,,
area_crop_v2,crop area,double,,0,0,0,0,0,0,0,5213,0,0,,area_crop (2016_A_screening_a_final),,
anti_erosive_practice,2.8.1 Anti_erosion activities done on this plot?,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,98202,95006,0,,,2016_A_screening_a_final: 2.8.1 anti_erosion activities done on this plot?,
anti_erosive_activity_1,2.8.2 anti erosive activity-1,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,0,0,0,0,0,0,68267,0,0,,,,
anti_erosive_activity_2,2.8.2 anti erosive activity-2,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,0,0,0,0,0,0,18434,0,0,,,,
anti_erosive_activity_3,2.8.2 anti erosive activity-3,int8,"1=ditches, 2=trees, 3=bench terraces, 4=progressive terraces, 5=cover plants/grasses …",9,0,0,0,0,0,0,695,0,0,,,,
area_crop,area3 using perc interv,double,,0,0,0,0,0,0,0,104374,0,0,,area_crop_v2 (2016_A_screening_a_final_big),,
anti_erosive_activities,2.8.2 Anti erosive activity-1,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,0,0,0,0,64156,0,,,,
anti_erosive_activitieu,2.8.2 Anti erosive activity-2,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,0,0,0,0,17251,0,,,,
anti_erosive_activitiet,2.8.2 Anti erosive activity-3,int8,"1=Ditches, 2=Trees, 3=Bench terraces, 4=Progressive terraces, 5=Cover plants/grasses …",9,0,0,0,0,0,0,0,712,0,,,,
density_percentage,2.9.4 Density%,int16,,0,0,0,0,0,0,0,0,27452,0,,,,
season_b_crop,2.10 Season B crop,int8,"1=Yes, 2=No",2,0,0,0,0,0,0,0,102381,0,,,,
area_sqm,Area_SQm,double,,0,0,0,0,0,0,0,0,102381,0,,,,
ha_p,Physical area in hectare,double,,0,0,0,0,0,0,0,0,102381,0,,,,
ha_d,Developed area in hectare,double,,0,0,0,0,0,0,0,0,102381,0,,,,
