variable,label,type,value_labels,n_value_labels,n_2017_A,n_2017_B,n_2017_C,n_2018_A,n_2018_B,n_2018_C,source,versions,label_variants,value_label_conflicts
s3q14,3.14 Pesticide type,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",19,2371,2705,1900,2790,2619,610,,s3q14_v2 (2018_A_lsf),2017_A_lsf: 3.14.Pesticide type; 2017_A_ssf: 3.14.Pesticide type; 2017_B_lsf: 3.14 Type of pesticide used; 2017_B_ssf: 3.14.Pesticide type; 2017_C_ssf: 3.14 Type of pesticide used; 2018_A_ssf: 3.14.Pesticide type,"{""8"": [""Other Pesticide"", ""Rocket""], ""9"": [""Beam"", ""NA"", ""Other Pesticide""], ""10"": [""Dithane"", ""Na"", ""Other Pesticide"", ""Rocket""], ""0"": [""NA"", ""Rocket""]}"
s3q15,3.15 Pesticde unit,int8,"1=       Kg, 2=       g, 3=       l, 4=       cc",4,2363,2713,1193,2790,2619,610,,s3q15_v2 (2018_A_lsf),2017_A_lsf: 3.15.Pesticde unit; 2017_A_ssf: 3.15.Pesticide unit; 2017_B_lsf: 3.15 Pesticide type (unit); 2017_B_ssf: 3.15.Pesticide unit; 2017_C_ssf: 3.15 Pesticide type (unit); 2018_A_ssf: 3.15.Pesticide unit,
s3q16,3.16 Total Quantity of pesticide used in this plot,double,"1=Kg, 2=g, 3=l, 4=cc",4,2355,2700,1193,3455,2619,610,,,2017_A_lsf: 3.16.Pesticde: Total quantity used; 2017_A_ssf: 3.16.Pesticide: Total quantity used; 2017_B_lsf: 3.16 Total quantity of pesticide used; 2017_B_ssf: 3.16.Pesticide: Total quantity used; 2017_C_ssf: 3.16 Total quantity of pesticide used; 2018_A_lsf: 3.16.Pesticde unit; 2018_A_ssf: 3.16.Total Quantity of pesticide used in this plot,
s3q17,3.17 Quantity of Pesticde purchased,double,,0,2357,2705,1193,2790,2619,610,,s3q17_v2 (2018_A_lsf),2017_A_lsf: 3.17.Pesticde: Quantity purchased; 2017_A_ssf: 3.17.Pesticide: Quantity purchased; 2017_B_lsf: 3.17 Quantity of pesticide purchased; 2017_B_ssf: 3.17.Pesticide: Quantity purchased; 2017_C_ssf: 3.17 Quantity of pesticide purchased; 2018_A_ssf: 3.17.Quantity of Pesticde purchased,
s3q18,3.18 Total amount spent on quantity bought (Rwf),double,,0,2327,2657,1193,3338,2515,610,,,2017_A_lsf: 3.18.Pesticde: Total amount spent on quantity purc; 2017_A_ssf: 3.18.Total amount spent on quantity of pesticide p; 2017_B_lsf: 3.18 Total amount sopent on quantity purchased; 2017_B_ssf: 3.18.Total amount spent on quantity of pesticide p; 2017_C_ssf: 3.18 Total amount sopent on quantity purchased; 2018_A_lsf: 3.18.Quantity of Pesticde purchased; 2018_A_ssf: 3.18.Total amount spent on quantity bought(Rwf),
s3q14_v2,3.14 Have you used pesticides in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,4552,0,0,,"s3q14 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_ssf, 2018_B_lsf, 2018_B_ssf, 2018_C_ssf)",,
s3q15_v2,3.15.Pesticide type,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",10,0,0,0,665,0,0,,"s3q15 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_ssf, 2018_B_lsf, 2018_B_ssf, 2018_C_ssf)",,
s3q17_v2,3.17.Total Quantity of pesticide used in this plot,double,,0,0,0,0,665,0,0,,"s3q17 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_ssf, 2018_B_lsf, 2018_B_ssf, 2018_C_ssf)",,
s3q19_v2,3.19.Total amount spent on quantity bought (Rwf),int32,,0,0,0,0,627,0,0,,"s3q19 (2018_A_ssf, 2018_B_lsf, 2018_B_ssf, 2018_C_ssf)",,
s3q20,3.20.what was the main crop the pesticide was applied?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",85,0,0,0,660,0,0,,,,
q1_2,1.2.District,int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara …",30,0,0,0,41420,0,0,,,,
q2_1,2.1 Plot N°,int8,,0,0,0,0,41420,0,0,,,,
q2_2,2.2 Area m2,double,,0,0,0,0,41420,0,0,,,,
s3q19,3.19 what was the main crop the pesticide was applied?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",85,0,0,0,2790,2619,610,,s3q19_v2 (2018_A_lsf),2018_A_ssf: 3.19.What was the main crop the pesticide was appl,
s2q2_v2,2.2 Ptot area in sqm,double,,0,0,0,0,0,10507,1287,,"s2q2 (2017_A_lsf, 2017_A_ssf, 2017_B_lsf, 2017_B_ssf, 2017_C_ssf, 2018_A_lsf, 2018_B_lsf)",,
