variable,label,type,value_labels,n_value_labels,n_2019_A,n_2019_B,n_2019_C,n_2020_A,n_2020_B,n_2020_C,n_2021_A,n_2021_B,n_2021_C,n_2022_A,n_2022_B,n_2022_C,n_2023_A,n_2023_B,n_2023_C,source,versions,label_variants,value_label_conflicts
wt,"Weight (plot weight where shipped, else segment/stratum weight; missing where no",double,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s1q4,1.4 Segment,int16,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16065,16864,2983,,,,
s2q2,2.2 Plot area(sqm),double,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,0,21432,0,0,16864,2983,,"s2q2_v2 (2022_A, 2023_A)",2019_A: 2.2 Ptot area in sqm; 2019_B: 2.2 Ptot area in sqm; 2019_C: 2.2 Ptot area in sqm,
s2q3_6,2.3.6 Farmer type,int8,"1=small scale farmer, 2=large scale farmer",2,18786,17637,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
s3q2,3.2 Number of source where did organic fertilizer used came from?,double,,0,10533,8140,1291,17412,14302,4698,19169,16380,3988,0,0,0,0,0,0,,,2019_A: 3.2 Quantity of Organic fertilizer used (in Kg); 2019_B: 3.2 Quantity of Organic fertilizer used (in Kg); 2019_C: 3.2 Quantity of Organic fertilizer used (in Kg),
s3q3_v2,3.3 Quantity of Organic fertilizer purchased,int32,,0,10533,8140,1291,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q3 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q4,3.4 Total cost of organic fertilizer purchased (Frw),double,,0,10533,8140,1291,3134,1887,1695,3187,2203,1213,3608,2350,3547,1794,1384,687,,,2019_A: 3.4 Cost of Organic fertilizer purchased (Rwf); 2019_B: 3.4 Cost of Organic fertilizer purchased (Rwf); 2019_C: 3.4 Cost of Organic fertilizer purchased (Rwf),
s3q5_v2,3.5 Have you used inorganic fertilizer in this plot during this season?,int8,"1=Yes, 2=No",2,18786,17637,1832,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q5 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q6_v2,3.6 Inorganic fertilizer type,int8,"1=NPK 17-17-17, 2=NPK 20-10-10, 3=NPK 25-5-5, 4=Urea, 5=Liquid urea …",9,6220,4465,785,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q6 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C)",,
s3q7_v2,3.7 Unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,6220,4465,785,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q7 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q8,3.8 What is the main source of inorganic fertilizer used?,double,"1=Government (MINAGRI/RAB/NAEB), 2=Agro-dealers, 3=NGOs, 4=Market, 5=Agriculture cooperative …",7,6220,4465,785,13076,9522,4673,15544,12173,4077,17002,12343,9770,10081,8661,2231,,,2019_A: 3.8 Total quantity of inorganic fertilizer used; 2019_B: 3.8 Total quantity of inorganic fertilizer used; 2019_C: 3.8 Total quantity of inorganic fertilizer used; 2020_A: 3.8 What is the main source of fertilizer used?; 2020_B: 3.8 What is the main source of fertilizer used?; 2020_C: 3.8 What is the main source of fertilizer used?; 2021_A: 3.8 What is the main source of fertilizer used?; 2021_B: 3.8 What is the main source of fertilizer used?; 2021_C: 3.8 What is the main source of fertilizer used?; 2022_A: 3.8 What is the main source of fertilizer used?; 2022_B: 3.8 What is the main source of fertilizer used?; 2022_C: 3.8 What is the main source of fertilizer used?,
s3q9_v2,3.9 Quantity of inorganic fertilizer purchased,double,,0,6220,4465,785,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q9 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q10_v2,3.10 Unit Price(Rwf),int32,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",20,6220,4465,785,0,0,0,0,0,0,0,0,9481,0,0,0,,"s3q10 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B)",2019_A: 3.10 Unit Price(Rwf); 2019_B: 3.10 Unit Price(Rwf); 2019_C: 3.10 Unit Price(Rwf),
s3q11_v2,3.11 What is the main source of fertilizer used?,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc, 5=Agriculture cooperative …",6,6220,4465,785,0,0,0,0,0,0,0,0,9481,0,0,0,,"s3q11 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B)",2019_A: 3.11 What is the main source of fertilizer used?; 2019_B: 3.11 What is the main source of fertilizer used?; 2019_C: 3.11 What is the main source of fertilizer used?,"{""1"": [""Agro-dealers"", ""Kg;""], ""2"": [""NGOs"", ""g;""], ""3"": [""L,"", ""Market""], ""4"": [""Cc"", ""MINAGRI/RAB/NAEB""]}"
s3q12_v2,3.12 What was the main crop the fertilizer was applied?,double,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",86,6220,4465,785,0,0,0,0,0,0,0,0,9481,0,0,0,,"s3q12 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B)",2019_A: 3.12 What was the main crop the fertilizer was app; 2019_B: 3.12 What was the main crop the fertilizer was app; 2019_C: 3.12 What was the main crop the fertilizer was app,
s3q13,3.13  Quantity purchased and used in this plot,double,"1=Yes, 2=No",2,18786,17637,1832,8318,5561,3608,10553,7541,2987,12787,8619,9481,0,0,0,,,2019_A: 3.13 Have you used pesticides in this plot during ; 2019_B: 3.13 Have you used pesticides in this plot during ; 2019_C: 3.13 Have you used pesticides in this plot during ; 2020_A: 3.13 Quantity purchased and used in this plot; 2020_B: 3.13 Quantity purchased and used in this plot; 2020_C: 3.13 Quantity purchased and used in this plot; 2021_A: 3.13 Quantity purchased and used in this plot; 2021_B: 3.13 Quantity purchased and used in this plot; 2021_C: 3.13 Quantity purchased and used in this plot; 2022_A: 3.13      Quantity purchased and used in this     ; 2022_B: 3.13  Quantity purchased and used in this plot,
s3q14_v2,3.14 Pesticide type,int32,"1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin, 5=Dursiban …",10,4136,3735,965,0,0,0,0,0,0,0,0,9456,0,0,0,,"s3q14 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B)",2019_A: 3.14 Pesticide type; 2019_B: 3.14 Pesticide type; 2019_C: 3.14 Pesticide type,
s3q15_v2,3.15 Unit,int16,"1=Kg, 2=g, 3=l, 4=cc, 101=Maize …",100,4136,3735,965,0,0,0,0,0,0,0,0,9481,0,0,0,,"s3q15 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B)",2019_A: 3.15 Unit; 2019_B: 3.15 Unit; 2019_C: 3.15 Unit,
s3q16_v2,3.16 Total Quantity of pesticide used in this plot,double,,0,4136,3735,965,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q16 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q17_v2,3.17 Quantity of pesticide purchased,double,,0,4136,3735,965,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q17 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q18_v2,3.18 Total amount spent on quantity bought (Rwf),int32,,0,4033,3664,960,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q18 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q19_v2,3.19 What was the main crop the pesticide was applied?,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",86,4136,3735,965,0,0,0,0,0,0,0,0,0,0,0,0,,"s3q19 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_A, 2022_B, 2022_C, 2023_A, 2023_B, 2023_C)",,
s1q7,1.7 Farmer/LSF type,int8,"1=Small scale farmer as individual, 2=Small Scale farmer as Coperative/Company/Association,, 3=Large scale farmer as individual, 4=Large scale  farmer as Coperative/Company/Association",4,0,0,0,20911,18821,5618,22257,20344,4838,24246,21432,0,16895,16864,0,,,2023_A: 1.7 Farmer type,
s1q8,1.8 Gender,int8,"1=Male, 2=Female",2,0,0,0,20056,18114,5502,21333,19557,0,22792,20306,0,16370,0,0,,,,
s1q9,1.9 Age,int16,,0,0,0,0,20049,18114,5502,21309,19557,0,22792,20306,0,16370,0,0,,,,
s2q3,2.3 Number of main crops to be harvested during this season in the plot.,int8,,0,0,0,0,21023,18936,5618,0,0,4838,0,0,0,0,16864,0,,,,
s3q2_1,3.2 Where did organic fertilizer used came from?(Source1),int8,"1=Own preparation, 2=Bought, 3=Received for free, 4=Other(Specify)",4,0,0,0,17412,14302,4698,19169,16380,3988,0,0,9725,14857,13992,2491,,"s3q2_1_v2 (2022_A, 2022_B)",2020_A: 3.2_1 Where did organic fertilizer used came from?; 2020_B: 3.2_1 Where did organic fertilizer used came from?; 2020_C: 3.2_1 Where did organic fertilizer used came from?; 2021_A: 3.2_1 Where did organic fertilizer used came from?; 2021_B: 3.2_1 Where did organic fertilizer used came from?; 2021_C: 3.2_1 Where did organic fertilizer used came from?,"{""1"": [""Own preparation"", ""Own preparation (manure, compost, Biogas, etc.)""]}"
s3q2_2,3.2 Where did organic fertilizer used came from?(Source2),int8,"1=Own preparation, 2=Bought, 3=Received for free, 4=Other(Specify)",4,0,0,0,1772,1156,476,1868,1228,354,0,0,1305,1207,854,260,,"s3q2_2_v2 (2022_A, 2022_B)",2020_A: 3.2_2 Where did organic fertilizer used came from?; 2020_B: 3.2_2 Where did organic fertilizer used came from?; 2020_C: 3.2_2 Where did organic fertilizer used came from?; 2021_A: 3.2_2 Where did organic fertilizer used came from?; 2021_B: 3.2_2 Where did organic fertilizer used came from?; 2021_C: 3.2_2 Where did organic fertilizer used came from?,"{""1"": [""Own preparation"", ""Own preparation (manure, compost, Biogas, etc.)""]}"
s3q2_3,3.2 Where did organic fertilizer used came from?(Source3),int8,"1=Own preparation, 2=Bought, 3=Received for free, 4=Other(Specify)",4,0,0,0,16,16,1,44,6,5,0,0,4,6,5,2,,"s3q2_3_v2 (2022_A, 2022_B)",2020_A: 3.2_3 Where did organic fertilizer used came from?; 2020_B: 3.2_3 Where did organic fertilizer used came from?; 2020_C: 3.2_3 Where did organic fertilizer used came from?; 2021_A: 3.2_3 Where did organic fertilizer used came from?; 2021_B: 3.2_3 Where did organic fertilizer used came from?; 2021_C: 3.2_3 Where did organic fertilizer used came from?,"{""1"": [""Own preparation"", ""Own preparation (manure, compost, Biogas, etc.)""]}"
s3q3,3.3 Have you used organic fertilizer in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,21023,18936,5618,22313,20431,4838,24113,21432,9725,14857,13992,2491,,"s3q3_v2 (2019_A, 2019_B, 2019_C)",,
s3q5,3.5 Was the quantity of organic fertilizer used sufficient for you compared to t,int8,"1=Yes, 2=No",2,0,0,0,13512,9815,4459,15169,11778,3640,16797,12163,9159,11165,9760,2262,,"s3q5_v2 (2019_A, 2019_B, 2019_C)",,
s3q6,3.6 Number of reasons If the organic fertilizer used was not sufficient,int8,,0,0,0,0,8373,5701,1707,8506,6957,1384,0,0,0,0,0,0,,"s3q6_v2 (2019_A, 2019_B, 2019_C)",,
s3q6_1,"3.6 If the organic fertilizer used was not sufficient, what is the main reason?(",int8,"1=No livestock at home, 2=Few livestock at home, 3=Not available on market, 4=Lack of financial means, 5=Lack of transport facilities …",6,0,0,0,8373,5701,1707,8506,6957,1384,0,0,2459,5056,4606,525,,"s3q6_1_v2 (2022_A, 2022_B)",2020_A: 3.6_1 If the organic fertilizer used was not suffi; 2020_B: 3.6_1 If the organic fertilizer used was not suffi; 2020_C: 3.6_1 If the organic fertilizer used was not suffi; 2021_A: 3.6_1 If the organic fertilizer used was not suffi; 2021_B: 3.6_1 If the organic fertilizer used was not suffi; 2021_C: 3.6_1 If the organic fertilizer used was not suffi,"{""6"": [""Other (Specify)"", ""Other reason (specify)""]}"
s3q6_2,"3.6 If the organic fertilizer used was not sufficient, what is the main reason?(",int8,"1=No livestock at home, 2=Few livestock at home, 3=Not available on market, 4=Lack of financial means, 5=Lack of transport facilities …",6,0,0,0,3822,2463,771,3306,2379,489,0,0,895,1988,1830,230,,"s3q6_2_v2 (2022_A, 2022_B)",2020_A: 3.6_2 If the organic fertilizer used was not suffi; 2020_B: 3.6_2 If the organic fertilizer used was not suffi; 2020_C: 3.6_2 If the organic fertilizer used was not suffi; 2021_A: 3.6_2 If the organic fertilizer used was not suffi; 2021_B: 3.6_2 If the organic fertilizer used was not suffi; 2021_C: 3.6_2 If the organic fertilizer used was not suffi,"{""6"": [""Other (Specify)"", ""Other reason (specify)""]}"
s3q7,3.7 Did you use inorganic fertilizer in any of your plots during this season?,int8,"1=Yes, 2=No",2,0,0,0,21023,18936,5618,22313,20431,4837,24113,21432,11242,16895,16864,2983,,"s3q7_v2 (2019_A, 2019_B, 2019_C)",,
s3q9,3.9 Have you used inorganic fertilizer in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,19882,18065,4678,21293,19241,3869,24279,21432,11242,16895,16864,2983,,"s3q9_v2 (2019_A, 2019_B, 2019_C)",,
s3q10,3.10  Type of inorganic fertilizer used,int8,"1=NPK 17-17-17;, 2=NPK 20-10-10;, 3=NPK 25-5-5;, 4=NPK 22-6-12;, 5=Other NPK; …",21,0,0,0,8318,5563,3608,10553,7541,2987,12787,8619,0,0,0,0,,"s3q10_v2 (2019_A, 2019_B, 2019_C, 2022_C)",2020_A: 3.10 Type of inorganic fertilizer used; 2020_B: 3.10 Type of inorganic fertilizer used; 2020_C: 3.10 Type of inorganic fertilizer used; 2021_A: 3.10 Type of inorganic fertilizer used; 2021_B: 3.10 Type of inorganic fertilizer used; 2021_C: 3.10 Type of inorganic fertilizer used; 2022_A: 3.10      Type of inorganic fertilizer used,
s3q11,3.11  Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,8318,5563,3608,10553,7541,2987,12783,8619,0,0,0,0,,"s3q11_v2 (2019_A, 2019_B, 2019_C, 2022_C)",2020_A: 3.11 Measurement unit; 2020_B: 3.11 Measurement unit; 2020_C: 3.11 Measurement unit; 2021_A: 3.11 Measurement unit; 2021_B: 3.11 Measurement unit; 2021_C: 3.11 Measurement unit; 2022_A: 3.11      Measurement unit,
s3q12,3.12  Total quantity used in this plot,double,,0,0,0,0,8318,5561,3608,10553,7541,2987,12787,8619,0,0,0,0,,"s3q12_v2 (2019_A, 2019_B, 2019_C, 2022_C)",2020_A: 3.12 Total quantity used in this plot; 2020_B: 3.12 Total quantity used in this plot; 2020_C: 3.12 Total quantity used in this plot; 2021_A: 3.12 Total quantity used in this plot; 2021_B: 3.12 Total quantity used in this plot; 2021_C: 3.12 Total quantity used in this plot; 2022_A: 3.12      Total quantity used in this plot,
s3q14,3.14  Unit price (Rwf),double,,0,0,0,0,8119,5389,3576,10336,7402,2952,12577,8497,0,0,0,0,,"s3q14_v2 (2019_A, 2019_B, 2019_C, 2022_C)",2020_A: 3.14 Unit price (Rwf); 2020_B: 3.14 Unit price (Rwf); 2020_C: 3.14 Unit price (Rwf); 2021_A: 3.14 Unit price (Rwf); 2021_B: 3.14 Unit price (Rwf); 2021_C: 3.14 Unit price (Rwf); 2022_A: 3.14      Unit price (Rwf),
s3q15,3.15  Main crops to be fertilized,int16,"101=Maize, 102=Paddy rice, 103=Sorghum, 104=Wheat, 105=Other cereal(specify) …",96,0,0,0,8315,5563,3608,10553,7541,2987,12785,8619,0,0,0,0,,"s3q15_v2 (2019_A, 2019_B, 2019_C, 2022_C)",2020_A: 3.15 Main crops to be fertilized?; 2020_B: 3.15 Main crops to be fertilized?; 2020_C: 3.15 Main crops to be fertilized?; 2021_A: 3.15 Main crops to be fertilized?; 2021_B: 3.15 Main crops to be fertilized?; 2021_C: 3.15 Main crops to be fertilized?; 2022_A: 3.15      Main crops to be fertilized?,"{""131"": [""Beet root"", ""Sugar beet""], ""414"": [""Mandoline"", ""Other fruits (specify).""], ""415"": [""Jack Fruits"", ""Mandoline""], ""416"": [""Goosebery"", ""Jack Fruits""], ""417"": [""Goosebery"", ""Strawberry""], ""418"": [""Coeur de boeuf"", ""Strawberry""], ""419"": [""Coeur de boeuf"", ""Other fruits (specify).""], ""140"": [""Chia seeds"", ""Other seasonal crops(specify).""], ""206"": [""Other annual crops (specify)."", ""Tobacco""]}"
s3q16,3.16 Did you use any type of micro-nutrients in any of your plots in this season,int8,"1=Yes, 2=No",2,0,0,0,21023,18936,5618,22314,20431,4838,24113,21432,11242,16895,16864,2983,,"s3q16_v2 (2019_A, 2019_B, 2019_C)",,
s3q17,3.17 Did you use any type of micro-nutrients in this plot during this season?,int8,"1=Yes, 2=No",2,0,0,0,21023,18936,5618,22314,20431,4838,363,184,11242,16895,112,2983,,"s3q17_v2 (2019_A, 2019_B, 2019_C)",,
s3q18,3.18 Did you use pesticide/Fungicide in any of your plots during this season?,int8,"1=Yes, 2=No",2,0,0,0,21023,18934,5618,22314,20431,4837,24113,21432,11242,16895,16864,2983,,"s3q18_v2 (2019_A, 2019_B, 2019_C)",,
s3q19,3.19 Have you used pesticide/Fungicide in this plot during this current season?,int8,"1=Yes, 2=No",2,0,0,0,21023,18936,5618,22314,20431,4838,24279,21432,9652,5959,5149,2071,,"s3q19_v2 (2019_A, 2019_B, 2019_C)",,
s3q20,3.20  Type of pesticide/fungicide used,int8,"1=Dithane, 2=Ridomil, 3=Dimethoate (DUDU), 4=Cypermethrin, 5=Dursiban …",54,0,0,0,5134,3699,4030,5336,4733,3495,8429,6251,9372,0,0,0,,,2020_A: 3.20 Pesticide type; 2020_B: 3.20 Pesticide type; 2020_C: 3.20 Pesticide type; 2021_A: 3.20 Pesticide type; 2021_B: 3.20 Pesticide type; 2021_C: 3.20 Pesticide type; 2022_A: 3.20 Type of pesticide/fungicide used; 2022_B: 3.20  Type of pesticide/fungicide used,
s3q21,3.21  Measurement unit,int8,"1=Kg;, 2=g;, 3=L,, 4=Cc",4,0,0,0,5134,3699,4030,5336,4733,3495,8426,6251,9372,0,0,0,,,2020_A: 3.21 Pesticde unit; 2020_B: 3.21 Pesticde unit; 2020_C: 3.21 Pesticde unit; 2021_A: 3.21 Pesticide unit; 2021_B: 3.21 Pesticide unit; 2021_C: 3.21 Pesticde unit; 2022_A: 3.21 Measurement unit; 2022_B: 3.21  Measurement unit,
s3q22,3.22  Total quantity used,double,,0,0,0,0,5134,3694,4030,5336,4733,3495,8426,6251,9372,0,0,0,,,2020_A: 3.22 Total Quantity of pesticide used; 2020_B: 3.22 Total Quantity of pesticide used; 2020_C: 3.22 Total Quantity of pesticide used; 2021_A: 3.22 Total Quantity of pesticide used; 2021_B: 3.22 Total Quantity of pesticide used; 2021_C: 3.22 Total Quantity of pesticide used; 2022_A: 3.22 Total quantity used; 2022_B: 3.22  Total quantity used,
s3q23,3.23  Quantity purchased and used in the plot,double,,0,0,0,0,5134,3694,4030,5336,4733,3495,8429,6251,9372,0,0,0,,,2020_A: 3.23 Quantity of Pesticde purchased in this plot; 2020_B: 3.23 Quantity of Pesticde purchased in this plot; 2020_C: 3.23 Quantity of Pesticde purchased in this plot; 2021_A: 3.23 Quantity of Pesticide purchased in this plot; 2021_B: 3.23 Quantity of Pesticide purchased in this plot; 2021_C: 3.23 Quantity of Pesticde purchased in this plot; 2022_A: 3.23 Quantity purchased and used in the plot; 2022_B: 3.23  Quantity purchased and used in the plot,
s3q24,3.24  Total amount spent on quantity purchased (Frw),int32,,0,0,0,0,5042,3574,3995,5250,4662,3482,8313,6174,9360,0,0,0,,,2020_A: 3.24 Total amount spent on quantity bought (Rwf); 2020_B: 3.24 Total amount spent on quantity bought (Rwf); 2020_C: 3.24 Total amount spent on quantity bought (Rwf); 2021_A: 3.24 Total amount spent on quantity bought (Rwf); 2021_B: 3.24 Total amount spent on quantity bought (Rwf); 2021_C: 3.24 Total amount spent on quantity bought (Rwf); 2022_A: 3.24 Total amount spent on quantity purchased (Frw; 2022_B: 3.24  Total amount spent on quantity purchased (Fr,
s1q17_o,1.17 Other Relationship of respondent to the farmer,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,2021_A: 1.16 Relationship of respondent to the farmer; 2021_B: 1.16 Relationship of respondent to the farmer,
s1q20,1.17 Date of interview,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s2q2_v2,2.2 Plot area (m2) Crops planted in the plot,double,,0,0,0,0,0,0,0,0,0,0,24279,0,0,16895,0,0,,"s2q2 (2019_A, 2019_B, 2019_C, 2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_B, 2023_B, 2023_C)",2022_A: 2.4 Plot size (m2); 2023_A: 2.2 Plot area (m2) Crops planted in the plot,
s3q2_1_v2,source of organic fertlizer1,int8,"1=own preparation-manure(compost,biogas), 2=bought, 3=recieved for free, 4=other",4,0,0,0,0,0,0,0,0,0,21225,17405,0,0,0,0,,"s3q2_1 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q2_2_v2,source of organic fertlizer2,int8,"1=own preparation-manure(compost,biogas), 2=bought, 3=recieved for free, 4=other",4,0,0,0,0,0,0,0,0,0,1985,1460,0,0,0,0,,"s3q2_2 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q2_o,3.2 Where did organic fertilizer used came from?,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q2_3_v2,source of organic fertlizer3,int8,"1=own preparation-manure(compost,biogas), 2=bought, 3=recieved for free, 4=other",4,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,,"s3q2_3 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q6_1_v2,main reasons1,int8,"1=no livesock at home, 2=few livestock at home, 3=not available on market, 4=lack of financial means, 5=lack of transport facilitaties …",6,0,0,0,0,0,0,0,0,0,7489,5655,0,0,0,0,,"s3q6_1 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q6_2_v2,main reasons2,int8,"1=no livesock at home, 2=few livestock at home, 3=not available on market, 4=lack of financial means, 5=lack of transport facilitaties …",6,0,0,0,0,0,0,0,0,0,2848,2204,0,0,0,0,,"s3q6_2 (2020_A, 2020_B, 2020_C, 2021_A, 2021_B, 2021_C, 2022_C, 2023_A, 2023_B, 2023_C)",,
s3q6_o,"3.6 If the organic fertilizer used was not sufficient, what is the main reason o",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q8_o,3.8 What is the main source of fertilizer used?,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q10_o,3.10 Type of inorganic fertilizer used,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,2022_A: 3.10  Type of inorganic fertilizer used; 2022_B: 3.10  other type of inorganic fertilizer used,
s3q20_o,3.20 Type of pesticide/fungicide used,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,2022_A: 3.20 Other type of pesticide/fungicide used; 2022_B: 3.20  Other type of pesticide/fungicide used,
s3q2_0,3.2 Where did organic fertilizer used came from?,string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s3q6_0,"3.6 If the organic fertilizer used was not sufficient, what is the main reason o",string,,0,18786,17637,1832,21023,18936,5618,22314,20431,4838,24279,21432,11242,16895,16864,2983,,,,
s2q4_ha,2.4 plot size in hectares,double,,0,0,0,0,0,0,0,0,0,0,0,0,11242,0,0,0,,,,
