variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2024,source,versions,label_variants,value_label_conflicts
s1212,"12.12 Last night,did you sleep under a mosquito net",int8,"0=No, 1=Yes, 9=Missing",3,3124,0,0,0,0,,,,
s1213a,12.13 When do you wash your hands Before preparing meals?,int8,"0=No, 1=Yes, 9=Missing",3,3138,0,0,0,0,,,,
s1213b,12.13 When do you wash your hands Before eating?,int8,"0=No, 1=Yes, 9=Missing",3,3138,0,0,0,0,,,,
s1213c,12.13 When do you wash your hands After going to the loilet?,int8,"0=No, 1=Yes, 9=Missing",3,3139,0,0,0,0,,,,
s1213d,12.13 When do you wash your hands After cleaning a child whe,int8,"0=No, 1=Yes, 9=Missing",3,3139,0,0,0,0,,,,
s1213e,12.13 When do you wash your hands When they are dirty?,int8,"0=No, 1=Yes, 9=Missing",3,3137,0,0,0,0,,,,
s1213f,12.13 When do you wash your hands Never?,int8,"0=No, 1=Yes, 9=Missing",3,3136,0,0,0,0,,,,
s1214,"12.14 After visiting the toilet,what do you use to wash your",int8,"1=Water only, 2=Home made soap and water, 3=Washing soap and water, 4=Nothing, 5=Other …",6,3094,0,0,0,0,,,,
s1215,12.15 Is the woman pregnant,int8,"0=No, 1=Yes, 9=Missing",3,3064,0,0,0,0,,,,
s1216,12.16 Mother's height,int8,,0,0,0,0,0,0,,,,
s1217,12.17 Mother's weight,int8,,0,0,0,0,0,0,,,,
id2,Akarere,int8,,0,0,6252,0,0,0,,,,
id4,Umurenge,int8,,0,0,6252,0,0,0,,,,
id5,Akagari,int8,,0,0,6252,0,0,0,,id5_v2 (2006),,
id7,Numero y'urugo,int8,,0,0,6252,0,0,0,,id7_v2 (2006),,
nr,No,int8,,0,0,6252,0,0,0,,,,
s12q2,Izina ry'umugore ufite imyaka kuva 15 kugera 49,string,,0,3671,6252,7456,6768,6891,,,,
s12q3,12.3. Imyaka afite,int8,,0,0,6082,0,0,0,,,,
s12q4,Ushobora kwandika/gusoma inyandiko ngufi,int8,"0=OYA, 1=YEGO, 2=GUSOMA GUSA",3,0,6082,0,0,0,,,,
s12q5,12.5.Ni ikihe cyiciro cy'amashuri wize,int8,"0=, 1=Ntayo, 2=Yageze mu mashuri abanza, 3=Amashuri y'ingoboka (icyiciro rusange), 4=Amashuri y'isumbuye (umwaka wa 1-3) …",9,0,6082,0,0,0,,,,
s12q6,12.6.Ese ubu uratwite/uronsa,int8,"0=, 1=Aratwite, 2=Aronsa, 3=Nta na kimwe, 4=Byombi …",7,0,6082,0,0,0,,,,
s12q7,12.7.Igihe wari utwite wigeze ujya kwisuzumisha kwa muganga,int8,"0=, 1=Yego, 2=Oya",3,0,5303,0,0,0,,,,
s12q8,12.8.Igihe wari utwite wafashe ibinini bya feri,int8,"0=, 1=Yego, 2=Oya",3,0,4999,0,0,0,,,,
s12q9,12.9.Hari ubwo wigeze ufata ibinini bya vitamini A nyuma y'a,int8,"0=, 1=Yego, 2=Oya, 9=N/A (Ntarabyara ariko aratwite)",4,0,4999,0,0,0,,,,
s12q10,12.10.Mu byumweru 2 bishize hari ubwo wigeze urwara,int8,"0=, 1=Yego, 2=Oya",3,0,6082,0,0,0,,,,
s12q11,12.11.Mu ijoro ryakeye waba waraye mu nzitiraibu ?,int8,"0=, 1=Yego, 2=Oya",3,0,6082,0,0,0,,,,
s12q12a,12.12.a.Ukaraba intoki ryari ? Mbere yo gutegura ifunguro,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q12b,12.12.b.Ukaraba intoki ryari ? Mbere yo kurya,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q12c,12.12.c.Ukaraba intoki ryari ? Avuye kwituma,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q12d,12.12.d.Ukaraba intoki ryari ? Nyuma yo gutuganya umwana uvu,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q12e,12.12.e.Ukaraba intoki ryari ? Igihe afite intoki zanduye,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q12f,12.12.f.Ukaraba intoki ryari ? Nta na rimwe,int8,"0=Oya, 1=Yego",2,0,6082,0,0,0,,,,
s12q13,12.13.Iyo uvuye kwituma ukaraba iki ?,int8,"0=, 1=Amazi gusa, 2=Isabune, yakorewe mu rugo/ivu n'amazi, 3=Isabune n'amazi, 4=Nta na kimwe …",6,0,6082,0,0,0,,,,
s12q14,12.14.Pima umusegururko w'ukuboko kw'ibumoso (MUAC) muri cm,double,,0,0,6082,0,0,0,,,,
s12q15,12.15.Ese ubu uratwite,int8,"0=Yego, 1=Oya",2,0,6082,0,0,0,,,,
s12q16,12.16.Uburebure bw'uwo mubyeyi muri cm,double,,0,0,5540,0,0,0,,,,
s12q17,12.17.Ibiro by'uwo mubyeyi mur Kg,double,,0,0,5540,0,0,0,,,,
filename,Filename,string,,0,3671,6252,7456,6768,6891,,,,
final_norm_weight,Normalised weight,double,,0,0,0,7456,0,0,,,,
rwanda,Rwanda,int8,1=Rwanda,1,0,0,7456,0,0,,,,
distr_copy,District code,int16,"101=Nyarugenge, 102=Gasabo, 103=Kicukiro, 201=Nyanza, 202=Gisagara …",30,0,0,7456,0,0,,,,
v_code,Village code,int32,,0,0,0,7456,0,0,,,,
t_code,Team code,int8,,0,0,0,7456,0,0,,,,
fcs_category,FCS category,int8,"1=poor, 2=borderline, 3=acceptable",3,0,0,7449,0,0,,,,
w_age_groups,Age groups,int8,"1=<20, 2=20-29, 3=30-39, 4=40-49",4,0,0,7456,0,0,,,,
w_stunt,Stunting,int8,"0=no stunted, 1=stunted",2,0,0,6886,0,0,,,,
w_underw,underweight,int8,"0=No, 1=Yes",2,0,0,6886,0,0,,,,
w_wastin_bmi_2,wasting,int8,"0=No, 1=Yes",2,0,0,6886,0,0,,,,
hhno,Household number,int8,,0,0,0,7456,0,0,,,,
q001_2,Interview date,double,,0,0,0,7456,0,0,,,,
moth_id,Mother's unique ID,int16,,0,0,0,7456,0,0,,,,
qrow,Mother's interview ID,int8,,0,0,0,7456,0,0,,,,
q102_01,First name of woman aged 15-49yrs:,string,,0,3671,6252,7456,6768,6891,,,,
q102_02,Age in Years:,int8,,0,0,0,7456,0,0,,,,
q102_03,Can you read and write simple messages?:,int8,"0=No, 1=Read only, 2=Write only, 3=Both (read and write)",4,0,0,7456,0,0,,,,
q102_04,What is your level of education?:,int8,"1=No School, 2=Some Primary, 3=Completed Primary, 4=Vocational School, 5=Some secondary …",7,0,0,7456,0,0,,,,
q102_05,Have you ever been pregnant?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_06,Have you ever given birth?:,int8,"-1=Never been pregnant, 0=No, 1=Yes",3,0,0,7456,0,0,,,,
q102_07,Are you currently pregnant or breastfeeding?:,int8,"1=Pregnant, 2=Both, 3=Breastfeeding, 4=Neither, 5=Don't know",5,0,0,7456,0,0,,,,
q102_08,In the past 2 weeks have you been ill at all?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_09,"Last night, did you sleep under a mosquito net?:",int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_10a,Do you wash your hand Before preparing meals?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_10b,Do you wash your hand After cleaning a child when they go to the toilet?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_10c,Do you wash your hand Before eating?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_10d,Do you wash your hand When they are dirty?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_10e,Do you wash your hand After going to the toilet?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q102_11,what do you use to wash your hands after visiting toilet?,int8,"1=Water only, 2=Homemade soap/ash & water, 3=Washing soap & water, 4=Nothing, 5=Other",5,0,0,5013,0,0,,,,
q102_12,Woman’s MUAC (in centimeters):,double,,0,0,0,7456,0,0,,,,
w_muac,MUAC. outliers as missing,double,,0,0,0,7377,0,0,,,,
q102_13,Does this woman have any disability preventing her from being measured (Height o,int8,"0=No, 1=Yes",2,0,0,6987,0,0,,,,
q102_14,Woman’s height,double,,0,0,0,6954,0,0,,,,
w_height,HEIGHT. outliers as missing,double,,0,0,0,6886,0,0,,,,
q102_15,Woman’s weight,double,,0,0,0,6954,0,0,,,,
w_weight,WEIGHT. outliers as missing,double,,0,0,0,6886,0,0,,,,
w_weight_new,,double,,0,0,0,6939,0,0,,,,
changed_weight,Indicates if there is a new weight after cleaning,int8,"0=Not Changed, 1=Changed",2,0,0,7456,0,0,,,,
w_bmi,BMI. outliers as missing,double,,0,0,0,6886,0,0,,,,
bmi_missings,,int8,,0,0,0,7456,0,0,,,,
w_wastin_bmi,wasting BMI,int8,,0,0,0,6886,0,0,,,,
w_wastin_muac,wasting MUAC,int8,"0=No, 1=Yes, Moderate, 2=Yes, Severe",3,0,0,7377,0,0,,,,
filter___v2,[2012..2012 version] Q102_07>2 AND Q102_07<>5 (FILTER),int8,"0=Not Selected, 1=Selected",2,0,0,7456,0,0,,filter__ (2015),,
w_muac_new,,double,,0,0,0,7377,0,0,,,,
w_height_new,,double,,0,0,0,6897,0,0,,,,
changed_height,Indicates if there is a new height after cleaning,int8,"0=Not Changed, 1=Changed",2,0,0,7456,0,0,,,,
changed_muac,Indicates if there is a new MUAC after cleaning,int8,"0=Not Changed, 1=Changed",2,0,0,7456,0,0,,,,
changed_any,Indicates if there was any change after cleaning,int8,"0=Not Changed, 1=1 Changed, 2=2 Changed, 3=3 Changed",4,0,0,7456,0,0,,,,
strata_id,Strata name,int8,"0=Not applicable, 1=Nyagatare-Gatsib-Kayonza, 2=Kirehe-Ngoma-Rwamagana, 3=Bugesera, 4=Musanze-Burera …",17,0,0,7456,0,0,,,,
vup,Village VUP level,int8,"0=Non VUP, 1=High priority, 2=Second priority, 3=Third priority, 4=Lowest priority",5,0,0,7456,0,0,,,,
q101,Household size,int8,,0,0,0,7456,0,0,,,,
q102,Head of household  sex,int8,"1=Male, 2=Female",2,0,0,7456,0,0,,,,
q103,Head of household age,int16,,0,0,0,7456,0,0,,,,
q104,Can head of HH  read and write?,int8,"0=No, 1=Yes, 2=Read only",3,0,0,7456,0,0,,,,
q105,head of household level of education,int8,"1=No School, 2=Some Primary, 3=Completed Primary, 4=Some secondary, 5=Vocational School …",7,0,0,7456,0,0,,,,
q106,Is the head of the household disabled?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q107,Head of household marital status,int8,"1=Married, 2=Partner, 3=Divorced/separated, 4=Widow or widower, 5=Never  married",5,0,0,7456,0,0,,,,
q108,How many spouses or partners,int8,,0,0,0,5508,0,0,,,,
qa110_1,Below 6 months old - Male,int8,,0,0,0,7456,0,0,,,,
qa110_2,Below 6 months old - female,int8,,0,0,0,7456,0,0,,,,
qb110_1,6 to 24 months old - Male,int8,,0,0,0,7455,0,0,,,,
qb110_2,6 to 24 months old - female,int8,,0,0,0,7455,0,0,,,,
qc110_1,25 to 59 months old - Male,int8,,0,0,0,7456,0,0,,,,
qc110_2,25 to 59 months old - female,int8,,0,0,0,7455,0,0,,,,
qd110_1,5 to 6  years old - Male,int8,,0,0,0,7456,0,0,,,,
qd110_2,5 to 6  years old - female,int8,,0,0,0,7456,0,0,,,,
qe110_1,7 to 14 years old - Male,int8,,0,0,0,7456,0,0,,,,
qe110_2,7 to 14 years old - female,int8,,0,0,0,7456,0,0,,,,
qf110_1,15 to 17 years old - Male,int8,,0,0,0,7456,0,0,,,,
qf110_2,15 to 17 years old - female,int8,,0,0,0,7456,0,0,,,,
qg110_1,18 to 59 years old - Male,int8,,0,0,0,7456,0,0,,,,
qg110_2,18 to 59 years old - female,int8,,0,0,0,7456,0,0,,,,
qh110_1,60 years old and above - Male,int8,,0,0,0,7456,0,0,,,,
qh110_2,60 years old and above - female,int8,,0,0,0,7456,0,0,,,,
q111_1,Males 7  to 14 attending primary school,int8,,0,0,0,7447,0,0,,,,
q111_2,Females 7  to 14 attending primary school,int8,,0,0,0,7453,0,0,,,,
q112_1,Absent males,int8,,0,0,0,3144,0,0,,,,
q112_1_2,main reason of absence?,int8,"1=Sickness, 2=Work for money or food, 3=Domestic work (gardening, fetching water), 4=Take care of siblings, 5=Long distance to school …",8,0,0,260,0,0,,,,
q112_2,Absent females,int8,,0,0,0,3272,0,0,,,,
q112_2_2,main reason of absence?,int8,"1=Sickness, 2=Work for money or food, 3=Domestic work (gardening, fetching water), 4=Take care of siblings, 5=Long distance to school …",8,0,0,242,0,0,,,,
q113,Returnees in the  household,int8,"0=No, 1=Yes",2,0,0,7448,0,0,,,,
q113_2,how many:,int8,,0,0,0,18,0,0,,,,
q114_1,are you hosting any person that is temporally resident in your household (3 mont,int8,"0=No, 1=Yes",2,0,0,7448,0,0,,,,
q114_2,how many:,int8,,0,0,0,224,0,0,,,,
q201a_1,Roof:,int8,"1=Straw/Thatch Leaves Grass, 2=Metal sheet corrugated iron, 3=Clay Tiles, 4=Cement/Concrete, 5=Wood/bamboo …",6,0,0,7456,0,0,,,,
q201a_2,Specify others:,int8,,0,0,0,7429,0,0,,,,
q201b_1,Floor:,int8,"1=Earth/Mud, 2=Cement concrete, 3=Hardened Dung, 4=Clay tiles, 5=Wood …",7,0,0,7456,0,0,,,,
q201b_2,Specify others:,int8,,0,0,0,7444,0,0,,,,
q201c_1,Wall:,int8,"1=Mud bricks, 2=Mud bricks covered with cement, 3=Tree trunks with mud, 4=Tree trunks with mud and cement, 5=Oven fired bricks …",6,0,0,7456,0,0,,,,
q201c_2,Specify others:,int8,,0,0,0,7319,0,0,,,,
q202_1,Is the house your household live in located in an umudugudu (new recommended set,int8,"0=No, 1=Yes",2,0,0,7455,0,0,,,,
q202_2,"If yes, since how long have you been living there?:",int8,"0=No, 1=Yes, since below 3months, 2=Yes, between 3 and less than 6 months, 3=Yes, Between 6 months and 1 year, 4=Yes, More than 1 year",5,0,0,7456,0,0,,,,
q203,What is your occupancy status in this house?:,int8,"1=Owner, 2=Rented, 3=Free of charge (not owner)",3,0,0,7456,0,0,,,,
q204,How many sleeping rooms does the house you are living in have?:,int8,,0,0,0,7456,0,0,,,,
q205_1,What kind of toilet facility does your household use?:,int8,"1=Flush latrine, 2=Pit latrine with constructed floor slab, 3=Traditional pit latrine (without floor slab), 4=Open pit (no walls), 5=None / bush, stream etc …",6,0,0,7456,0,0,,,,
q205_2,Specify others:,int8,,0,0,0,7409,0,0,,,,
q206,Do you share the toilet facility with other households?:,int8,"0=No, 1=Yes",2,0,0,7453,0,0,,,,
q207_1,What is the main source of lighting for this house?:,int8,"1=Electricity, 2=Kerosene, oil or gas lamp, 3=Lantern, 4=Battery flashlights, 5=Candles …",8,0,0,7456,0,0,,,,
q207_2,Specify others:,int8,,0,0,0,7408,0,0,,,,
q208_1,What fuel do you use most often for cooking?:,int8,"1=Gas, 2=Electricity, 3=Firewood, 4=Charcoal, 5=Kerosene …",7,0,0,7456,0,0,,,,
q208_2,Specify others:,int8,,0,0,0,7431,0,0,,,,
q209_1,What is the current main source of drinking water for your household?:,int8,"1=Public tap/ piped water, 2=Pond, lake, river or stream, 3=Borehole with pump, 4=Rain water, 5=Protected dug well or spring …",8,0,0,7452,0,0,,,,
q210,Do you pay for water from this current main source?:,int8,"0=No, 1=Yes",2,0,0,7454,0,0,,,,
q211,Is there a time in the year when your household uses an alternate water source?:,int8,"1=No, main source is used solely all year, 2=Yes, used in conjunction with main source, 3=Yes, used when main source is not usable.",3,0,0,7456,0,0,,,,
q212_1,What is the main alternative source of drinking water for your household?:,int8,"1=Public tap/ piped water, 2=Pond, lake, river or stream, 3=Borehole with pump, 4=Rain water, 5=Protected dug well or spring …",8,0,0,7456,0,0,,,,
q213,Does your household pay for this alternate water?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q214_1_1,Main source:How do you or your household members go to your water sources?,int8,"1=Walk, 2=Bicycle, 3=Motorbike/vehicle, 4=hire someone for that, 5=Other, specify",5,0,0,7456,0,0,,,,
q214_1_2,Specify other:How do you or your household members go to your water sources?,int8,,0,0,0,7444,0,0,,,,
q214_2_1,Alternative source:How do you or your household members go to your water sources,int8,"1=Walk, 2=Bicycle, 3=Motorbike/vehicle, 4=hire someone for that, 5=Other, specify",5,0,0,7456,0,0,,,,
q214_2_2,Specify other:How do you or your household members go to your water sources?,int8,,0,0,0,7400,0,0,,,,
q215_1,Main source in minutes:How far is the source of water for your household used in,int16,,0,0,0,7456,0,0,,,,
q215_2,Alternative source in minutes:How far is the source of water for your household,int16,,0,0,0,7456,0,0,,,,
q216,What does your household normally do to its water prior to drinking?:,int8,"1=Boil, 2=Strained through cloth, 3=Ceramic, sand or other filter, 4=Purifying tablets/bleach chlorine, 5=Nothing is done",5,0,0,7456,0,0,,,,
q301,How many livelihood activities does your household have?:,int8,,0,0,0,7456,0,0,,,,
qa302_1,Main activity - Activity name,int8,"1=agricultural production on own farm or on other farm for no payment, 2=agricultural work on other farm for in kind compensation, salary/wages (excluding vup), 3=livestock raising, 4=fishing, hunting, gathering, 5=purchase sale of product from fishing, hunting gathering …",22,0,0,7456,0,0,,,,
qa302_1_2,Main activity - Specify other activity,int8,,0,0,0,7358,0,0,,,,
qa302_2,"Main activity - Using proportional piling methods, please estimate the relative",int8,,0,0,0,7456,0,0,,,,
qa302_3,Main activity - Who Usually Participates In This Activity,int8,"1=head of household only, 2=spouse of the head of household only, 3=men only, 4=women only, 5=adults only …",9,0,0,7456,0,0,,,,
qa302_4,"Main activity - Is this livelihood activity seasonal? (If Seasonal, During Which",int8,"0=No, done all year round, 1=Yes, seasonal",2,0,0,7456,0,0,,,,
qa302_5a,Main activity - January,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5b,Main activity - February,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5c,Main activity - March,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5d,Main activity - April,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5e,Main activity - May,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5f,Main activity - June,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5g,Main activity - July,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5h,Main activity - August,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5i,Main activity - September,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5j,Main activity - October,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5k,Main activity - November,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qa302_5l,Main activity - December,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_1,Second activity - Activity name,int8,"1=agricultural production on own farm or on other farm for no payment, 2=agricultural work on other farm for in kind compensation, salary/wages (excluding vup), 3=livestock raising, 4=fishing, hunting, gathering, 5=purchase sale of product from fishing, hunting gathering …",22,0,0,7456,0,0,,,,
qb302_1_2,Second activity - Specify other activity,int8,,0,0,0,7319,0,0,,,,
qb302_2,Second activity - contribution,int8,,0,0,0,7455,0,0,,,,
qb302_3,Second activity - Who Usually Participates In This Activity,int8,"1=head of household only, 2=spouse of the head of household only, 3=men only, 4=women only, 5=adults only …",9,0,0,7456,0,0,,,,
qb302_4,Second activity - seasonality,int8,"0=No, done all year round, 1=Yes, seasonal",2,0,0,7456,0,0,,,,
qb302_5a,Second activity - January,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5b,Second activity - February,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5c,Second activity - March,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5d,Second activity - April,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5e,Second activity - May,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5f,Second activity - June,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5g,Second activity - July,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5h,Second activity - August,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5i,Second activity - September,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5j,Second activity - October,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5k,Second activity - November,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qb302_5l,Second activity - December,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_1,Third activity - Activity name,int8,"1=agricultural production on own farm or on other farm for no payment, 2=agricultural work on other farm for in kind compensation, salary/wages (excluding vup), 3=livestock raising, 4=fishing, hunting, gathering, 5=purchase sale of product from fishing, hunting gathering …",22,0,0,7456,0,0,,,,
qc302_1_2,Third activity - Specify other activity,int8,,0,0,0,7426,0,0,,,,
qc302_2,Third activity - contribution,int8,,0,0,0,7456,0,0,,,,
qc302_3,Third activity - Who Usually Participates In This Activity,int8,"1=head of household only, 2=spouse of the head of household only, 3=men only, 4=women only, 5=adults only …",9,0,0,7456,0,0,,,,
qc302_4,"Third activity - Is this livelihood activity seasonal? (If Seasonal, During Whic",int8,"0=No, done all year round, 1=Yes, seasonal",2,0,0,7456,0,0,,,,
qc302_5a,Third activity - January,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5b,Third activity - February,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5c,Third activity - March,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5d,Third activity - April,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5e,Third activity - May,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5f,Third activity - June,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5g,Third activity - July,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5h,Third activity - August,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5i,Third activity - September,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5j,Third activity - October,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5k,Third activity - November,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
qc302_5l,Third activity - December,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q303_1,Can you tell me what was your household's total cash income last month?,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q303_2,How much in rwanda francs,int32,,0,0,0,7456,0,0,,,,
q401_1,Does your household farm land (including pasture for livestock)?,int16,,0,0,0,7456,0,0,,,,
q401_2,Land size,int16,"1=0 to 0.1 ha,, 2=0.1 to 0.19 ha, 3=0.2 to 0.49 ha, 4=0.5 to 0.99 ha, 5=1 to 1.99 ha …",7,0,0,7456,0,0,,,,
q402_1,"Share Cropped:Out of the total land that your household farms, how much is(The s",int16,,0,0,0,7456,0,0,,,,
q402_2,"Owned:Out of the total land that your household farms, how much is(The sum must",int16,,0,0,0,7456,0,0,,,,
q402_3,"Rented / Leased:Out of the total land that your household farms, how much is(The",int16,,0,0,0,7456,0,0,,,,
q402_4,Free use / loaned or appropriated:Out of the total land that your household farm,int8,,0,0,0,7456,0,0,,,,
q402_5,"Other:Out of the total land that your household farms, how much is(The sum must",int16,,0,0,0,7456,0,0,,,,
q403_1,Is any part of your land consolidated (land consolidation programme):,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q403_2,If yes how much of your land is in consolidation:,int8,,0,0,0,7456,0,0,,,,
q404_1,Is any part of your land registered to become umudugudu?:,int8,"0=No, 1=Yes",2,0,0,7456,0,0,,,,
q404_2,"If, yes how much of your land will become Umudugudu?:",int8,,0,0,0,7456,0,0,,,,
q405,Did your household use fertilizer and/or insecticides during the past 12 months?,int8,"1=No, 2=Yes, Fertilizer only, 3=Yes, Pesticides only, 4=Yes both",4,0,0,7456,0,0,,,,
q406_1,"Bought:If yes (2, 3 or 4) where did you get it from? (Total should amount to 100",int32,,0,0,0,7456,0,0,,,,
q406_2,"Bought with voucher:If yes (2, 3 or 4) where did you get it from? (Total should",int16,,0,0,0,7456,0,0,,,,
