native,clean_stem,clean_label
p19,highest_certificate_2012,Highest certificate or diploma
p19_v2,highest_certificate_2002,Highest certificate or diploma obtained
p19b,difficulty_remember_2022,Level of difficulty remembering or concentrating
p20,worked_2012,Worked (activity question)
p20_v2,literacy_2002,Literacy
p20b,difficulty_self_care_2022,Level of difficulty with self-care
p21,reason_not_working_2012,Why the person did not work
p211,activity_grouped_2002,"Activity status, NISR grouped"
p21_v2,activity_status_2002,Economic activity situation in the reference month
p21a,short_stature_2022,Has a problem of short stature
p22,work_done_2012,Type of work done
p22_v2,occupation_isco88_2002,"Main occupation, ISCO-88 minor group"
p22a,albinism_2022,Has a disability with albinism
p23,ready_to_work_2012,Ready to work
p23_v2,employment_status_2002,Status in employment
p23a,mother_alive_2022,Biological mother alive
p23b,mother_in_household_2022,Biological mother lives in this household
p23bb,mother_line_2022,Line number of the biological mother
p23c,father_alive_2022,Biological father alive
p23d,father_in_household_2022,Biological father lives in this household
p23dd,father_line_2022,Line number of the biological father
p24,civil_registered_2022,Registered in the civil registration books
p241,industry_grouped_2002,"Branch of economic activity, NISR grouped"
p24_v2,seeking_work_2012,Seeking work
p24_v3,industry_isic3_2002,"Branch of economic activity, ISIC Rev. 3 group"
p25,occupation_isco08_2012,"Main occupation, ISCO-08 four-digit"
p25_v2,inst_sector_2002,Institutional sector of employment
p26,employment_status_2012,Status in employment
p26_v2,marital_status_2002,Marital status
p27,industry_isic4_2012,"Branch of economic activity, ISIC Rev. 4 class"
p27a,births_boys_2002,"Live births ever, boys"
p27b,births_girls_2002,"Live births ever, girls"
p28,inst_sector_2012,Institutional sector of employment
p28a,children_alive_boys_2002,"Children surviving, boys"
p28b,children_alive_girls_2002,"Children surviving, girls"
p29,school_attendance_2022,Ever or currently attending school
p29_v2,marital_status_2012,Marital status
p29a,births_12m_boys_2002,"Births in the last 12 months, boys"
p29b,births_12m_girls_2002,"Births in the last 12 months, girls"
p30,spouses_2012,Number of spouses
p30a,education_level_2022,Highest level of education
p30a_v2,surviving_12m_boys_2002,Surviving boys among the births of the last 12 months
p30b,years_completed_2022,Years of school completed at that level
p30b_v2,surviving_12m_girls_2002,Surviving girls among the births of the last 12 months
p31,highest_certificate_2022,Highest certificate or degree
p31_v2,spouse_rank_2012,Current rank as spouse
p32,literacy_languages_2022,"Reads and writes with understanding, languages"
p32_v2,age_first_marriage_2012,Age at first marriage
p33,adult_literacy_2022,Ever attended an informal adult literacy programme
p33f,births_girls_2012,Females ever born
p33m,births_boys_2012,Males ever born
p34,internet_use_2022,Internet use
p34f,children_alive_girls_2012,Females alive
p34m,children_alive_boys_2012,Males alive
p35,internet_place_2022,Where the internet is accessed
p35f,births_12m_girls_2012,Females born in the last 12 months
p35m,births_12m_boys_2012,Males born in the last 12 months
p36c,mobile_phone_type_2022,Type of mobile phone
p36f,surviving_12m_girls_2012,Females born in the last 12 months still alive
p36m,surviving_12m_boys_2012,Males born in the last 12 months still alive
p46,inst_sector_2022,Institutional sector
p47a,isic_section_2022,"Branch of economic activity, ISIC section"
p48a,isco_major_group_2022,"Main occupation, ISCO major group"
p49,employment_status_2022,Status in employment
p50a,ever_given_birth_2022,Ever given birth
p50b_boys,births_boys_2022,"Live births ever, boys"
p50b_girls,births_girls_2022,"Live births ever, girls"
p50c_boys,children_alive_boys_2022,"Children still alive, boys"
p50c_girls,children_alive_girls_2022,"Children still alive, girls"
p51a,birth_last_12m_2022,Gave birth in the last 12 months
p51b_boys,births_12m_boys_2022,"Live births in the last 12 months, boys"
p51b_girls,births_12m_girls_2022,"Live births in the last 12 months, girls"
p51c_boys,surviving_12m_boys_2022,"Births of the last 12 months still alive, boys"
p51c_girls,surviving_12m_girls_2022,"Births of the last 12 months still alive, girls"
personnes_handic,handicap_grouped_2002,"Persons with a handicap, NISR grouped"
rl07,urban_rural_nisr_2012,"Urban or rural, NISR two-way recode of L07"
rp04y,birth_year_copy_2012,"Year of birth, NISR copy of P04Y"
rp08,nationality_group_2012,"Nationality group, NISR recode of P08"
rp12,disability_any_2012,"Any disability, NISR recode of P12"
rp142,parental_coresidence_2012,"Parental co-residence of residents under 18, NISR recode"
rp2024,activity_status_2012,"Activity status of residents aged 5 and over, NISR recode"
rp2124,reason_inactive_2012,"Reason for not working, inactive only, NISR recode"
rp25,isco_major_group_2012,"Occupation group, ISCO major group"
rp27,isic_section_2012,"Industry group, ISIC section"
sector_code_file,sector_code_shipped_2002,Sector code as shipped before the name-based correction
