variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
p061,Age (NISR derived copy 1),int16,"0=0, 1=1, 2=2, 3=3, 4=4, 5=5 …",15,,814432,0,0,2002 original label (FR): Age-pac1,,,,
p062,Age (NISR derived copy 2),int16,"12=12, 13=13, 14=14, 15=15, 16=16, 17=17",6,,814432,0,0,2002 original label (FR): Age-pac2,,,,
p063,Age (NISR derived copy 3),int16,"6=6, 7=7, 8=8, 9=9, 10=10, 11=11 …",12,,814432,0,0,2002 original label (FR): Age-pac3,,,,
p0631,Age (NISR derived copy 3b),int16,,0,,814432,0,0,2002 original label (FR): Age-pac33,,,,
age_5,"Age (NISR derived copy, 5)",int16,,0,,814432,0,0,2002 original label (FR): Age-5,,,,
gpe_age,"Age (NISR derived copy, groups)",int16,,0,,814432,0,0,2002 original label (FR): Age-paci,,,,
age1_1,Age (NISR derived copy 1-1),int16,"0=00, 1=01, 2=02, 3=03, 4=04, 5=05 …",85,,814432,0,0,2002 original label (FR): AGE-1,,,,
a46,Age (NISR derived copy A46),int16,"12=12, 13=13, 14=14, 15=15, 16=16, 17=17 …",8,,814432,0,0,2002 original label (FR): A46,,,,
age26,Age (NISR derived copy 26),int16,,0,,814432,0,0,2002 original label (FR): AGE,,,,
age18,Age (NISR derived copy 18),int16,,0,,814432,0,0,2002 original label (FR): AGE-18,,,,
age19,Age (NISR derived copy 19),int16,0=0,1,,814432,0,0,2002 original label (FR): AGE-19,,,,
p07_v2,[2002-2002 version] Nationality,int16,"100=Rwanda, 201=Burundi, 202=DR Congo (Congo-Kinshasa), 203=Uganda, 204=Tanzania, 207=Belgium …",7,"residents (P03 = 1, 2); visitors skip to next person",814432,0,0,,2002,p07 (2012–2012),,
p08_v2,[2002-2002 version] Place of birth (district or country),int16,"101=Ville de Kigali, District Nyarugenge, 102=Ville de Kigali, District Nyamirambo, 103=Ville de Kigali, District Butamwa, 104=Ville de Kigali, District Gisozi, 105=Ville de Kigali, District Kacyiru, 106=Ville de Kigali, District Kanombe …",140,"residents (P03 = 1, 2); visitors skip to next person",814432,0,0,,2002,p08 (2012–2012),,
p09_v2,[2002-2002 version] Duration of residence in this locality (years; 99 since birt,int8,"0=0, 1=1, 2=2, 3=3, 4=4, 5=5 …",100,"residents (P03 = 1, 2); visitors skip to next person",797715,0,0,,2002,p09 (2012–2012),,
p10_v2,[2002-2002 version] Place of previous residence (district or country),int16,"101=Ville de Kigali, District Nyarugenge, 102=Ville de Kigali, District Nyamirambo, 103=Ville de Kigali, District Butamwa, 104=Ville de Kigali, District Gisozi, 105=Ville de Kigali, District Kacyiru, 106=Ville de Kigali, District Kanombe …",140,"residents (P03 = 1, 2); visitors skip to next person",206680,0,0,,2002,p10 (2012–2012),,
p11_v2,[2002-2002 version] Languages spoken,int8,"0=Mute (no language), 1=Kinyarwanda, 2=French, 3=Kinyarwanda + French, 4=Swahili, 5=Kinyarwanda + Swahili …",32,"residents (P03 = 1, 2); visitors skip to next person",797715,0,0,,2002,p11 (2012–2012),,
p12,Religious affiliation,int8,"1=Catholic, 2=Protestant, 3=Adventist, 4=Jehovah's Witness, 5=Other Christian religion, 6=Muslim …",9,"residents (P03 = 1, 2); visitors skip to next person",797715,0,0,2002 original label (FR): Religion,,,,
p13_v3,[2002-2002 version] Type of major handicap,int8,"1=No major handicap, 2=Blind, 3=Deaf/dumb, 4=Infirmity of the legs/feet, 5=Infirmity of the arms/hands, 6=Mental deficiency …",8,"residents (P03 = 1, 2); visitors skip to next person",797717,0,0,,2002,"p13 (2022–2022), p13_v2 (2012–2012)",,
personnes_handic,Persons with a handicap (NISR grouped),int8,,0,,797717,0,0,2002 original label (FR): personnes handicapées,,,,
p14_v2,[2002-2002 version] Cause of handicap,int8,"1=Congenital, 2=Illness, 3=Accident, 4=War, 5=Genocide, 6=Mines …",8,persons with a major handicap (P13 != 1),36767,0,0,,2002,p14 (2022–2022),,
p15_v2,[2002-2002 version] Survival of parents,int8,"1=Both parents alive, 2=Mother only alive, 3=Father only alive, 4=Neither alive",4,persons aged 25 or less,560442,0,0,,2002,p15 (2012–2012),,
p16_v2,[2002-2002 version] School attendance (ever attended),int8,"1=Attending / attended school, 2=Never went to school",2,population aged 6+ (P18/P19 if attended school),657983,0,0,,2002,p16 (2012–2012),,
fr_quentation,School attendance (NISR grouped),int8,1=Attending / attended school,1,population aged 6+ (P18/P19 if attended school),657983,0,0,2002 original label (FR): fréquentation,,,,
p17_v2,[2002-2002 version] Highest class successfully completed,int8,99=Not stated,1,population aged 6+ (P18/P19 if attended school),437971,0,0,,2002,p17 (2012–2012),,
p171,Educational level attained (NISR grouped),int8,99=Not stated,1,population aged 6+ (P18/P19 if attended school),437971,0,0,2002 original label (FR): Niveau,,,,
p18,Area of specialisation (secondary/higher),int8,"1=Mathématique, 2=Statistiques, 3=Physique, 4=Chimie, 5=Hydrologie, 6=Géographie …",50,population aged 6+ (P18/P19 if attended school),22975,0,0,2002 original label (FR): Secteur de l'enseignement,,,,
p19,Highest Certificate/Diploma,int8,"0=None, 1=CE/FE, 2=EMA/ENTA, 3=A3/D4/D5, 4=A2/D6/D7, 5=A1:Bacc/Diploma …",11,2002: population aged 6+ (P18/P19 if attended school); 2012: residents aged 3+ (P18a-P19 if ever attended school),23011,1038369,0,2002 original label (FR): Diplôme obtenu,,,2002: Highest certificate or diploma obtained,"{""1"": [""CE/FE"", ""None""], ""2"": [""EMA/ENTA"", ""EMA: primary teacher training or equivalent""], ""3"": [""A3/D4/D5"", ""A3/D4/D5: secondary teacher training or equivalent""], ""4"": [""A2/D6/D7"", ""A2/D6/D7: diploma of humanities or equivalent""], ""5"": [""A1: baccalaureat, GCE A level or equivalent"", ""A1:Bacc/Diploma""], ""6"": [""A0: BA, maitrise, ingeniorat or equivalent"", ""A0: Bachelor""], ""7"": ["">A0: MA, doctorate"", ""MA: Master""], ""9"": [""Not stated"", ""missing""]}"
p20_v2,[2002-2002 version] Literacy,int8,"1=Can read and write, 2=Can read only, 3=Cannot read or write",3,population aged 6+ (P18/P19 if attended school),641439,0,0,,2002,p20 (2012–2012),,
p21_v2,[2002-2002 version] Economic activity situation (15/07-15/08/2002),int8,"1=Employed, 2=Temporarily unemployed, 3=First job seeker, 4=Unpaid homekeeper, 5=Pupil/student, 6=Retired …",8,population aged 6+,640690,0,0,,2002,p21 (2012–2012),,
p211,Activity status (NISR grouped),int8,,0,population aged 6+,640690,0,0,2002 original label (FR): Situation_activité_groupe,,,,
p22_v2,[2002-2002 version] Main occupation (type of work done),int16,"101=Forces armées, 111=Membres de l'exécutif et des corps législatifs, 112=Cadres supérieures de l'administration publique, 113=Chefs traditionnels et chefs de village, 114=Dirigeants et cadres supérieures d'organisations spécialisée, 121=Directeurs …",116,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362769,0,0,,2002,p22 (2012–2012),,
emploi_exerc,Occupation (NISR grouped),int16,101=Forces armées,1,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362769,0,0,2002 original label (FR): emploi exercé,,,,
p23_v2,[2002-2002 version] Status in employment,int8,"1=Self-employed, 2=Employer, 3=Regularly paid worker, 4=Temporarily paid worker, 5=Apprentice, 6=Unpaid family worker …",7,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362630,0,0,,2002,p23 (2012–2012),,
p24_v3,[2002-2002 version] Branch of economic activity,int16,"11=Culture ; maraîchage ; horticulture, 12=Elevage, 13=Culture et élevage associés, 14=Activités annexes à l'agriculture et à l'élevage, sauf activ, 15=Chasse, piégeage, repeuplement en gibet et activités annexes, 20=Sylviculture, exploitation forestière et activités annexes …",160,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362636,0,0,,2002,"p24 (2022–2022), p24_v2 (2012–2012)",,
p241,Branch of economic activity (NISR grouped),int16,"50=Pêche, pisciculture, aquaculture et activités annexes, 950=Ménages employant du personnel domestique, 990=Organismes extra-territoriaux",3,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362636,0,0,2002 original label (FR): Branche d'activité 2,,,,
p25_v2,[2002-2002 version] Institutional sector of employment (public/parastatal/NGO/co,int8,"1=Public, 2=Parastatal, 3=NGO, 4=Cooperative, 5=Other private, 9=Not stated",6,economically active aged 6+ (P21 = 1 employed or 2 temporarily unemployed),362703,0,0,,2002,p25 (2012–2012),,
p26_v2,[2002-2002 version] Marital status,int8,"1=Never married (bachelor/spinster), 2=Cohabitation / common-law union, 3=Monogamous marriage, 4=Polygamous married man, 5=First wife in a polygamous marriage, 6=Second wife in a polygamous marriage …",9,residents aged 12+,527361,0,0,,2002,p26 (2012–2012),,
etat_matri,Marital status (NISR grouped),int8,"1=Never married, 8=Divorced/separated, 9=Widowed, 99=Not stated",4,residents aged 12+,527361,0,0,2002 original label (FR): Etat matri,,,,
p27a,"Live births ever, boys",int8,,0,resident women aged 12+,280031,0,0,2002 original label (FR): Enfants masculins nés vivants,,,,
p27b,"Live births ever, girls",int8,,0,resident women aged 12+,280031,0,0,2002 original label (FR): Enfants féminins nés vivants,,,,
p28a,"Children surviving, boys",int8,,0,resident women aged 12+,280031,0,0,2002 original label (FR): Enfants masculins encore en vie,,,,
p28b,"Children surviving, girls",int8,,0,resident women aged 12+,280030,0,0,2002 original label (FR): Enfants féminins encore  en vie,,,,
p29a,"Births in the last 12 months, boys",int8,"0=None, 1=1 birth, 2=2 births, 3=3 births, 4=4 births, 9=Not stated",6,resident women aged 12+,280030,0,0,2002 original label (FR): Enfants masculins nés dans les derniers 12 mois,,,,
p29b,"Births in the last 12 months, girls",int8,"0=None, 1=1 birth, 2=2 births, 3=3 births, 4=4 births, 9=Not stated",6,resident women aged 12+,280031,0,0,2002 original label (FR): Enfants féminins nés dans les derniers 12 mois,,,,
p30a_v2,"[2002-2002 version] Of births in the last 12 months, surviving boys",int8,"0=None, 1=1 birth, 2=2 births, 3=3 births, 4=4 births, 9=Not stated",6,resident women aged 12+,280031,0,0,,2002,p30a (2022–2022),,
p30b_v2,"[2002-2002 version] Of births in the last 12 months, surviving girls",int8,"0=None, 1=1 birth, 2=2 births, 3=3 births, 4=4 births, 9=Not stated",6,resident women aged 12+,280154,0,0,,2002,p30b (2022–2022),,
grpage5,Five-year age group (NISR derived),int8,,0,,814432,0,0,2002 original label (FR): Groupe d'age 5,,,,
agebetween5_17,Flag: age 5-17 (NISR derived),int8,,0,,291265,0,0,2002 original label (FR): Age between 5 17,,,,
agegrp_nisr,"Age group (NISR derived, 0-5; shipped as 'Age')",int8,,0,,814432,0,0,2002 original label (FR): Age,,,,
p02_hh,Flag: household head (P02 = 1),int8,,0,,175737,0,0,,,,,
h100,Household type (100 = ordinary household),int8,100=Ordinary household,1,,797715,0,0,2002 original label (FR): Type de ménage,,,,
h200,Collective household type (codes 201-214; not filled),int8,"201=Police camp, 202=Home for old persons, 203=Military camp, 204=Religious institution, 205=Street children, 206=Schools …",14,,797715,0,0,2002 original label (FR): Type de ménage2,,,,
h101,Questionnaire serial number in household,int8,,0,,797713,0,0,2002 original label (FR): H101,,,,
h102,Number of questionnaires filled in household,int8,,0,,797705,0,0,2002 original label (FR): H102,,,,
h110,Recap: male residents present,int8,,0,,797715,0,0,2002 original label (FR): H110,,,,
h111,Recap: male residents absent,int8,,0,,797715,0,0,2002 original label (FR): H111,,,,
h112,Recap: male residents total,int8,,0,,797715,0,0,2002 original label (FR): H112,,,,
h113,Recap: male residents aged 17+,int8,,0,,797715,0,0,2002 original label (FR): H113,,,,
h114,Recap: male visitors,int8,,0,,797715,0,0,2002 original label (FR): H114,,,,
h115,Recap: female residents present,int8,,0,,797715,0,0,2002 original label (FR): H115,,,,
h116,Recap: female residents absent,int8,,0,,797715,0,0,2002 original label (FR): H116,,,,
h117,Recap: female residents total,int8,,0,,797715,0,0,2002 original label (FR): H117,,,,
h118,Recap: female residents aged 17+,int8,,0,,797715,0,0,2002 original label (FR): H118,,,,
h119,Recap: female visitors,int8,,0,,797715,0,0,2002 original label (FR): H119,,,,
h120,"Recap: residents present, total",int8,,0,,797715,0,0,2002 original label (FR): H120,,,,
h121,"Recap: residents absent, total",int8,,0,,797715,0,0,2002 original label (FR): H121,,,,
h122,"Recap: residents, total",int8,,0,,797715,0,0,2002 original label (FR): H122,,,,
h123,"Recap: residents aged 17+, total",int8,,0,,797715,0,0,2002 original label (FR): H123,,,,
h124,"Recap: visitors, total",int8,,0,,797715,0,0,2002 original label (FR): H124,,,,
h01,Type of habitant,int8,"1=Planned rural settlement, 2=Integrated Model Village, 3=Old settlement, 4=Unplanned clustered rural housing (Dispersed/Isolated housing), 5=Modern planned urban area, 6=Spontaneous/Squatter housing in Urban area …",9,2002: ordinary (private) households; 2012: private households (repeated on every member); 2022: private households (repeated on every member),797715,1038369,1313015,2002 original label (FR): Type d'habitat,,,2002: Type of housing; 2012: Type of Housing,"{""1"": [""Planned rural settlement"", ""Umudugudu (new rural agglomeration)"", ""Umudugudu(Clustered rural settlement)""], ""2"": [""Early rural agglomeration"", ""Integrated Model Village"", ""Old settlement""], ""4"": [""Planned urban housing"", ""Planned urban housing (cadastral plot)"", ""Unplanned clustered rural housing (Dispersed/Isolated housing)""], ""9"": [""Not stated"", ""missing""], ""3"": [""Dispersed/Isolated housing"", ""Old settlement""], ""5"": [""Modern planned urban area"", ""Spontaneous/squatter housing""], ""6"": [""Other type of housing"", ""Spontaneous/Squatter housing in Urban area""]}"
h02,Type of Building,int8,"1=House occupied by one household, 2=House occupied by several householdS, 3=Storey building occupied by one household, 4=Storey building occupied by many households, 5=Several buildings in a compound occupied by one  household, 6=Several buildings in a compound occupied by several  households …",8,2002: ordinary (private) households; 2012: private households (repeated on every member); 2022: private households (repeated on every member),797715,1038369,1313015,2002 original label (FR): Type de construction,,,2002: Type of building; 2012: Type of Housing unit,"{""1"": [""Building occupied by one household"", ""House occupied by one household""], ""2"": [""Building occupied by several households"", ""House occupied by several household"", ""House occupied by several householdS""], ""3"": [""Storey building occupied by one household"", ""Storey building occupied by one or more household"", ""Storey building occupied by one or more households""], ""4"": [""Several buildings in a compound occupied by several househol"", ""Several buildings in a compound occupied by several households"", ""Storey building occupied by many households""], ""5"": [""Other type of building"", ""Several buildings in a compound occupied by one  household""]}"
h03_v3,[2002-2002 version] Roof material,int8,"1=Zinc / iron sheets, 2=Local tiles, 3=Industrial tiles/slates, 4=Concrete, 5=Cartons/sheeting, 6=Grass/straw …",8,ordinary (private) households,797715,0,0,,2002,"h03 (2022–2022), h03_v2 (2012–2012)",,
h04_v3,[2002-2002 version] Outer wall material,int8,"1=Wood / unplastered mud walls, 2=Wood / cemented mud walls, 3=Sun-dried (adobe) bricks, 4=Burnt bricks, 5=Cement blocks / concrete, 6=Stone …",10,ordinary (private) households,797715,0,0,,2002,"h04 (2022–2022), h04_v2 (2012–2012)",,
h05_v3,[2002-2002 version] Floor material,int8,"1=Earth, 2=Cement, 3=Stone, 4=Floor tiles, 5=Burnt bricks, 6=Other …",7,ordinary (private) households,797715,0,0,,2002,"h05 (2022–2022), h05_v2 (2012–2012)",,
h06_v3,[2002-2002 version] Number of living rooms,int8,"1=1, 2=2, 3=3, 4=4, 5=5, 6=6 …",16,ordinary (private) households,797715,0,0,,2002,"h06 (2022–2022), h06_v2 (2012–2012)",,
h07_v3,[2002-2002 version] Main source of water supply,int8,"1=Internal pipe-borne water, 2=Pipe-borne water in the compound, 3=Public tap outside the compound, 4=Protected spring/well, 5=Unprotected spring/well, 6=Rain water …",10,ordinary (private) households,797715,0,0,,2002,"h07 (2022–2022), h07_v2 (2012–2012)",,
h08_v3,[2002-2002 version] Main source of lighting,int8,"1=Electricity (Electrogaz), 2=Hydro-electric or other private source, 3=Solar panel / electric generator, 4=Kerosene lamp, 5=Oil lamp, 6=Candle …",9,ordinary (private) households,797715,0,0,,2002,"h08 (2022–2022), h08_v2 (2012–2012)",,
h09_v3,[2002-2002 version] Main cooking energy,int8,"1=Electricity, 2=Gas, 3=Kerosene, 4=Firewood, 5=Charcoal, 6=Vegetal material (grass, leaves) …",8,ordinary (private) households,797715,0,0,,2002,"h09 (2022–2022), h09_v2 (2012–2012)",,
h10_v3,[2002-2002 version] Main toilet facility,int8,"1=Flush toilet (WC), 2=Private pit latrine, 3=Public/shared pit latrine, 4=Bush, 5=Other, 9=Not stated",6,ordinary (private) households,797715,0,0,,2002,"h10 (2022–2022), h10_v2 (2012–2012)",,
h11_v3,[2002-2002 version] Main mode of household waste disposal,int8,"1=Compost dumping, 2=Private dust bin, 3=Public refuse dump, 4=In the bush, 5=On the farm, 6=In a river/stream/drain …",8,ordinary (private) households,797715,0,0,,2002,"h11 (2022–2022), h11_v2 (2012–2012)",,
h12_v3,[2002-2002 version] Occupancy status of the dwelling,int8,"1=Owner, 2=Tenant, 3=Hire purchase, 4=Free lodging, 5=Service housing, 6=Refuge / temporary camp …",8,ordinary (private) households,797715,0,0,,2002,"h12 (2022–2022), h12_v2 (2012–2012)",,
h13_v3,[2002-2002 version] Radio / television ownership,int8,"1=Radio, 2=Television, 3=Radio and television, 4=None, 9=Not stated",5,ordinary (private) households,797715,0,0,,2002,"h13 (2022–2022), h13_v2 (2012–2012)",,
h14_v3,[2002-2002 version] Fixed-line / cell phone,int8,"1=Fixed-line telephone, 2=Cell phone, 3=Fixed-line and cell phone, 4=None, 9=Not stated",5,ordinary (private) households,797715,0,0,,2002,"h14 (2022–2022), h14_v2 (2012–2012)",,
h15_v3,[2002-2002 version] Computer / internet connection,int8,"1=Computer, 2=Computer and internet connection, 3=None, 9=Not stated",4,ordinary (private) households,797715,0,0,,2002,"h15 (2022–2022), h15_v2 (2012–2012)",,
h16a,Number of vehicles,int8,"0=No vehicle, 1=1 vehicle, 2=2 vehicles, 3=3 vehicles, 4=4 vehicles, 9=Not stated",6,ordinary (private) households,797715,0,0,2002 original label (FR): Possession de véhicule(s),,,,
h16b,Number of motorcycles,int8,"0=No motorcycle, 1=1 motorcycle, 2=2 motorcycles, 3=3 motorcycles, 4=4 motorcycles, 5=5 motorcycles …",10,ordinary (private) households,797715,0,0,2002 original label (FR): Possession de moto(s),,,,
h16c,Number of bicycles,int8,"1=1, 2=2, 3=3, 4=4, 5=5, 6=6 …",21,ordinary (private) households,797715,0,0,2002 original label (FR): Possession de bicyclette(s),,,,
h17_v3,[2002-2002 version] Total persons counted in the household,int8,,0,ordinary (private) households,797715,0,0,,2002,"h17 (2022–2022), h17_v2 (2012–2012)",,
h18_v3,[2002-2002 version] (empty in the public file),int8,,0,ordinary (private) households,0,0,0,,2002,"h18 (2022–2022), h18_v2 (2012–2012)",,
h19a,Any death of a resident member in the last 12 months,int8,"1=Yes, 2=No, 9=Not stated",3,ordinary (private) households,797715,0,0,2002 original label (FR): H19A,,,,
h19b,Number of deaths in the last 12 months,int8,,0,ordinary (private) households,34222,0,0,2002 original label (FR): H19B,,,,
probability,Inclusion (selection) probability,double,,0,,814432,0,0,2002 original label (FR): Inclusion (Selection) Probability for Stage 1,,,,
p00_nu,NISR artefact: count of P00 in household,int16,,0,,814432,0,0,,,,,
p00_mean,NISR artefact: mean of P00 in household,double,,0,,814432,0,0,,,,,
pid_nisr,NISR person number as shipped,int8,,0,,814431,0,0,,,,,
collective,1 = row belongs to a collective/institutional household (2002 only),int8,,0,,814432,0,0,2002: h100 missing (P03 = 4 'ménage collectif'),,,,
l02,District,int8,,0,,0,1038369,0,,,,,
l03,Sector,int8,,0,,0,1038369,0,,,,,
l07,Area of residence,int8,"1=Urban, 2=Rural, 3=Peri-urban, 4=Semi-urban",4,,0,1038369,0,,,,,
p04m,Month of Birth,int8,,0,,0,1038369,0,,,,,
p04y,Year of Birth,int16,,0,,0,1038369,0,,,,,
p06_v2,[2012-2012 version] Situation of residence,int8,"1=Present Resident, 2=Absent Resident, 3=Visitor",3,,0,1038369,0,,2012,p06 (2022–2022),,
p07,Place of Birth,int16,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",222,usual residents,0,1038369,0,2002 original label (FR): Nationalité,2012,p07_v2 (2002–2002),,
p08,Nationality,int16,"100=Rwanda Only, 101=Rwanda  -  Afrique du Sud, 102=Rwanda  -  Algerie, 103=Rwanda  -  Angola, 104=Rwanda  -  Benin, 105=Rwanda  -  Botswana …",385,usual residents,0,1038369,0,2002 original label (FR): Lieu de naissance,2012,p08_v2 (2002–2002),,
p09,Place of previous residence,int16,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",222,usual residents,0,1038369,0,2002 original label (FR): Durée de résidence,2012,p09_v2 (2002–2002),,
p10,Duration of Residence,int16,999=Not changed,1,usual residents,0,1038369,0,2002 original label (FR): Résidence antérieure,2012,p10_v2 (2002–2002),,
p11,Religion,int8,"1=Catholic, 2=Protestant, 3=Adventist, 4=Muslim, 5=Jehovah Witness, 6=Tradit/Animist …",8,,0,1038369,0,2002 original label (FR): Langues parlées,2012,p11_v2 (2002–2002),,
p12d1,Type of major disability (D1),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c1,Cause of disability (C1),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",9,,0,1038369,0,,,,,
p12d2,Type of major disability (D2),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c2,Cause of disability (C2),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",8,,0,1038369,0,,,,,
p12d3,Type of major disability (D3),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c3,Cause of disability (C3),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",9,,0,1038369,0,,,,,
p12d4,Type of major disability (D4),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c4,Cause of disability (C4),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",9,,0,1038369,0,,,,,
p12d5,Type of major disability (D5),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c5,Cause of disability (C5),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",9,,0,1038369,0,,,,,
p12d6,Type of major disability(D6),int8,"0=None, 1=Seeing, 2=Hearing, 3=Speaking, 4=Walking/Climbing, 5=Learning/Concentrating …",8,,0,1038369,0,,,,,
p12c6,Cause of disability(C6),int8,"1=Congenital, 2=Desease/Illness, 3=Injury/Accident, 4=War/Mines, 5=Genocide, 6=Not known …",9,,0,1038369,0,,,,,
p13_v2,[2012-2012 version] Type of insurance,int8,"1=Mutuelle, 2=RAMA, 3=MMI, 4=FARG, 5=Insurance cie, 6=School …",10,,0,1038369,0,,2012,"p13 (2022–2022), p13_v3 (2002–2002)",,
p14a,Mother alive,int8,"1=Yes, 2=No, 3=Don't know, 9=missing, 99=Not applicable",5,residents under 18,0,1038369,0,,,,,
p14b,Natural mother live in household,int8,"1=Yes, 2=No, 9=missing, 99=Not applicable",4,residents under 18,0,1038369,0,,,,,
