source_text,english
Fabrication de fils et câbles électriques isolés,Manufacture of insulated wire and cable
Fabrication d'accumulateurs et de piles électriques,"Manufacture of accumulators, primary cells and primary batteries"
Fabrication de lampes électriques,Manufacture of electric lamps and lighting equipment
Fabrication d'autres matériels électriques n.c.a.,Manufacture of other electrical equipment not elsewhere classified
Fabrication de tubes et valves électroniques et d'autres com,"Manufacture of electronic valves, tubes and other electronic components"
"Fabrication d'émetteurs de radio et télévision, et d'apparei",Manufacture of television and radio transmitters and telephony apparatus
Fabrication de récepteurs de télévision et de radio et de bi,Manufacture of television and radio receivers and sound or video apparatus
Fabrication d'appareils médicaux et d'instruments et apparei,Manufacture of medical appliances and measuring or control instruments
Fabrication d'instruments d'optique et de matériel photograp,Manufacture of optical instruments and photographic equipment
Construction de véhicules automobiles,Manufacture of motor vehicles
Fabrication de carrosseries pour véhicules automobiles ; fab,Manufacture of bodies for motor vehicles; manufacture of trailers
Fabrication de pièces et accessoires pour les véhicules auto,Manufacture of parts and accessories for motor vehicles
Construction et réparation de navires,Building and repairing of ships and boats
Construction de matériel ferroviaire roulant,Manufacture of railway and tramway locomotives and rolling stock
Construction aéronautique,Manufacture of aircraft and spacecraft
Fabrication d'autres équipements de transport,Manufacture of other transport equipment
Activités de fabrication n.c.a.,Manufacturing not elsewhere classified
Récupération de déchets et débris métalliques,Recycling of metal waste and scrap
Récupération de déchets et débris non métalliques,Recycling of non-metal waste and scrap
"Production, collecte et distribution d'électricité","Production, collection and distribution of electricity"
"Captage, épuration et distribution de l'eau","Collection, purification and distribution of water"
Préparation de sites,Site preparation
"Location de matériel de construction et de démolition, avec",Renting of construction or demolition equipment with operator
Commerce de véhicules automobiles,Sale of motor vehicles
Entretien et réparation de véhicules automobiles,Maintenance and repair of motor vehicles
Commerce de pièces et accessoires de véhicules automobiles,Sale of motor vehicle parts and accessories
"Commerce, entretien et réparation de motocycles et accessoir","Sale, maintenance and repair of motorcycles and related parts"
Commerce de détail de carburants pour automobiles,Retail sale of automotive fuel
Intermédiaires du commerce de gros,Wholesale on a fee or contract basis
Commerce de gros de biens de consommation autres qu'alimenta,Wholesale of household goods other than food
"Commerce de gros de produits intermédiaires non agricoles, d","Wholesale of non-agricultural intermediate products, waste and scrap"
"Commerce de gros de machines, équipements et fournitures","Wholesale of machinery, equipment and supplies"
Autres commerce de gros,Other wholesale
Commerce de détail non spécialisé,Non-specialized retail trade in stores
"Commerce de détail de produits alimentaires, boissons et tab","Retail sale of food, beverages and tobacco in specialized stores"
Autres commerces de détail de produits de beauté et d'articl,Other retail trade of new goods in specialized stores
Commerce de détail de biens d'occasion,Retail sale of second-hand goods in stores
Commerces de détail autres qu'en boutique,Retail trade not in stores
Réparation d'articles personnels et domestiques,Repair of personal and household goods
"Hôtels, terrains de camping et autres équipements pour séjou","Hotels, camping sites and other provision of short-stay accommodation"
"Restaurants, cafés et cantines","Restaurants, bars and canteens"
Autres transports terrestres,Other land transport
Transports maritimes et côtiers,Sea and coastal water transport
Transports par voies navigables intérieures,Inland water transport
Transports aériens réguliers,Scheduled air transport
Transports aériens non réguliers,Non-scheduled air transport
Activités annexes et auxiliaires des transports ; Activités,Supporting and auxiliary transport activities; travel agencies
Activités de poste et de courrier,Post and courier activities
Télécommunications,Telecommunications
Intermédiation monétaire,Monetary intermediation
Autres intermédiations financières,Other financial intermediation
Activités d'assurance et de caisses de retraite (sauf sécuri,"Insurance and pension funding, except compulsory social security"
Activités auxiliaires de l'intermédiation financière (sauf d,"Activities auxiliary to financial intermediation, except insurance and pensions"
Activités auxiliaires du financement des caisses d'assurance,Activities auxiliary to insurance and pension funding
Activités immobilières sur biens propres ou loués,Real estate activities with own or leased property
Activités immobilières à forfait ou sous-contrat,Real estate activities on a fee or contract basis
Location de matériel de transport,Renting of transport equipment
Location de machines et équipements  n.c.a.,Renting of other machinery and equipment not elsewhere classified
Conseil en matériel,Hardware consultancy
Réalisation de programmes,Software consultancy and supply
Traitement de données,Data processing
Activités de bases de données,Database activities
"Entretien et réparation de machines de bureau, de machines c","Maintenance and repair of office, accounting and computing machinery"
Autres activités rattachées à l'informatique,Other computer related activities
Recherche-développement en sciences physiques et naturelles,Research and development on natural sciences and engineering
Recherche-développement en sciences sociales et humaines,Research and development on social sciences and humanities
"Activités juridiques, comptables et d'audit ; conseil fiscal","Legal, accounting, book-keeping and auditing activities; tax consultancy"
"Activités d'architecture, d'ingénierie et autres activités t","Architectural, engineering and other technical activities"
Publicité,Advertising
Activités de services aux entreprises n.c.a.,Business activities not elsewhere classified
Administration générale ; administration de la politique éco,General public administration; economic and social policy administration
Services fournis à l'ensemble de la collectivité,Provision of services to the community as a whole
Activités de sécurité sociale obligatoire,Compulsory social security activities
Activités d'enseignement secondaire,Secondary education
Activités d'enseignement supérieur,Higher education
Activités de formation permanente et autres activités d'ense,Adult and other education
Activités de santé humaine,Human health activities
Activités vétérinaires,Veterinary activities
Activités d'action sociale,Social work activities
Assainissement et enlèvement des ordures ; Voirie et activit,"Sewage and refuse disposal, sanitation and similar activities"
"Activités d'organisations économiques, patronales et profess","Activities of business, employers and professional organizations"
Activités de syndicats de salariés,Activities of trade unions
Autres activités associatives,Activities of other membership organizations
"Activités cinématographiques, de radio et de télévision et a","Motion picture, radio, television and other entertainment activities"
Activités d'agences de presse,News agency activities
"Activités des bibliothèques, archives, musées, jardins botan","Library, archives, museums and other cultural activities"
Activités sportives et autres activités récréatives,Sporting and other recreational activities
Autres activités de services,Other service activities
Ménages employant du personnel domestique,Private households with employed persons
Forces armées,Armed forces
Membres de l'exécutif et des corps législatifs,Legislators and members of the executive
Cadres supérieures de l'administration publique,Senior government officials
Dirigeants et cadres supérieures d'organisations spécialisée,Senior officials of special-interest organizations
"Cadres de direction, production et opérations",Production and operations department managers
Autres cadres de direction,Other department managers
Dirigeants et gérants,General managers
"Physiciens, chimistes et assimilés","Physicists, chemists and related professionals"
"Mathématiciens, statisticiens et assimilés","Mathematicians, statisticians and related professionals"
Spécialistes de l'informatique,Computing professionals
"Architectes, ingénieurs et assimilés","Architects, engineers and related professionals"
Spécialistes des sciences de la vie,Life science professionals
Médecins et assimilés (à l'exception des cadres infirmiers),"Health professionals, except nursing"
Professeurs d'université et d'établissements d'enseignement,"College, university and higher education teaching professionals"
Instituteurs de l'enseignement primaire et préprimaire,Primary and pre-primary education teaching professionals
Enseignants spécialisés dans l'éducation des handicapés,Special education teaching professionals
Autres spécialistes de l'enseignement,Other teaching professionals
Spécialistes des fonctions administratives et commerciales d,Business professionals
"Archivistes, bibliothécaires, documentalistes et assimilés","Archivists, librarians and related information professionals"
Spécialistes des sciences sociales et humaines,Social science and related professionals
Ecrivains et artistes créateurs et exécutants,Writers and creative or performing artists
Membres du clergé,Religious professionals
Technicien des sciences physiques et techniques,Physical and engineering science technicians
Pupitreurs et autres opérateurs de matériels informatiques,Computer associate professionals
Techniciens d'appareils optiques et électroniques,Optical and electronic equipment operators
Techniciens des moyens de transport maritime et aérien,Ship and aircraft controllers and technicians
"Inspecteurs d'immeubles, de sécurité, d'hygiène et de qualit",Safety and quality inspectors
Techniciens et travailleurs assimilés des sciences de la vie,Life science technicians and related associate professionals
Professions intermédiaires de ma médecine moderne (à l'excep,"Modern health associate professionals, except nursing"
Personnel infirmier et sages-femmes (niveau intermédiaire),Nursing and midwifery associate professionals
Praticiens de la médecine traditionnelle et  guérisseurs,Traditional medicine practitioners and faith healers
Professions intermédiaires de l'enseignement primaire,Primary education teaching associate professionals
Professions intermédiaires de l'enseignement préprimaire,Pre-primary education teaching associate professionals
Professions intermédiaires de l'éducation des handicapés,Special education teaching associate professionals
Autres professions intermédiaires de l'enseignement,Other teaching associate professionals
Professions intermédiaires des finances et de la vente,Finance and sales associate professionals
Professions intermédiaires de la gestion administrative,Administrative associate professionals
Professions intermédiaires de l'administration publique des,"Customs, tax and related government associate professionals"
Inspecteurs de la police judiciaire et détectives,Police inspectors and detectives
Professions intermédiaires du travail social,Social work associate professionals
"Professions intermédiaires de la création artistique, du spe","Artistic, entertainment and sports associate professionals"
Assistants laîcs des cultes,Religious associate professionals
Secrétaires et opérateurs sur clavier,Secretaries and keyboard-operating clerks
Employés des services comptables et financiers,Numerical clerks
"Employés d'approvisionnement, d'ordonnancement des transport",Material-recording and transport clerks
"Employés de bibliothèque, de service du courrier et assimilé","Library, mail and related clerks"
Autres employés de bureau,Other office clerks
"Caissiers, guichetiers et assimilés","Cashiers, tellers and related clerks"
Employés de réception et d'information de la clientèle,Client information clerks
Agents d'accompagnement et assimilés,Travel attendants and related workers
Intendants et personnel des services de restauration,Housekeeping and restaurant services workers
Personnel soignant et assimilé,Personal care and related workers
Autre personnel des services directs aux particuliers,Other personal services workers
"Astrologues, diseurs de bonne aventure et assimilés","Astrologers, fortune-tellers and related workers"
Personnel des services de protection et de sécurité,Protective services workers
Mannequine et autres modèles,Fashion and other models
Vendeurs et démonstrateurs en magasin,Shop salespersons and demonstrators
Vendeurs à l'étal et sur les marches,Stall and market salespersons
Agriculteurs et ouvriers qualifiés des cultures destinées au,Market gardeners and crop growers
Eleveurs et ouvriers qualifiés de l'élevage destiné aux marc,Market-oriented animal producers and related workers
Agriculteurs et ouvriers qualifiés de polyculture et d'éleva,Market-oriented crop and animal producers
Professions du forestage et assimilées,Forestry and related workers
"Pêcheurs, chasseurs et trappeurs","Fishery workers, hunters and trappers"
Agriculteurs et ouvriers de l'agriculture et de la pêche de,Subsistence agricultural and fishery workers
Ouvriers du bâtiment (gros ouvres) et assimilés,Building frame and related trades workers
Ouvriers du bâtiments (finitions) et assimilés,Building finishers and related trades workers
"Ouvriers peintres, ravaleurs de façades et assimilés","Painters, building structure cleaners and related trades workers"
"Forgerons, outilleurs et assimilés","Blacksmiths, tool-makers and related trades workers"
Mécaniciens et ajusteurs de machines,Machinery mechanics and fitters
Mécaniciens et ajusteurs d'appareils électriques et électron,Electrical and electronic equipment mechanics and fitters
Mécaniciens de précisions sur métaux et matériaux similaires,Precision workers in metal and related materials
"Potiers, souffleurs de verre et assimilés","Potters, glass-makers and related trades workers"
"Ouvriers des métiers d'artisanat sur bois, sur textile, sur","Handicraft workers in wood, textile, leather and related materials"
Artisans et ouvriers de l'imprimerie et assimilés,Printing and related trades workers
Artisans et ouvriers de l'alimentation et assimilés,Food processing and related trades workers
"Artisans et ouvriers du traitement du bois, ébénistes et ass","Wood treaters, cabinet-makers and related trades workers"
"Artisans et ouvriers du travail du cuir, des peaux et de la","Pelt, leather and shoemaking trades workers"
Conducteurs d'installations d'exploitation minière et d'extr,Mining and mineral-processing plant operators
Conducteurs d'installations de transformation des métaux,Metal-processing plant operators
"Conducteurs d'installations de verrerie et de céramique, et","Glass, ceramics and related plant operators"
Conducteurs d'installations pour le travail du bois et  la f,Wood-processing and papermaking plant operators
Conducteurs d'installations de production d'énergie et assim,Power-production and related plant operators
Conducteurs de chaînes de montage automatiques et de robots,Automated assembly-line and industrial robot operators
Conducteurs de machines à travailler les métaux et les produ,Metal and mineral products machine operators
Conducteurs de machines pour la fabrication des produits chi,Chemical products machine operators
Conducteurs de machines à bois,Wood products machine operators
"Conducteurs de machines d'imprimerie, de machines à relier e","Printing, binding and paper products machine operators"
Conducteurs de machines pour la fabrication de denrées alime,Food and related products machine operators
Autres conducteurs de machines et ouvriers d'assemblage,Other machine operators and assemblers
Conducteurs de locomotives et assimilés,Locomotive engine drivers and related workers
Conducteurs de véhicules à moteur,Motor vehicle drivers
Matelots de pont et assimilés,Ships' deck crews and related workers
Vendeurs ambulants et assimilés,Street vendors and related workers
Cireurs de chaussures et autres travailleurs des petits méti,Shoe cleaning and other street services elementary occupations
"Aides de ménage et autres aides, nettoyeurs et blanchisseurs","Domestic and related helpers, cleaners and launderers"
"Messagers, porteurs, gardiens, portiers et assimilés","Messengers, porters, doorkeepers and related workers"
Eboueurs et manoeuvres assimilés,Garbage collectors and related labourers
"Manoeuvres de l'agriculture, de la pêche et assimilés","Agricultural, fishery and related labourers"
"Manoeuvres des mines, du bâtiment et des travaux publiques",Mining and construction labourers
Manoeuvres des industries manufacturières,Manufacturing labourers
Manoeuvres des transports et manutentionnaires,Transport labourers and freight handlers
Mathématique,Mathematics
Géographie,Geography
Géologie,Geology
Météorologie,Meteorology
Génie civil,Civil engineering
Electricité,Electricity
Aéronautique,Aeronautics
Mines et métallurgie,Mining and metallurgy
Mécanique générale,General mechanics
Médecine,Medicine
Sciences infirmières,Nursing sciences
Santé publique,Public health
Sciences vétérinaires,Veterinary sciences
Génie rurale,Rural engineering
Agronomie générale,General agronomy
"Production végétale, productions animales","Crop production, animal production"
Théologie,Theology
"Gestion, management et secrétariat",Management and secretarial studies
Commerce et comptabilité,Commerce and accounting
Démographie,Demography
Français,French
Littératures Africaines,African literatures
Interprétariat,Interpreting
Hôtellerie et tourisme,Hotel management and tourism
Services de sécurité,Security services
Autres branches,Other fields
Afrique - autres pays,"Africa, other countries"
Europe - autres pays,"Europe, other countries"
Asie - autres pays,"Asia, other countries"
Amérique - autres pays,"America, other countries"
Océanie - autres pays,"Oceania, other countries"
Non relative (not related to head),Non-relative (not related to the head)
Elevage,Farming of animals
Extraction de minerais de fer,Mining of iron ores
"Extraction de pierres, de sables et d'argiles","Quarrying of stone, sand and clay"
"Production, transformation et conservation de la viande, du","Production, processing and preserving of meat, fish, fruit and vegetables"
Fabrication de produits laitiers,Manufacture of dairy products
Fabrication de boissons,Manufacture of beverages
Fabrication de chaussures,Manufacture of footwear
Sciage et rabotage du bois,Sawmilling and planing of wood
"Fabrication de papier, de carton et d'articles en papier et","Manufacture of paper, paperboard and articles of paper"
Edition,Publishing
Fabrication de produits chimiques de base,Manufacture of basic chemicals
Fabrication d'articles en caoutchouc,Manufacture of rubber products
Fabrication de verre et d'articles en verre,Manufacture of glass and glass products
Fonderie,Casting of metals
Fabrication d'appareil domestique n.c.a.,Manufacture of domestic appliances not elsewhere classified
"Fabrication de machines de bureau, de machines comptables et","Manufacture of office, accounting and computing machinery"
Fabrication d'horlogerie,Manufacture of watches and clocks
Fabrication de meubles,Manufacture of furniture
Fabrication de gaz ; distribution par conduite de combustibl,Manufacture of gas; distribution of gaseous fuels through mains
Production et distribution de vapeur et d'eau chaude,Steam and hot water supply
Construction d'ouvrages complets et de parties d'ouvrages ;,Building of complete constructions or parts thereof; civil engineering
Travaux d'installation,Building installation
Travaux de finition,Building completion
"Commerce de gros de produits agricoles bruts, d'animaux viva",Wholesale of agricultural raw materials and live animals
Transports par chemin de fer,Transport via railways
Transports par conduite5603,Transport via pipelines
Location de biens personnels et domestiques  n.c.a.,Renting of personal and household goods not elsewhere classified
Enseignement primaire,Primary education
Organismes extra-territoriaux,Extra-territorial organizations and bodies
Chefs traditionnels et chefs de village,Traditional chiefs and heads of villages
Directeurs,Directors and chief executives
Cadres infirmiers et sages-femmes,Nursing and midwifery professionals
Professeurs de l'enseignement secondaire,Secondary education teaching professionals
Juristes,Legal professionals
Agents commerciaux et courtiers,Business services agents and trade brokers
"Mineurs, carriers et tailleurs de pierre","Miners, shotfirers, stone cutters and carvers"
"Mouleurs de fonderie, soudeurs, toliers-chaudronniers, monte","Metal moulders, welders, sheet-metal workers and structural-metal preparers"
"Artisans et ouvriers du textile et de l'habillement, et assi","Textile, garment and related trades workers"
Conducteurs d'installations de traitement chimique,Chemical-processing plant operators
Conducteurs de machines pour la fabrication de produits en c,Rubber and plastic products machine operators
Conducteurs de machines pour la fabrication de produits text,"Textile, fur and leather products machine operators"
Ouvriers de l'assemblage,Assemblers
"Personnel du  service d'immeuble, laveurs de vitres et assim","Building caretakers, window and related cleaners"
Statistiques,Statistics
Physique,Physics
Chimie,Chemistry
Hydrologie,Hydrology
Informatique,Computer science
Architecture,Architecture
Plomberie,Plumbing
Menuiserie,Carpentry
Biologie,Biology
Pharmacie,Pharmacy
Sols,Soil science
Foresterie,Forestry
Zootechnie,Animal science
Sociologie,Sociology
Histoire et anthropologie,History and anthropology
Journalisme et information,Journalism and information
"Economie, finances publiques",Economics and public finance
"Droit, administration",Law and administration
Lettres et Latin,Literature and Latin
Anglais,English
Assurance et actuariat,Insurance and actuarial science
Services de transport,Transport services
Pilotage,Piloting
Sao Tome-et-Principe,Sao Tome and Principe
Rwanda - Sao Tome-et-Principe,Rwanda - Sao Tome and Principe
Antigua-et-Barbuda,Antigua and Barbuda
Rwanda - Antigua-et-Barbuda,Rwanda - Antigua and Barbuda
Saint-Christophe-et-Nieves,Saint Kitts and Nevis
Rwanda - Saint-Christophe-et-Nieves,Rwanda - Saint Kitts and Nevis
Trinite-et-Tobago,Trinidad and Tobago
Rwanda - Trinite-et-Tobago,Rwanda - Trinidad and Tobago
"Trinidad And Tobago, trinite et Tobago",Trinidad and Tobago
"Antigua And Barbuda, Antigua et Barbuda",Antigua and Barbuda
"Saint Kitts And Nevis, Saint Christophe et Nieves",Saint Kitts and Nevis
"State of Palestine, Etat de Palestine",State of Palestine
"re:^Ville de Kigali, District (.+)$","City of Kigali, District \1"
"re:^Kigali Ngali, District de (.+)$","Kigali Ngali, District \1"
