variable,label,type,value_labels,n_value_labels,universe,n_2002,n_2012,n_2022,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
h08_v3,[2002-2002 version] Main source of lighting,int8,"1=Electricity (Electrogaz), 2=Hydro-electric or other private source, 3=Solar panel / electric generator, 4=Kerosene lamp, 5=Oil lamp, 6=Candle …",9,ordinary (private) households,175737,0,0,,2002,"h08 (2022–2022), h08_v2 (2012–2012)",,
h09_v3,[2002-2002 version] Main cooking energy,int8,"1=Electricity, 2=Gas, 3=Kerosene, 4=Firewood, 5=Charcoal, 6=Vegetal material (grass, leaves) …",8,ordinary (private) households,175737,0,0,,2002,"h09 (2022–2022), h09_v2 (2012–2012)",,
h10_v3,[2002-2002 version] Main toilet facility,int8,"1=Flush toilet (WC), 2=Private pit latrine, 3=Public/shared pit latrine, 4=Bush, 5=Other, 9=Not stated",6,ordinary (private) households,175737,0,0,,2002,"h10 (2022–2022), h10_v2 (2012–2012)",,
h11_v3,[2002-2002 version] Main mode of household waste disposal,int8,"1=Compost dumping, 2=Private dust bin, 3=Public refuse dump, 4=In the bush, 5=On the farm, 6=In a river/stream/drain …",8,ordinary (private) households,175737,0,0,,2002,"h11 (2022–2022), h11_v2 (2012–2012)",,
h12_v3,[2002-2002 version] Occupancy status of the dwelling,int8,"1=Owner, 2=Tenant, 3=Hire purchase, 4=Free lodging, 5=Service housing, 6=Refuge / temporary camp …",8,ordinary (private) households,175737,0,0,,2002,"h12 (2022–2022), h12_v2 (2012–2012)",,
h13_v3,[2002-2002 version] Radio / television ownership,int8,"1=Radio, 2=Television, 3=Radio and television, 4=None, 9=Not stated",5,ordinary (private) households,175737,0,0,,2002,"h13 (2022–2022), h13_v2 (2012–2012)",,
h14_v3,[2002-2002 version] Fixed-line / cell phone,int8,"1=Fixed-line telephone, 2=Cell phone, 3=Fixed-line and cell phone, 4=None, 9=Not stated",5,ordinary (private) households,175737,0,0,,2002,"h14 (2022–2022), h14_v2 (2012–2012)",,
h15_v3,[2002-2002 version] Computer / internet connection,int8,"1=Computer, 2=Computer and internet connection, 3=None, 9=Not stated",4,ordinary (private) households,175737,0,0,,2002,"h15 (2022–2022), h15_v2 (2012–2012)",,
h16a,Number of vehicles,int8,"0=No vehicle, 1=1 vehicle, 2=2 vehicles, 3=3 vehicles, 4=4 vehicles, 9=Not stated",6,ordinary (private) households,175737,0,0,2002 original label (FR): Possession de véhicule(s),,,,
h16b,Number of motorcycles,int8,"0=No motorcycle, 1=1 motorcycle, 2=2 motorcycles, 3=3 motorcycles, 4=4 motorcycles, 5=5 motorcycles …",10,ordinary (private) households,175737,0,0,2002 original label (FR): Possession de moto(s),,,,
h16c,Number of bicycles,int8,"1=1, 2=2, 3=3, 4=4, 5=5, 6=6 …",21,ordinary (private) households,175737,0,0,2002 original label (FR): Possession de bicyclette(s),,,,
h17_v3,[2002-2002 version] Total persons counted in the household,int8,,0,ordinary (private) households,175737,0,0,,2002,"h17 (2022–2022), h17_v2 (2012–2012)",,
h18_v3,[2002-2002 version] (empty in the public file),int8,,0,ordinary (private) households,0,0,0,,2002,"h18 (2022–2022), h18_v2 (2012–2012)",,
h19a,Any death of a resident member in the last 12 months,int8,"1=Yes, 2=No, 9=Not stated",3,ordinary (private) households,175737,0,0,2002 original label (FR): H19A,,,,
h19b,Number of deaths in the last 12 months,int8,,0,ordinary (private) households,7498,0,0,2002 original label (FR): H19B,,,,
probability,Inclusion (selection) probability,double,,0,,175737,0,0,2002 original label (FR): Inclusion (Selection) Probability for Stage 1,,,,
p00_nu,NISR artefact: count of P00 in household,int8,,0,,175737,0,0,,,,,
p00_mean,NISR artefact: mean of P00 in household,double,,0,,175737,0,0,,,,,
collective,1 = row belongs to a collective/institutional household (2002 only),int8,,0,,175737,0,0,2002: h100 missing (P03 = 4 'ménage collectif'),,,,
hhsize,Household size (persons in the public-use roster),int8,,0,,175737,242461,331917,,,,,
head_sex,Sex of household head (sex of p02==1),int8,"1=Male, 2=Female",2,,175737,242461,331917,,,,,
head_age,Age of household head (age of p02==1),int16,,0,,175737,242461,331917,,,,,
l02,District,int8,,0,,0,242461,0,,,,,
l03,Sector,int8,,0,,0,242461,0,,,,,
l07,Area of residence,int8,"1=Urban, 2=Rural, 3=Peri-urban, 4=Semi-urban",4,,0,242461,0,,,,,
rp2124,"Reason for not working (NISR recode of P21, inactive only)",int8,"4=Home worker, 5=Old people/Retired, 6=Students, 7=Other",4,residents aged 5+ (P21-P24 only if did not work in the last 7 days),0,0,0,,,,,
rl07,"Urban/rural, 2-way (NISR recode of L07: urban + semi-urban = 1, rural + peri-urb",int8,"1=Urban, 2=Rural",2,,0,242461,0,,,,,
h03_v2,[2012-2012 version] Status of occupancy of house,int8,"1=Owner, 2=Tenant, 3=Hire purchase, 4=Free lodging, 5=Staff housing, 6= Refuge/Temporary camp settlement …",7,private households (repeated on every member),0,242461,0,,2012,"h03 (2022–2022), h03_v3 (2002–2002)",,
h04_v2,[2012-2012 version] Roof,int8,"1=Iron sheets, 2=Local tiles, 3=Industrial tiles, 4=Asbestos, 5=Concrete, 6=Cartoons/Sheathing …",8,private households (repeated on every member),0,242461,0,,2012,"h04 (2022–2022), h04_v3 (2002–2002)",,
h05_v2,[2012-2012 version] Walls,int8,"1=Wood/Mud, 2=Wood/ Cement mud, 3=Sundried bricks, 4=Plastic sheating/Cardboard, 5=Cement Blocks/Concrete, 6=Stone …",9,private households (repeated on every member),0,242461,0,,2012,"h05 (2022–2022), h05_v3 (2002–2002)",,
h06_v2,[2012-2012 version] Floor,int8,"1=Earth/Sand, 2=Concrete, 3=Stone, 4=Burn Bricks, 5=Timber, 6=Other",6,private households (repeated on every member),0,242461,0,,2012,"h06 (2022–2022), h06_v3 (2002–2002)",,
h07_v2,[2012-2012 version] Number of rooms,int8,15=15 rooms and more,1,private households (repeated on every member),0,242461,0,,2012,"h07 (2022–2022), h07_v3 (2002–2002)",,
h08_v2,[2012-2012 version] Number of rooms for sleeping,int8,15=15 rooms and more,1,private households (repeated on every member),0,242461,0,,2012,"h08 (2022–2022), h08_v3 (2002–2002)",,
h09_v2,[2012-2012 version] Number of occupants,int8,30=30 and +,1,private households (repeated on every member),0,242461,0,,2012,"h09 (2022–2022), h09_v3 (2002–2002)",,
h10_v2,[2012-2012 version] Main source of water,int8,"1=Internal Pip-born water, 2=Pipe-born water in the compound, 3=Public tap out of the compound, 4=Protected spring/Well, 5=Unprotected Spring/Well, 6=Rain Water …",9,private households (repeated on every member),0,242461,0,,2012,"h10 (2022–2022), h10_v3 (2002–2002)",,
h11_v2,[2012-2012 version] Type of toilet facility,int8,"1=Flush toilet/Water close (WC) system, 2=Private pit latrine, 3=Public pit latrine, 4=Bush, 5=Other",5,private households (repeated on every member),0,242461,0,,2012,"h11 (2022–2022), h11_v3 (2002–2002)",,
h12_v2,[2012-2012 version] Source of lighting,int8,"1=Electricity by EWSA, 2=Hydro-electric or other private source, 3=Solar power, 4=Generator, 5=Kerosene lamp, 6=Paraffin …",10,private households (repeated on every member),0,242461,0,,2012,"h12 (2022–2022), h12_v3 (2002–2002)",,
h13_v2,[2012-2012 version] Energy of cooking,int8,"1=Electricity, 2=Gas, 3=Biogas, 4=Kerosene, 5=Firewood, 6=Charcoal …",8,private households (repeated on every member),0,242461,0,,2012,"h13 (2022–2022), h13_v3 (2002–2002)",,
h14_v2,[2012-2012 version] Energy saving stove,int8,"1=Yes, and it is used, 2=Yes, but not used, 3=No",3,private households (repeated on every member),0,242461,0,,2012,"h14 (2022–2022), h14_v3 (2002–2002)",,
h15_v2,[2012-2012 version] Mode of household waste disposal,int8,"1=Compost dumping, 2=Private dust bins, 3=Public refuse dumps, 4=In the bush, 5=On the farms, 6=In a river/Stream/Drain/Gutter …",7,private households (repeated on every member),0,242461,0,,2012,"h15 (2022–2022), h15_v3 (2002–2002)",,
h16_v2,[2012-2012 version] Mode of sewage disposal,int8,"1=Sump, 2=In the countryard, 3=Rivulet/Trench/Channels, 4=In the street, 5=Main sewer, 6=Cesspool …",8,private households (repeated on every member),0,242461,0,,2012,h16 (2022–2022),,
h17_v2,[2012-2012 version] Radio,int8,8=8 and +,1,private households (repeated on every member),0,242461,0,,2012,"h17 (2022–2022), h17_v3 (2002–2002)",,
h18_v2,[2012-2012 version] Television,int8,8=8 and +,1,private households (repeated on every member),0,242461,0,,2012,"h18 (2022–2022), h18_v3 (2002–2002)",,
h19_v2,[2012-2012 version] Telephone (fixed line),int8,8=8 and +,1,private households (repeated on every member),0,242461,0,,2012,h19 (2022–2022),,
h20_v2,[2012-2012 version] Cell phone,int8,20=20 and +,1,private households (repeated on every member),0,242461,0,,2012,h20 (2022–2022),,
h21,Refrigerator/ Freezer,int8,8=8 and +,1,private households (repeated on every member),0,242461,0,,,,,
h22_v2,[2012-2012 version] Computer,int8,8=8 and +,1,private households (repeated on every member),0,242461,0,,2012,h22 (2022–2022),,
h23_v2,[2012-2012 version] Bicycles,int8,10=10 and +,1,private households (repeated on every member),0,242461,0,,2012,h23 (2022–2022),,
h24,Vehicles,int8,10=10 and +,1,private households (repeated on every member),0,242461,0,,,,,
h25,Motorcycles,int8,10=10 and +,1,private households (repeated on every member),0,242461,0,,,,,
h26_v2,[2012-2012 version] Internet Access,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,242461,0,,2012,h26 (2022–2022),,
h27_v2,[2012-2012 version] Where do you access internet,int8,"1=From home, 2=From Office/School, 3=From home and From Office/School, 4=From Cyber Cafe, 5=Home and Cyber, 6=Office and Cyber …",17,private households (repeated on every member),0,242461,0,,2012,h27 (2022–2022),,
h28a_v2,[2012-2012 version] Cattle:Local breed cow,int16,500=500 local breed cow and more,1,private households (repeated on every member),0,242461,0,,2012,h28a (2022–2022),,
h28b,Cattle: Cross breed cow,int16,500=500 cross breed cow and more,1,private households (repeated on every member),0,242461,0,,,,,
h28c,Cattle: Exotic breed cow,int16,500=500 exotic breed cow and more,1,private households (repeated on every member),0,242461,0,,,,,
h29,Goats,int16,500=500 goats and more,1,private households (repeated on every member),0,242461,0,,,,,
h30,Sheeps,int16,500=500 sheeps and more,1,private households (repeated on every member),0,242461,0,,,,,
h31,Pigs,int16,500=500 pigs and more,1,private households (repeated on every member),0,242461,0,,,,,
h32,Rabbits,int16,500=500 rabbits and more,1,private households (repeated on every member),0,242461,0,,,,,
h33,Poultry/fowl,int16,500=500 poultry/fowls and more,1,private households (repeated on every member),0,242461,0,,,,,
h34,Other,int16,500=500 other poulrty and more,1,private households (repeated on every member),0,242461,0,,,,,
h35,Land,int8,"0=No, without land, 1=Yes, in his own land, 2=Yes, in land he rented, 3=in his own land and rent, 4=No, He/she has rented it out, 5=Own land, No he/she has rented it out …",16,private households (repeated on every member),0,242461,0,,,,,
m1,Death in the Household,int8,"1=Yes, 2=No",2,private households (deaths in the last 12 months),0,242461,0,,,,,
inclusionprobability_1_,Inclusion (Selection) Probability for Stage 1,double,,0,,0,242461,0,,,,,
p07a,Residence Status,int8,"1=Usual resident, 2=Visitor",2,,0,0,331917,,,,,
h03,Tenure of then housing unit,int8,"1=Owner (Even when he/she is still paying the bank loan), 2=Tenant, 3=Hire purchase (Having payment contract with the owner), 4=Free lodging, 5=Staff housing, 6=Temporary camp or settlement …",7,private households (repeated on every member),0,0,331917,2002 original label (FR): Toiture,2022,"h03_v2 (2012–2012), h03_v3 (2002–2002)",,
h04,Is this Household has its own housing unit  in this village or elsewhere,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,93807,2002 original label (FR): Murs,2022,"h04_v2 (2012–2012), h04_v3 (2002–2002)",,
h05,main material used for the roof,int8,"1=Iron Sheets, 2=Local tiles, 3=Industrial tiles, 4=Asbestos, 5=Concrete, 6=All non durable roofing materials (Cartoons, Sheeting, ...) …",9,private households (repeated on every member),0,0,331917,2002 original label (FR): Pavement,2022,"h05_v2 (2012–2012), h05_v3 (2002–2002)",,
h06,main material used for the walls,int8,"1=Wood with mud and cement, 2=Wood with mud without cement, 3=Sun dried bricks  with cement, 4=Sun dried bricks  without  cement, 5=All non durable wall materials(Cartoons, Sheathing, ...), 6=Cement blocks …",14,private households (repeated on every member),0,0,331917,2002 original label (FR): Nombre de pièces,2022,"h06_v2 (2012–2012), h06_v3 (2002–2002)",,
h07,main material used for the floor,int8,"1=Earth, 2=Dung hardened, 3=Concrete, 4=Stones, 5=Burnt bricks, 6=Wooden floor …",10,private households (repeated on every member),0,0,331917,2002 original label (FR): Eau,2022,"h07_v2 (2012–2012), h07_v3 (2002–2002)",,
h08,Number of rooms,int8,,0,private households (repeated on every member),0,0,331917,2002 original label (FR): Eclairage,2022,"h08_v2 (2012–2012), h08_v3 (2002–2002)",,
h09,number of rooms are used for sleeping,int8,,0,private households (repeated on every member),0,0,331917,2002 original label (FR): Cuisson,2022,"h09_v2 (2012–2012), h09_v3 (2002–2002)",,
h10,Are Sleeping rooms  for Boys separated from those for Girls,int8,"1=Yes, 2=No, 3=Not Applicable",3,private households (repeated on every member),0,0,331917,2002 original label (FR): Toilette,2022,"h10_v2 (2012–2012), h10_v3 (2002–2002)",,
h11,Main source of water used for general purposes,int8,"1=Internal pipe-born water, 2=Pipe-born water in the compound, 3=Pipe-born water from the neighbor HH, 4=Public tap out of the compound, 5=Tube Well /Borehole, 6=Protected Spring/Well …",12,private households (repeated on every member),0,0,331917,2002 original label (FR): Déchets,2022,"h11_v2 (2012–2012), h11_v3 (2002–2002)",,
h12,Main source of drinking water,int8,"1=Internal pipe-born water, 2=Pipe-born water in the compound, 3=Pipe-born water from the neigbour HH, 4=Public tap out of the compound, 5=Tube Well /Borehole, 6=Protected Spring/Well …",13,private households (repeated on every member),0,0,331917,2002 original label (FR): Titre de l'habitat,2022,"h12_v2 (2012–2012), h12_v3 (2002–2002)",,
h13,Toilet Facility,int8,"1=Flush toilet used by one Houesehold, 2=Flush toilet used by several Houeseholds, 3=Pit Latrine with constructed floor slab used by one HH, 4=Pit Latrine with constructed floor slab used by several HH, 5=Pit Latrine without constructed floor slab used by one HHs, 6=Pit Latrine without constructed floor slab used by several HHs …",8,private households (repeated on every member),0,0,331917,2002 original label (FR): Radio et télévision,2022,"h13_v2 (2012–2012), h13_v3 (2002–2002)",,
h14,Electricity (Grid line) connectivity,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331917,2002 original label (FR): Téléphone,2022,"h14_v2 (2012–2012), h14_v3 (2002–2002)",,
h15,Main source of energy for lighting,int8,"1=Electricity from REG, 2=Private Hydro Mini grid, 3=Standalone solar system, 4=Private Solar Mini Grid, 5=Generator, 6=Kerosene / Paraffin lamp …",14,private households (repeated on every member),0,0,331917,2002 original label (FR): Ordinateur et Internet,2022,"h15_v2 (2012–2012), h15_v3 (2002–2002)",,
h16,Main source of energy for cooking,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Electricity, 5=Kerosene/Parafine, 6=Biogas …",16,private households (repeated on every member),0,0,331917,,2022,h16_v2 (2012–2012),,
h17,Secondary source of energy for cooking,int8,"1=Firewood, 2=Charcoal, 3=Gas, 4=Electricity, 5=Kerosene/Parafine, 6=Biogas …",15,private households (repeated on every member),0,0,327320,2002 original label (FR): H17,2022,"h17_v2 (2012–2012), h17_v3 (2002–2002)",,
h18,Does your HH use a cooking energy saving stove?,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,326988,2002 original label (FR): H18,2022,"h18_v2 (2012–2012), h18_v3 (2002–2002)",,
h19,Main mode of household waste disposal used,int8,"1=Public Composit dumping, 2=Household ompost dumping, 3=Waste collection companies, 4=Thrown in the household's fields or bushes, 5=Burnt, 6=In a River/Stream/Drain/Gutter/lacs …",8,private households (repeated on every member),0,0,331917,,2022,h19_v2 (2012–2012),,
h20,Main mode of sewage,int8,"1=Sump, 2=In the courtyard, 3=Rivulet/Trench/Channels, 4=In the street, 5=Main sewer, 6=Cesspool …",9,private households (repeated on every member),0,0,331917,,2022,h20_v2 (2012–2012),,
h21_01,Functional assets own by HH: Radio,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_02,Functional assets own by HH: Television,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_03,Functional assets own by HH: Refrigerator/Freezer for HH use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_04,Functional assets own by HH: Gas/Electrical Cooker,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_05,Functional assets own by HH: Washing machine,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_06,Functional assets own by HH: Microwave,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_07,Functional assets own by HH: Mattress,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_08,Functional assets own by HH: Bench/Chair,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_09,Functional assets own by HH: Bed,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_10,Functional assets own by HH: Tables,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_11,Functional assets own by HH: Sofa,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_12,Functional assets own by HH: Computers,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_13,Functional assets own by HH: Vehicles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_14,Functional assets own by HH: Motorcycles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_15,Functional assets own by HH: Bicycles for household use only,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h21_16,Functional assets own by HH: Electrical/Charcoal Iron,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331906,,,,,
h22,HH own livestock or beehive,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,331917,,2022,h22_v2 (2012–2012),,
h22a_01,Local breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_02,Exotic breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_03,Cross breed cows reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_04,Local goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_05,Exotic goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_06,Cross goats reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_07,Local sheep reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_08,Exotic sheep reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_09,Local pigs reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_10,Exotic pig reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_11,Cross pig reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_12,Rabbits reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_13,Broiler chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_14,Layers chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_15,Dual purpose chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_16,Local chicken reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_17,Duck reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_18,Turkey reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_19,Other poultry reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_20,Camel reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_21,Bees hive reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_22,Dogs reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22a_23,Other reared,int8,"1=Yes, 2=No",2,private households (repeated on every member),0,0,168363,,,,,
h22b1_01,Number of Local breed cows reared,int16,,0,private households (repeated on every member),0,0,51122,,,,,
h22b1_02,Number of Exotic breed cows reared,int16,,0,private households (repeated on every member),0,0,5374,,,,,
