variable,label,type,value_labels,n_value_labels,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
psu,Primary sampling unit number (NISR PSU_NO; anonymised),int16,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,2017: psu_no; 2018: psu_no; 2019: pkey // 1e6; 2020: psu_no; 2021: psu_no; 2022: psu_no; 2023: psu_no; 2024: psu_no; 2025: psu_no,,,,
hhid,Household id = PSU*100 + household number (unique with year + interview),double,,0,77761,76670,81778,37319,71947,70424,71849,102562,100852,"2017: pid // 100; 2018: pid // 100; 2019: pkey // 1e4; 2020: pid // 100 (missing in rounds 10, 12); 2021: HHID (= PSU_NO*100 + QH_NO); 2022: HHID (= PSU_NO*100 + QH_NO); 2023: HHID (= PSU_NO*100 + QH_NO); 2024: HHID (= PSU_NO*100 + QH_NO); 2025: HHID (= PSU_NO*100 + QH_NO)",,,,
pid,Person number within the household,int8,,0,77761,76670,81778,37319,71947,70424,71849,102562,100852,2017: pid % 100; 2018: pid % 100; 2019: (pkey // 100) % 100; 2020: pid % 100; 2021: pid % 100; 2022: pid % 100; 2023: pid % 100; 2024: pid % 100; 2025: row order within household-interview (no pid shipped),,,,
sex,"Sex (1 male, 2 female)",int8,"1=Male, 2=Female",2,77761,76670,81778,70172,71947,70424,71849,102562,100852,2017: a01; 2018: a01; 2019: a01; 2020: a01; 2021: a01; 2022: a01; 2023: a01; 2024: a01; 2025: a01,,,,
age,Age in years,int8,"98=Don't Know, 99=Missing",2,77761,76670,81778,70172,71947,70424,71849,102562,100852,2017: a04; 2018: a04; 2019: a04; 2020: a04; 2021: a04; 2022: a04; 2023: a04; 2024: a04; 2025: a04,,,,
wt,Annual person weight (sums to population),double,,0,77761,76670,81778,70172,71947,70424,71849,102562,100852,2017: weight2; 2018: weight2; 2019: weight; 2020: weight2; 2021: weight2; 2022: weight2; 2023: weight2; 2024: weight2; 2025: weight2,,,,
wt_round,Round weight (where released),double,,0,77761,76670,0,70172,71947,0,0,0,0,2017: weight; 2018: weight; 2019: not shipped; 2020: weight; 2021: weight; 2022: not shipped; 2023: not shipped; 2024: not shipped; 2025: not shipped,,,,
psu_no,Primary Sampling Unit,int16,,0,77761,76670,0,70172,71947,70424,71849,102562,100852,,,,2017: PSU NUMBER; 2018: PSU NUMBER; 2020: PSU NUMBER; 2021: PSU NUMBER; 2022: Primary Sampling Unit-quarterly; 2023: Primary Sampling Unit-quarterly,
phase,Data collection round,int8,"1=February_2018, 2=August_2018",2,77761,76670,0,0,0,0,0,0,0,,,,,"{""1"": [""February_2017"", ""February_2018""], ""2"": [""August_2017"", ""August_2018""]}"
samehh,The same Household Visited last time?,int8,"1=Yes, 2=No",2,77761,76670,0,0,0,0,0,0,0,,,,,
hhrg,Rotation Group,int8,,0,77761,76670,0,0,71947,0,0,0,0,,,,,
ryear,Year,int16,,0,77761,0,0,0,0,0,0,0,0,,,,,
a02,Relationship,int8,"1=Household Head, 2=Spouse (Wife/Husband), 3=Child (Son/daughter), 4=Adopted/Foster/step child, 5=Parent(Father/Mother), 6=Parent-in-law …",16,77761,76670,81778,70172,71947,70424,71849,102562,100852,,,,,"{""1"": [""Head"", ""Household Head""], ""5"": [""Grandchild"", ""Parent(Father/Mother)""], ""6"": [""Parent-in-law"", ""Parent/Parent-in-law""], ""7"": [""Brother or Sister-In law"", ""Brother or Sister/In law""], ""8"": [""Brother or Sister"", ""Son/Daughter-in-law""], ""9"": [""Grand child"", ""Other relative""], ""10"": [""Domestic helper"", ""Son/Daughter in law""], ""11"": [""Non-relative"", ""Other relative""]}"
a03m,Date of birth Month,int8,98=Don't Know,1,77761,76670,0,0,0,70424,71849,102562,100852,,,,,
a03y,date of birth year,int16,9998=Don't Know,1,77761,76670,0,0,0,70424,71849,102562,100852,,,,,
a05,Present marital status,int8,"1=Married monogamously, 2=Married polygamous, 3=Living together, 4=Divorced, 5=Separated, 6=Single …",7,53099,52785,56595,0,50203,49360,50019,71109,70548,,,,,
a06,"Do you have difficulty seeing, even if wearing glasses?",int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20202,70728,0,62877,61806,62700,89747,88722,,,,,
a07,"Do you have difficulty hearing, even if using a hearing aid?",int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20256,70728,0,62877,61806,62700,89747,88722,,,,,
a08,Do you have difficulty walking or climbing steps?,int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20204,70728,0,62877,61806,62700,89747,88722,,,,,
a09,Do you have difficulty remembering or concentrating?,int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20264,70728,0,62877,61806,62700,89747,88722,,,,,
a10,Do you have difficulty (with self-care such as) washing all over or dressing?,int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20313,70728,0,62877,61806,62700,89747,88722,,,,,
a11,"Using your usual language, do you have difficulty communicating, mple understand",int8,"1=No-no difficulty, 2=Yes-some difficulty, 3=Yes- a lot of difficulty, 4=can not do at all",4,67077,20306,70728,0,62877,61806,62700,89747,88722,,,,,
a12,What is nationality?,int8,"1=Rwanda, 2=Burundi, 3=Congo-Kinshasa  DRC, 4=Kenya, 5=Tanzania, 6=Uganda …",9,77761,76670,81778,0,71947,70424,71849,102562,100852,,,,,"{""7"": ["" Rest of Africa"", ""South Sudan""], ""8"": [""Other country"", ""Rest of Africa""]}"
a13,Residential Status in Rwanda,int8,"1=Permanent Resident, 2=Temporary Resident",2,77761,76670,81778,0,71947,70424,71849,102562,100852,,,,,"{""2"": [""Temporary Resident"", ""TemporaryResident""]}"
a14a,Country/Area of birth,int8,"1=Rwanda, 2=Burundi, 3=Congo-Kinshasa  DRC, 4=Kenya, 5=Tanzania, 6=Uganda …",9,77761,76670,81778,0,71947,70424,71849,102562,100852,,,,,"{""7"": [""Rest of Africa"", ""South Sudan""], ""8"": [""Other country"", ""Rest of Africa""]}"
a14b,District of birth,int16,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,74211,73373,78652,0,69816,68712,70059,100065,98598,,,,,
a18,Kind of place he/she lived in prior to arriving here?,int8,"1=Capital City, 2=District City, 3=Country Side, 4=Other (Specify), 9=Missing",5,24322,25004,26920,0,20897,18924,20706,0,0,,,,,
a19,How long did he/she live in the previous location prior to arriving here?,int8,,0,24322,25004,26920,0,20897,18924,20706,29713,30747,,,,,
a20,Reason  for moving to the current location,int8,"1=Parents moved, 2=To live with relatives, 3=To attend school, 4=Marriage, 5=Family quarrel, 6=Divorce …",14,24322,25004,26920,0,20897,18924,20706,29713,30747,,,,2017: Reason to move away from previous location; 2018: Reason to move away from previous location; 2019: Reason to move away from previous location; 2021: Reason to move away from previous location; 2022: Reason to move away from previous location; 2023: Reason to move away from previous location; 2024: Reason to move away from previous location,"{""14"": [""Other"", ""Other(specify)"", ""other(specify)""], ""7"": [""Found job"", ""New job""], ""13"": [""Coming back in country"", ""Coming back in country/ building/ Renting"", ""Coming back in country/building/Renting""]}"
a21,Has he/she been away from home in this last 12 months?,int8,"1=Yes, 2=No",2,77761,76670,81778,0,71947,70424,71849,0,0,,,,,
a22,Months during the past 12 months has he/she been away from this HH,int8,,0,7004,6725,5988,0,2506,2656,2915,0,0,,,,,
a23,"While absent, is/was he/she a member of another household?",int8,"1=Yes, 2=No, 9=Missing",3,3573,3441,3019,0,1095,1230,1266,0,0,,,,,
a24,Is he/she household member?,int8,"1=Yes, 2=No, 9=Missing",3,77761,76670,81778,0,71947,70424,71849,0,0,,,,,
a25,Is (NAME) currently studying or working?,int8,"1=Studying only, 2=Studying and working, 3=Working only, 4= Not studying, nor working",4,17969,0,6971,0,0,0,0,0,0,,,,,
a26,What type of work does (NAME) do?,int8,"1=Work for pay, 2=Work without pay in non-agriculture family/ household enterprise, 3=Work without pay in family farm or fishing, 4=Self-employed, 5=Other specify",5,96,0,120,0,0,0,0,0,0,,,,,
a27,How many days per week did [NAME] usually work in these activities?,int8,,0,90,0,119,0,0,0,0,0,0,,,,,
a28,How many hours per day did [NAME] usually work in these activities?,int8,,0,91,0,120,0,0,0,0,0,0,,,,,
a29,"In the last 7 days, how many hours did [NAME] spend collecting firewood for the",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,,
a30,"In the last 7 days, how many hours did [NAME] spend fetching water for the house",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,,
a31,"In the last 7 days, how many hours did [NAME] spend searching for  fodder or gra",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,,
a32,"In the last 7 days, how many hours did [NAME] spend constructing your dwelling,",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,"2017: In the last 7 days ,how many hours did[NAME]spend manifactur",
a33,"In the last 7 days, how many hours did [NAME] spend doing household chores inclu",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,"2017: In the last 7 days, how many hours did [NAME] spend construc",
a34,"In the last 7 days, how many  hours did [NAME] spend looking after children and",int8,,0,17969,0,6971,0,0,0,0,0,0,,,,"2017: In the last 7 days, how many hours did [NAME] spend doing ho",
a35,"In the last 7 days, how many  hours did [NAME] spend looking after children and",int8,,0,17969,0,0,0,0,0,0,0,0,,,,,
b01,IS [NAME] a student(Is he /she attending school or would be attending one if sch,int8,"1=Yes, 2=No, 9=Missing",3,49108,48931,52550,0,46562,45780,46701,66303,65721,,,,2017: IS [NAME] currently studying?; 2018: IS [NAME] currently studying?; 2019: IS [NAME] currently studying?; 2022: IS [NAME] currently studying?; 2023: IS [NAME] currently studying?; 2024: IS [NAME] currently studying?,
b02a,What is the Highest educational level is/ have [NAME] attending / attended?,int8,"1=None, 2=Pre-primary, 3=Primary education, 4=Lower secondary education, 5=Upper secondary education, 6=Tertiary education",6,49108,48931,52550,0,46562,45780,46701,66303,65721,,,,,
b02b,How many years have you completed in that level of education?,int16,,0,49108,48931,52550,0,46562,45780,46701,66303,65721,,,,,
b03,Highest certificate obtained,int8,"1=A3, 2=D4, 3=D5, 4=A2/D6/D7, 5=A1, 6=A0 …",10,10038,10468,11539,0,9373,8998,8889,0,0,,,,,
b04,The place of  the highest qualification attained,int8,"1=Rwanda Public school, 2=Rwanda Private school, 3=Rwanda Parastal School, 4=Burundi, 5=Congo-Kinshasa  DRC, 6=Kenya …",13,7401,7772,8545,0,0,0,0,0,0,,,,,
b05b,ESCED code,int16,"170=General Education, 810=Simple and fuctional literacy, numeracy, 910=behavioural capacities, 920=Life orientation programmes, 930=Mental skills, 940=personal organizational capacities …",316,10038,0,38720,0,9377,0,0,0,0,,,,,
b06,Ability to read and write,int8,"1=Yes, 2=No, 9=Missing",3,32815,32029,34076,0,29902,29679,30406,0,0,,,,,
b07,Currently attending any trade or technical Skills school,int8,"1=Yes, 2=No, 9=Missing",3,49108,48937,52549,0,46562,45780,46698,66303,65721,,,,,
b08,Did you learn any Trade or Technical vocational course (TVET)?,int8,"1=Yes, 2=No, 9=Missing",3,47982,47799,51032,0,45244,44588,45430,64464,63723,,,,,
b09,How long will/did this Training take?,int8,"1=Less than One month, 2=1- 2 months, 3=3-6 Months, 4=One Year, 5=Two Years, 6=Three years or more",6,7465,8111,9147,0,7688,7136,7456,11547,13443,,,,,"{""2"": [""1- 2 months"", ""1-3 months""]}"
b10,Type of technical skills learned?,int8,"1=Masonry, 2=Carpentry, 3=Automotive technology., 4=Culinary arts, 5=Domestic Electricity, 6=Welding …",50,7465,8110,9147,0,7688,7136,7456,11547,13443,,,,,"{""47"": [""Chollegraphy"", ""Other"", ""other (Specify)""], ""22"": [""22. Civil construction"", ""Ubwubatsi buhanitse/Cival Engeeniering""]}"
b11,Where did (NAME) acquire these skills,int8,"1=Vocational School Course, 2=Apprenticeship or on job Training, 3=Learned from a friend or Family, 4=NGO, 5=Community organization, 6=Other (Specify)",6,7465,8111,9147,0,0,0,0,0,0,,,,,"{""1"": [""Vocational School Course"", ""Vocational School Course/IPRC""]}"
b12,Who was the main sponsor for this course?,int8,"1=Government, 2=Employer, 3=Self-financing, 4=Private institutions/agencies/persons, 5=Non-profit organization/charity, 6=International organization …",8,7465,8111,9147,0,0,0,0,0,0,,,,,"{""3"": [""Self-financing"", ""Self-financing/Parents""]}"
b13,Did [NAME] complete the course?,int8,"1=Yes,with certificate, 2=Yes without certificate, 3=Yes with degree/Diploma, 4=No, 9=Missing",5,7465,8111,9147,0,7687,7136,7456,11547,13443,,,,,"{""3"": [""No"", ""Yes with degree/Diploma""]}"
b13a,In which year did (Name) complete this course?,int16,"9998=Do not know, 9999=Missing",2,4651,5093,5272,0,4237,4000,4382,0,0,,,,,
b14,What happened after you completed the course?,int8,"1= Nothing, 2= I was able to get a job, 3= My salary increased, 4= I was promoted at work, 5= My job skills have improved, 6= I got internship/traineeship with a company …",8,4651,4876,5272,0,4237,4000,4382,6441,7540,,,,,"{""2"": ["" I was able to get a job"", ""Starting own business""], ""3"": ["" My salary increased"", ""I was able to get a job""], ""4"": ["" I was promoted at work"", ""My salary increased""], ""5"": ["" My job skills have improved"", ""I was promoted at work""], ""6"": ["" I got internship/traineeship with a company"", ""My job skills have improved""], ""7"": ["" Starting own business"", ""Got internship/traineeship with a company""], ""8"": ["" Other specify_________________"", ""Other (specify)""]}"
b15,At what level could you use of computer?,int8,"1=Very well, 2=Well, 3=Less, 4=Don't know",4,49108,48937,52548,0,46562,0,0,0,0,,"2017,2018,2019,2021",b15_v2 (2025–2025),,
b16a,At what level could (Name) speak English,int8,"1=Very well, 2=Well, 3=Less, 4=Don't know, 9=Missing",5,49108,48937,52548,0,46562,0,0,0,0,,,,,"{""1"": [""Good"", ""Very good"", ""Very well""], ""2"": [""Fair"", ""Good"", ""Well""], ""3"": [""Don't Know"", ""Fair"", ""Less""]}"
b16b,At what level could (Name) speak French,int8,"1=Very well, 2=Well, 3=Less, 4=Don't know, 9=Missing",5,49108,48937,52548,0,46562,0,0,0,0,,,,,"{""1"": [""Good"", ""Very good"", ""Very well""], ""2"": [""Fair"", ""Good"", ""Well""], ""3"": [""Don't Know"", ""Fair"", ""Less""]}"
b16c,At what level could (Name) speak Swahili,int8,"1=Very well, 2=Well, 3=Less, 4=Don't know, 9=Missing",5,49108,48937,52548,0,46562,0,0,0,0,,,,,"{""1"": [""Good"", ""Very good"", ""Very well""], ""2"": [""Fair"", ""Good"", ""Well""], ""3"": [""Don't Know"", ""Fair"", ""Less""]}"
c01,"During the last 7 days,did he/she do any work for wage, salary, commission, tips",int8,"1=Yes, 2=No, 9=Missing",3,49108,48937,52550,0,46562,45773,46701,66303,65721,,,,,
c02,"During the past 7 days, did (NAME) run or do any kind of business activity other",int8,"1=Yes, 2=No, 9=Missing",3,33102,32110,33690,0,30421,28893,28679,41658,41397,,,,"2017: During the past 7 days, did (NAME) run or do any kind of bus; 2018: During the past 7 days, did (NAME) run or do any kind of bus; 2019: During the past 7 days, did (NAME) run or do any kind of bus; 2021: During the past 7 days, did (NAME) run or do any kind of bus; 2022: During the past 7 days, did (NAME) run or do any kind of bus; 2023: During the past 7 days, did (NAME) run or do any kind of bus; 2024: During the past 7 days, did (NAME) run or do any kind of bus",
c03,"During the past 7 days, did (NAME) help unpaid in a business owned by a househol",int8,"1=Yes, 2=No, 9=Missing",3,25209,24497,26904,0,25671,23547,22657,34510,32981,,,,,
c04,"Was this work in agriculture, farming or fishing?",int8,"1=Yes, 2=No, 3=Don't Know, 9=Missing",4,8686,8400,7634,0,5460,5979,6849,0,0,,,,,
c05,"In general, are the products obtained from this activity for sale or for family",int8,"1=Only for sale/barter, 2=Mainly for sale/barter, 3=Mainly for family use, 4=Only for family use, 9=Missing",5,4944,4933,4460,0,3509,3973,4014,4606,14337,,,,,
c06,"During the last 7 days, did (NAME) have a paid job or a business from which he/s",int8,"1=Yes, 2=No, 9=Missing",3,28288,27466,29418,0,27833,26046,24842,33370,31754,,,,,
c07,What was the main reason (NAME) was absent from work during the last 7 days?,int8,"1=Sick leave due to own illness or injury, 2=Public holidays, vacation or annual leave, 3=Maternity or paternity leave as specified by legislation, 4=Parental leave, 5=Educational leave, 6=Care for others and other personal absences …",16,773,679,520,0,565,265,457,768,831,,,,,"{""10"": [""Disorganization or suspension of work (e.g. due to bad weather, mechanical, elec"", ""Disorganization or suspension of work (e.g. due to bad weather, mechanical, electrical or communication breakdown,""], ""11"": [""Business / Gov't closed due to coronavirus legal restrictions"", ""Other Specify""]}"
c08,What is the expected total absence from work for (NAME)?,int8,"1=Less than 3 months, 2=3 months or more, 3=Not sure to return to work, 4=After movement restriction, 5=After recovering from covid-19",5,355,291,191,0,345,97,162,304,360,,,,,
c09,Does (NAME) continue receiving an income from his/her job during absence?,int8,"1=Yes, 2=No, 9=Missing",3,119,69,70,0,114,38,61,75,69,,,,,
c10,Did [NAME] have any other paid job or business or performed any secondary activi,int8,"1=Yes, 2=No, 9=Missing",3,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,,
c11a,How many hours does [NAME] usually work per week?Main job/activity,double,,0,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,,
c11b,How many hours does [NAME] usually work per week?Secondary job/activity,int8,,0,599,510,529,0,229,246,374,1048,1552,,,,,
c12a,"During the past 7 days, how many days did (NAME) actually work in Main job/activ",int8,,0,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,"2017: During the past 7 days, how many days did (NAME) actually wo; 2018: During the past 7 days, how many days did (NAME) actually wo; 2019: During the past 7 days, how many days did (NAME) actually wo; 2021: During the past 7 days, how many days did (NAME) actually wo; 2022: During the past 7 days, how many days did (NAME) actually wo; 2023: During the past 7 days, how many days did (NAME) actually wo; 2024: During the past 7 days, how many days did (NAME) actually wo",
c12b,"During the past 7 days, how many days did (NAME) actually work in all Secondary",int8,,0,599,510,529,0,229,246,374,1048,1552,,,,"2017: During the past 7 days, how many days did (NAME) actually wo; 2018: During the past 7 days, how many days did (NAME) actually wo; 2019: During the past 7 days, how many days did (NAME) actually wo; 2021: During the past 7 days, how many days did (NAME) actually wo; 2022: During the past 7 days, how many days did (NAME) actually wo; 2023: During the past 7 days, how many days did (NAME) actually wo; 2024: During the past 7 days, how many days did (NAME) actually wo",
c13a,"During the past 7 days, how many hours per day did (NAME) actually worked in Mai",int16,,0,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,"2017: During the past 7 days, how many hours per day did (NAME) ac; 2018: During the past 7 days, how many hours per day did (NAME) ac; 2019: During the past 7 days, how many hours per day did (NAME) ac; 2021: During the past 7 days, how many hours per day did (NAME) ac; 2022: During the past 7 days, how many hours per day did (NAME) ac; 2023: During the past 7 days, how many hours per day did (NAME) ac; 2024: During the past 7 days, how many hours per day did (NAME) ac",
c13b,"During the past 7 days, how many hours per day did (NAME) actually worked in all",int8,,0,599,510,529,0,229,246,374,1048,1552,,,,"2017: During the past 7 days, how many hours per day did (NAME) ac; 2018: During the past 7 days, how many hours per day did (NAME) ac; 2019: During the past 7 days, how many hours per day did (NAME) ac; 2021: During the past 7 days, how many hours per day did (NAME) ac; 2022: During the past 7 days, how many hours per day did (NAME) ac; 2023: During the past 7 days, how many hours per day did (NAME) ac; 2024: During the past 7 days, how many hours per day did (NAME) ac",
c14,How many hours did [NAME) usually worked at all jobs combined?,int8,"1=Less than 35 hrs, 2=35 hrs - 48hrs, 3=49 hrs or more",3,21394,22033,23550,0,19142,19947,22214,33594,34712,,,,2017: How many hours did [NAME) usually worked at all jobs combine; 2019: How many hours did [NAME) usually worked at all jobs combine; 2022: How many hours did [NAME) usually worked at all jobs combine; 2023: How many hours did [NAME) usually worked at all jobs combine; 2024: How many hours did [NAME) usually worked at all jobs combine,
c15,What was the main reason (NAME) usually worked long hours per week?,int8,"1=Nature of work, 2=To earn more money, 3=Lack of employees, 4=Meet deadlines, 5=Other specify",5,6660,7300,7163,0,4295,4251,5159,6585,6973,,,,,
c16,"During the last 4 weeks, did (NAME) look for additional or other work?",int8,"1=Yes, 2=No, 9=Missing",3,7286,7304,7456,0,6837,7169,7849,13925,15489,,,,,
c17,Would want to work more hours per week than usualy worked provided the extra hou,int8,"1=Yes, 2=No, 9=Missing",3,5188,5270,5347,0,4125,3686,4751,9678,11802,,,,,
c18,"If an opportunity for additional work became available, could (NAME) start worki",int8,"1=Yes, 2=No, 9=Missing",3,5843,5621,5682,0,5494,5849,6197,11167,12928,,,,,
c19,"During the last 4 weeks, did [NAME] look for any kind of paid job or try to star",int8,"1=Yes, 2=No, 9=Missing",3,27714,26904,29000,0,27420,25826,24487,32709,31009,,,,,
c20,Has [NAME] already found a job or arranged to start a business in the next 4 wee,int8,"1=Yes, 2=No, 9=Missing",3,23114,22737,24749,0,22316,20577,20063,26800,26009,,,,,
c21a_v2,[2017-2019 version] what did [NAME] do  in the last 4 weeks to find a paid job o,int8,"0=N/A, 1=Arranging for financial ressources,applying for permits,licences, 2=Looking for land,premises,machinery,supplies,farming inputs, 3=Seeking the assistance of friends,relatives or other types of intermediaries, 4=Registering with or contacting public or private employment services, 5=Applying to employers directly,checking at worksites,farms,factory gates,markets …",10,2283,0,940,0,0,0,0,0,0,,"2017,2019","c21a (2018–2021), c21a_v3 (2024–2024)",,
c21b_v2,[2017-2019 version] What did [NAME] do in the last 4 weeks to find a paid job or,int8,"0=N/A, 1=Arranging for financial ressources,applying for permits,licences, 2=Looking for land,premises,machinery,supplies,farming inputs, 3=Seeking the assistance of friends,relatives or other types of intermediaries, 4=Registering with or contacting public or private employment services, 5=Applying to employers directly,checking at worksites,farms,factory gates,markets …",10,1063,0,940,0,0,0,0,0,0,,"2017,2019","c21b (2018–2021), c21b_v3 (2024–2024)",,
c21c_v2,[2017-2019 version] What did [NAME] do in the last 4 weeks to find a paid job or,int8,"0=N/A, 1=Arranging for financial ressources,applying for permits,licences, 2=Looking for land,premises,machinery,supplies,farming inputs, 3=Seeking the assistance of friends,relatives or other types of intermediaries, 4=Registering with or contacting public or private employment services, 5=Applying to employers directly,checking at worksites,farms,factory gates,markets …",10,300,0,940,0,0,0,0,0,0,,"2017,2019","c21c (2018–2021), c21c_v3 (2024–2024)",,
c21d_v2,[2017-2019 version] What did [NAME] do in the last 4 weeks to find a paid job or,int8,"0=N/A, 1=Arranging for financial ressources,applying for permits,licences, 2=Looking for land,premises,machinery,supplies,farming inputs, 3=Seeking the assistance of friends,relatives or other types of intermediaries, 4=Registering with or contacting public or private employment services, 5=Applying to employers directly,checking at worksites,farms,factory gates,markets …",10,67,0,940,0,0,0,0,0,0,,"2017,2019",c21d (2018–2024),,
c22,For how long has [NAME] been without work and trying to find a paid job or start,int16,"1=Less than 1month, 2=1-less than 3 months, 3=3-less than 6 months, 4=6-less than 12 months, 5=1-less than 2 years, 6=2 years or more",6,4524,4131,4233,0,5090,5231,4407,5853,4963,,,,,
c23,Would [NAME] want to work if a  paid job or business opportunity became availabl,int8,"1=Yes, 2=No, 9=Missing",3,22920,22482,24538,0,22121,20485,19899,26711,25880,,,,,
c24,What was the main reason (NAME) did not try to find a paid job or start a busine,int8,"1=Own illness, 2=Disability, 3=Studies, 4=Pregnancy, 5=Presence of small children/Elders/sick people, 6=Refusal by family …",17,10062,9138,10680,0,8243,7270,7425,11278,12378,,,,,"{""5"": [""Presence of small children"", ""Presence of small children/Elders/sick people"", ""Presence of small children/adult(Family responsability""], ""14"": [""Other specify"", ""Unable to move due to movements  restrictions  because of Covid-19/own or family quarantine""]}"
c25,"If a paid job or business opportunity become available, could [NAME] have starte",int8,"1=Yes, 2=No, 9=Missing",3,14856,13560,15202,0,13570,12610,11984,17275,17507,,,,,
c26,What is the mean reason why (NAME) could not  start working in the last 7 days o,int8,"1=In Study, training, 2=Maternity leave, child care, 3=Injury, illness,Disability, 4=Family member(s) consider that (NAME) should stay home, 5=In Agriculture/fishing for Family use, 6=Retired or Pensioner …",7,925,950,957,0,844,873,791,1414,1744,,,,,"{""5"": [""In Agriculture/fishing for Family use"", ""Other"", ""Other(specify)""], ""3"": [""Injury, illness"", ""Injury, illness,Disability""], ""6"": [""Retired or Pensioner"", ""Self or quarantine because of covid-19""], ""7"": [""Movements restrictions due to covid-19"", ""Other(specify)""]}"
indd01, ISCO High level,int8,"1=Managers, 2= Professionals, 3=Technicians_and_associate_professionals, 4=Clerical_support_workers, 5=Service_and_sales_workers, 6=Skilled_agricultural,_forestry_and_fishery workers …",9,21394,21836,23351,0,19142,19947,22214,33594,34712,,,,,"{""3"": [""Technicians and associate professionals"", ""Technicians_and_associate_professionals""], ""4"": [""Clerical support workers"", ""Clerical_support_workers""], ""5"": [""Service and sales workers"", ""Service_and_sales_workers""], ""6"": [""Skilled agricultural, forestry and fishery workers"", ""Skilled_agricultural,_forestry_and_fishery workers""], ""7"": ["" Craft and related trades workers"", "" Craft_and_related_trades_workers""], ""8"": [""Plant and machine operators and assemblers"", ""Plant_and_machine_operators_and_assemblers""], ""9"": ["" Elementary occupations"", "" Elementary_occupations""]}"
isco2d,Isco_2digits_mainjob,int8,"1=Commissioned armed forces officers, 2=Non-commissioned armed forces officers, 3=Armed forces occupations, other ranks, 11=Chief executives, senior officials and legislators, 12=Administrative and commercial managers, 13=Production and specialised services managers …",43,21394,22033,0,0,0,0,0,0,0,,,,,
