native,clean_stem,clean_label
d10b,paid_sick_leave,Entitled to paid sick leave
d10c,maternity_paternity_leave,Entitled to paid maternity or paternity leave
d10d,salary_tax_deducted,Salary subject to income tax deduction
d11,trade_union_member,Belongs to a trade union or syndicate
d12,earnings_cash_main_job,"Earnings in cash from the main job, last payment"
d12_1,earnings_money_main_2025,"Money earned from the main job or business, last payment"
d12_1a,earnings_amount_rwf_2025,"Earnings amount in Rwandan francs, main job"
d12a,earnings_amount_rwf,"Earnings amount in Rwandan francs, main job"
d13,earnings_period,Period covered by the earnings
d13_1,earnings_period_2025,Period covered by the earnings
d14,in_kind_payments,Receives in-kind payments in the main job
d14_1,average_monthly_earn_2025,Average money earned per month from the main job
d14_1a,average_monthly_rwf_2025,Average monthly earnings in Rwandan francs
d15,in_kind_value,Value of the in-kind payments
d15a,in_kind_amount_rwf,In-kind payments in Rwandan francs
d16,in_kind_period,Period covered by the in-kind payments
d17,monthly_earnings_bracket,"Monthly earnings, cash and in kind, bracket"
d17_1,monthly_earnings_brk_2025,"Monthly earnings, cash and in kind, bracket"
d18a,how_obtained_job,How the current employment was obtained
d18a1,net_earnings_biz_rwf_2017,"Net monthly earnings from the business, Rwandan francs"
d18a_other,how_obtained_job_other,"How the employment was obtained, other text"
d18a_v2,net_earnings_biz_2017,Net monthly earnings from the business activity
d18b,net_earnings_biz_brk_2017,"Net monthly earnings from the business, bracket"
d19,earnings_vs_average_2017,"Earnings below, at or above the usual monthly average"
d20,business_registered,Business or establishment registered
d21,business_keeps_accounts,Business keeps accounts to report to an authority
d21a,accounts_type,Kind of accounts or records kept
d22a,employees_at_workplace,"Regular employees at the workplace, bracket"
d22b,employees_at_workplace_num,"Regular employees at the workplace, number"
d23,workplace_type,Type of place where the person usually works
d23_v2,workplace_location_2025,Where the business or work is located
d23a,commute_transport,Main means of transport to work
d23a_v2,commute_transport,Main means of transport to work
d23b,commute_time,Time to get to work
d24,work_experience,Total work experience
d24_v2,work_experience,Total work experience in years
d24a,work_experience_years,Total work experience in years
d24b,months_worked_per_year,Months worked in a year in the main job
d25,computer_needed_at_work,Needs a computer in day-to-day work
d25a,works_in_own_district,Works in the district of residence
d25b,district_of_work,District where the main job is performed
d26,uses_computer_at_work,Uses a computer in day-to-day work
d27,has_secondary_job,Secondary paid job or business reported
d28,injured_at_work_12m,"Hurt in an accident while working, last 12 months"
d29,injury_absence,Injury caused absence or inability to work
d30a,injury_absence_duration,Time away from work because of the injury
d30b,injury_absence_unit,Unit of the time away from work because of the injury
d31,injury_reported,Injury reported to management
d32,injury_compensation,Received financial compensation for the injury
decode,data_entry_code_2021,Data entry code
dg01,own_use_firewood,"Own-use production: fetching firewood, NISR derived"
dg02,own_use_water,"Own-use production: fetching water, NISR derived"
dg03,own_use_fodder,"Own-use production: searching fodder or grazing, NISR derived"
dg04,own_use_goods,"Own-use production: manufacturing household goods, NISR derived"
dg05,own_use_repairs,"Own-use production: repairing the dwelling, NISR derived"
dg06,own_use_cooking,"Own-use production: cooking and shopping, NISR derived"
dg07,own_use_care,Own-use production: looking after children and elderly (NISR)
disable,disability,"Person with disability, NISR derived"
discourage,discouraged_jobseeker,"Discouraged jobseeker, NISR derived"
ds07,works_as_2025,"Works as employee, in own business or helping"
ds08,business_decisions_maker,Who makes the decisions about running the business
ds09,business_hires_paid,Business hires paid employees regularly
ds09_a,income_half_one_client,More than half of the income comes from one client
ds09_b,customers_via_company,Gets customers through another company or platform
ds09_c,business_activity_item,Business activity item as shipped
ds09_d,client_sets_terms,Client company sets prices or working conditions
ds09aa,business_registered_rdb,Business registered with the Rwanda Development Board
ds09aaa,business_registered_other,Business registered with another institution
ds10a,pay_types_received,Types of pay received for the work
e01b1,second_job_tasks,Main tasks and duties in the secondary job
e02,second_job_workplace,Name of the workplace of the secondary job
e02b1,second_job_isic,ISIC code of the secondary job
e03,second_job_activity,Activity of the secondary job
e04,second_job_business,Business of the secondary job
e05a,second_job_social_security,"Employer pays social security, secondary job"
e05b,second_job_health_insurance,"Employer pays health insurance, secondary job"
e06a,second_job_annual_leave,Paid annual leave in the secondary job
e06b,second_job_sick_leave,Paid sick leave in the secondary job
e06c,second_job_maternity_leave,Paid maternity or paternity leave in the secondary job
e07,second_job_registered,Business of the secondary job registered
e08,second_job_keeps_accounts,Employer of the secondary job keeps written accounts
e09a,second_job_employees,"Employees at the secondary workplace, bracket"
e09b,second_job_employees_num,"Employees at the secondary workplace, number"
e10,second_job_workplace_type,Type of place of the secondary job
e11,other_jobs_count,Number of jobs apart from the main job
e12,earnings_other_jobs,"Earnings from other jobs, cash and in kind"
e12b,earnings_other_jobs_rwf,Earnings from other jobs in Rwandan francs
e13,earnings_other_jobs_period,Period covered by the earnings from other jobs
employed16,employment_ratio_base,"Employment-to-population ratio base, NISR indicator"
en01,lighting_energy_2024_2025,Main source of energy for lighting
en01_others,lighting_energy_other_text,"Main source of energy for lighting, other text"
f01,worked_previously,Ever worked for a wage or in a business
f01a,ever_paid_job_2025,Ever had a paid job or another income activity
f01b,time_since_last_job,Time since the person stopped working
f02,reason_stopped,Main reason for stopping the last job
f02_v2,reason_stopped,Main reason for stopping the last job
f03b,last_job_tasks_text,"Main tasks and duties in the last job, text"
f03b1,last_job_tasks,Main tasks and duties in the last job
f04a,last_job_workplace,Name of the workplace of the last job
f04b,last_job_goods_services,Main goods or services produced at the last workplace
f04b1,last_job_isic,ISIC code of the last job
f05,main_income_source,Main source of income at present
f06,status_opinion,Self-described main status at present
f06_v2,status_opinion,Self-described main status at present
f07,competencies,Competencies needed to increase employability
f07_v2,competencies,Competencies needed to increase employability
g01,hours_firewood,"Hours collecting firewood, last 7 days"
g01a,any_time_firewood,"Spent time collecting firewood, last 7 days"
g02,hours_fetching_water,"Hours fetching water, last 7 days"
g02a,any_time_fetching_water,"Spent time fetching water, last 7 days"
g03,hours_fodder,"Hours searching fodder or grazing livestock, last 7 days"
g03a,any_time_fodder,"Spent time grazing or feeding livestock, last 7 days"
g04,hours_making_goods,"Hours manufacturing household goods, last 7 days"
g04a,any_time_making_goods,"Spent time manufacturing household goods, last 7 days"
g05,hours_construction,"Hours constructing or repairing the dwelling, last 7 days"
g05a,any_time_construction,"Spent time on construction or building, last 7 days"
g06,hours_household_chores,"Hours doing household chores, last 7 days"
g06a,any_time_household_chores,"Spent time doing household chores, last 7 days"
g07,hours_care,"Hours looking after children or adults, last 7 days"
g07a,any_time_care,"Spent time looking after children or adults, last 7 days"
gid,section_g_serial_2017,Serial number for section G as shipped
h00,labour_situation,Description of the situation in the labour market
h01,own_use_work_4w,Did work mainly for own use in the last four weeks
h02,own_use_days_week,Days per week in own-use production
h02_v2,own_use_hours_week_2021_2023,"Hours per week in own-use production, last 7 days"
h03,own_use_hours_day,Hours per day in own-use production
h03_v2,own_use_usual_2021_2023,Usual hours per week in own-use production
h04,own_use_item_h04,"Own-use production item H04 as shipped, no label"
h05,sells_farm_products,Household sells or barters part of its farm products
h06,share_of_products_sold,Share of the farm products regularly sold
h07,farm_net_value,"Net value of the agricultural activities, bracket"
h08,season_vs_average,"Previous season below, at or above average"
h09,farm_hires_paid_workers,Engages paid employees in the farming activity
h10,farm_paid_workers_bracket,"Paid employees engaged in farming, bracket"
h11a,land_leased,Access to land by leasing
h11b,land_sharecropped,Access to land by renting against a share of the produce
h11c,land_fixed_rent,Access to land by renting at a fixed rent
h11d,land_free_of_charge,Access to land free of charge
h11e,land_communal_rights,Access to land through communal rights
head,household_head_flag,"Head of the household, NISR derived"
hhgac,group_acceptance_count,Number of group acceptance as shipped
hhgap,group_appearance_count,Number of group appearance as shipped
hhrg,rotation_group,Rotation group of the household
hr_cash,hourly_wage,"Hourly wage of employees, NISR derived"
hr_cshmain,hourly_wage_main_job,"Hourly wage of employees in the main job, NISR derived"
hr_own,own_use_hours_total,"Total hours in own-use production, NISR derived"
i01_a,roof_material,Main material of the roof
i01_a_v2,building_material_2019,Main material used in building the house
i01_b,wall_material,Main material of the exterior walls
i01_c,floor_material,Main material of the floor
i02,rooms_for_sleeping,Rooms used for sleeping
i03,toilet_type,Type of toilet
i04,lighting_energy,Main source of energy for lighting
i05,cooking_energy,Main source of energy for cooking
i06a,drinking_water,Main source of drinking water
i06a_v2,drinking_water,Main source of drinking water
i06b,other_water_source,Main source of water for other uses
i06b_v2,other_water_source,Main source of water for other uses
i07a,owns_refrigerator,Household owns a refrigerator or freezer
i07b,owns_radio,Household owns a radio
i07c,owns_tv,Household owns a television set
i07d,owns_satellite_dish,Household owns a parabolic antenna
i07e,owns_dvd_player,Household owns a video or DVD player
i07f,owns_computer,Household owns a computer
i07g,owns_music_system,Household owns a music system
i07h,owns_cooker,Household owns a cooker
i07i,owns_sewing_machine,Household owns a sewing machine
i07j,owns_washing_machine,Household owns a laundry machine
i07k,owns_electric_fan,Household owns an electric fan
i07l,owns_camera,Household owns a camera
i07m,owns_mobile_phone,Household owns a mobile phone
i07n,owns_car,Household owns a car
i07o,owns_bicycle,Household owns a bicycle
i07p,owns_motorcycle,Household owns a motorcycle
i07q,has_internet_connection,Household has an internet connection
i08,members_used_internet,Members who used the internet in the last 12 months
i09,members_mobile_phone,Members having a mobile phone
i10,members_computer,Members having a personal computer
i11,members_social_media,Members using social media
i12,members_used_computer,"Members aged 10 and over who used a computer, last 12 months"
i13,members_ict_skilled,Members aged 10 and over who can use at least one ICT skill
icse18a,employment_status_icse18,"Status in employment by type of authority, ICSE-18"
ie,formal_employment_2017,"Formal or informal employment in the main job, NISR derived"
iev2,formal_employment,"Formal or informal employment in the main job, NISR derived"
indb05,education_field,"Field of education, NISR derived"
indb1,years_of_schooling,"Years of schooling, NISR derived"
indd01,isco_major_main_job,ISCO major group of the main job
indd03,isic_section_main_job,ISIC section of the main job
inde01,isco_major_second_job,ISCO major group of the secondary job
inde02,isic_section_second_job,ISIC section of the secondary job
indf03,isco_major_last_job,ISCO major group of the last job
indf04,isic_section_last_job,ISIC section of the last job
intcash,income_interval,"Income interval, NISR derived"
intcash_v2,income_interval,"Income interval, NISR derived"
is,formal_sector_2021,"Formal or informal sector of employment, NISR derived"
isco2d,isco_2digit_main_2017_2018,ISCO two-digit group of the main job
isco2digit,isco_two_digit_main_job,ISCO two-digit group of the main job
isco2e,isco_two_digit_second_job,ISCO two-digit group of the secondary job
isco2f,isco_two_digit_last_job,ISCO two-digit group of the last job
isic2d,isic_2digit_main_2017_2018,ISIC two-digit division of the main job
isic2digitdigit,isic_two_digit_main_job,ISIC two-digit division of the main job
isic2e,isic_two_digit_second_job,ISIC two-digit division of the secondary job
isic2f,isic_two_digit_last_job,ISIC two-digit division of the last job
jobsearch,not_employed_searching,"Not employed and searching for a job, NISR derived"
lfpr,participation_rate_base,"Labour force participation rate base, NISR indicator"
lfs_round,round_code_shipped,Data collection round code as shipped by NISR
lfs_round_v2,round_code_shipped_2020,Data collection round code as shipped by NISR
lfs_strata,stratum_shipped,"Sampling stratum as shipped, district by area"
lfs_workforce,agricultural_work_2019,"Works in agriculture or outside agriculture, NISR derived"
lfs_year,data_collection_year,LFS data collection year as shipped
lu2,underutilisation_lu2,LU2: unemployment and time-related underemployment rate
lu3,underutilisation_lu3,LU3: unemployment and potential labour force rate
lu4,underutilisation_lu4,LU4: composite measure of labour underutilisation
luu,labour_underutilisation,"Labour underutilisation category, NISR derived"
luur,underutilisation_rate,"Labour underutilisation rate, NISR derived"
main_sect,economic_sector,"Economic sector: agriculture, industry, services"
migrant,recent_migration,Recent migration: internal or international
more_person,more_persons_flag_2021,More persons flag as shipped
neetyoung,neet_16_30,"Not in employment, education or training, aged 16-30"
neetyouth,neet_16_24,"Not in employment, education or training, aged 16-24"
pkey,nisr_person_key_2019,NISR person key as shipped
plf,potential_labour_force,"Potential labour force category, NISR derived"
pop,population_count_2021,Total population indicator as shipped
prod_sec,production_sector_2017_2018,"Production sector: informal, formal, household"
prod_unit,production_sector,"Production sector unit: informal, formal, household"
psu_id,psu_identifier_2021,Primary sampling unit identifier as shipped
quintile,wealth_quintile_2021,Wealth quintile as shipped
ryear,nisr_year_variable_2017,NISR variable named year as shipped
samehh,same_household_visited,Same household as visited last time
sihh,still_in_household_2021,Still in the household
sm,search_methods_2021_2023,"Job-search methods, NISR summary"
sub,subsistence_producer,"Subsistence foodstuff producer, NISR derived"
subhrs,subsistence_hours,"Hours in subsistence activities, NISR derived"
subhrs_v2,subsistence_hours_2022_2023,"NISR subsistence hours, product of two weekly measures"
timegood,own_use_hours_goods,Time spent producing goods for own use
timeservice,own_use_hours_services,Time spent producing services for own use
tru,time_underemployed,"Time-related underemployment, NISR derived"
trur,time_underemployment_rate,"Time-related underemployment rate, NISR derived"
tvet3,tvet_completion_type,Formal or non-formal TVET completion
tvt,attended_tvet,"Attended TVET or not, NISR derived"
tvt2,general_or_tvet_attainment,"General or TVET attainment, NISR derived"
ud,unemployment_duration,"Unemployment duration bracket, NISR derived"
ur1,unemployment_rate_base,"Unemployment rate base, NISR indicator"
usual_h,usual_hours_number,"Number of usual hours worked, NISR derived"
usualhc,child_hours_worked_2020,"Hours worked by children, NISR derived"
usualhrs,usual_hours_interval,"Usual hours worked, interval, NISR derived"
usualhrsc,child_hours_interval_2020,"Hours worked by children, interval, NISR derived"
wap16,working_age_16_plus,"Working-age population 16 and over, NISR indicator base"
willing,willing_non_seeker,"Willing non-seeker not available, NISR derived"
work_agr,agricultural_work_type,"Type of work in agriculture, NISR derived"
ya,young_or_adult,Young 16-30 or adult 31 and over
young,young_16_30,"Young aged 16 to 30, NISR derived"
youngs,young_status,"Status of the young: education, employment, both or neither"
youth,youth_16_24,"Youth aged 16 to 24, NISR derived"
yur1,youth_unemployment_rate,"Youth unemployment rate base, NISR indicator"
